용도,개발위치,소재지,데이터기준일자
공업용수,대구광역시 북구 노원동2가 18번지 1호 (도로명 : 대구광역시 북구 노원동로 42-1 (노원동2가)),   ,2024-07-26
농업용수,대구광역시 북구 동호동 534번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 태전동 803번지 3호 (도로명 : 대구광역시 북구 칠곡중앙대로 202 (태전동)),대구광역시 달서구 상인서로 85 102동 1003호 (상인동동방아파트),2024-07-26
공업용수,대구광역시 북구 노원동3가 68번지 (도로명 : 대구광역시 북구 3공단로 170 (노원동3가)),대구광역시 북구 3공단로 170 (노원동3가),2024-07-26
생활용수,대구광역시 북구 침산동 105번지 65호 (도로명 : 대구광역시 북구 중앙대로 581 (침산동)),대구광역시 북구 중앙대로 581(침산동),2024-07-26
공업용수,대구광역시 북구 산격동 1819번지 (도로명 : 대구광역시 북구 검단로 93 (산격동)),대구광역시 북구 검단로 93 (검단동),2024-07-26
생활용수,대구광역시 북구 태전동 835번지 1호 (도로명 : 대구광역시 북구 칠곡중앙대로 168 (태전동)),대구광역시 북구 노원로 139-6 (노원동3가),2024-07-26
생활용수,대구광역시 북구 칠성동1가 28번지 1호 (도로명 : 대구광역시 북구 칠성시장로5길 29-12 (칠성동1가)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 276번지 청과시장번영회 ,대구광역시 북구 칠성시장로 34 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 복현동 402번지 6호 (도로명 : 대구광역시 북구 대학로 140 (복현동)),대구광역시 북구 대학로 140 (복현동),2024-07-26
생활용수,대구광역시 북구 칠성동2가 302번지 110호 (도로명 : 대구광역시 북구 칠성남로38길 12 (칠성동2가)),대구광역시 북구 칠성남로38길 12 (칠성동2가),2024-07-26
생활용수,대구광역시 북구 칠성동2가 406번지 7호 ,대구광역시 수성구 청호로 426 101동 706층 (범어동 대구범어삼성쉐르빌),2024-07-26
농업용수,대구광역시 북구 연경동 570번지 16호 ,대구광역시 북구 연경동 570번지 16호 ,2024-07-26
생활용수,대구광역시 북구 침산동 215번지 2호 (1호공) (도로명 : 대구광역시 북구 침산남로 170 (침산동 1호공)),대구광역시 북구 중앙대로 591 203동 2202호 (침산동 침산동코오롱하늘채),2024-07-26
생활용수,대구광역시 북구 산격동 488번지 6호 북대구농협 (도로명 : 대구광역시 북구 대불서길 8 (산격동북대구농협)),대구광역시 북구 대불서길 8 (산격동),2024-07-26
생활용수,대구광역시 북구 산격동 1238번지 1호 스카이사우나 (도로명 : 대구광역시 북구 동북로 156 (산격동스카이사우나)),대구광역시 북구 동북로 156 (산격동),2024-07-26
생활용수,대구광역시 북구 학정동 866번지 2호 (도로명 : 대구광역시 북구 구리로 29 (학정동)),대구광역시 북구 동천로 155 105동 1405호 (동천동 칠곡네스빌),2024-07-26
생활용수,대구광역시 북구 학정동 866번지 2호 (도로명 : 대구광역시 북구 구리로 29 (학정동)),대구광역시 북구 동천로 155 105동 1405호 (동천동 칠곡네스빌),2024-07-26
생활용수,대구광역시 북구 읍내동 1343번지 6호 (도로명 : 대구광역시 북구 칠곡중앙대로 416 (읍내동)),대구광역시 북구 칠곡중앙대로 416 (읍내동),2024-07-26
생활용수,대구광역시 북구 구암동 654번지 1호 (도로명 : 대구광역시 북구 팔거천동로 80-1 (구암동)),대구광역시 수성구 청수로38길 59 (지산동),2024-07-26
농업용수,대구광역시 북구 복현동 573번지 (도로명 : 대구광역시 북구 대학로 80 (복현동)),대구광역시 북구 대학로 80 (산격동),2024-07-26
민방위비상급수시설,대구광역시 북구 산격동 1427번지 1호 대구체육관 ,   ,2024-07-26
생활용수,대구광역시 북구 관음동 1372번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 고성동3가 6번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 대현동 215번지 2호 대현아파트 (도로명 : 대구광역시 북구 대현로19길 15 (대현동대현아파트)),대구광역시 북구 옥산로 65 (침산동),2024-07-26
민방위비상급수시설,대구광역시 북구 연경동 252번지 2호 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 산격동 1443번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 산격동 1667번지 섬유제품관 (도로명 : 대구광역시 북구 유통단지로 60 (산격동섬유제품관)),대구광역시 북구 유통단지로 60 (산격동 섬유제품관),2024-07-26
생활용수,대구광역시 북구 서변동 182번지 ,대구광역시 북구 연경동 819번지 7통 4반 ,2024-07-26
공업용수,대구광역시 북구 침산동 1065번지 (도로명 : 대구광역시 북구 노원로40길 14 (침산동)),대구광역시 북구 노원로40길 14(침산동),2024-07-26
생활용수,대구광역시 북구 침산동 780번지 4호 (도로명 : 대구광역시 북구 노원로47길 20 (침산동)),대구광역시 북구 노원로47길 20 (침산동),2024-07-26
공업용수,대구광역시 북구 산격동 10번지 12호 (도로명 : 대구광역시 북구 검단북로 2-13 (산격동)),대구광역시 북구 대현로21길 20 407호 (대현동대산아파트),2024-07-26
생활용수,대구광역시 북구 국우동 산 52번지 1호 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
민방위비상급수시설,대구광역시 북구 침산동 447번지 16호 (도로명 : 대구광역시 북구 옥산로 65 (침산동)),대구광역시 북구 옥산로 65 (침산동),2024-07-26
농업용수,대구광역시 북구 구암동 354번지 운암지공원 ,   ,2024-07-26
생활용수,대구광역시 북구 동호동 272번지 2호 경로당 (도로명 : 대구광역시 북구 동호길 72-13 (동호동경로당)),   ,2024-07-26
농업용수,대구광역시 북구 서변동 22번지 1호 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
농업용수,대구광역시 북구 사수동 135번지 (도로명 : 대구광역시 북구 사수로 363-36 (사수동)),대구광역시 북구 사수로 363-36 (사수동),2024-07-26
농업용수,대구광역시 북구 서변동 23번지 4호 ,대구광역시 동구 동촌로 190 108동 701호 (방촌동 영남네오빌),2024-07-26
농업용수,대구광역시 북구 도남동 314번지 9호 ,대구광역시 북구 동천로 155 102동 1902호 (동천동 칠곡네스빌),2024-07-26
농업용수,대구광역시 북구 도남동 315번지 3호 ,인천광역시 연수구 송도과학로27번길 55 104동 402호 (송도동 롯데캐슬캠퍼스타운),2024-07-26
농업용수,대구광역시 북구 연경동 53번지 1호 ,대구광역시 수성구 동대구로 95 104동 3803호 (두산동 수성SK리더스뷰),2024-07-26
생활용수,대구광역시 북구 동호동 191번지 ,대구광역시 북구 호국로 807 (학정동),2024-07-26
생활용수,대구광역시 북구 읍내동 1427번지 대천목욕탕 (도로명 : 대구광역시 북구 팔거천서로 157-16 (읍내동대천목욕탕)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동2가 409번지 661호 (도로명 : 대구광역시 북구 칠성시장로 69 (칠성동2가)),대구광역시 수성구 동대구로 240 104동 905호 (범어동범어청구푸른마을),2024-07-26
농업용수,대구광역시 북구 서변동 294번지 ,대구광역시 북구 구암로42길 3-4 (구암동),2024-07-26
생활용수,대구광역시 북구 금호동 451번지 2호 (도로명 : 대구광역시 북구 사수로 432 (금호동)),대구광역시 북구 사수로 432 (금호동),2024-07-26
농업용수,대구광역시 북구 읍내동 127번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 구암동 133번지 (도로명 : 대구광역시 북구 구암로60길 46-8 (구암동)),대구광역시 북구 칠곡중앙대로 250-13 (태전동),2024-07-26
농업용수,대구광역시 북구 읍내동 산 61번지 2호 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
공업용수,대구광역시 북구 산격동 662번지 3호 (도로명 : 대구광역시 북구 동북로 39 (산격동)),대구광역시 북구 동북로 39 (산격동),2024-07-26
생활용수,대구광역시 북구 국우동 512번지 (도로명 : 대구광역시 북구 호국로 589-69 (국우동)),대구광역시 북구 호국로 589-69 (국우동),2024-07-26
공업용수,대구광역시 북구 검단동 747번지 5호 (도로명 : 대구광역시 북구 검단동로8길 1 (검단동)),대구광역시 북구 검단동로8길 1 (검단동),2024-07-26
생활용수,대구광역시 북구 태전동 257번지 4호 (도로명 : 대구광역시 북구 태전로7길 10 (태전동)),대구광역시 남구 두류공원로19길 8-20 (대명동),2024-07-26
생활용수,대구광역시 북구 관음동 1230번지 2호 (도로명 : 대구광역시 북구 관음로 141 (관음동)),서울특별시 종로구 종로 26 SK빌딩 (서린동),2024-07-26
생활용수,대구광역시 북구 태전동 77번지 1호 대구과학대학교 생활관 ,대구광역시 북구 영송로 47 (태전동 대구과학대학교),2024-07-26
생활용수,대구광역시 북구 구암동 769번지 3호 (2호공) (도로명 : 대구광역시 북구 학정로 416 (구암동(2호공))),대구광역시 서구 팔달로 158 (비산동),2024-07-26
생활용수,대구광역시 북구 구암동 769번지 3호 (1호공) (도로명 : 대구광역시 북구 학정로 416 (구암동(1호공))),대구광역시 서구 팔달로 158 (비산동),2024-07-26
생활용수,대구광역시 북구 구암동 649번지 1호 강북탕 (도로명 : 대구광역시 북구 구암로 138 (구암동 강북탕)),대구광역시 북구 구암로 138 (구암동),2024-07-26
농업용수,대구광역시 북구 팔달동 508번지 ,대구광역시 북구 매천로 1-29 (팔달동 령수교회),2024-07-26
생활용수,대구광역시 북구 노원동3가 779번지 4호 삼영목욕탕 (도로명 : 대구광역시 북구 팔달로33길 2 (노원동3가)),   ,2024-07-26
생활용수,대구광역시 북구 검단동 998번지 2호 (도로명 : 대구광역시 북구 모산골길 10-24 (검단동)),대구광역시 동구 팔공로51길 10 311동 1501호 (봉무동 이시아폴리스 더샵 3차),2024-07-26
생활용수,대구광역시 북구 서변동 136번지 3호 (도로명 : 대구광역시 북구 호국로 322 (서변동)),대구광역시 북구 호국로 322 (서변동),2024-07-26
생활용수,대구광역시 북구 산격동 755번지 1호 SK네트웍스(주)맘모스주유소 (도로명 : 대구광역시 북구 동북로 21 (산격동 SK네트웍스(주)맘모스주유소)),서울특별시 종로구 종로 26 SK빌딩 (서린동),2024-07-26
공업용수,대구광역시 북구 검단동 498번지 31호 (도로명 : 대구광역시 북구 검단공단로 107 (검단동)),대구광역시 북구 검단공단로 107 (검단동),2024-07-26
생활용수,대구광역시 북구 침산동 13번지 49호 현대오일뱅크(주)직영 경대셀프주유소 (도로명 : 대구광역시 북구 중앙대로 601 현대오일뱅크(주)직영 경대셀프주유소 (침산동)),충청남도 서산시 대산읍 평신2로 182,2024-07-26
생활용수,대구광역시 북구 구암동 831번지 7호 (도로명 : 대구광역시 북구 구암로 232 (구암동)),대구광역시 동구 송라로10길 34 103동 403호 (신천동 화성파크드림 이스트밸리),2024-07-26
생활용수,대구광역시 북구 동호동 172번지 (도로명 : 대구광역시 북구 호국로 861 (동호동)),대구광역시 북구 동호동 151번지 경북외국어대학 ,2024-07-26
생활용수,대구광역시 북구 태전동 409번지 7호 송림프라자 (도로명 : 대구광역시 북구 칠곡중앙대로 309 (태전동송림프라자)),   ,2024-07-26
생활용수,대구광역시 북구 산격동 1220번지 21호 성남목욕탕 (도로명 : 대구광역시 북구 연암공원로32길 63-2 (산격동)),대구광역시 북구 산격로 81 (산격동),2024-07-26
농업용수,대구광역시 북구 동호동 557번지 ,대구광역시 북구 옥산로 65 (침산동 북구청),2024-07-26
생활용수,대구광역시 북구 노원동3가 883번지 (도로명 : 대구광역시 북구 노원로 28 (노원동3가)),대구광역시 북구 중앙대로 591 208동 1502호 (침산동침산동코오롱하늘채),2024-07-26
생활용수,대구광역시 북구 동호동 43번지 ,   ,2024-07-26
생활용수,대구광역시 북구 구암동 695번지 3호 칠곡청구타운 (도로명 : 대구광역시 북구 학정로 271 (구암동칠곡청구타운)),대구광역시 북구 학정로 271 (구암동 칠곡청구타운 관리사무소),2024-07-26
생활용수,대구광역시 북구 태전동 614번지 1호 (도로명 : 대구광역시 북구 칠곡중앙대로46길 33 (태전동)),대구광역시 북구 칠곡중앙대로46길 33 (태전동),2024-07-26
생활용수,대구광역시 북구 칠성동2가 2번지 5호 (도로명 : 대구광역시 북구 옥산로 103 (칠성동2가)),대구광역시 북구 옥산로 103 운동시설동 비101호 (칠성동2가 침산1차푸르지오아파트),2024-07-26
생활용수,대구광역시 북구 태전동 산 9번지 대구과학대 ,대구광역시 북구 영송로 47 (태전동대구과학대학),2024-07-26
생활용수,대구광역시 북구 고성동3가 133번지 1호 (도로명 : 대구광역시 북구 원대로 66 (고성동3가)),   ,2024-07-26
생활용수,대구광역시 북구 태전동 88번지 (도로명 : 대구광역시 북구 태전로19길 18 (태전동)),대구광역시 서구 달서천로61안길 9-8 (비산동),2024-07-26
생활용수,대구광역시 북구 복현동 337번지 5호 (도로명 : 대구광역시 북구 복현로 7 (복현동)),대구광역시 북구 복현로 7 (복현동),2024-07-26
생활용수,대구광역시 북구 검단동 1393번지 167호 축산물 도매시장 (도로명 : 대구광역시 북구 검단북로11길 11 (검단동)),대구광역시 북구 연암로 40 대구광역시 산격청사 (산격동),2024-07-26
생활용수,대구광역시 북구 도남동 417번지 ,   ,2024-07-26
생활용수,대구광역시 북구 동천동 956번지 3호 (도로명 : 대구광역시 북구 팔거천동로 197 (동천동)),대구광역시 수성구 달구벌대로 3280 105동 1603층 (신매동 시지효성백년가약1단지아파트),2024-07-26
공업용수,대구광역시 북구 팔달동 524번지 19호 (도로명 : 대구광역시 북구 칠곡중앙대로 25 (팔달동)),대구광역시 북구 칠곡중앙대로 25 (팔달동),2024-07-26
공업용수,대구광역시 북구 노원동3가 58번지 3호 (주)홈센타 (도로명 : 대구광역시 북구 노원로25길 65 (노원동3가(주)홈센타)),대구광역시 북구 노원로25길 65 (노원동3가),2024-07-26
생활용수,대구광역시 북구 노원동3가 484번지 1호 (도로명 : 대구광역시 북구 팔달북로 90 (노원동3가)),   ,2024-07-26
생활용수,대구광역시 북구 산격동 794번지 대산목욕탕 (도로명 : 대구광역시 북구 연암로 127 (산격동대산목욕탕)),대구광역시 달서구 달구벌대로378길 129 (두류동),2024-07-26
생활용수,대구광역시 북구 매천동 526번지 (도로명 : 대구광역시 북구 매천로 63 (매천동)),대구광역시 북구 매천로 63 (매천동),2024-07-26
공업용수,대구광역시 북구 읍내동 394번지 7호 (도로명 : 대구광역시 북구 칠곡중앙대로126길 1 (읍내동)),대구광역시 수성구 달구벌대로 2435 107동 1502호 (범어동 두산위브더제니스),2024-07-26
공업용수,대구광역시 북구 노원동3가 520번지 1호 신진레미콘(주) (도로명 : 대구광역시 북구 3공단로 5 (노원동3가신진레미콘(주))),대구광역시 북구 3공단로 5 (노원동3가신진레미콘(주)),2024-07-26
생활용수,대구광역시 북구 읍내동 1119번지 1호 구남목욕탕 (도로명 : 대구광역시 북구 구암로17길 7 (읍내동 구남목욕탕)),   ,2024-07-26
공업용수,대구광역시 북구 복현동 539번지 125호 (도로명 : 대구광역시 북구 검단로 12 (복현동)),대구광역시 북구 검단로 12 (복현동),2024-07-26
생활용수,대구광역시 북구 검단동 1016번지 5호 (도로명 : 대구광역시 북구 검단로 174 (검단동)),대구광역시 수성구 무학로 203 (지산동 대구운수연수원),2024-07-26
생활용수,대구광역시 북구 매천동 476번지 2호 (도로명 : 대구광역시 북구 매천로동17길 2 (매천동)),대구광역시 북구 사수로 579 (팔달동),2024-07-26
생활용수,대구광역시 북구 동천동 971번지 3호 (도로명 : 대구광역시 북구 동암로12길 16-5 (동천동)),경상북도 경산시 중앙로17길 45-1 303호 (중방동),2024-07-26
생활용수,대구광역시 북구 산격동 1421번지 8호 (도로명 : 대구광역시 북구 산격로 18 (산격동)),대구광역시 북구 산격로 18 (산격동),2024-07-26
생활용수,대구광역시 북구 관음동 474번지 7호 (도로명 : 대구광역시 북구 관음중앙로 46-10 (관음동)),대구광역시 북구 관음중앙로 46-10 (관음동),2024-07-26
생활용수,대구광역시 북구 노원동1가 38번지 (도로명 : 대구광역시 북구 침산남로7길 45-17 (노원동1가)),대구광역시 달서구 달구벌대로 1726-7 102호 (두류동우방연립주택),2024-07-26
생활용수,대구광역시 북구 산격동 1621번지 (도로명 : 대구광역시 북구 유통단지로 45 (산격동 유통단지전자관)),대구광역시 북구 유통단지로 45 (산격동 유통단지전자관),2024-07-26
생활용수,대구광역시 북구 태전동 77번지 (도로명 : 대구광역시 북구 태전로 117 (태전동)),대구광역시 북구 태전로 117 (태전동),2024-07-26
생활용수,대구광역시 북구 산격동 1154번지 13호 동신목욕탕 (도로명 : 대구광역시 북구 연암공원로 57 (산격동)),경상북도 구미시 상모로 55 501호 (상모동),2024-07-26
생활용수,대구광역시 북구 태전동 1112번지 (도로명 : 대구광역시 북구 학정로 50 (태전동)),대구광역시 수성구 범어천로 180 102동 702호 (범어동화성파크드림),2024-07-26
생활용수,대구광역시 북구 서변동 1090번지 1호 (도로명 : 대구광역시 북구 망월길 34-1 (서변동)),대구광역시 북구 망월길 34-1 (서변동),2024-07-26
농업용수,대구광역시 북구 도남동 733번지 ,대구광역시 북구 옥산로 65 (침산동 북구청),2024-07-26
생활용수,대구광역시 북구 칠성동2가 98번지 16호 (도로명 : 대구광역시 북구 칠성로1길 19 (칠성동2가)),대구광역시 북구 칠성로1길 19 (칠성동2가),2024-07-26
생활용수,대구광역시 북구 조야동 11번지 (도로명 : 대구광역시 북구 조야로12길 93 (조야동)),대구광역시 북구 조야로7길 27-4 (조야동),2024-07-26
생활용수,대구광역시 북구 태전동 1076번지 1호 (도로명 : 대구광역시 북구 태암남로 38 (태전동)),대구광역시 북구 태암남로 38 (태전동),2024-07-26
생활용수,대구광역시 북구 산격동 1668번지 (도로명 : 대구광역시 북구 유통단지로14길 22 (산격동 일반의류관)),인천광역시 남동구 청능대로 596 논현푸르지오씨티 (논현동),2024-07-26
공업용수,대구광역시 북구 태전동 832번지 1호 (도로명 : 대구광역시 북구 칠곡중앙대로 174 (태전동)),대구광역시 북구 칠곡중앙대로 174(태전동),2024-07-26
생활용수,대구광역시 북구 금호동 817번지 ,대구광역시 수성구 청호로46길 16 205동 807호 (황금동),2024-07-26
생활용수,대구광역시 북구 복현동 160번지 7호 복현2차서한타운 (도로명 : 대구광역시 북구 공항로15길 8 (복현동)),대구광역시 북구 공항로15길 8 (복현동 복현2차서한타운),2024-07-26
공업용수,대구광역시 북구 매천동 269번지 11호 (도로명 : 대구광역시 북구 칠곡중앙대로 132 (매천동)),대구광역시 북구 칠곡중앙대로 132 (매천동),2024-07-26
생활용수,대구광역시 북구 대현동 229번지 1호 (도로명 : 대구광역시 북구 대현로 29 (대현동)),대구광역시 북구 대현로 29 (대현동),2024-07-26
공업용수,대구광역시 북구 산격동 794번지 5호 (도로명 : 대구광역시 북구 연암로 119 (산격동)),대구광역시 북구 연암로 119 (산격동),2024-07-26
생활용수,대구광역시 북구 관음동 354번지 (도로명 : 대구광역시 북구 관음로 127 (관음동)),대구광역시 달서구 월암로 21 (월성동),2024-07-26
농업용수,대구광역시 북구 읍내동 91번지 1호 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
농업용수,대구광역시 북구 학정동 864번지 5호 ,대구광역시 북구 칠곡중앙대로136길 47 (동호동),2024-07-26
농업용수,대구광역시 북구 금호동 490번지 5호 ,대구광역시 수성구 달구벌대로 2435 109동 1505호 (범어동 두산위브더제니스),2024-07-26
생활용수,대구광역시 북구 읍내동 1075번지 (도로명 : 대구광역시 북구 대천로 31 (읍내동)),대구광역시 수성구 청호로84안길 2 101동 1105호 (범어동범어청구하이츠),2024-07-26
공업용수,대구광역시 북구 침산동 1027번지 4호 (도로명 : 대구광역시 북구 노원로 226 (침산동)),대구광역시 북구 중앙대로 591 207동 1205호 (침산동 침산동코오롱하늘채),2024-07-26
