대분류,파일명,컬럼명,유일값 수,범주 집합,같은 대분류 평균 유사도,다른 대분류 평균 유사도,유사도 차이
문화관광,2_전국관광지정보표준데이터.csv,접객시설정보,109,"['관리동', '여행자쉼터', '매점+식당+카페+기념품점', '카페+야외쉼터', '휴게음식점', '매표소(안내)', '공예문화센터 로비', '주차장+템플스테이', '4D영상관+홍길동전시관', '관광식당']",0.062173554710474296,0.029952077098502256,0.03222147761197204
문화관광,2_전국관광지정보표준데이터.csv,운동및오락시설정보,178,"['게이트볼장+야구장', '운동장+눈썰매장', '워터파크', '회원제 골프장(36홀, 1개소)+퍼브릭골프장(18홀, 1개소)+유희 시설(경주월드) 등', '부곡온천르네상스관', '물놀이장', '다목적운동장 계획중', '다목적운동장+체력단련장', '슬로프2면+ 수경시설', '산책로+운동시설']",0.06176631999035481,0.03568169486259508,0.026084625127759734
문화관광,2_전국관광지정보표준데이터.csv,숙박시설정보,149,"['콘도미니엄', '호텔+모텔', '생태체험관', '향토음식점, 노변휴게소', '호텔+콘도미니엄+국민호텔+교육원+여관+펜션', '경천대펜션', '생태체험민박', '구문소마을펜션 3동', '야영장+모텔', '캐라반 6인용+캐빈하우스+캐라반 8인용']",0.059228322726937455,0.032408914510994785,0.02681940821594267
문화관광,2_전국관광지정보표준데이터.csv,관리기관전화번호,616,"['054-571-4675', '055-392-3314', '033-560-2053', '042-270-5583', '041-753-8701', '032-832-0915', '061-380-2793', '033-245-2211', '041-634-6952', '041-630-1221']",0.058411482972612394,0.0351692830782414,0.023242199894370992
문화관광,2_전국관광지정보표준데이터.csv,지정일자,590,"['2000-01-02', '2006-11-25', '1980-05-29', '2003-02-18', '2006-06-01', '1984-11-28', '2007-07-03', '2011-04-09', '2008-01-01', '2005-09-23']",0.058294233415100816,0.03490565021217764,0.023388583202923176
문화관광,2_전국관광지정보표준데이터.csv,공공편익시설정보,363,"['화장실+동백열차', '화장실+주차장+상하수도시설', '향토전시관(관리실)+화장실(3동)+주차장', '유모차대여소+수유실+의무실+고객지원센터+물품보관소', '체험시설', '화장실(6동)+주차장(4개소)+취사장(5동)+관리사업소(1동)', '주차장+화장실+수유실', '작은 도서관+ 안내데스크', '없음(공원화장실 이용)', '화장실+주차장+카페테리아']",0.05648485609336531,0.028026888755770144,0.028457967337595164
문화관광,2_전국관광지정보표준데이터.csv,지원시설정보,42,"['상가+완충녹지+원형보존녹지', '영남알프스복합웰컴센터', '해양보호구역 홍보관', '사무소', '방문자센터', '상가+보전녹지+기타녹지', '진하행정봉사실', '녹지+사찰+하천 및 저수지', '매점', '관리원 숙소+하천+유보지+녹지']",0.05565185425408583,0.027666080960184674,0.027985773293901155
문화관광,2_전국관광지정보표준데이터.csv,관광지소개,781,"['수려하고 맑은물이 흐르는 치산계곡이 있어 여름철 30,000명 이상이 찾는 관광명소임', '조선시대 문신 설강 유사 선생이 지은 정자로 큰 소리로 노래 부른다라는 의미를 담고 있다고 하며 광산 8경 중 한 곳으로 선정될 만큼 풍광이 수려하고 유서깊은 곳이다.', '백암산 온천수를 이용한 온천관광지', '프랑스의 정감 있는 프로방스마을을 그래도 재현했다. 밤이되면 1000만여개의 화려한 조명과 자신만의 감각을 살려 사진을 찍을 수 있는 셀프스튜디오가 있다.', '중부권 최대의 온천관광지로 워터파크, 휴양콘도, 천안예술의 전당이 있음.', '조선시대 행정기관의 하나로 상급기관인 목(牧)과 하급기관인 군(郡) · 현(縣) 사이에서 행정을 담당했던 관청', '조선을 개국한 태조가 함경도 용연지역에 있는 자신의 태를 이 산에 옮겨와 태자의 태와 함께 안치하여 나라의 태평성대를 염원한데서 그 유래를 찾을 수 있다.', '섬진강으로 흘러드는 보성강은 잔잔한 물줄기지만 다른 곳에 비해 덜 알려져 자연 그대로의 모습을 간직하고 있다. 보성강으로 흘러드는 태안사계곡은 이런 보성강의 아기자기한 특징을 잘 드러내주는 계곡이다.태안사 입구에서 절까지 걸어가는 2㎞쯤 되는 계곡길은 여느 계곡길보다 짧지만 이런 기대를 충족시켜주기에 충분한 자격을 갖고 있다. 고로쇠나무, 떡갈나무, 단풍나무, 소나무가 우거져 있고, 차가운 계곡에 발을 담그면 한여름의 무더위는 순식간에 사라진다.태안사의 현관 역할을 하는 능파각(凌波閣)의 운치있는 다리겸 누각도 계곡의 풍광을 즐기기 좋은 곳이다. 태안사계곡은 아주 빼어난 바위봉들은 없어도 아늑하고 편안한 분위기만으로 충분히 더위를 잊을 수 있는 곳이다.능파각(凌波閣)이라는 말은 아름다운 여인의 우아하고 가벼운 걸음걸이를 뜻한다고 한다. 능파각은 서기 850년 혜철선사가 태안사를 창건할때부터 지어졌던 목조 건물로서 몇 번의 복원과 보수끝에 지금의 모습을 유지하고 있는 것이다.능파각을 건너 숲으로 접어들면 이내 일주문이 나오면서 태안사의 정경이 한눈에 들어온다. 태안사는 지금은 규모가 그리 크지 않지만 구산선문의 유서 깊은 절로 한때 화엄사를 거느리기도 했었다. 경내에는 지름 40m쯤 되는 큰 연못 가운데 부처님 사리를 모셨다는 삼층석탑이 있어 색다른 느낌이 든다.', '유서깊은 불교문화의 역사와 수려한 자연경관를 간직한 불갑사 지구의 관광명소이며 관광수요에 능동적으로 대처할 수 있는 휴식공간 제공', '익산 서동공원 일원']",0.05435221134517493,0.03872951917506842,0.015622692170106506
문화관광,2_전국관광지정보표준데이터.csv,소재지지번주소,667,"['부산광역시 중구 광복동2가 1-2', '경상남도 거제시 동부면 구천리 산103', '전라남도 담양군 가사문학면 지곡리 123', '경기도 광명시 가학동 27', '대구광역시 북구 구암동 775-6', '안성시 보개면 복평리 303-3', '경상남도 양산시 하북면 용연리 291', '전라남도 곡성군 오곡면 송정리 60-2', '안성시 대덕면 내리 399-5', '부산광역시 해운대구 우동 620-3']",0.05372474370957185,0.038701676843096965,0.015023066866474886
문화관광,2_전국관광지정보표준데이터.csv,소재지도로명주소,721,"['전라북도 남원시 만인로 3', '경상남도 거제시 계룡로 61', '강원도 철원군 갈말읍 직탕길 32', '인천광역시 남동구 포구로 2-9(논현동)', '충청북도 충주시 앙성면 산전장수1길 103', '전라남도 순천시 도서관길 33(동외동)', '인천광역시 부평구 굴포로 151', '강원특별자치도 정선군 여량면 아우라지길 69', '부산광역시 동구 영초윗길 22-1', '서울특별시 용산구 신흥로22가길 33']",0.053723577928387264,0.038709403660832004,0.01501417426755526
문화관광,2_전국관광지정보표준데이터.csv,관리기관명,332,"['서울특별시 은평구청', '영월군시설관리공단', '한국가스공사', '광양시 휴양림사업소', '전라남도 영광군청', '충청남도 계룡시', '광양 해달별천문대', '한국가구박물관', '경기도 여주시청', '경상남도 함양군청']",0.05339878310273355,0.027300485953351116,0.026098297149382433
문화관광,2_전국관광지정보표준데이터.csv,관광지명,818,"['홍주의사총', '몰운대', '구드래관광지', '한국가구박물관', '주남저수지', '장계관광지', '소래철교', '하동코리아짚와이어', '순천생태마을', '40계단테마거리']",0.05339588035286936,0.038531348500012746,0.014864531852856612
문화관광,2_전국관광지정보표준데이터.csv,제공기관명,158,"['충청남도 계룡시', '경상북도 영덕군', '제주특별자치도 제주시', '강원특별자치도 양구군', '구미도시공사', '부산광역시 동구', '경기도 남양주시', '경상남도 합천군', '경상남도 하동군', '경기도 용인시']",0.034709773333943414,0.0228038485736966,0.011905924760246815
문화관광,2_전국관광지정보표준데이터.csv,제공기관코드,158,"['4950000', '4331000', '4970000', '4960000', '5680000', '3250000', '4600000', '4321000', '3400000', '3330000']",0.03372938117708067,0.021852117232171762,0.01187726394490891
문화관광,2_전국관광지정보표준데이터.csv,데이터기준일자,130,"['2024-07-25', '2024-02-20', '2024-02-13', '2024-04-25', '2024-06-10', '2023-07-14', '2023-12-27', '2022-12-07', '2023-10-25', '2024-06-17']",0.028770044291602598,0.02382901722202379,0.004941027069578809
문화관광,2_전국관광지정보표준데이터.csv,관광지구분,2,"['관광단지', '관광지']",0.0005297048680203779,0.01408717168130251,-0.013557466813282132
보건의료,5-1_시군구지역코드.csv,시군구명,235,"['광주시', '송파구', '청주시 청원구', '미추홀구', '강릉시', '성동구', '정선군', '중랑구', '노원구', '남해군']",0.051628278740423195,0.04942293284699836,0.0022053458934248316
보건의료,5-2_시도지역코드.csv,지역명,17,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0.049826751175903114,0.04918579300155704,0.0006409581743460763
보건의료,119_국민건강보험공단_당뇨병의료이용률_20221231.CSV,시군구,229,"['광주시', '송파구', '청주시 청원구', '미추홀구', '전체', '강릉시', '성동구', '정선군', '중랑구', '노원구']",0.04800744703573655,0.048706405693308225,-0.0006989586575716772
보건의료,120_국민건강보험공단_고혈압의료이용률_20221231.CSV,시군구,229,"['광주시', '송파구', '청주시 청원구', '미추홀구', '전체', '강릉시', '성동구', '정선군', '중랑구', '노원구']",0.04800744703573655,0.048706405693308225,-0.0006989586575716772
보건의료,112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,시군구,250,"['부산수영구', '광주시', '송파구', '강릉시', '성동구', '부산해운대구', '정선군', '광주서구', '부산영도구', '중랑구']",0.04119172883437255,0.049517078463582304,-0.008325349629209756
보건의료,109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,지역,16,"['전남', '경기', '광주', '경북', '경남', '대구', '울산', '부산', '서울', '제주']",0.038139814892757064,0.03174953916821637,0.006390275724540692
보건의료,4_건강보험심사평가원_의료기관별 감염병 및 중증환자 치료시설 현황 2022.6.csv,시도명,17,"['충청남도', '경상남도', '부산광역시', '전라북도', '전라남도', '광주광역시', '대전광역시', '세종특별자치시', '제주특별자치도', '경상북도']",0.0353872245633153,0.010254969477289646,0.02513225508602565
보건의료,119_국민건강보험공단_당뇨병의료이용률_20221231.CSV,시도,18,"['충청남도', '경상남도', '부산광역시', '전라북도', '전라남도', '광주광역시', '대전광역시', '세종특별자치시', '제주특별자치도', '경상북도']",0.03510224424164337,0.023479940601909867,0.011622303639733503
보건의료,120_국민건강보험공단_고혈압의료이용률_20221231.CSV,시도,18,"['충청남도', '경상남도', '부산광역시', '전라북도', '전라남도', '광주광역시', '대전광역시', '세종특별자치시', '제주특별자치도', '경상북도']",0.03510224424164337,0.023479940601909867,0.011622303639733503
보건의료,4_건강보험심사평가원_의료기관별 감염병 및 중증환자 치료시설 현황 2022.6.csv,시군구명,228,"['광주시', '송파구', '청주시 청원구', '미추홀구', '강릉시', '성동구', '정선군', '중랑구', '노원구', '남해군']",0.034642693513355347,0.02497641074757857,0.009666282765776777
보건의료,31_건강보험심사평가원_요양기관 개설 현황_20231231.csv,시도명,17,"['충청남도', '경상남도', '부산광역시', '전라북도', '전라남도', '광주광역시', '대전광역시', '세종특별자치시', '제주특별자치도', '경상북도']",0.03289483930075531,0.009922548411383498,0.02297229088937181
보건의료,102_질병관리청_인체유래물은행현황_20240901.csv,소 재 지,82,"['서울특별시 구로구 구로동로 148', '서울특별시 동작구 흑석로 102', '전라남도 화순군 화순읍 서양로 322', '서울특별시 종로구 대학로 71, 대학로 101, 율곡로 214', '인천광역시 부평구 동수로 56', '부산광역시 부산진구 복지로 75', '강원도 춘천시 삭주로 77', '제주특별자치도 제주시 아란13길 15', '부산광역시 서구 대신공원로 26', '서울특별시 서대문구 연세로 50-1']",0.03271866307193247,0.04155617759741263,-0.008837514525480164
보건의료,102_질병관리청_인체유래물은행현황_20240901.csv,기 관 명,84,"['고신대학교 복음병원', '화순전남대학교병원', '연세대학교치과대학병원', '한국생명공학연구원', '한림대학교 강남성심병원', '울산공업학원울산대학교병원', '이화의대부속서울병원', '연세대학교 의과대학 세브란스병원', '중앙대학교병원', '한양대학교병원류마티스병원']",0.03257082587470245,0.041540679528709795,-0.008969853654007348
보건의료,113_국민건강보험공단_신규 중증(암)등록환자의 암유형별 등록인원 현황_20221231.csv,시도,18,"['충청남도', '경상남도', '부산광역시', '전라북도', '전라남도', '광주광역시', '대전광역시', '세종특별자치시', '제주특별자치도', '경상북도']",0.0322514583521363,0.022239177203069928,0.010012281149066375
보건의료,31_건강보험심사평가원_요양기관 개설 현황_20231231.csv,도로명주소,95393,"['충청남도 당진시 서부로 56 (채운동)', '경기도 양평군 옥천면 옥천체육공원길 34 ((옥천리 779,781))', '경기도 수원시 영통구 중부대로 437, 1층 (원천동, 홈플러스)', '서울특별시 종로구 종로 78, 502호 (종로2가, 미려빌딩)', '서울특별시 강남구 도산대로 109, 2층 (신사동)', '전라북도 정읍시 우암로 21 (시기동)', '서울특별시 종로구 종로 120, 5층 (종로3가)', '인천광역시 부평구 부평대로 21, 금남빌딩 102호 (부평동)', '경상남도 진주시 진양호로123번길 6 (평거동)', '강원특별자치도 원주시 북원로 2235-6, 4층 (단계동, 남원주타워)']",0.032208991681127494,0.04150081512725144,-0.009291823446123948
보건의료,109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,상세주소,78,"['화순전남대학교병원', '가톨릭대학교 성빈센트병원 6층 (지동)', '35 완화의료병동 (아라일동)', '(신동)', '청주의료원 (사직동)', '별관2층 완화병동 (금촌동)', '93병동(완화의료병동) (전하동)', '남천병원 6층 호스피스완화의료병동 (산본동)', '서울의료원 (신내동)', '경남지역암센터 3층 호스피스완화병동 (칠암동)']",0.03200338843814573,0.04120274234824133,-0.009199353910095603
보건의료,98_강원특별자치도_의료시설 현황_20230821.csv,연락처,1690,"['033-521-0266', '033-655-7171', '033-647-6733', '033-647-9966', '033-452-5222', '033-262-7007', '033-259-8105', '033-731-9995', '033-646-2048', '033-458-8411']",0.03185657358709569,0.041446011594998916,-0.009589438007903225
보건의료,121_국민건강보험공단_복지용구공급업체 정보검색_20240630.csv,업체명,255,"['영화의료기', '주식회사 남양금속', '에스티에이엠 모바일네트웍스', '(주)신동아이에스', '메디케어코리아', '서진시스템', '엑스디오', '보성메디케어', '쌍방울', '제일의료기']",0.0318534036186747,0.04138598908186743,-0.00953258546319273
보건의료,110_의료분쟁 조정분석 현황(2015.6.1.)_.csv,제목,89,"['갑상선암에 대한 수술을 하는 과정에서 암 전부에 대한 절제가 이루어지지 않아 추가수술을 받은 사례', '유산수술시 자궁, 소장, 대장 천공 발생한 사례', '관상동맥조영술 후 심혈관 박리로 인한 심근경색으로 사망한 사례', '척추수술 후 증상 악화 및 과다한 통풍약 투여 후 부작용이 발생한 사례', '가슴통증으로 야간 응급실을 찾아갔으나 급한 상황이 아니라며 별다른 치료를 해주지 않아 심근경색으로 사망한 사례', '우측 무릎 미세천공술 등 수술 후에 발생한 심부정맥혈전증의 진단이 늦어진 사례', '무릎관절수술 후 급성 심근경색으로 사망한 사례', '한약 복용 후 피부질환이 발생한 사례', '전립선 치료로 실시한 항문마사지 후 치질이 발생한 사례', '치아 브리지 시술 이후 저작기능 장애가 발생한 사례']",0.03185276765033114,0.0413756917174713,-0.009522924067140157
보건의료,110_의료분쟁 조정분석 현황(2015.6.1.)_.csv,사안쟁점내용,89,"[' 진료상 과실\r - 진단, 치료 방법 선택 및 주사 시술의 적절성\r\r 인과관계\r - 진료상 과실과 신청인이 호소하는 증상 사이의 인과관계', ' 수술상 과실 유무 \r\r 경과관찰 및 처치상 과실 유무\r\r 지도설명의무 위반 유무', ' 마취상 과실 유무\r\r 진단상 과실 유무\r\r 설명의무 위반 유무', ' 진료상 과실의 유무 \r - 망인에 대한 CT조영술을 시행할 필요가 있었는지 \r - CT조영술을 시행하기 전 예방조치 및 시행 후 조치는 적절하게 이루어졌는지\r\r 인과관계 유무\r - 진료상 과실과 망인의 사망 사이의 인과관계', ' 자기공명척수조영술 및 경막외 혈액봉합술 상의 과실 유무\r\r 경막외 혈액봉합술 후 발생한 신청인의 증상에 대한 처치의 적절성\r\r 일련의 의료행위에서의 과실과 신청인에게 발생한 악결과 사이의 인과관계 유무\r\r 경막외 혈액봉합술의 합병증에 대한 설명의무 위반 여부', ' 진단 및 처치상 과실 유무\r - 초진시 진단상 과실 유무 및 치료방법 선택의 적절성 여부\r - 2013. 7. 5. 신청인이 타석 1개가 자연배출되었음을 알린 이후 진단 및 처치상 과실 유무 \r\r 설명의무 이행 여부\r\r 손해범위', ' 진료상 과실의 유무\r - 피신청인 병원 의료진의 신청인에 대한 진단 과정이 적절하였다고 할 수 있는지 여부', ' 간 생검술이 필요성 및 생검 과정의 의료적 과실 유무\r다른 검사들을 시행한 상태에서 간 생검술을 반드시 할 필요가 있었는지 여부와 생검 과정에 있어 의료적인 과실의 존재 유무  \r\r 출혈의 원인은 무엇이며 출혈 이후 조치의 적절성 여부\r출혈의 정확한 원인과 출혈 이후에 신청인측의 조치가 적절하였는지 여부\r\r 책임제한 사유\r신청인의 책임을 제한할 사유가 존재하는지, 존재한다면 어느 정도의 비율로 인정할 것인지', ' 수술 및 경과관찰 과정에서 피신청인 병원 의료진의 과실 유무\r\r 피신청인 병원 의료진의 과실과 신청인에게 발생한 악결과 사이의 인과관계\r\r 설명의무의 위반 여부\r\r 책임제한 사유', ' 통증유발점 주사상 과실 유무 \r\r 투약상 과실 유무\r\r 진단과 처치상 과실 및 인과관계 유무']",0.03185276765033114,0.0413756917174713,-0.009522924067140157
보건의료,31_건강보험심사평가원_요양기관 개설 현황_20231231.csv,암호화된요양기호,101536,"['JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxNzAyIzIxIyQxIyQxIyQ5MiQzNjE0ODEjODEjJDEjJDYjJDgz', 'JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxNzAyIzIxIyQxIyQ5IyQ4OSQyNjEwMDIjNDEjJDEjJDgjJDgz', 'JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzMxIyQxIyQ3IyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz', 'JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ5OSQzNjEyMjIjNDEjJDEjJDgjJDgz', 'JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMzUxIzIxIyQxIyQ1IyQ4OSQ0NjE0ODEjNTEjJDEjJDIjJDgz', 'JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzExIyQxIyQ3IyQ3MiQ0NjE0ODEjNDEjJDEjJDQjJDgz', 'JDQ4MTg4MSM1MSMkMSMkMCMkNzIkNTgxOTYxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDQjJDgz', 'JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQyIyQxIyQwMCQ0NjE0ODEjNTEjJDEjJDYjJDgz', 'JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQxIyQxIyQwMyQzNjE0ODEjNDEjJDEjJDQjJDgz', 'JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDgjJDgz']",0.031812042417633954,0.04124584977710784,-0.009433807359473884
보건의료,109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,문의전화,78,"['052-250-7847', '055-270-1000', '043-269-6910', '02-802-9313', '031-900-3342', '062-602-6228', '051-601-6113', '031-536-8998', '032-290-3638', '064-796-2244']",0.03179956305222145,0.04120201591949218,-0.009402452867270726
보건의료,110_의료분쟁 조정분석 현황(2015.6.1.)_.csv,키워드,90,"['MRI, 추간판돌출, 퇴행성 척추증', '하체 부종, 신장, 용천혈, 척추신경', 'T관, 담도 파열, 복막염, 패혈증', '종양절제술, 원시신경외배엽종양', '충수돌기절제술, 범복마성 농양, 충수돌기염', '갑상선 절제술, 늑골 절제술', '복막염, 탈장, 충수염', '무릎관절 수술, 관상동맥조영술, 심근경색', '관상동맥조영술, 심혈관, 심근경색, 심혈관 폐색', 'ERCP, 담췌관조영술, 패혈증']",0.031795969839799716,0.04120201591949218,-0.009406046079692462
