파일명,컬럼명,공통 특성 그룹,대표 특성
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,연간 체중조절 시도율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,아침식사 실천율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,영양표시 활용률,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,스트레스 인지율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,우울감 경험률,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,어제 점심식사 후 칫솔질 실천율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,주관적 건강인지율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,동승차량 뒷좌석 안전벨트 착용률,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,자동차 또는 오토바이 운전자의 연간 음주운전 경험률,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,혈압수치 인지율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,고혈압 진단 경험률(30세 이상),9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,고혈압 진단 경험자(30세 이상)의 치료율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,혈당수치 인지율,9,대표
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,당뇨병 진단 경험률(30세 이상),9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,당뇨병 진단 경함자(30세 이상)의 치료율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,뇌졸중(중풍) 조기증상 인지율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,심근경색증 조기증상 인지율,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,비고,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,담당부서,9,
107_제주특별자치도_연도별건강조사주요지표현황_20240227.csv,데이터기준일자,9,
98_강원특별자치도_의료시설 현황_20230821.csv,개설연도,9,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,연령대,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,성별,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,질환,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,BMI(kg/m2),10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,근육량(kg),10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,체지방량(kg),10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,체지방률(%),10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,복부둘레(cm),10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,복부지방률(%),10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,내장지방(cm2),10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,BMI(kg/m2).1,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,근육량(kg).1,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,체지방량(kg).1,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,체지방률(%).1,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,복부둘레(cm).1,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,복부지방률(%).1,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,내장지방(cm2).1,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,BMI(kg/m2).2,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,근육량(kg).2,10,대표
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,체지방량(kg).2,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,체지방률(%).2,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,복부둘레(cm).2,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,복부지방률(%).2,10,
108_경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231.csv,내장지방(cm2).2,10,
109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,기관명,11,
109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,기관종류,11,
109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,지역,11,
109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,우편번호,11,
109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,주소,11,대표
109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,상세주소,11,
109_국립암센터 호스피스완화의료 전문기관 리스트_20170412.csv,문의전화,11,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,신고일시,12,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,접수일시,12,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,수계,12,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,지원여부,12,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,주소,12,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,상세주소,12,대표
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,등록일시,12,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,수정일자,12,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,삭제여부,12,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,첨부파일,12,
10_한국환경공단_수질오염 방제정보_수질오염 사고현황_20240718.csv,등록기관,12,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,진료과목,13,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,제목,13,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,키워드,13,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,처리결과,13,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,사고발생경위,13,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,분쟁내용,13,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,사안쟁점내용,13,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,감정결과내용,13,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,손해배상책임내용,13,
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,손해배상책임범위,13,대표
110_의료분쟁 조정분석 현황(2015.6.1.)..csv,처리결과내용,13,
111_근로복지공단_소속병원진료현황통계_연도별 건강진단 및 작업환경 측정 현황_20231231.csv,년도,14,
111_근로복지공단_소속병원진료현황통계_연도별 건강진단 및 작업환경 측정 현황_20231231.csv,일반검진(명),14,
111_근로복지공단_소속병원진료현황통계_연도별 건강진단 및 작업환경 측정 현황_20231231.csv,특수검진(명),14,대표
111_근로복지공단_소속병원진료현황통계_연도별 건강진단 및 작업환경 측정 현황_20231231.csv,채용신검(명),14,
111_근로복지공단_소속병원진료현황통계_연도별 건강진단 및 작업환경 측정 현황_20231231.csv,보건관리대행(명),14,
111_근로복지공단_소속병원진료현황통계_연도별 건강진단 및 작업환경 측정 현황_20231231.csv,작업환경측정(개소),14,
112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,진료년도,15,대표
112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,시도,15,
112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,시군구,15,
112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,환자수,15,
112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,명세서청구건수,15,
112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,입내원일수,15,
117_건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231.csv,진료년도,15,
118_건강보험심사평가원_의원급 표시과목별 상병 통계_20231231.csv,진료년도,15,
122-1_건강보험심사평가원_시군구별 성별 비만 진료 통계 2023.csv,진료년도,15,
122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,진료년도,15,
112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,요양급여비용총액,16,대표
112_건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231.csv,보험자부담금,16,
113_국민건강보험공단_신규 중증(암)등록환자의 암유형별 등록인원 현황_20221231.csv,시도,17,
113_국민건강보험공단_신규 중증(암)등록환자의 암유형별 등록인원 현황_20221231.csv,암유형,17,대표
113_국민건강보험공단_신규 중증(암)등록환자의 암유형별 등록인원 현황_20221231.csv,등록인원수,17,
113_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,의료기관기호,18,대표
113_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,의료기관명,18,
113_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,우편번호,18,
113_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,주소,18,
113_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,전화번호,18,
124_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,의료기관기호,18,
114_건강보험심사평가원_의료행위별 성별 입원외래별 건강보험 진료 통계_20231231.csv,진료년도,19,대표
114_건강보험심사평가원_의료행위별 성별 입원외래별 건강보험 진료 통계_20231231.csv,성별,19,
114_건강보험심사평가원_의료행위별 성별 입원외래별 건강보험 진료 통계_20231231.csv,입원외래구분,19,
118_건강보험심사평가원_의원급 표시과목별 상병 통계_20231231.csv,진료년도,19,
122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,진료년도,19,
114_건강보험심사평가원_의료행위별 성별 입원외래별 건강보험 진료 통계_20231231.csv,행위코드,20,
114_건강보험심사평가원_의료행위별 성별 입원외래별 건강보험 진료 통계_20231231.csv,환자수,20,
114_건강보험심사평가원_의료행위별 성별 입원외래별 건강보험 진료 통계_20231231.csv,명세서청구건수,20,
114_건강보험심사평가원_의료행위별 성별 입원외래별 건강보험 진료 통계_20231231.csv,의료행위총사용량,20,대표
114_건강보험심사평가원_의료행위별 성별 입원외래별 건강보험 진료 통계_20231231.csv,의료행위청구금액,21,대표
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,년월,22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,구분1,22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,구분2,22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,계(총계)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,일반(총계)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,기초(총계)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,경감(총계)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,의료(총계)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,1등급(일반)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,2등급(일반)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,3등급(일반)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,4등급(일반)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,5등급(일반)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,인지지원(일반)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,1등급(기초)(명),22,대표
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,2등급(기초)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,3등급(기초)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,4등급(기초)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,5등급(기초)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,인지지원(기초)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,1등급(감경)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,2등급(감경)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,3등급(감경)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,4등급(감경)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,5등급(감경)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,인지지원(감경)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,1등급(의료)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,2등급(의료)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,3등급(의료)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,4등급(의료)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,5등급(의료)(명),22,
115_국민건강보험공단_복지용구 품목별 이용현황_20240331.csv,인지지원(의료)(명),22,
116_건강보험심사평가원_전문병원 지정 현황_20210101.csv,구분,23,
116_건강보험심사평가원_전문병원 지정 현황_20210101.csv,지정분야,23,대표
116_건강보험심사평가원_전문병원 지정 현황_20210101.csv,의료기관명,23,
116_건강보험심사평가원_전문병원 지정 현황_20210101.csv,소재지,23,
116_건강보험심사평가원_전문병원 지정 현황_20210101.csv,종별,23,
117_건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231.csv,시도,24,대표
117_건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231.csv,진료과목,24,
117_건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231.csv,환자수,24,
117_건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231.csv,명세서청구건수,24,
117_건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231.csv,입내원일수,24,
122-1_건강보험심사평가원_시군구별 성별 비만 진료 통계 2023.csv,시도,24,
122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,시도,24,
117_건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231.csv,요양급여비용총액,25,대표
117_건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231.csv,보험자부담금,25,
118_건강보험심사평가원_의원급 표시과목별 상병 통계_20231231.csv,표시과목,26,
118_건강보험심사평가원_의원급 표시과목별 상병 통계_20231231.csv,주상병코드,26,
118_건강보험심사평가원_의원급 표시과목별 상병 통계_20231231.csv,환자수,26,
118_건강보험심사평가원_의원급 표시과목별 상병 통계_20231231.csv,명세서청구건수,26,
118_건강보험심사평가원_의원급 표시과목별 상병 통계_20231231.csv,입내원일수,26,대표
4_건강보험심사평가원_의료기관별 감염병 및 중증환자 치료시설 현황 2022.6.csv,표시과목,26,
118_건강보험심사평가원_의원급 표시과목별 상병 통계_20231231.csv,요양급여비용총액,27,
118_건강보험심사평가원_의원급 표시과목별 상병 통계_20231231.csv,보험자부담금,27,대표
119_국민건강보험공단_당뇨병의료이용률_20221231.CSV,지표연도,28,대표
119_국민건강보험공단_당뇨병의료이용률_20221231.CSV,시도,28,
119_국민건강보험공단_당뇨병의료이용률_20221231.CSV,시군구,28,
119_국민건강보험공단_당뇨병의료이용률_20221231.CSV,지표명,28,
119_국민건강보험공단_당뇨병의료이용률_20221231.CSV,분모(명),28,
119_국민건강보험공단_당뇨병의료이용률_20221231.CSV,분자(명),28,
119_국민건강보험공단_당뇨병의료이용률_20221231.CSV,지표값(퍼센트),28,
120_국민건강보험공단_고혈압의료이용률_20221231.CSV,지표연도,28,
11_서울의료원 주간 진료 시간표 현황.csv,부서명,29,
11_서울의료원 주간 진료 시간표 현황.csv,부서코드,29,
11_서울의료원 주간 진료 시간표 현황.csv,의료진명,29,
11_서울의료원 주간 진료 시간표 현황.csv,"진료타입 (선택 진료 : Y, 일반 진료 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,"월요일 오전 스케줄 (유 : Y, 무 : N)",29,대표
11_서울의료원 주간 진료 시간표 현황.csv,"월요일 오후 스케줄 (유 : Y, 무 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,"화요일 오전 스케줄 (유 : Y, 무 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,"화요일 오후 스케줄 (유 : Y, 무 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,"수요일 오전 스케줄 (유 : Y, 무 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,"수요일 오후 스케줄 (유 : Y, 무 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,"목요일 오전 스케줄 (유 : Y, 무 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,"목요일 오후 스케줄 (유 : Y, 무 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,"금요일 오전 스케줄 (유 : Y, 무 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,"금요일 오후 스케줄 (유 : Y, 무 : N)",29,
11_서울의료원 주간 진료 시간표 현황.csv,기타 휴진 사유,29,
11_서울의료원 주간 진료 시간표 현황.csv,의료진 전문분야,29,
120_국민건강보험공단_고혈압의료이용률_20221231.CSV,시도,30,
120_국민건강보험공단_고혈압의료이용률_20221231.CSV,시군구,30,대표
120_국민건강보험공단_고혈압의료이용률_20221231.CSV,지표명,30,
120_국민건강보험공단_고혈압의료이용률_20221231.CSV,분모(명),30,
120_국민건강보험공단_고혈압의료이용률_20221231.CSV,분자(명),30,
120_국민건강보험공단_고혈압의료이용률_20221231.CSV,지표값(퍼센트),30,
121_국민건강보험공단_복지용구공급업체 정보검색_20240630.csv,연번,31,대표
121_국민건강보험공단_복지용구공급업체 정보검색_20240630.csv,업체명,31,
121_국민건강보험공단_복지용구공급업체 정보검색_20240630.csv,제조구분,31,
121_국민건강보험공단_복지용구공급업체 정보검색_20240630.csv,주소,31,
5-4_진료정보_감기_시도.csv,발생건수(건),31,
122-1_건강보험심사평가원_시군구별 성별 비만 진료 통계 2023.csv,시군구,32,
122-1_건강보험심사평가원_시군구별 성별 비만 진료 통계 2023.csv,성별,32,
122-1_건강보험심사평가원_시군구별 성별 비만 진료 통계 2023.csv,환자수,32,대표
122-1_건강보험심사평가원_시군구별 성별 비만 진료 통계 2023.csv,입내원일수,32,
122-1_건강보험심사평가원_시군구별 성별 비만 진료 통계 2023.csv,요양급여비용총액,32,
122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,시군구,32,
122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,성별,33,
122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,연령군,33,
122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,환자수,33,대표
122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,입내원일수,33,
122-2_건강보험심사평가원_시군구별 성별 연령군별 비만 진료 통계 2023.csv,요양급여비용총액,33,
123_근로복지공단_산재심사 결정현황_20231231.csv,구분,34,
123_근로복지공단_산재심사 결정현황_20231231.csv,결정,34,대표
123_근로복지공단_산재심사 결정현황_20231231.csv,취소,34,
124_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,의료기관명,35,대표
124_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,우편번호,35,
124_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,주소,35,
124_근로복지공단_산재보험 지정의료기관 현황정보_20231231.csv,전화번호,35,
125_근로복지공단_규모별 산재신청 승인현황_20231231.csv,연도,36,
125_근로복지공단_규모별 산재신청 승인현황_20231231.csv,사업장 규모,36,
125_근로복지공단_규모별 산재신청 승인현황_20231231.csv,신청,36,
125_근로복지공단_규모별 산재신청 승인현황_20231231.csv,승인,36,대표
125_근로복지공단_규모별 산재신청 승인현황_20231231.csv,승인율(퍼센트),36,
127_근로복지공단_업종별 산재신청 승인현황_20231231.csv,연도,36,
126_근로복지공단_지사별 진료비 지급현황_20221231.csv,지사명,37,
126_근로복지공단_지사별 진료비 지급현황_20221231.csv,청구건수,37,대표
126_근로복지공단_지사별 진료비 지급현황_20221231.csv,지급건수,37,
126_근로복지공단_지사별 진료비 지급현황_20221231.csv,총 진료일수,37,
126_근로복지공단_지사별 진료비 지급현황_20221231.csv,총지급액,38,대표
127_근로복지공단_업종별 산재신청 승인현황_20231231.csv,산재 업종별,39,
127_근로복지공단_업종별 산재신청 승인현황_20231231.csv,신청,39,
127_근로복지공단_업종별 산재신청 승인현황_20231231.csv,승인,39,대표
127_근로복지공단_업종별 산재신청 승인현황_20231231.csv,승인율(퍼센트),39,
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,인증번호,40,
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,사업체명,40,
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,관할지사,40,
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,대표자,40,
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,사업자등록번호,40,
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,소재지,40,
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,인증일자,40,
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,전화번호,40,
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,업종 및 주요생산품,40,대표
128_한국장애인고용공단_장애인 표준사업장 현황_20231231.csv,비고,40,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,연도,41,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,회차,41,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,연령대,41,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,응시지역,41,대표
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,합격여부,41,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,학교소재지,41,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,직종,42,대표
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,성별,42,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,연령대,42,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,응시지역,42,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,졸업여부,42,
12_한국보건의료인국가시험원_응시자 현황_의사_20240521.csv,합격여부,42,
