컬럼명,count(컬럼명)
총질소 저층,1
총지급액,1
총인 표층,1
총인 저층,1
총인,1
총유기탄소,1
총길이(km),1
총 진료일수,1
체지방률(%).2,1
체지방률(%).1,1
체지방률(%),1
체지방량(kg).2,1
체지방량(kg).1,1
체지방량(kg),1
체중(5kg단위),1
체육시설,1
청력(좌),1
청력(우),1
청라에너지판매열량,1
청라에너지스팀공급유량,1
청라에너지스팀공급열량,1
청라반입량,1
청구액(의료급여),1
청구액(기타-산재및자동차보험),1
청구액(건강보험),1
청구금액(D),1
청구건수,1
첨부파일,1
처리방법,1
처리능력(m3_분),1
처리결과내용,1
처리결과,1
채용신검(명),1
채수일시,1
창고_매장창고한정,1
집진시설온도_2호기,1
집진시설온도_1호기,1
질환,1
질산성질소 표층,1
질산성질소 저층,1
"진료타입 (선택 진료 : Y, 일반 진료 : N)",1
진료년월,1
직종,1
직위,1
지하철역_전철역,1
지하철_전철,1
지정분야,1
지정바닥재_반출량,1
지정관서,1
지점명칭,1
지원여부,1
지원시설정보,1
지원금,1
지역교육청명,1
지사명,1
지목,1
지리정보시스템아이디,1
지급건수,1
증기식_공기_예열기온도_2호기,1
증기식_공기_예열기온도_1호기,1
중환자실 병상수 소계,1
중증 환자,1
중순(6월),1
중순(5월),1
중순(4월),1
중상자수,1
중부서,1
중등도 환자,1
중등도 이상 신체활동 실천율,1
준공년도 (보강년도),1
주차가능수,1
주점,1
주야,1
주소명,1
주상병코드,1
주관적 건강인지율,1
죄종,1
종점 위도(WGS84(4326)),1
종점 경도(WGS84(4326)),1
종점,1
종류,1
종교시설,1
졸업여부,1
조유병률,1
조성연도(재조성),1
조사일자,1
조사년도,1
조사기관,1
제품코드,1
제품규격(정량),1
제조구분,1
제작사,1
제작국,1
제외여부,1
제외사유,1
제목,1
정북기준 도로방향 각도(기점 기준십진수 방위각),1
정북기준 도로방향 각도(y1),1
정북기준 도로방향 각도(x1),1
접수일시,1
접수일,1
접수번호,1
접객시설정보,1
절도,1
전북,1
전력_수전량,1
전력_발전량,1
전력_매전량,1
전남,1
적용종료일자,1
적용시작일자,1
적사함수,1
적부판정,1
재활용잔재물_반입량,1
재산피해소계,1
재비산먼지 평균농도,1
장애인(C),1
장소중분류,1
장소소분류,1
장소대분류,1
작업환경측정(개소),1
자동차 전용도로,1
자동차 또는 오토바이 운전자의 연간 음주운전 경험률,1
자가용자동차,1
입원외래구분,1
입원실,1
일자,1
일산화탄소(CO),1
일반바닥재_반출량,1
일반도로,1
일반단가금액,1
일반검진(명),1
일반(총계)(명),1
일련  번호,1
일,1
인지지원(일반)(명),1
인지지원(의료)(명),1
인지지원(기초)(명),1
인지지원(감경)(명),1
인증일자,1
인증서번호,1
인증번호,1
인증(변경)일자,1
인원(청구건수),1
인명피해(명)소계,1
이완기혈압,1
이산화황(SO2),1
이산화질소(NO2),1
이발소_미용실,1
의료행위총사용량,1
의료행위청구금액,1
의료진명,1
의료진 전문분야,1
의료기관,1
의료(총계)(명),1
응축수회수유량,1
응축수회수열량,1
응시지역,1
응급의료센터지정,1
읍면동명,1
읍면동,1
음폐수소각_2호기,1
음폐수소각_1호기,1
음주여부,1
음식협잡물_반입량,1
음식점,1
유연성-종합유연성평균(점),1
유연성-앉아윗몸앞으로굽히기평균값(cm),1
유수지용량(m3),1
유병자수,1
유기인(mg_kg),1
위험및위해원인 소분류,1
위해증상 소분류,1
위해자연령,1
위해자성별,1
위해부위 소분류,1
위치 (상세주소 작성),1
"월요일 오후 스케줄 (유 : Y, 무 : N)",1
"월요일 오전 스케줄 (유 : Y, 무 : N)",1
월별,1
월간음주율,1
월,1
원산지,1
운영종료시각,1
운영시작시각,1
운영시기,1
운영기간,1
운동및오락시설정보,1
우울감 경험률,1
용존산소량 표층,1
용존산소량 저층,1
용존산소,1
용존무기질소 표층,1
용존무기질소 저층,1
용존무기인 표층,1
용존무기인 저층,1
용도,1
요일,1
요오드검출량(Bq_kg),1
요양종별,1
요양기관종별,1
요양급여총액,1
요단백,1
오피스텔_원룸,1
오존(O3),1
오염범례,1
영업소 주소(지번),1
영업구분,1
영양표시 활용률,1
염분 표층,1
염분 저층,1
연안명칭,1
연수서,1
연면적(건축물),1
연면적,1
연령표준화유병률,1
연령표준화발생률,1
연령별,1
연령대코드(5세단위),1
연도별증상(2023),1
연도별증상(2022),1
연도별증상(2021),1
연도별증상(2020),1
연도별증상(2019),1
연도별보고건수(2023),1
연도별보고건수(2022),1
연도별보고건수(2021),1
연도별보고건수(2020),1
연도별보고건수(2019),1
연간 체중조절 시도율,1
여객선터미널,1
에틸벤젠(mg_kg),1
업종 및 주요생산품,1
업소전화번호,1
어제 점심식사 후 칫솔질 실천율,1
어린이집_유치원,1
약품상세정보,1
약국전화번호,1
약국소재지(도로명),1
약국명칭,1
야외_산야,1
암호화된요양기호,1
암유형,1
암모니아질소 표층,1
암모니아질소 저층,1
악성프로그램(랜섬웨어),1
악성프로그램(기타),1
아파트,1
아침식사 실천율,1
아질산성 질소 표층,1
아질산성 질소 저층,1
아연(mg_kg),1
쓰레기소각_2호기,1
쓰레기소각_1호기,1
심폐지구력-왕복오래달리기평균값(회),1
심폐지구력-오래달리기걷기평균값(초),1
심폐지구력-스텝검사평균값(PEI),1
심근경색증 조기증상 인지율,1
실지급액(의료급여),1
실지급액(기타-산재및자동차보험),1
실지급액(건강보험),1
실종,1
신장(5cm단위),1
신생아 중환자실 병상수,1
신분,1
신고일자,1
신고일시,1
신고기준년도,1
식품유형,1
식품수거일자,1
식전혈당(공복혈당),1
시점,1
시장_노점,1
시작점,1
시안(mg_kg),1
시수사용량,1
시료깊이(m),1
시력(좌),1
시력(우),1
시도코드,1
시도청,1
시군,1
시간대별,1
습도,1
스팀생산량,1
스트레스 인지율,1
슈퍼마켓_소매점,1
순위,1
순발력-제자리멀리뛰기평균값(cm),1
순발력-50m달리기평균값(초),1
숙박업소_호텔_모텔_여관,1
숙박시설정보,1
수혜지역,1
수축기혈압,1
수정일자,1
수은(mg_kg),1
수용인원수,1
"수요일 오후 스케줄 (유 : Y, 무 : N)",1
"수요일 오전 스케줄 (유 : Y, 무 : N)",1
수온 표층,1
수온 저층,1
수술실 유무,1
수술실 수,1
수소이온농도(pH),1
수소이온농도 표층,1
수소이온농도 저층,1
수소이온농도,1
수문(기),1
수도권,1
수계,1
수거함종류,1
수거함 설치위치,1
수거일,1
수거식품명,1
수거량(정량),1
수거량,1
수거검사명,1
수가코드,1
수,1
손해배상책임범위,1
손해배상책임내용,1
소재지 주소,1
소재지 도로명주소,1
소아중환자실 병상수,1
소분류,1
소방서,1
소매인구분,1
소각시설2호기_질소산화물,1
소각시설2호기_일산화탄소,1
소각시설2호기_유량,1
소각시설2호기_염화수소,1
소각시설2호기_산소,1
소각시설2호기_먼지,1
소각시설1호기_질소산화물,1
소각시설1호기_일산화탄소,1
소각시설1호기_유량,1
소각시설1호기_염화수소,1
소각시설1호기_산소,1
소각시설1호기_먼지,1
소 재 지,1
세슘검출량(Bq_kg),1
세부공정명,1
세대수(공동주택),1
성인중환자실 병상수,1
성분코드,1
성분명,1
성별명,1
성명,1
설치장소(도로명),1
설치장소,1
설치연도,1
설치목적구분,1
설치목적,1
설치년도,1
설립구분명,1
선박명,1
선박,1
선 종,1
석유계총탄화수소(TPH)(mg_kg),1
석면자재 면적,1
석면건축물_일련번호,1
석면건축물 여부,1
서식,1
서비스거부공격,1
서부서,1
생활폐기물_반입량,1
생물화학적산소요구량,1
상호명,1
상태,1
상주여부,1
상순(6월),1
상순(5월),1
상순(4월),1
삼원환경_반입량,1
삼산서,1
삼산_반입량,1
살인,1
산정식방법론,1
산정식명,1
산정식,1
산재후유단가금액,1
산재일반단가금액,1
산재단가금액,1
산재 업종별,1
삭제여부,1
사회복지시설,1
사이버저작권침해,1
사이버사기(직거래),1
사이버사기(이메일 무역사기),1
사이버사기(쇼핑몰),1
사이버사기(기타),1
사이버사기(게임),1
사이버금융범죄(피싱),1
사이버금융범죄(파밍),1
사이버금융범죄(스미싱),1
사이버금융범죄(몸캠피싱),1
사이버금융범죄(메신저이용사기),1
사이버금융범죄(메모리해킹),1
사이버금융범죄(기타),1
사이버 음란물(일반음란물),1
사이버 음란물(아동음란물),1
사이버 음란물(불법촬영물유포),1
사이버 스토킹,1
사이버 명예훼손(모욕),1
사이버 도박(카지노),1
사이버 도박(스포츠토토),1
사이버 도박(기타),1
사이버 도박(경마 경륜 경정),1
사용여부,1
사업체명,1
사업장주소,1
사업장 규모,1
사업자등록번호,1
사안쟁점내용,1
사무실,1
사망자수,1
사망자(외국인),1
사망자(내국인),1
사망_명,1
사고유형별(1),1
사고유형_중분류,1
사고유형_대분류,1
사고유형,1
사고선박수,1
사고발생경위,1
사고_건,1
비행기,1
비소(mg_kg),1
비산재_반출량,1
비만율(자가보고),1
비만-체지방률평균값(%fat),1
비만-BMI평균값(kg/㎡),1
비고(최초인증일자),1
불소(mg_kg),1
분쟁내용,1
분야별,1
분야,1
분류,1
부평서,1
부유물질 표층,1
부유물질 저층,1
부유물질,1
부서코드,1
부서명,1
부서,1
부생연료유_금일입고량,1
부생연료유_금일사용량,1
부상자수,1
부상자(외국인),1
부상자(내국인),1
부상신고자수,1
부상_명,1
부동산,1
본인부담(B),1
본부명,1
복부지방률(%).2,1
복부지방률(%).1,1
복부지방률(%),1
복부둘레(cm).2,1
복부둘레(cm).1,1
복부둘레(cm),1
보호일반단가금액,1
보일러온도_2호기,1
보일러온도_1호기,1
보관일수,1
보건관리대행(명),1
병원,1
병상수,1
병상,1
벤조(a)피렌(mg_kg),1
벤젠(mg_kg),1
버스터미널_정류소,1
버스,1
백화점,1
배출가스,1
방류 하천명,1
발화요인소분류,1
발화요인대분류,1
발생해역,1
발생지시도,1
발생지시군구,1
발생장소,1
발생일자,1
발생일시,1
발생인원,1
발생유형,1
발생위치Y,1
발생위치X,1
발생원인,1
발생년월일시,1
발생년도,1
발생년,1
발생검거,1
민원구분,1
민방위급수시설구분,1
민방위급수시설,1
미추홀서,1
미세먼지(PM2_5),1
미세먼지(PM10),1
물품명,1
문의전화,1
무인상점,1
목적,1
목욕탕_찜질방_사우나,1
"목요일 오후 스케줄 (유 : Y, 무 : N)",1
"목요일 오전 스케줄 (유 : Y, 무 : N)",1
목,1
모델명,1
명칭,1
면적(제곱미터),1
면적,1
마사지업소,1
로온도_2호기,1
로온도_1호기,1
등록일시,1
등록인원수,1
등록기관,1
동승차량 뒷좌석 안전벨트 착용률,1
동산,1
동별,1
도서관,1
도로형태_대분류,1
도로형태,1
도로종류,1
도로명,1
도로(노선)명,1
도로 분류,1
데이터 기준일,1
대형할인점,1
대표지역,1
대표자,1
당뇨병 진단 경험률(30세 이상),1
당뇨병 진단 경함자(30세 이상)의 치료율,1
담당부서,1
단위(정량),1
단란_유흥주점_나이트_클럽_카바레,1
단독주택_다가구_다중,1
다세대_연립,1
니켈(mg_kg),1
뇌졸중(중풍) 조기증상 인지율,1
논현서,1
노인인구수,1
내장지방(cm2).2,1
내장지방(cm2).1,1
내장지방(cm2),1
납(mg_kg),1
남자현재흡연율,1
남동서,1
기타상점,1
기타거주시설_기숙사 등,1
기타_(DVD)방_유원지,1
기타 휴진 사유,1
기타 정보통신망 침해형 범죄,1
기타 정보통신망 이용형 범죄,1
기타 불법 컨텐츠,1
기타 교육시설,1
기타,1
기초(총계)(명),1
기차역,1
기차,1
기점 위도(WGS84(4326)),1
기점 경도(WGS84(4326)),1
기온,1
기상상태,1
기능,1
기관종류,1
기 관 명,1
급여구분,1
급수인원수,1
급수능력,1
금융보험기관,1
"금요일 오후 스케줄 (유 : Y, 무 : N)",1
"금요일 오전 스케줄 (유 : Y, 무 : N)",1
금,1
근육량(kg).2,1
근육량(kg).1,1
근육량(kg),1
근력·근지구력-윗몸말아올리기평균값(회),1
근력·근지구력-악력평균값kg,1
근력·근지구력-(무릎대고)팔굽혀펴기평균값(회),1
규산규소 표층,1
규산규소 저층,1
규격명,1
굴뚝온도_2호기,1
굴뚝온도_1호기,1
군사기지_군사시설,1
군구,1
국산-수입,1
구조,1
구입일자,1
구입단가,1
구월_반입량,1
구분2,1
구분1,1
구리(mg_kg),1
구금장소,1
구강검진수검여부,1
구간 번호,1
교통수단내_기타,1
관할해경서,1
관할지사,1
관서명,1
관리청,1
관리자 연락처,1
관리번호,1
관리단체,1
관리기관(부서),1
관리구분,1
관광지소개,1
관광지명,1
관광지구분,1
관공서,1
공항,1
공중화장실,1
공중위생업소_기타,1
공종명,1
공원_놀이시설,1
공연장_극장,1
공사종류,1
공공편익시설정보,1
공고일자,1
공고번호,1
고혈압 진단 경험자(30세 이상)의 치료율,1
고혈압 진단 경험률(30세 이상),1
고철_반출량,1
고위험음주율,1
고속도로,1
계획빈도(년),1
계양서,1
계약용량(KW),1
계(총계)(명),1
경유_금일입고량,1
경유_금일사용량,1
경상자수,1
경북,1
경도인지장애 환자유병률,1
경도인지장애 환자수,1
경도 환자,1
경남,1
경감(총계)(명),1
결정,1
결과회보일자,1
격리병실 병상수,1
게임장_(PC)방,1
검사항목,1
검사인원수(명),1
검사의뢰일자,1
검사기관,1
검사결과,1
걷기 실천율,1
건축물명,1
건축물구분-소분류,1
건축물구분-대분류,1
건축물_동명,1
건수(의료급여),1
건수(기타-산재및자동차보험),1
건수(건강보험),1
건수,1
건물명,1
건강생활신청율,1
건강단가금액,1
건강검진유형상세구분코드,1
건강검진유형구분코드,1
건강검진검사항목코드명,1
건강검진검사항목코드,1
건강검진검사항목유형코드,1
개인위치정보 침해,1
개설일자,1
개설연도,1
개설구분,1
개발위치,1
강화서,1
강원,1
강도,1
감정결과내용,1
감액가능품목여부,1
감마지티피,1
가해자법규위반,1
가해자_당사자종별,1
가입자일련번호,1
Unnamed: 6,1
Unnamed: 14,1
NO,1
LDL콜레스테롤,1
HDL콜레스테롤,1
FAX,1
BMI(kg/m2).2,1
BMI(kg/m2).1,1
BMI(kg/m2),1
9월,1
8월,1
7월,1
6월미만(명),1
6월,1
6가크롬(mg_kg),1
5월,1
5억이상,1
5등급(일반)(명),1
5등급(의료)(명),1
5등급(기초)(명),1
5등급(감경)(명),1
5등급(0~19점)인원수(명),1
5등급(0~19점)비율(%),1
5년미만,1
5000만원-1억,1
4월,1
4등급(일반)(명),1
4등급(의료)(명),1
4등급(기초)(명),1
4등급(감경)(명),1
4등급(20~39점)인원수(명),1
4등급(20~39점)비율(%),1
3월,1
3등급(일반)(명),1
3등급(의료)(명),1
3등급(기초)(명),1
3등급(감경)(명),1
3등급(40~59점)인원수(명),1
3등급(40~59점)비율(%),1
3년미만,1
2월,1
2억-5억,1
2등급(일반)(명),1
2등급(의료)(명),1
2등급(기초)(명),1
2등급(감경)(명),1
2등급(60~79점)인원수(명),1
2등급(60~79점)비율(%),1
2년미만,1
21시00분-23시59분,1
2023년 노로바이러스 검사결과,1
2023년,1
2023,1
2022년 재산피해 (억원),1
2022년 인명피해현황_실종(명),1
2022년 인명피해현황_사망(명),1
2022년 인명피해현황_부상(명),1
2022년 발생건수 (건),1
2022년,1
2022,1
2021년 재산피해 (억원),1
2021년 인명피해현황_실종(명),1
2021년 인명피해현황_사망(명),1
2021년 인명피해현황_부상(명),1
2021년 발생건수 (건),1
2021년,1
2021,1
2020년 재산피해 (억원),1
2020년 인명피해현황_실종(명),1
2020년 인명피해현황_사망(명),1
2020년 인명피해현황_부상(명),1
2020년 발생건수 (건),1
2020년,1
2020,1
2019년 재산피해 (억원),1
2019년 인명피해현황_실종(명),1
2019년 인명피해현황_사망(명),1
2019년 인명피해현황_부상(명),1
2019년 발생건수 (건),1
2019년,1
2019,1
2018년 재산피해 (억원),1
2018년 인명피해현황_실종(명),1
2018년 인명피해현황_사망(명),1
2018년 인명피해현황_부상(명),1
2018년 발생건수 (건),1
2018년,1
2018,1
2017년 재산피해 (억원),1
2017년 인명피해현황_실종(명),1
2017년 인명피해현황_사망(명),1
2017년 인명피해현황_부상(명),1
2017년 발생건수 (건),1
2017년,1
2017,1
2016년 재산피해 (억원),1
2016년 인명피해현황_사망(명),1
2016년 인명피해현황_부상(명),1
2016년 인명피해현황_기타(명),1
2016년 발생건수 (건),1
2016년,1
2016,1
2015,1
2014,1
2013,1
2012,1
2011,1
2010,1
2009,1
2008,1
2000만원-5000만원,1
1월,1
1억-2억,1
1등급(일반)(명),1
1등급(의료)(명),1
1등급(기초)(명),1
1등급(감경)(명),1
1등급(80~100점)인원수(명),1
1등급(80~100점)비율(%),1
1년미만,1
18시00분-20시59분,1
15시00분-17시59분,1
12월,1
12시00분-14시59분,1
12디클로로에탄(mg_kg),1
11월,1
10월,1
10년이상,1
10년미만,1
1000만원미만,1
1000만원-2000만원,1
0시00분-02시59분,1
09시00분-11시59분,1
06시00분-08시59분,1
03시00분-05시59분,1
