순번,의료기관명,의료기관종별,수술실 유무,수술실 수,데이터 기준일자
93,참재활의학과의원,의원,무,0,2024-05-31
94,원마디의원,의원,무,0,2024-05-31
95,메트로치과의원,치과의원,무,0,2024-05-31
96,본울림한의원,한의원,무,0,2024-05-31
97,늘편한속연합내과의원,의원,무,0,2024-05-31
98,웅한의원,한의원,무,0,2024-05-31
99,드림이비인후과의원,의원,무,0,2024-05-31
100,태양한의원,한의원,무,0,2024-05-31
101,경대수내과의원,의원,무,0,2024-05-31
102,강남연합정형외과의원,의원,무,0,2024-05-31
103,기쁨큰치과의원,치과의원,무,0,2024-05-31
104,크리스마스치과의원,치과의원,무,0,2024-05-31
105,서울성모의원,의원,무,0,2024-05-31
106,영재한의원,한의원,무,0,2024-05-31
107,홍안과의원,의원,무,0,2024-05-31
108,중앙연합정형외과 가정의학과의원,의원,무,0,2024-05-31
109,김앤박치과의원,치과의원,무,0,2024-05-31
110,파티마연합의원,의원,무,0,2024-05-31
111,큰사랑연합의원,의원,무,0,2024-05-31
112,고운미의원,의원,무,0,2024-05-31
113,두드림정신건강의학과의원,의원,무,0,2024-05-31
114,오페라치과의원,치과의원,무,0,2024-05-31
115,경희사랑한의원,한의원,무,0,2024-05-31
116,팔달한의원,한의원,무,0,2024-05-31
117,동영연합의원,의원,무,0,2024-05-31
118,복현순치과의원,치과의원,무,0,2024-05-31
119,바로튼튼마취통증의학과의원,의원,무,0,2024-05-31
120,바른속내과의원,의원,무,0,2024-05-31
121,바른정신건강의학과의원,의원,무,0,2024-05-31
122,베스트인치과의원,치과의원,무,0,2024-05-31
123,칠곡경대정신건강의학과의원,의원,무,0,2024-05-31
124,마디척재활의학과의원,의원,무,0,2024-05-31
125,연세고운의원,의원,무,0,2024-05-31
126,더편한연합정형외과의원,의원,무,0,2024-05-31
127,예스치과의원,치과의원,무,0,2024-05-31
128,침산올바른마취통증의학과의원,의원,무,0,2024-05-31
129,365늘속편한내과의원,의원,무,0,2024-05-31
130,경신한의원,한의원,무,0,2024-05-31
131,우리연합내과의원,의원,무,0,2024-05-31
132,칠곡리더스치과의원,치과의원,무,0,2024-05-31
133,박순재정신건강의학과의원,의원,무,0,2024-05-31
134,맘스맘연합소아청소년과의원,의원,무,0,2024-05-31
135,미즈웰산부인과의원,의원,무,0,2024-05-31
136,세창한의원,한의원,무,0,2024-05-31
137,경대속연합의원,의원,무,0,2024-05-31
138,김무곤초심내과의원,의원,무,0,2024-05-31
139,호성연합의원,의원,무,0,2024-05-31
140,상쾌한이비인후과의원,의원,무,0,2024-05-31
141,고마운치과의원,치과의원,무,0,2024-05-31
142,성모연합의원,의원,무,0,2024-05-31
143,청담한의원,한의원,무,0,2024-05-31
144,마디에스(S)한의원,한의원,무,0,2024-05-31
145,소들한의원,한의원,무,0,2024-05-31
146,예원소아청소년과의원,의원,무,0,2024-05-31
147,신화한의원,한의원,무,0,2024-05-31
148,이편한속내과의원,의원,무,0,2024-05-31
149,가톨릭건강의원,의원,무,0,2024-05-31
150,이재봉신경과의원,의원,무,0,2024-05-31
151,강남수의원,의원,무,0,2024-05-31
152,영이비인후과의원,의원,무,0,2024-05-31
153,침산흰돌치과의원,치과의원,무,0,2024-05-31
154,강북푸른정형외과의원,의원,무,0,2024-05-31
155,다비드제통외과의원,의원,무,0,2024-05-31
156,이호동한의원,한의원,무,0,2024-05-31
157,칠곡바른송치과의원,치과의원,무,0,2024-05-31
158,세이안치과의원,치과의원,무,0,2024-05-31
159,이윤채통합의원,의원,무,0,2024-05-31
160,불꽃치과의원 강북점,치과의원,무,0,2024-05-31
161,튼튼한한의원,한의원,무,0,2024-05-31
162,강북퍼스트치과의원,치과의원,무,0,2024-05-31
163,선진한의원,한의원,무,0,2024-05-31
164,배한의원,한의원,무,0,2024-05-31
165,올리브치과의원,치과의원,무,0,2024-05-31
166,램브란트치과의원,치과의원,무,0,2024-05-31
167,제일조은정형외과의원,의원,유,1,2024-05-31
168,제일연합정형외과의원,의원,무,0,2024-05-31
169,홍S치과의원,치과의원,무,0,2024-05-31
170,꿈나무연합소아청소년과의원,의원,무,0,2024-05-31
171,부부연합속내과의원,의원,무,0,2024-05-31
172,행복을심는강치과의원,치과의원,무,0,2024-05-31
173,굿모닝신경과의원,의원,무,0,2024-05-31
174,이맥한의원,한의원,무,0,2024-05-31
175,신세계연합의원,의원,무,0,2024-05-31
176,하늘치과의원,치과의원,무,0,2024-05-31
177,태전마취통증의학과의원,의원,무,0,2024-05-31
178,새누리한의원,한의원,무,0,2024-05-31
179,예아름치과의원,치과의원,무,0,2024-05-31
180,정연합제통외과의원,의원,무,0,2024-05-31
181,큰사랑한의원,한의원,무,0,2024-05-31
182,예사랑치과의원,치과의원,무,0,2024-05-31
183,홍인치과의원,치과의원,무,0,2024-05-31
184,현대안과의원,의원,무,0,2024-05-31
185,서변중앙한의원,한의원,무,0,2024-05-31
186,강북리더스치과의원,치과의원,무,0,2024-05-31
187,공피부과의원,의원,무,0,2024-05-31
188,복현안심의원,의원,무,0,2024-05-31
189,호수한의원,한의원,무,0,2024-05-31
190,칠곡바른정형외과의원,의원,무,0,2024-05-31
191,대구리더스치과의원,치과의원,무,0,2024-05-31
192,파티마연합마취통증의학과의원,의원,무,0,2024-05-31
193,오케이연합정형외과의원,의원,무,0,2024-05-31
194,예스연합비뇨기과의원,의원,무,0,2024-05-31
195,라이프치과의원,치과의원,무,0,2024-05-31
196,애플치과의원,치과의원,무,0,2024-05-31
197,다니엘치과의원,치과의원,무,0,2024-05-31
198,박이비인후과의원,의원,무,0,2024-05-31
199,이앤이치과의원,치과의원,무,0,2024-05-31
200,코아이비인후과의원,의원,무,0,2024-05-31
201,가톨릭이비인후과의원,의원,무,0,2024-05-31
202,윤정수연합내과의원,의원,무,0,2024-05-31
203,칠곡대구안과의원,의원,무,0,2024-05-31
204,시티여성의원,의원,유,1,2024-05-31
205,에프엠치과의원,치과의원,무,0,2024-05-31
206,삼성바른내과의원,의원,무,0,2024-05-31
207,칠곡맥치과의원,치과의원,무,0,2024-05-31
208,태전삼성연합의원,의원,무,0,2024-05-31
209,미소가득한치과의원,치과의원,무,0,2024-05-31
210,명심한의원,한의원,무,0,2024-05-31
211,행림치과의원,치과의원,무,0,2024-05-31
212,서울연합마취통증의학과의원,의원,무,0,2024-05-31
213,칠곡누가한의원,한의원,무,0,2024-05-31
214,이앤아이치과의원,치과의원,무,0,2024-05-31
215,병인한의원,한의원,무,0,2024-05-31
216,김태완아이봄치과의원,치과의원,무,0,2024-05-31
217,성북우리들의원,의원,무,0,2024-05-31
218,별소아청소년과의원,의원,무,0,2024-05-31
219,늘편한신경외과의원,의원,무,0,2024-05-31
220,푸른연합의원,의원,무,0,2024-05-31
221,김종철내과의원,의원,무,0,2024-05-31
222,이명수정형외과의원,의원,무,0,2024-05-31
223,박내과의원,의원,무,0,2024-05-31
224,아이샘치과의원,치과의원,무,0,2024-05-31
225,조은이비인후과의원,의원,무,0,2024-05-31
226,닥터배이비인후과의원,의원,무,0,2024-05-31
227,이상재정형외과의원,의원,무,0,2024-05-31
228,우리한의원,한의원,무,0,2024-05-31
229,화담한의원,한의원,무,0,2024-05-31
230,중용당한의원,한의원,무,0,2024-05-31
231,마인드필정신건강의학과의원,의원,무,0,2024-05-31
232,소망한의원,한의원,무,0,2024-05-31
233,굿플랜치과의원,치과의원,무,0,2024-05-31
234,조은미소치과의원,치과의원,무,0,2024-05-31
235,김주환치과의원,치과의원,무,0,2024-05-31
236,미소한의원,한의원,무,0,2024-05-31
237,대현이비인후과의원,의원,무,0,2024-05-31
238,다나치과의원,치과의원,무,0,2024-05-31
239,칠곡경대연합마취통증의학과의원,의원,무,0,2024-05-31
240,세민한의원,한의원,무,0,2024-05-31
241,단비한의원,한의원,무,0,2024-05-31
242,신세계의원,의원,무,0,2024-05-31
243,칠곡동아정신건강의학과의원,의원,무,0,2024-05-31
244,2080연합피부과의원,의원,무,0,2024-05-31
245,한국건강관리협회건강증진치과의원,치과의원,무,0,2024-05-31
246,센트럴치과의원,치과의원,무,0,2024-05-31
247,라온연합의원,의원,무,0,2024-05-31
248,수이비성형외과의원,의원,유,1,2024-05-31
249,건강장수한의원,한의원,무,0,2024-05-31
250,가원한의원,한의원,무,0,2024-05-31
251,미소핀치과의원,치과의원,무,0,2024-05-31
252,고른이치과의원,치과의원,무,0,2024-05-31
253,강북가톨릭정형외과의원,의원,무,0,2024-05-31
254,명인한의원,한의원,무,0,2024-05-31
255,칠곡하얀림치과의원,치과의원,무,0,2024-05-31
256,프라임강북점의원,의원,무,0,2024-05-31
257,효제통마취통증의학과의원,의원,무,0,2024-05-31
258,이시우의미치과의원,치과의원,무,0,2024-05-31
259,섬기는내과의원,의원,무,0,2024-05-31
260,서현지소아청소년과의원,의원,무,0,2024-05-31
261,태전정형외과연합의원,의원,무,0,2024-05-31
262,삼성제통마취통증의학과의원,의원,무,0,2024-05-31
263,가톨릭정충일안과의원,의원,무,0,2024-05-31
264,동산연합정형외과의원,의원,무,0,2024-05-31
265,세란치과의원,치과의원,무,0,2024-05-31
266,경원한의원,한의원,무,0,2024-05-31
267,산격연합의원,의원,무,0,2024-05-31
268,한마음연합의원,의원,무,0,2024-05-31
269,행복한e-치과의원,치과의원,무,0,2024-05-31
270,동방한의원,한의원,무,0,2024-05-31
271,아름다운한의원,한의원,무,0,2024-05-31
272,칠곡제이(J)성형외과의원,의원,무,0,2024-05-31
273,행복한내과의원,의원,무,0,2024-05-31
274,수경희한의원,한의원,무,0,2024-05-31
275,미즈슬림의원,의원,무,0,2024-05-31
276,미드미치과의원,치과의원,무,0,2024-05-31
277,강북동산치과의원,치과의원,무,0,2024-05-31
278,동서변정형외과의원,의원,무,0,2024-05-31
279,조일한의원,한의원,무,0,2024-05-31
280,칠곡길한의원,한의원,무,0,2024-05-31
281,김숙현산부인과의원,의원,무,0,2024-05-31
282,필연합의원,의원,무,0,2024-05-31
283,영대연합안과의원,의원,무,0,2024-05-31
284,정다운산부인과의원,의원,무,0,2024-05-31
285,늘푸른한의원,한의원,무,0,2024-05-31
286,참이비인후과의원,의원,무,0,2024-05-31
287,큰사랑치과의원,치과의원,무,0,2024-05-31
288,탑연합치과의원,치과의원,무,0,2024-05-31
289,강북보건지소,보건지소,무,0,2024-05-31
290,대구성모안과의원,의원,무,0,2024-05-31
291,참피부과의원,의원,무,0,2024-05-31
292,현대연합정형외과의원,의원,무,0,2024-05-31
293,산격수정형외과의원,의원,무,0,2024-05-31
294,고은연합소아청소년과의원,의원,무,0,2024-05-31
295,신내과의원,의원,무,0,2024-05-31
296,에스비뇨기과의원,의원,무,0,2024-05-31
297,예사랑소아청소년과의원,의원,무,0,2024-05-31
298,청송한의원,한의원,무,0,2024-05-31
299,복현아름다운치과의원,치과의원,무,0,2024-05-31
300,엠치과의원,치과의원,무,0,2024-05-31
301,송한방한의원,한의원,무,0,2024-05-31
302,김정수이비인후과의원,의원,무,0,2024-05-31
303,칠곡명인치과의원,치과의원,무,0,2024-05-31
304,서변치과의원,치과의원,무,0,2024-05-31
305,해산한의원,한의원,무,0,2024-05-31
306,하유선치과의원,치과의원,무,0,2024-05-31
307,칠곡열린치과의원,치과의원,무,0,2024-05-31
308,칠곡연합정신건강의학과의원,의원,무,0,2024-05-31
309,대성한의원,한의원,무,0,2024-05-31
310,미래연합속내과의원,의원,무,0,2024-05-31
311,미소지앤의원,의원,무,0,2024-05-31
312,칠곡명안과의원,의원,무,0,2024-05-31
313,침산동아치과의원,치과의원,무,0,2024-05-31
314,미즈피부과의원,의원,무,0,2024-05-31
315,조재영이비인후과의원,의원,무,0,2024-05-31
316,영남속시원내과의원,의원,무,0,2024-05-31
317,해바라기치과의원,치과의원,무,0,2024-05-31
318,에이연합정형외과의원,의원,유,1,2024-05-31
319,새동산산부인과의원,의원,무,0,2024-05-31
320,건강한내과와 튼튼한소아과의원,의원,무,0,2024-05-31
321,동변사과나무치과의원,치과의원,무,0,2024-05-31
322,혜인한의원,한의원,무,0,2024-05-31
323,침산제일내과의원,의원,무,0,2024-05-31
324,튼튼소아과의원,의원,무,0,2024-05-31
325,예일연합의원,의원,무,0,2024-05-31
326,하이얀치과의원,치과의원,무,0,2024-05-31
327,프라임산부인과의원,의원,무,0,2024-05-31
328,임연수소아과의원,의원,무,0,2024-05-31
329,권형수한의원,한의원,무,0,2024-05-31
330,하얀미소치과의원,치과의원,무,0,2024-05-31
331,무태한의원,한의원,무,0,2024-05-31
332,열린이비인후과의원,의원,무,0,2024-05-31
333,서변산부인과의원,의원,무,0,2024-05-31
334,새강북연합정형외과의원,의원,무,0,2024-05-31
335,강북예스치과의원,치과의원,무,0,2024-05-31
336,윤내과의원,의원,무,0,2024-05-31
337,기천한의원,한의원,무,0,2024-05-31
338,권한의원,한의원,무,0,2024-05-31
339,연세연합의원,의원,무,0,2024-05-31
340,능성한의원,한의원,무,0,2024-05-31
341,미소지움치과의원,치과의원,무,0,2024-05-31
342,윤태경한의원,한의원,무,0,2024-05-31
343,고운이치과의원,치과의원,무,0,2024-05-31
344,칠곡정한의원,한의원,무,0,2024-05-31
345,이재우한의원,한의원,무,0,2024-05-31
346,문진치과의원,치과의원,무,0,2024-05-31
347,강북행복을심는치과의원,치과의원,무,0,2024-05-31
348,새소망한의원,한의원,무,0,2024-05-31
349,선내과의원,의원,무,0,2024-05-31
350,흰돌치과의원,치과의원,무,0,2024-05-31
351,강북학운외과의원,의원,무,0,2024-05-31
352,진가정의학과의원,의원,무,0,2024-05-31
353,서정소아과의원,의원,무,0,2024-05-31
354,이찬영한의원,한의원,무,0,2024-05-31
355,신세계경치과의원,치과의원,무,0,2024-05-31
356,아침한의원,한의원,무,0,2024-05-31
357,효제한의원,한의원,무,0,2024-05-31
358,장의원,의원,무,0,2024-05-31
359,김영수한의원,한의원,무,0,2024-05-31
360,장원내과의원,의원,무,0,2024-05-31
361,복현이튼연합치과의원,치과의원,무,0,2024-05-31
362,덕원한의원,한의원,무,0,2024-05-31
363,이-편한치과의원,치과의원,무,0,2024-05-31
364,칠성한의원,한의원,무,0,2024-05-31
365,제인한의원,한의원,무,0,2024-05-31
366,소문생생한의원,한의원,무,0,2024-05-31
367,가톨릭비뇨기과의원,의원,무,0,2024-05-31
368,김민정치과의원,치과의원,무,0,2024-05-31
369,호동연합의원,의원,무,0,2024-05-31
370,부강정형외과의원,의원,무,0,2024-05-31
371,하나연합정형외과의원,의원,무,0,2024-05-31
372,매천한의원,한의원,무,0,2024-05-31
373,도남한의원,한의원,무,0,2024-05-31
374,새길정형외과의원,의원,무,0,2024-05-31
375,전경숙산부인과의원,의원,무,0,2024-05-31
376,칠곡파티마 마취통증의학과의원,의원,무,0,2024-05-31
377,이춘희산부인과의원,의원,무,0,2024-05-31
378,한솔치과의원,치과의원,무,0,2024-05-31
379,박병준치과의원,치과의원,무,0,2024-05-31
380,성모이비인후과의원,의원,무,0,2024-05-31
381,늘푸른의원,의원,무,0,2024-05-31
382,대원한의원,한의원,무,0,2024-05-31
383,속시원내과 방사선과의원,의원,무,0,2024-05-31
384,산격치과의원,치과의원,무,0,2024-05-31
385,복음한의원,한의원,무,0,2024-05-31
386,문한의원,한의원,무,0,2024-05-31
387,칠곡피부과의원,의원,무,0,2024-05-31
388,칠곡중앙의원,의원,무,0,2024-05-31
389,동제한의원,한의원,무,0,2024-05-31
390,인성신경과의원,의원,무,0,2024-05-31
391,김연합의원,의원,무,0,2024-05-31
392,벧엘치과의원,치과의원,무,0,2024-05-31
393,이재춘내과의원,의원,무,0,2024-05-31
394,동산의원,의원,무,0,2024-05-31
395,예당한의원,한의원,무,0,2024-05-31
396,팔공산한의원,한의원,무,0,2024-05-31
397,강북연합내과의원,의원,무,0,2024-05-31
398,공덕한의원,한의원,무,0,2024-05-31
399,준이비인후과의원,의원,무,0,2024-05-31
400,칠곡제일한의원,한의원,무,0,2024-05-31
401,새빛안과의원,의원,무,0,2024-05-31
402,검단한의원,한의원,무,0,2024-05-31
403,보은한의원,한의원,무,0,2024-05-31
404,다정한치과의원,치과의원,무,0,2024-05-31
405,칠곡한빛치과의원,치과의원,무,0,2024-05-31
406,이종현내과의원,의원,무,0,2024-05-31
407,고은치과의원,치과의원,무,0,2024-05-31
408,이정재이비인후과의원,의원,무,0,2024-05-31
409,한마음한의원,한의원,무,0,2024-05-31
410,새소망내과의원,의원,무,0,2024-05-31
411,산격마취통증의학과의원,의원,무,0,2024-05-31
412,이메디치과의원,치과의원,무,0,2024-05-31
413,이아름다운치과의원,치과의원,무,0,2024-05-31
414,오내과의원,의원,무,0,2024-05-31
415,침산아름다운치과의원,치과의원,무,0,2024-05-31
416,하나치과의원,치과의원,무,0,2024-05-31
417,동신치과의원,치과의원,무,0,2024-05-31
418,권성현치과의원,치과의원,무,0,2024-05-31
419,김문규이비인후과의원,의원,무,0,2024-05-31
420,경북마취제통의원,의원,무,0,2024-05-31
421,구민한의원,한의원,무,0,2024-05-31
422,장영식가정의학과의원,의원,무,0,2024-05-31
423,기세길내과의원,의원,무,0,2024-05-31
424,한마음산부인과의원,의원,무,0,2024-05-31
425,행복한산부인과의원,의원,무,0,2024-05-31
426,칠곡대신의원,의원,무,0,2024-05-31
427,황부부치과의원,치과의원,무,0,2024-05-31
428,보성치과의원,치과의원,무,0,2024-05-31
429,최희동치과의원,치과의원,무,0,2024-05-31
430,추동호정신과의원,의원,무,0,2024-05-31
431,성지가정의학과의원,의원,무,0,2024-05-31
432,경희산부인과의원,의원,무,0,2024-05-31
433,복현피부과의원,의원,무,0,2024-05-31
434,김시형더좋은치과의원,치과의원,무,0,2024-05-31
435,진선치과의원,치과의원,무,0,2024-05-31
436,제동치과의원,치과의원,무,0,2024-05-31
437,진석호치과의원,치과의원,무,0,2024-05-31
438,칠곡현대치과의원,치과의원,무,0,2024-05-31
439,평강한의원,한의원,무,0,2024-05-31
440,배비뇨기과의원,의원,무,0,2024-05-31
441,드림비뇨의학과의원,의원,무,0,2024-05-31
442,최용철연합치과의원,치과의원,무,0,2024-05-31
443,베드로신경외과의원,의원,무,0,2024-05-31
444,전내과의원,의원,무,0,2024-05-31
445,제일내과의원,의원,무,0,2024-05-31
446,동산안과의원,의원,무,0,2024-05-31
447,가톨릭피부과의원,의원,무,0,2024-05-31
448,동서한의원,한의원,무,0,2024-05-31
449,김진홍치과의원,치과의원,무,0,2024-05-31
450,김규태안과의원,의원,무,0,2024-05-31
451,장시원속시원내과의원,의원,무,0,2024-05-31
452,복현연합내과의원,의원,무,0,2024-05-31
453,연합치과의원,치과의원,무,0,2024-05-31
454,필정신건강의학과의원,의원,무,0,2024-05-31
455,이원기연합내과의원,의원,무,0,2024-05-31
456,이부영한의원,한의원,무,0,2024-05-31
457,김우현치과의원,치과의원,무,0,2024-05-31
458,강북치과의원,치과의원,무,0,2024-05-31
459,인동한의원,한의원,무,0,2024-05-31
460,경복의원,의원,무,0,2024-05-31
461,노원치과의원,치과의원,무,0,2024-05-31
462,이상우치과의원,치과의원,무,0,2024-05-31
463,김하식외과의원,의원,무,0,2024-05-31
464,유정균치과의원,치과의원,무,0,2024-05-31
465,김동억소아청소년과의원,의원,무,0,2024-05-31
466,동서정형외과의원,의원,무,0,2024-05-31
467,한영정형외과의원,의원,무,0,2024-05-31
468,태전부부한의원,한의원,무,0,2024-05-31
469,세종한의원,한의원,무,0,2024-05-31
470,산격한의원,한의원,무,0,2024-05-31
471,정우연합외과의원,의원,무,0,2024-05-31
472,김동응치과의원,치과의원,무,0,2024-05-31
473,임진치과의원,치과의원,무,0,2024-05-31
474,강창수비뇨기과의원,의원,무,0,2024-05-31
475,전석구내과의원,의원,무,0,2024-05-31
476,권현우한의원,한의원,무,0,2024-05-31
477,이성형이비인후과의원,의원,무,0,2024-05-31
478,유길한의원,한의원,무,0,2024-05-31
479,동아이비인후과의원,의원,무,0,2024-05-31
480,선우속시원내과의원,의원,무,0,2024-05-31
481,경대연합내과의원,의원,무,0,2024-05-31
482,성심연합의원,의원,무,0,2024-05-31
483,고원섭내과의원,의원,무,0,2024-05-31
484,한국건강관리협회 건강증진의원,의원,무,0,2024-05-31
485,박시화내과의원,의원,무,0,2024-05-31
486,윤영팔안과의원,의원,무,0,2024-05-31
487,이승표내과의원,의원,무,0,2024-05-31
488,류외과연합의원,의원,무,0,2024-05-31
489,박태우한의원,한의원,무,0,2024-05-31
490,박대근치과의원,치과의원,무,0,2024-05-31
491,강북한의원,한의원,무,0,2024-05-31
492,북대구치과의원,치과의원,무,0,2024-05-31
493,갑자한의원,한의원,무,0,2024-05-31
494,만평치과의원,치과의원,무,0,2024-05-31
495,이석현치과의원,치과의원,무,0,2024-05-31
496,류경치과의원,치과의원,무,0,2024-05-31
497,성신연합의원,의원,무,0,2024-05-31
498,손석수이비인후과의원,의원,무,0,2024-05-31
499,이인구치과의원,치과의원,무,0,2024-05-31
500,칠곡킴스연합의원,의원,무,0,2024-05-31
501,가람한의원,한의원,무,0,2024-05-31
502,연수당한의원,한의원,무,0,2024-05-31
503,박대열치과의원,치과의원,무,0,2024-05-31
504,아주연합정형외과의원,의원,유,1,2024-05-31
505,서혜상내과의원,의원,무,0,2024-05-31
506,제일신경외과의원,의원,무,0,2024-05-31
507,최한의원,한의원,무,0,2024-05-31
508,미강의원,의원,무,0,2024-05-31
509,이승철내과의원,의원,무,0,2024-05-31
510,우림한의원,한의원,무,0,2024-05-31
511,덕인한의원,한의원,무,0,2024-05-31
512,북대구의원,의원,무,0,2024-05-31
513,동대구정형외과의원,의원,무,0,2024-05-31
514,권현치과의원,치과의원,무,0,2024-05-31
515,연합수치과의원,치과의원,무,0,2024-05-31
516,김시환내과의원,의원,무,0,2024-05-31
517,신수현소아청소년과의원,의원,무,0,2024-05-31
518,장수한의원,한의원,무,0,2024-05-31
519,한민행복을심는치과의원,치과의원,무,0,2024-05-31
520,채종구한의원,한의원,무,0,2024-05-31
521,경찰공제회 대구북부의원,의원,무,0,2024-05-31
522,김종헌치과의원,치과의원,무,0,2024-05-31
523,파티마프렌즈치과의원,치과의원,무,0,2024-05-31
524,모영종비뇨기과의원,의원,무,0,2024-05-31
525,명신한의원,한의원,무,0,2024-05-31
526,조무상A3한의원,한의원,무,0,2024-05-31
527,칠곡연세치과의원,치과의원,무,0,2024-05-31
528,최병하치과의원,치과의원,무,0,2024-05-31
529,김종서내과의원,의원,무,0,2024-05-31
530,류경하한의원,한의원,무,0,2024-05-31
531,김제형내과의원,의원,무,0,2024-05-31
532,김영숙치과의원,치과의원,무,0,2024-05-31
533,박성근치과의원,치과의원,무,0,2024-05-31
534,칠곡박한의원,한의원,무,0,2024-05-31
535,한건호비뇨기과의원,의원,무,0,2024-05-31
536,현대연합의원,의원,무,0,2024-05-31
537,진성한의원,한의원,무,0,2024-05-31
538,고영환치과의원,치과의원,무,0,2024-05-31
539,이성우치과의원,치과의원,무,0,2024-05-31
