연번,허가번호,기 관 명,소 재 지
33,42,이화의대부속목동병원,서울특별시 양천구 안양천로 1071
34,43,칠곡경북대학교병원,대구광역시 북구 호국로 807
35,44,경희의료원,서울특별시 동대문구 경희대로 23
36,45,분당서울대학교병원,경기도 성남시 분당구 구미로 173번길 82
37,46,차의과학대학교 분당차병원,경기도 성남시 분당구 야탑로 59
38,47,한양대학교병원류마티스병원,서울특별시 성동구 왕십리로 222
39,48,연세대학교 원주세브란스기독병원,강원도 원주시 일산로 20
40,49,동아대학교병원,부산광역시 서구 대신공원로 26
41,50,조선대학교병원,광주광역시 동구 필문대로 365
42,51,고신대학교 복음병원,부산광역시 서구 감천로 262
43,52,서울대학교병원,"서울특별시 종로구 대학로 71, 대학로 101, 율곡로 214"
44,53,고려대학교 안산병원,경기도 안산시 단원구 적금로 123
45,54,중앙대학교병원,서울특별시 동작구 흑석로 102
46,55,한림대학교 한강성심병원,서울특별시 영등포구 버드나루로7길 12
47,56,한국원자력의학원,서울특별시 노원구 노원로 75
48,57,가톨릭대학교 성빈센트병원,경기도 수원시 팔달구 중부대로 93
49,58,국립암센터,경기도 고양시 일산동구 일산로 323
50,59,가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56
51,60,양산부산대학교병원,경상남도 양산시 물금읍 금오로 20
52,61,서울대학교치과병원,서울특별시 종로구 대학로 101
53,62,부산대학교치과병원,경상남도 양산시 물금읍 금오로 20
54,63,대구경북과학기술원한국뇌연구원,대구광역시 동구 첨단로 61
55,64,(학)가톨릭대학교 부천성모병원,경기도 부천시 소사로 327
56,65,가톨릭관동대학교 국제성모병원,인천광역시 서구 심곡로100번길 25
57,66,가톨릭대학교 은평성모병원,서울특별시 은평구 통일로 1021
58,67,울산공업학원울산대학교병원,울산광역시 동구 대학병원로 25
59,68,(학)가톨릭학원 의정부성모병원,경기도 의정부시 천보로 271
60,69,한림대학교동탄성심병원,경기도 화성시 큰재봉길 7
61,70,연세대학교치과대학병원,서울특별시 서대문구 연세로 50-1
62,71,국민건강보험공단 일산병원,경기도 고양시 일산동구 일산로 100
63,73,단국대학교 의과대학 부속병원,충청남도 천안시 동남구 망향로 201
64,74,강동경희대학교병원,서울특별시 강동구 동남로 892
65,76,순천향대학교부속 서울병원,서울특별시 용산구 대사관로 59
66,77,의료법인 사과나무의료재단,"경기도 고양시 일산서구 강성로 143, 4층"
67,78,한국보훈복지의료공단 중앙보훈병원,서울특별시 강동구 진황도로 61길 53
68,79,한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22
69,80,학교법인건양학원 건양대학교병원,대전광역시 서구 관저동로 158
70,81,의료법인삼성의료재단 강북삼성병원,서울특별시 종로구 새문안로 29
71,82,(학)연세의대용인세브란스병원,경기도 용인시 기흥구 동백죽전대로 363
72,83,국립중앙의료원,서울특별시 중구 을지로 245
73,84,(학)가톨릭학원가톨릭대학교 대전성모병원,대전광역시 중구 대흥로 64
74,85,재단법인서울의과학연구소 에스씨엘의원,경기도 용인시 기흥구 흥덕1로 13
75,86,한림대학교 부속춘천성심병원,강원도 춘천시 삭주로 77
76,87,한국생명공학연구원,대전광역시 유성구 과학로 125
77,88,한림대학교 강남성심병원,서울특별시 영등포구 신길로1
78,89,(재)울산정보산업진흥원,울산광역시 남구 테크노산업로 55번길 16
79,90,의료법인 명지의료재단 명지병원,경기도 고양시 덕양구 화수로14번길 55
80,91,세종충남대학교병원,세종특별자치시 보듬7로 20
81,92,이화의대부속서울병원,서울특별시 강서구 공항대로 260
82,93,(재)한국파스퇴르연구소,경기도 성남시 분당구 대왕판교로 712번길 16
83,94,(의)녹십자의료재단 녹십자의원,경기도 용인시 기흥구 이현로 30번길 107
84,95,재단법인 한국보건의료정보원,"서울특별시 중구 칠패로 36, 8층"
85,96,(주)마크로젠,"서울특별시 금천구 벚꽃로 254, 10층"
86,97,인제대학교 해운대백병원,부산광역시 해운대구 해운대로 875
