연령대,성별,질환,BMI(kg/m2),근육량(kg),체지방량(kg),체지방률(%),복부둘레(cm),복부지방률(%),내장지방(cm2),BMI(kg/m2).1,근육량(kg).1,체지방량(kg).1,체지방률(%).1,복부둘레(cm).1,복부지방률(%).1,내장지방(cm2).1,BMI(kg/m2).2,근육량(kg).2,체지방량(kg).2,체지방률(%).2,복부둘레(cm).2,복부지방률(%).2,내장지방(cm2).2
35~39세,남,이상지질,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35~39세,남,비만,26.0,54.9,23.3,28.5,0.0,0.9,9.32,26.0,54.9,23.3,28.5,0.0,0.9,9.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35~39세,녀,고혈압,29.5,42.5,32.4,41.4,98.65,0.96,122.15,29.15,41.65,32.45,41.9,99.0,0.97,123.85,-1.19,-2.0,0.15,1.21,0.36,1.05,1.39
35~39세,녀,당뇨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35~39세,녀,이상지질,23.37,36.97,21.23,34.33,86.7,0.88,66.27,23.1,36.63,20.87,34.0,83.8,0.88,65.93,-1.14,-0.9,-1.72,-0.97,-3.35,0.0,-0.5
35~39세,녀,비만,25.38,39.26,23.42,35.62,84.94,0.89,32.25,25.72,39.59,22.89,35.16,83.94,0.89,33.44,1.36,0.82,-2.26,-1.31,-1.18,-0.67,3.69
40~44세,남,고혈압,26.8,56.2,18.7,23.9,0.0,0.87,7.0,26.8,56.2,18.7,23.9,0.0,0.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40~44세,남,당뇨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40~44세,남,이상지질,25.5,54.7,19.2,24.8,0.0,0.88,7.0,25.3,55.4,17.9,23.3,87.0,0.88,7.0,-0.78,1.28,-6.77,-6.05,0.0,0.0,0.0
40~44세,남,비만,29.2,60.3,28.7,31.0,0.0,0.96,12.0,29.0,61.2,27.0,29.4,0.0,0.95,11.0,-0.69,1.49,-5.92,-5.16,0.0,-1.04,-8.33
40~44세,녀,고혈압,27.89,39.67,27.86,37.96,91.7,0.9,67.07,27.5,39.6,26.96,37.59,90.37,0.91,66.97,-1.38,-0.18,-3.23,-0.98,-1.45,1.12,-0.15
40~44세,녀,당뇨,23.5,39.9,22.8,34.9,88.6,0.93,91.3,23.7,39.8,23.4,35.5,88.2,0.92,91.7,0.85,-0.25,2.63,1.72,-0.45,-1.08,0.44
40~44세,녀,이상지질,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40~44세,녀,비만,26.72,41.0,25.94,36.03,87.86,0.91,17.67,26.65,41.05,25.76,35.82,85.7,0.91,17.39,-0.26,0.14,-0.67,-0.57,-2.46,-0.22,-1.55
45~49세,남,고혈압,25.8,49.7,15.3,22.5,0.0,0.85,5.0,25.8,49.7,15.3,22.5,0.0,0.85,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45~49세,남,당뇨,26.4,54.8,21.2,26.7,95.7,0.96,95.2,26.4,54.8,21.2,26.7,95.7,0.96,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45~49세,남,이상지질,22.9,57.5,13.2,17.8,83.3,0.85,55.2,22.9,57.5,13.2,17.8,83.3,0.85,55.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45~49세,남,비만,24.3,0.0,17.9,25.0,90.0,0.91,0.0,24.3,0.0,17.9,25.0,90.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45~49세,녀,고혈압,24.14,41.64,18.72,29.02,86.4,0.86,53.54,23.88,41.18,18.56,29.06,84.05,0.86,53.14,-1.08,-1.11,-0.86,0.14,-2.72,0.47,-0.75
45~49세,녀,당뇨,26.33,41.7,22.33,33.57,87.5,0.89,64.4,25.83,40.33,22.43,34.4,88.45,0.91,64.57,-1.9,-3.28,0.45,2.48,1.09,1.57,0.26
45~49세,녀,이상지질,21.97,40.37,13.1,23.37,74.1,0.79,43.7,21.97,40.37,13.1,23.37,74.1,0.79,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45~49세,녀,비만,26.91,40.43,22.76,33.32,85.76,0.89,17.25,25.72,41.24,22.11,33.09,85.99,0.89,15.87,-4.43,2.0,-2.87,-0.68,0.27,-0.23,-8.0
50~54세,남,고혈압,24.4,53.0,14.8,20.7,84.15,0.86,59.45,23.9,51.8,14.6,20.9,83.5,0.86,58.55,-2.05,-2.26,-1.35,0.97,-0.77,0.0,-1.51
50~54세,남,당뇨,23.25,43.95,16.7,26.7,0.0,0.87,6.5,23.25,43.95,16.7,26.7,0.0,0.87,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50~54세,남,이상지질,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50~54세,남,비만,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50~54세,녀,고혈압,24.01,39.79,19.44,31.11,82.16,0.86,44.48,23.86,39.45,19.43,31.31,81.72,0.86,44.61,-0.65,-0.86,-0.07,0.64,-0.53,-0.12,0.28
50~54세,녀,당뇨,21.17,35.42,15.95,29.5,80.5,0.85,21.23,21.13,35.4,15.85,29.35,78.33,0.85,21.07,-0.16,-0.05,-0.63,-0.51,-2.69,0.12,-0.78
50~54세,녀,이상지질,22.67,37.17,18.76,31.94,80.94,0.87,32.86,22.5,36.96,18.58,31.86,80.51,0.87,32.86,-0.76,-0.56,-0.97,-0.25,-0.53,0.35,0.03
50~54세,녀,비만,25.78,39.84,22.38,33.61,85.53,0.89,30.03,25.73,39.84,22.27,33.51,85.63,0.88,29.95,-0.17,-0.02,-0.5,-0.29,0.12,-0.45,-0.26
55~59세,남,고혈압,26.3,53.1,20.6,26.8,0.0,0.92,8.0,26.3,53.1,20.6,26.8,0.0,0.92,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55~59세,남,당뇨,24.65,54.45,15.9,21.65,79.9,0.85,32.5,24.6,54.55,15.65,21.4,85.95,0.85,32.5,-0.2,0.18,-1.57,-1.16,7.57,0.0,0.0
55~59세,남,이상지질,23.38,52.93,14.23,20.15,0.0,0.88,5.75,23.25,52.4,14.38,20.45,89.5,0.89,5.75,-0.54,-0.99,1.05,1.49,0.0,1.14,0.0
55~59세,남,비만,27.0,0.0,16.9,21.9,89.33,0.9,6.75,26.9,0.0,17.0,22.1,88.67,0.9,6.75,-0.37,0.0,0.59,0.91,-0.75,0.34,0.0
55~59세,녀,고혈압,24.58,38.52,20.3,32.98,83.68,0.88,49.18,24.33,38.23,19.96,32.83,83.21,0.88,48.37,-1.02,-0.75,-1.68,-0.46,-0.57,0.0,-1.65
55~59세,녀,당뇨,24.96,36.04,20.84,34.6,82.57,0.88,51.96,24.58,35.84,20.14,33.92,82.05,0.88,49.1,-1.52,-0.56,-3.36,-1.97,-0.63,0.0,-5.5
55~59세,녀,이상지질,23.84,37.85,18.69,31.5,80.37,0.85,28.31,23.64,37.26,18.85,31.99,80.87,0.86,28.66,-0.84,-1.56,0.86,1.56,0.63,0.7,1.24
55~59세,녀,비만,24.28,38.24,18.81,30.61,77.81,0.86,15.57,24.13,38.8,18.62,30.44,78.56,0.86,15.43,-0.62,1.46,-0.98,-0.56,0.95,0.0,-0.85
60~64세,남,고혈압,24.43,48.52,16.13,23.13,87.05,0.88,52.55,24.32,48.18,16.15,23.18,85.2,0.89,53.5,-0.48,-0.69,0.11,0.22,-2.13,1.14,1.81
60~64세,남,당뇨,24.13,51.08,13.38,19.88,79.3,0.88,18.18,24.1,50.88,13.53,20.1,84.15,0.88,18.43,-0.1,-0.39,1.12,1.13,6.12,0.23,1.38
60~64세,남,이상지질,22.88,48.68,14.8,21.65,77.9,0.84,17.65,22.75,48.1,15.13,22.38,81.4,0.84,18.25,-0.55,-1.18,2.2,3.35,4.49,0.96,3.4
60~64세,남,비만,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60~64세,녀,고혈압,24.38,37.26,20.44,33.7,83.23,0.86,54.38,24.18,36.98,20.28,33.72,83.35,0.86,53.74,-0.8,-0.74,-0.82,0.06,0.14,0.0,-1.16
60~64세,녀,당뇨,24.52,36.72,20.5,34.44,0.0,0.89,9.4,24.5,36.58,20.66,34.58,81.25,0.89,9.6,-0.08,-0.38,0.78,0.41,0.0,-0.22,2.13
60~64세,녀,이상지질,23.52,36.64,17.98,31.19,82.56,0.86,35.13,23.43,36.42,18.0,31.35,81.74,0.86,35.36,-0.37,-0.59,0.13,0.52,-0.99,0.35,0.65
60~64세,녀,비만,24.27,37.33,19.49,32.77,74.63,0.87,12.18,24.15,37.26,19.27,32.6,76.73,0.87,12.1,-0.51,-0.2,-1.12,-0.53,2.8,0.12,-0.67
65~69세,남,고혈압,25.2,45.9,15.3,23.97,82.35,0.85,44.17,25.03,45.7,15.07,23.77,84.9,0.85,44.17,-0.66,-0.44,-1.52,-0.83,3.1,0.35,0.0
65~69세,남,당뇨,23.2,46.4,12.8,20.6,81.4,0.83,35.1,23.0,46.0,12.6,20.5,81.0,0.83,34.05,-0.86,-0.86,-1.56,-0.49,-0.49,0.0,-2.99
65~69세,남,이상지질,19.8,46.1,5.9,10.9,0.0,0.82,1.0,20.2,46.9,6.1,11.0,80.0,0.83,1.0,2.02,1.74,3.39,0.92,0.0,1.22,0.0
65~69세,남,비만,26.6,53.1,19.8,26.1,0.0,0.9,8.0,26.2,52.2,19.5,26.0,89.0,0.89,7.0,-1.5,-1.7,-1.52,-0.38,0.0,-1.11,-12.5
65~69세,녀,고혈압,23.67,34.63,17.58,31.78,75.03,0.85,25.22,23.53,34.39,17.54,31.93,78.99,0.84,25.47,-0.57,-0.71,-0.19,0.49,5.27,-0.35,0.97
65~69세,녀,당뇨,23.66,35.94,18.19,31.67,85.52,0.85,36.89,23.43,35.65,17.96,31.67,83.65,0.85,37.18,-0.96,-0.81,-1.3,0.0,-2.19,-0.12,0.79
65~69세,녀,이상지질,23.52,36.92,17.77,30.9,79.33,0.85,21.39,23.48,36.82,17.82,30.96,78.6,0.86,21.75,-0.17,-0.27,0.28,0.19,-0.92,0.59,1.68
65~69세,녀,비만,25.36,35.06,20.38,35.16,0.0,0.87,9.8,24.92,34.7,19.8,34.62,85.0,0.87,9.4,-1.74,-1.03,-2.85,-1.54,0.0,0.46,-4.08
