순번,행정구역,업소명,소재지,전화번호,관리구분
56,강원 원주시,학성LPG충전소,강원특별자치도 원주시 강변로 629,033-731-5151,자동차충전
57,강원 원주시,(주)삼웅,강원특별자치도 원주시 문막읍 원문로 1342,033-735-5808,자동차충전
58,강원 원주시,원흥LPG충전소,강원특별자치도 원주시 문막읍 원문로 1415,033-745-2887,자동차충전
59,강원 원주시,신우에너지(자)신원주충전소,강원특별자치도 원주시 판부면 치악로 1155 ,033-747-2781,자동차충전
60,강원 원주시,주식회사세종에너지,강원특별자치도 원주시 지정면 보통로 380 ,033-731-6644,용기+자동차+탱크+13kg용기
61,강원 원주시,동원주LPG충전소,강원특별자치도 원주시 동부순환로 101 (반곡동) ,033-733-2151,자동차충전
62,강원 원주시,신우에너지(자),강원특별자치도 원주시 호저면 원문로 497 ,033-747-5805,자동차+탱크
63,강원 원주시,흥업충전소,강원특별자치도 원주시 흥업면 북원로 1700 ,033-765-5806,자동차충전
64,강원 원주시,원주농협충전소,강원특별자치도 원주시 호저로 230 (가현동) ,033-737-0721,자동차충전
65,강원 원주시,(합)원주엘피지,강원특별자치도 원주시 호저면 신무로 10,033-734-4488,자동차충전
66,강원 원주시,남원주LPG충전소,강원특별자치도 원주시 행가리1길 2,033-748-5808,자동차충전
67,강원 원주시,삼웅,강원특별자치도 원주시 소초면 북원로 3095,033-735-4977,자동차충전
68,강원 원주시,㈜유성티엔에스 치악(부산방향)충전소,강원특별자치도 원주시 신림면 치악로 416 ,033-763-8603,자동차충전
69,강원 인제군,키다리식품(주)내린천충전소(양양방향),강원특별자치도 인제군 상남면 서울양양고속도로 117,033-752-7220,자동차충전
70,강원 인제군,그린에너지,강원특별자치도 인제군 북면 설악로 3251-28,033-462-5189,자동차충전
71,강원 인제군,설악한계충전소,강원특별자치도 인제군 북면 설악로 3254,033-463-7735,자동차충전
72,강원 인제군,원통LPG충전소,강원특별자치도 인제군 인제읍 설악로 2400,033-462-6620,자동차충전
73,강원 인제군,엘피가스산업주식회사,강원특별자치도 인제군 북면 미시령로 967 ,033-463-5151,용기+자동차+탱크+13kg용기
74,강원 인제군,(주)에스엔에너지(지점),강원특별자치도 인제군 인제읍 광치령로 125,033-461-9688,용기+자동차+탱크+13kg용기
75,강원 인제군,38선LPG충전소,강원특별자치도 인제군 남면 설악로 1137,033-462-3388,자동차충전
76,강원 인제군,키다리식품(주)내린천충전소(서울방향),강원특별자치도 인제군 상남면 서울양양고속도로 117,033-752-7220,자동차충전
77,강원 정선군,정선가스충전소,강원특별자치도 정선군 정선읍 서동로 1255 ,,용기+탱크
78,강원 정선군,하이원충전소,강원특별자치도 정선군 신동읍 강원남로 4123 ,033-378-7601,자동차충전
79,강원 정선군,관문충전소,강원특별자치도 정선군 정선읍 용담길 12 ,033-563-7277,자동차충전
80,강원 정선군,서동충전소,강원특별자치도 정선군 정선읍 서동로 1348 ,033-562-3567,자동차충전
81,강원 정선군,민둥산LPG충전소,강원특별자치도 정선군 남면 강원남로 4997 ,059-140-4009,자동차충전
82,강원 철원군,신문혜충전소,강원특별자치도 철원군 갈말읍 태봉로 1421,033-452-5179,자동차충전
83,강원 철원군,동송LPG충전소,강원특별자치도 철원군 동송읍 북원로 1022,033-455-5852,자동차충전
84,강원 철원군,철원충전소,강원특별자치도 철원군 갈말읍 호국로 4426 (철원LPG충전소),033-452-0017,용기+자동차+탱크+13kg용기
85,강원 춘천시,㈜제이씨가스춘천충전소,강원특별자치도 춘천시 공지로 681 (근화동) ,033-257-1526,용기+자동차+13kg용기
86,강원 춘천시,㈜키웨스트,강원특별자치도 춘천시 영서로 2986 (사농동) ,033-253-8448,자동차충전
87,강원 춘천시,(주)이오젠,강원특별자치도 춘천시 동내면 순환대로 758,033-262-2913,자동차충전
88,강원 춘천시,(주)중앙에너지산업,강원특별자치도 춘천시 동내면 영서로 1864 ,033-263-4400,자동차+탱크
89,강원 춘천시,안보충전소,강원특별자치도 춘천시 서면 경춘로 751 ,033-263-6687,자동차충전
90,강원 춘천시,춘천터미널충전소,강원특별자치도 춘천시 경춘로 2167,033-263-6311,자동차충전
91,강원 춘천시,(합)경춘가스충전소,강원특별자치도 춘천시 동면 춘천로 523 ,033-255-7070,자동차충전
92,강원 춘천시,춘천LPG충전소,강원특별자치도 춘천시 경춘로 2307 (온의동) ,033-252-5803,용기+자동차+탱크
93,강원 춘천시,(주)동보,강원특별자치도 춘천시 동면 한솔만천로 3 ,033-241-8209,자동차충전
94,강원 춘천시,강촌가스,강원특별자치도 춘천시 서면 경춘로 1014,033-262-2870,자동차충전
95,강원 춘천시,남춘천충전소,강원특별자치도 춘천시 신동면 김유정로 1702,033-262-8192,자동차충전
96,강원 춘천시,(주)가스코 유정충전소,강원특별자치도 춘천시 신동면 한치로 966-176,033-261-0066,자동차충전
97,강원 춘천시,(주)중부에너지,강원특별자치도 춘천시 신동면 경춘로 1755 ,033-261-3351,자동차+13kg용기
98,강원 춘천시,(주)원일유통춘천(상)주유소,강원특별자치도 춘천시 동내면 영서로 1432,033-264-0391,자동차충전
99,강원 춘천시,장학충전소,강원특별자치도 춘천시 동면 춘천순환로 913,070-400-3788,자동차충전
100,강원 춘천시,(주)춘천개인택시가스충전소,강원특별자치도 춘천시 옛경춘로 743,033-262-6334,자동차충전
101,강원 춘천시,(주)동보,강원특별자치도 춘천시 춘천로 331 (후평동) ,033-254-6787,용기+자동차+13kg용기
102,강원 춘천시,(주)삼정에너지 ,강원특별자치도 춘천시 동면 후만로 158,033-242-5808,자동차충전
103,강원 춘천시,고려LPG충전소,강원특별자치도 춘천시 사북면 영서로 4905,033-243-5035,자동차충전
104,강원 태백시,(주)고원기건,강원특별자치도 태백시 싸리밭길 60 (화전동) ,033-552-0730,용기+탱크
105,강원 태백시,(주)화전엘피지충전소,강원특별자치도 태백시 태백로 398-11 (화전동) ,033-553-7830,자동차충전
106,강원 태백시,OK에너지(주),강원특별자치도 태백시 동태백로 1141 (통동) ,033-554-4900,자동차+탱크+13kg용기
107,강원 태백시,황지가스충전소,강원특별자치도 태백시 태백로 1361-8 (황지동) ,033-552-2259,용기+자동차+13kg용기
108,강원 태백시,한길충전소,강원특별자치도 태백시 태백로 853 (황지동) ,033-554-0850,자동차충전
109,강원 태백시,(합)태백가스상사,강원특별자치도 태백시 태백로 1430 (문곡동) ,033-581-8306,용기+자동차+13kg용기
110,강원 평창군,평창(상)휴게소LPG충전소,강원특별자치도 평창군 용평면 탑거리길 63 ,033-251-5189,자동차충전
111,강원 평창군,진부가스충전소,강원특별자치도 평창군 진부면 면의동길 24 ,033-336-1919,자동차+13kg용기
112,강원 평창군,동방산업(주)장평충전소,강원특별자치도 평창군 용평면 경강로 1712 ,033-332-4427,용기+자동차+13kg용기
113,강원 평창군,평창방림에너지,강원특별자치도 평창군 방림면 서동로 1551 ,033-334-4747,자동차충전
114,강원 평창군,평창(하)충전소,강원특별자치도 평창군 용평면 경강로 2159-58 ,033-334-5107,자동차충전
115,강원 평창군,(주)에버에너지,강원특별자치도 평창군 진부면 속사재길 292 ,033-335-4100,용기+자동차+탱크+13kg용기
116,강원 홍천군,새홍천충전소,강원특별자치도 홍천군 홍천읍 설악로 1762,033-436-9440,자동차충전
117,강원 홍천군,장남에너지,강원특별자치도 홍천군 두촌면 장남길 81,033-435-1400,자동차충전
118,강원 홍천군,삼마치엘피지충전소,강원특별자치도 홍천군 홍천읍 영서로 1502 ,033-435-8878,자동차충전
119,강원 홍천군,홍천(서울방향)충전소,강원특별자치도 홍천군 화촌면 서울양양고속도로 83-1 ,033-436-7887,자동차충전
120,강원 홍천군,주식회사 엠에스에너지주유소충전소,강원특별자치도 홍천군 홍천읍 설악로 2374,033-435-4566,자동차+13kg용기
121,강원 홍천군,(자)두원에너지,강원특별자치도 홍천군 북방면 홍천로 183 ,033-263-4400,용기+자동차+13kg용기
122,강원 홍천군,홍천(양양방향)충전소,강원특별자치도 홍천군 화촌면 서울양양고속도로 84-1,033-436-7887,자동차충전
123,강원 홍천군,(합)무궁화에너지,강원특별자치도 홍천군 홍천읍 설악로 1277 ,033-433-7373,자동차충전
124,강원 홍천군,제일충전소,강원특별자치도 홍천군 홍천읍 설악로 2367,033-436-5165,자동차충전
125,강원 홍천군,(주)선인상사 홍천강주유소(춘천방향),강원특별자치도 홍천군 북방면 도사곡길 223 ,033-435-6751,자동차충전
126,강원 화천군,화천LPG충전소,강원특별자치도 화천군 하남면 춘화로 2818 ,033-441-5035,자동차충전
127,강원 횡성군,(주)대현유통횡성(서창)주유소,강원특별자치도 횡성군 안흥면 영동고속도로 153-1,033-342-5880,자동차충전
128,강원 횡성군,횡성오렌지충전소,강원특별자치도 횡성군 횡성읍 한우로 180,033-344-7978,자동차충전
129,강원 횡성군,"씨앤에스에너지(주)횡성(하)주유소,충전소",강원특별자치도 횡성군 안흥면 영동고속도로 154,033-342-7357,자동차충전
130,강원 횡성군,㈜동원에너지산업,강원특별자치도 횡성군 횡성읍 경강로 1531 ,033-342-2997,용기+자동차+탱크+13kg용기
131,경기 가평군,KH에너지(주) 가평충전소(춘천방향),경기도 가평군 설악면 미사리로540번길 51 설악휴게소,031-584-5189,자동차충전
132,경기 가평군,HN충전소,경기도 가평군 청평면 경춘로 524 (청평그린주유소),031-585-2813,자동차충전
133,경기 가평군,국토충전소,경기도 가평군 조종면 비득재길 120,031-585-6786,자동차충전
134,경기 가평군,우리에너지,"경기도 가평군 상면 청군로 1070 (연하리 9-1,11-9, 8-1)",031-585-0988,용기+탱크
135,경기 가평군,KH에너지(주) 가평충전소(서울방향),경기도 가평군 설악면 미사리로 544,031-584-5135,자동차충전
136,경기 가평군,대성에너지,경기도 가평군 청평면 경춘로 30,031-584-9200,자동차충전
137,경기 가평군,화랑포충전소,경기도 가평군 청평면 경춘로 121 화랑포LPG충전소,058-581-8158,자동차충전
138,경기 가평군,성원에너지(주),경기도 가평군 가평읍 경춘로 1983-11 ,031-582-9950,용기+자동차+탱크+13kg용기
139,경기 가평군,(주)라인에너지,경기도 가평군 청평면 경춘로 1050,031-584-8646,자동차+탱크+13kg용기
140,경기 가평군,(주)오일유업 경춘LPG충전소,경기도 가평군 가평읍 경춘로 1770 경춘LPG충전소,031-581-4545,자동차충전
141,경기 고양시 덕양구,(주)삼전<명성충전소>,경기도 고양시 덕양구 호국로 1634,031-969-8558,자동차충전
142,경기 고양시 덕양구,믿음충전소,경기도 고양시 덕양구 호국로 1631,031-969-8227,자동차충전
143,경기 고양시 덕양구,원당LPG충전소,경기도 고양시 덕양구 호국로 989 원당LPG충전소,031-968-0343,자동차충전
144,경기 고양시 덕양구,썬엘피지충전소,경기도 고양시 덕양구 중앙로 279,02-3159-8118,자동차충전
145,경기 고양시 덕양구,그린필드충전소,경기도 고양시 덕양구 호국로 1945,031-969-9604,자동차충전
146,경기 고양시 덕양구,원당오렌지충전소,경기도 고양시 덕양구 호국로 996,031-967-0559,자동차충전
147,경기 고양시 덕양구,(주)와이이에스 자유제일충전소,경기도 고양시 덕양구 자유로 489,031-938-1292,자동차충전
148,경기 고양시 덕양구,(주)상암에너지,경기도 고양시 덕양구 자유로 40 ,02-3158-0066,자동차충전
149,경기 고양시 덕양구,화전엘피지충전소,경기도 고양시 덕양구 중앙로 246 ,02-3158-0083,자동차충전
150,경기 고양시 덕양구,복지용두충전소,경기도 고양시 덕양구 서오릉로 569 sk가스,02-3588-8440,자동차충전
151,경기 고양시 덕양구,고양휴게소(문산방향)충전소,경기도 고양시 덕양구 수원문산고속도로 52,031-979-5837,자동차충전
152,경기 고양시 덕양구,통일로충전소,경기도 고양시 덕양구 통일로 1190,031-968-1213,자동차충전
153,경기 고양시 덕양구,서오릉가스충전소,경기도 고양시 덕양구 권율대로 450-1 1동,031-968-8661,자동차충전
154,경기 고양시 덕양구,고양휴게소(서울방향)충전소,경기도 고양시 덕양구 수원문산고속도로 51,031-969-9480,자동차충전
155,경기 고양시 덕양구,(주)서강이엔 한강LPG충전소,경기도 고양시 덕양구 자유로 88 ,02-3159-7119,자동차충전
156,경기 고양시 일산동구,제이원네트웍스(주) 주유소,경기도 고양시 일산동구 무궁화로 362,031-967-8414,자동차충전
157,경기 고양시 일산동구,신우에너지(주),경기도 고양시 일산동구 고봉로 470,031-964-1984,자동차충전
158,경기 고양시 일산동구,(주)원일에너지,경기도 고양시 일산동구 문원길 37 (문봉동) ,031-977-0270,용기+자동차+탱크+13kg용기
159,경기 고양시 일산동구,신우에너지(주)풍동충전소,경기도 고양시 일산동구 고양대로 1026,031-966-0384,자동차충전
160,경기 고양시 일산동구,일산오렌지충전소,경기도 고양시 일산동구 백마로 42,031-903-3586,자동차충전
161,경기 고양시 일산동구,문봉충전소,경기도 고양시 일산동구 성현로 368,031-977-8811,자동차충전
162,경기 고양시 일산동구,설문IC가스충전소,경기도 고양시 일산동구 고봉로 672,031-975-8513,자동차충전
163,경기 고양시 일산동구,일산제일충전소,경기도 고양시 일산동구 고봉로 479,031-976-6096,자동차충전
164,경기 고양시 일산동구,신우에너지(주) 신도시충전소,경기도 고양시 일산동구 경의로 234,031-904-9022,자동차충전
165,경기 고양시 일산서구,신우에너지(주)신일산가스충전소,경기도 고양시 일산서구 경의로 789,031-914-1355,자동차충전
166,경기 고양시 일산서구,이산포충전소,경기도 고양시 일산서구 법곳길 127 (법곳동) ,031-923-8100,자동차충전
167,경기 고양시 일산서구,(주)케이엘페트로 고양덕이동지점,경기도 고양시 일산서구 덕이로 300 (덕이동) ,031-928-4776,자동차충전
168,경기 고양시 일산서구,(주)휴세코(희망충전소),경기도 고양시 일산서구 경의로 910,031-925-5199,자동차충전
169,경기 고양시 일산서구,자유로엘피지충전소,경기도 고양시 일산서구 이산포길 262,031-923-5181,자동차충전
170,경기 과천시,"E1 과천 복합(LPG, 수소)충전소",경기도 과천시 중앙로 526 과천엘피지충전소,023-418-7100,자동차충전
171,경기 과천시,(주)케이씨에너지,경기도 과천시 과천대로 20,02-5074-4022,자동차충전
172,경기 광명시,다원에프엔씨(주)광명충전소,경기도 광명시 광명로 675,02-2613-4904,자동차충전
173,경기 광명시,가학충전소,경기도 광명시 광명로 159 가학충전소,02-2615-6697,자동차충전
174,경기 광명시,극동실업(주),경기도 광명시 범안로 903 극동실업가스충전소,02-8981-1212,용기+자동차+13kg용기
175,경기 광명시,헵시바(주) 헵시바충전소,경기도 광명시 오리로 1044(외4필지),02-2615-5151,자동차충전
176,경기 광주시,(주)풀무원푸드앤컬처광주휴게소(서울방향)충전소,경기도 광주시 곤지암읍 만삼로 211 ,031-802-3948,자동차충전
177,경기 광주시,새광주충전소,경기도 광주시 경충대로 1523 (쌍령동),031-764-1052,자동차충전
178,경기 광주시,인성에너지,경기도 광주시 오포읍 오포로 172-2,031-761-5406,자동차충전
179,경기 광주시,"오포주유소,충전소",경기도 광주시 오포읍 포은대로 317,031-766-0005,자동차충전
180,경기 광주시,새한가스,경기도 광주시 경충대로 1736,031-762-5511,자동차충전
181,경기 광주시,대성산업(주)곤지암충전소,경기도 광주시 곤지암읍 평촌길11번길 72,031-763-6107,용기+자동차+13kg용기
182,경기 광주시,광주가스(주),경기도 광주시 회안대로 946 (송정동),031-765-3477,자동차충전
183,경기 광주시,(주)대지석유갈마엘피지충전소,경기도 광주시 경충대로 2187 (삼동),031-761-5330,자동차충전
184,경기 광주시,(주)성림에너지 태원가스,경기도 광주시 퇴촌면 정영로 414,031-766-6766,자동차충전
185,경기 광주시,(주)서경에너지,경기도 광주시 회안대로 881 (송정동) 881 (송정동),031-766-2300,용기+자동차+탱크+13kg용기
186,경기 광주시,대원석유신사LPG충전소,경기도 광주시 곤지암읍 경충대로 432,031-797-0281,자동차충전
187,경기 광주시,송정에너지,경기도 광주시 회안대로 1003,031-761-4071,자동차충전
188,경기 광주시,곤지암LPG충전소,경기도 광주시 곤지암읍 경충대로 290,031-766-5180,자동차충전
189,경기 광주시,(주)풀무원푸드앤컬처광주휴게소(원주방향)충전소,경기도 광주시 곤지암읍 만삼로 270 ,031-802-3943,자동차충전
190,경기 구리시,(주)성림에너지 사노충전소,경기도 구리시 금강로 331-15,031-575-3365,자동차충전
191,경기 구리시,토평LPG충전소,경기도 구리시 벌말로 8 (토평동),031-567-2121,자동차충전
192,경기 구리시,대성산업(주)아천충전소,경기도 구리시 아차산로 196 (아천동),031-569-5151,자동차충전
193,경기 구리시,구리LPG충전소,경기도 구리시 경춘북로 348 (갈매동),031-552-0242,용기+자동차+탱크+13kg용기
194,경기 구리시,복지구리충전소,경기도 구리시 동구릉로 188,031-557-9300,자동차충전
195,경기 군포시,(주)대야엘피지충전소,경기도 군포시 군포로 148,031-437-7755,자동차충전
196,경기 군포시,(주)대양충전소,경기도 군포시 엘에스로 156 대양충전소,031-427-0033,자동차충전
197,경기 군포시,군포충전소,경기도 군포시 번영로 204,031-462-5500,자동차충전
198,경기 김포시,김포뉴타운 충전소,경기도 김포시 양촌읍 김포대로 1575,070-491-8978,자동차충전
199,경기 김포시,김포IC충전소(구:알찬충전소),경기도 김포시 고촌읍 김포대로451번길 10 ,031-987-4848,자동차충전
200,경기 김포시,고촌LPG충전소,"경기도 김포시 고촌읍 태장로 70,",031-996-6067,자동차충전
201,경기 김포시,다원에프엔씨(주)통진충전소,경기도 김포시 통진읍 김포대로 2055,031-998-5994,자동차충전
202,경기 김포시,강변가스충전소,경기도 김포시 월곶면 김포대로 3009,031-997-6616,자동차충전
203,경기 김포시,대현이엔씨,경기도 김포시 금파로 12,031-996-6671,자동차충전
204,경기 김포시,KH에너지(주) 직영 김포충전소,경기도 김포시 대곶면 대곶북로 141 ,031-988-4971,용기+자동차+탱크+13kg용기
205,경기 김포시,김포가스 합자회사,경기도 김포시 김포대로 1454(운양동 1026-6번지외2필지),031-982-4108,자동차충전
206,경기 김포시,(주)지가스 구:해뜨는충전소,경기도 김포시 양촌읍 봉수대로 1821,031-996-2750,자동차충전
207,경기 김포시,워시랜드김포대로70충전소(주),경기도 김포시 고촌읍 김포대로 70,031-985-4455,자동차충전
208,경기 김포시,실로암엘피지충전소(주),경기도 김포시 고촌읍 개화동로 245 ,031-985-5701,자동차충전
209,경기 김포시,금파충전소,경기도 김포시 금파로 20,031-985-7989,자동차충전
210,경기 김포시,풍무LPG충전소,경기도 김포시 고촌읍 김포대로 601,031-938-1292,자동차충전
211,경기 김포시,초지대교충전소,경기도 김포시 대곶면 대명항로 532,031-988-2252,자동차충전
212,경기 김포시,극동에너비스 신도시충전소(주),경기도 김포시 김포한강3로 390 (마산동) ,031-982-1008,자동차충전
213,경기 남양주시,별내충전소,경기도 남양주시 덕릉로 1137 (별내동),031-575-7477,자동차충전
214,경기 남양주시,팔당LPG충전소,경기도 남양주시 와부읍 경강로 957,031-521-8851,자동차충전
215,경기 남양주시,덕소충전소,경기도 남양주시 경강로 228 (이패동),031-557-8363,자동차충전
216,경기 남양주시,수동휴게소충전소(화도방향),"경기도 남양주시 수동면 비룡로 1183-1, 외3필지 ",,기타
217,경기 남양주시,국제가스공업(주)남양주충전소,경기도 남양주시 경춘로 833,031-595-9370,자동차충전
218,경기 남양주시,(주)케이엘페트로 남양주별내충전소,경기도 남양주시 별내면 구리포천고속도로 14,031-523-3378,자동차충전
219,경기 남양주시,화도에너지,경기도 남양주시 화도읍 경춘로 2205 화도에너지,059-311-1164,자동차충전
220,경기 남양주시,SK대성충전소,경기도 남양주시 진건읍 금강로 586,031-529-2903,자동차충전
221,경기 남양주시,송능충전소,경기도 남양주시 진건읍 진건오남로 405-12,031-528-5022,자동차충전
222,경기 남양주시,수동휴게소충전소(포천방향),경기도 남양주시 수동면 비룡로 1183 외3필지 ,,기타
223,경기 남양주시,광릉충전소,경기도 남양주시 진접읍 금강로 1937,031-528-3651,자동차충전
224,경기 남양주시,덕소마석간충전소,경기도 남양주시 와부읍 수레로 400,031-577-7502,자동차충전
225,경기 남양주시,광전충전소,경기도 남양주시 별내면 송산로 638,031-529-3161,자동차충전
226,경기 남양주시,(주)휴브,경기도 남양주시 고산로 150 (삼패동),031-577-5251,자동차충전
227,경기 남양주시,(주)태진에너지 내각충전소,경기도 남양주시 진접읍 금강로유연들1길 52,031-528-4006,자동차충전
228,경기 남양주시,퇴계원IC충전소,경기도 남양주시 퇴계원면 경춘북로 477,031-528-6780,자동차충전
229,경기 남양주시,호평충전소,경기도 남양주시 경춘로 1510,031-559-5720,자동차충전
230,경기 남양주시,남양주고려LPG충전소,경기도 남양주시 오남읍 양지로 356,031-528-2351,자동차충전
231,경기 동두천시,주식회사 신진엘피지충전소,경기도 동두천시 삼육사로 706 (상패동),031-867-5200,자동차충전
232,경기 동두천시,중앙LPG충전소,경기도 동두천시 강변로 814,031-864-8070,자동차충전
233,경기 동두천시,창림에너지(주),경기도 동두천시 평화로 2884-2 (상봉암동) ,031-866-8111,용기+자동차+탱크+13kg용기
234,경기 동두천시,동두천엘피지,경기도 동두천시 강변로 36 (송내동),031-861-4114,자동차충전
235,경기 동두천시,창림에너지(주) 동두천충전소,경기도 동두천시 평화로 2244 (지행동),031-862-8111,자동차충전
