관리기관명,소재지주소,설치목적구분,카메라대수,관리기관전화번호,위도,경도,데이터기준일자
세종특별자치시,세종특별자치시 반곡동 203-189,생활방범,3,044-300-2454,36.480236,127.312596,2024-05-31
세종특별자치시,세종특별자치시 소담동 9-67,생활방범,3,044-300-2454,36.478766,127.304438,2024-05-31
세종특별자치시,세종특별자치시 보람동 52,생활방범,3,044-300-2454,36.478051,127.29954,2024-05-31
세종특별자치시,세종특별자치시 보람동 313-2,생활방범,3,044-300-2454,36.476254,127.296425,2024-05-31
세종특별자치시,세종특별자치시 보람동 683-1,생활방범,3,044-300-2454,36.474285,127.293376,2024-05-31
세종특별자치시,세종특별자치시 보람동 700-22,생활방범,3,044-300-2454,36.473733,127.290453,2024-05-31
세종특별자치시,세종특별자치시 대평동 77-9,생활방범,3,044-300-2454,36.471332,127.285793,2024-05-31
세종특별자치시,세종특별자치시 중앙공원로 60,생활방범,4,044-300-2454,36.49357,127.276195,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-357,생활방범,3,044-300-2454,36.495267,127.277203,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-118,생활방범,3,044-300-2454,36.48985,127.271262,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-111,생활방범,3,044-300-2454,36.490362,127.272474,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-95,생활방범,3,044-300-2454,36.491662,127.272203,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-93,생활방범,3,044-300-2454,36.490915,127.273421,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-60,생활방범,3,044-300-2454,36.49204,127.276001,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-73,생활방범,3,044-300-2454,36.492589,127.274688,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-56,생활방범,3,044-300-2454,36.493101,127.276101,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-373,생활방범,3,044-300-2454,36.494103,127.27661,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-356,생활방범,3,044-300-2454,36.495917,127.277445,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-340,생활방범,3,044-300-2454,36.495825,127.278714,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-322,생활방범,3,044-300-2454,36.496194,127.279437,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-303,생활방범,3,044-300-2454,36.497291,127.279977,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-275,생활방범,3,044-300-2454,36.497554,127.281012,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-544,생활방범,3,044-300-2454,36.498881,127.281254,2024-05-31
세종특별자치시,세종특별자치시 수목원로 136,생활방범,3,044-300-2454,36.499039,127.282348,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-238,생활방범,3,044-300-2454,36.49939,127.282162,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-265,생활방범,3,044-300-2454,36.499331,127.2811,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-316,생활방범,3,044-300-2454,36.498382,127.278576,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-318,생활방범,3,044-300-2454,36.497385,127.278071,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-352,생활방범,3,044-300-2454,36.497039,127.276375,2024-05-31
세종특별자치시,세종특별자치시 세종동 114-378,생활방범,3,044-300-2454,36.495924,127.275373,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-52,생활방범,3,044-300-2454,36.495485,127.273918,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-54,생활방범,3,044-300-2454,36.494563,127.274619,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-262,생활방범,3,044-300-2454,36.494279,127.275772,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-77,생활방범,3,044-300-2454,36.493774,127.273789,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-251,생활방범,3,044-300-2454,36.494501,127.273101,2024-05-31
세종특별자치시,세종특별자치시 세종동 107-81,생활방범,3,044-300-2454,36.493129,127.273194,2024-05-31
세종특별자치시,세종특별자치시 세종동 548-119,생활방범,3,044-300-2454,36.491335,127.270359,2024-05-31
세종특별자치시,세종특별자치시 도담동 679,생활방범,5,044-300-2454,36.514938,127.257297,2024-05-31
세종특별자치시,세종특별자치시 만남로 151,생활방범,3,044-300-2454,36.51263,127.236691,2024-05-31
세종특별자치시,세종특별자치시 반곡동 산56,생활방범,4,044-300-2454,36.492857,127.304789,2024-05-31
세종특별자치시,세종특별자치시 대평동 643,생활방범,4,044-300-2454,36.470529,127.273026,2024-05-31
세종특별자치시,세종특별자치시 대평동 611-2,생활방범,4,044-300-2454,36.471962,127.276506,2024-05-31
세종특별자치시,세종특별자치시 대평동 65-39,생활방범,4,044-300-2454,36.472724,127.275992,2024-05-31
세종특별자치시,세종특별자치시 새롬동 148-1,생활방범,4,044-300-2454,36.489528,127.25274,2024-05-31
세종특별자치시,세종특별자치시 한솔동 1073,생활방범,4,044-300-2454,36.47912,127.249734,2024-05-31
세종특별자치시,세종특별자치시 도담동 900,생활방범,6,044-300-2454,36.519878,127.260171,2024-05-31
세종특별자치시,세종특별자치시 도담동 900,생활방범,6,044-300-2454,36.517785,127.258347,2024-05-31
세종특별자치시,세종특별자치시 한솔동 1239,생활방범,4,044-300-2454,36.475263,127.249921,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 32,생활방범,4,044-300-2454,36.526279,127.267313,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 32,생활방범,4,044-300-2454,36.52627,127.267304,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 90,생활방범,4,044-300-2454,36.527996,127.270377,2024-05-31
세종특별자치시,세종특별자치시 도담동 663,생활방범,4,044-300-2454,36.513816,127.259014,2024-05-31
세종특별자치시,세종특별자치시 산울동 215-3,생활방범,4,044-300-2454,36.535718,127.264491,2024-05-31
세종특별자치시,세종특별자치시 산울동 199,생활방범,4,044-300-2454,36.536005,127.266086,2024-05-31
세종특별자치시,세종특별자치시 산울동 118,생활방범,5,044-300-2454,36.53601,127.269596,2024-05-31
세종특별자치시,세종특별자치시 한별동 산10,생활방범,5,044-300-2454,36.53291,127.270446,2024-05-31
세종특별자치시,세종특별자치시 산울동 산 10,생활방범,5,044-300-2454,36.53066,127.265915,2024-05-31
세종특별자치시,세종특별자치시 산울동 184-5,생활방범,5,044-300-2454,36.533159,127.265158,2024-05-31
세종특별자치시,세종특별자치시 산울동 245,생활방범,5,044-300-2454,36.534706,127.262754,2024-05-31
세종특별자치시,세종특별자치시 산울동 238,생활방범,4,044-300-2454,36.532894,127.261975,2024-05-31
세종특별자치시,세종특별자치시 아름동 1478,생활방범,4,044-300-2454,36.526432,127.256461,2024-05-31
세종특별자치시,세종특별자치시 아름동 1479,생활방범,4,044-300-2454,36.525522,127.260899,2024-05-31
세종특별자치시,세종특별자치시 산울동 369-1,생활방범,5,044-300-2454,36.527011,127.261374,2024-05-31
세종특별자치시,세종특별자치시 산울동 620-1,생활방범,4,044-300-2454,36.528254,127.262495,2024-05-31
세종특별자치시,세종특별자치시 산울동 산109-1,생활방범,5,044-300-2454,36.529262,127.25799,2024-05-31
세종특별자치시,세종특별자치시 산울동 28,생활방범,4,044-300-2454,36.529214,127.259045,2024-05-31
세종특별자치시,세종특별자치시 산울동 626,생활방범,4,044-300-2454,36.529205,127.260246,2024-05-31
세종특별자치시,세종특별자치시 산울동 279-3,생활방범,5,044-300-2454,36.529945,127.258808,2024-05-31
세종특별자치시,세종특별자치시 한솔동 1060,생활방범,5,044-300-2454,36.477722,127.24866,2024-05-31
세종특별자치시,세종특별자치시 세종동 산 379,생활방범,5,044-300-2454,36.518612,127.275,2024-05-31
세종특별자치시,세종특별자치시 아름동 1285,생활방범,5,044-300-2454,36.5125,127.247887,2024-05-31
세종특별자치시,세종특별자치시 해밀동 30,생활방범,3,044-300-2454,36.522426,127.276956,2024-05-31
세종특별자치시,세종특별자치시 해밀동 24,생활방범,5,044-300-2454,36.524084,127.277191,2024-05-31
세종특별자치시,세종특별자치시 해밀동 18,생활방범,4,044-300-2454,36.524022,127.275608,2024-05-31
세종특별자치시,세종특별자치시 해밀동 62,생활방범,5,044-300-2454,36.525012,127.275823,2024-05-31
세종특별자치시,세종특별자치시 해밀동 605,생활방범,4,044-300-2454,36.524492,127.274616,2024-05-31
세종특별자치시,세종특별자치시 해밀동 13,생활방범,5,044-300-2454,36.523735,127.274993,2024-05-31
세종특별자치시,세종특별자치시 해밀동 67,생활방범,4,044-300-2454,36.522881,127.274456,2024-05-31
세종특별자치시,세종특별자치시 해밀2로 78,생활방범,4,044-300-2454,36.525477,127.273636,2024-05-31
세종특별자치시,세종특별자치시 해밀2로 78,생활방범,5,044-300-2454,36.524489,127.273371,2024-05-31
세종특별자치시,세종특별자치시 해밀7로 19,생활방범,4,044-300-2454,36.525126,127.272903,2024-05-31
세종특별자치시,세종특별자치시 해밀동 74-2,생활방범,4,044-300-2454,36.524474,127.272251,2024-05-31
세종특별자치시,세종특별자치시 해밀동 113-1,생활방범,4,044-300-2454,36.526432,127.272227,2024-05-31
세종특별자치시,세종특별자치시 해밀동 606,생활방범,4,044-300-2454,36.52554,127.271717,2024-05-31
세종특별자치시,세종특별자치시 해밀동 77-1,생활방범,4,044-300-2454,36.52364,127.271128,2024-05-31
세종특별자치시,세종특별자치시 해밀동 115-1,생활방범,5,044-300-2454,36.526536,127.271436,2024-05-31
세종특별자치시,세종특별자치시 해밀동 94-1,생활방범,4,044-300-2454,36.524707,127.270448,2024-05-31
세종특별자치시,세종특별자치시 해밀동 84-1,생활방범,5,044-300-2454,36.523837,127.269108,2024-05-31
세종특별자치시,세종특별자치시 해밀동 472-1,생활방범,5,044-300-2454,36.523626,127.26748,2024-05-31
세종특별자치시,세종특별자치시 해밀동 473,생활방범,5,044-300-2454,36.523023,127.267431,2024-05-31
세종특별자치시,세종특별자치시 해밀동 산 10,생활방범,5,044-300-2454,36.527317,127.269567,2024-05-31
세종특별자치시,세종특별자치시 해밀동 산 10,생활방범,5,044-300-2454,36.526831,127.268523,2024-05-31
세종특별자치시,세종특별자치시 해밀동 산 10,생활방범,5,044-300-2454,36.525929,127.269217,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 32,생활방범,4,044-300-2454,36.524857,127.26847,2024-05-31
세종특별자치시,세종특별자치시 해밀동 464,생활방범,4,044-300-2454,36.52449,127.267067,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 32,생활방범,3,044-300-2454,36.52516,127.265256,2024-05-31
세종특별자치시,세종특별자치시 해밀2로 6,생활방범,4,044-300-2454,36.528444,127.267875,2024-05-31
세종특별자치시,세종특별자치시 해밀2로 6,생활방범,5,044-300-2454,36.527486,127.267436,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 90,생활방범,4,044-300-2454,36.523513,127.273103,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 85,생활방범,5,044-300-2454,36.531667,127.268446,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 85,생활방범,4,044-300-2454,36.530948,127.268876,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 32,생활방범,5,044-300-2454,36.529731,127.267228,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 32,생활방범,5,044-300-2454,36.52856,127.264995,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 32,생활방범,4,044-300-2454,36.527543,127.263916,2024-05-31
세종특별자치시,세종특별자치시 해밀3로 32,생활방범,4,044-300-2454,36.524227,127.264638,2024-05-31
세종특별자치시,세종특별자치시 소정리 603-26,생활방범,3,044-300-2454,36.711199,127.145194,2024-05-31
세종특별자치시,세종특별자치시 송곡리 285-24,생활방범,3,044-300-2454,36.629548,127.25721,2024-05-31
세종특별자치시,세종특별자치시 읍내리 364,생활방범,3,044-300-2454,36.680447,127.191953,2024-05-31
세종특별자치시,세종특별자치시 다방리 118-1,생활방범,3,044-300-2454,36.603077,127.189459,2024-05-31
세종특별자치시,세종특별자치시 가마골길 73-2,생활방범,3,044-300-2454,36.559415,127.270989,2024-05-31
세종특별자치시,세종특별자치시 도신고복로 913,생활방범,2,044-300-2454,36.612485,127.247997,2024-05-31
세종특별자치시,세종특별자치시 대교리 94-14,생활방범,3,044-300-2454,36.515235,127.220066,2024-05-31
세종특별자치시,세종특별자치시 장척로 419-10,생활방범,3,044-300-2454,36.495604,127.205774,2024-05-31
세종특별자치시,세종특별자치시 은용1길 240,생활방범,2,044-300-2454,36.478371,127.212346,2024-05-31
세종특별자치시,세종특별자치시 용포이암길9,생활방범,4,044-300-2454,36.532549,127.385049,2024-05-31
세종특별자치시,세종특별자치시 부강리 1146-1,생활방범,4,044-300-2454,36.528988,127.368958,2024-05-31
세종특별자치시,세종특별자치시 부강리 1146-1,생활방범,4,044-300-2454,36.529341,127.368023,2024-05-31
세종특별자치시,세종특별자치시 문곡자창이길 60-11,생활방범,3,044-300-2454,36.53257,127.384978,2024-05-31
세종특별자치시,세종특별자치시 응암1길 104,생활방범,3,044-300-2454,36.542947,127.34136,2024-05-31
세종특별자치시,세종특별자치시 눌왕리 710-124,생활방범,3,044-300-2454,36.545341,127.262532,2024-05-31
세종특별자치시,세종특별자치시 침산리 산2-3,생활방범,3,044-300-2454,36.597975,127.283883,2024-05-31
세종특별자치시,세종특별자치시 신흥리 369-4,생활방범,3,044-300-2454,36.595885,127.285198,2024-05-31
세종특별자치시,세종특별자치시 침산리 290,생활방범,2,044-300-2454,36.605513,127.293595,2024-05-31
세종특별자치시,세종특별자치시 내창1길 5,생활방범,3,044-300-2454,36.606952,127.290851,2024-05-31
세종특별자치시,세종특별자치시 으뜸길 177,생활방범,2,044-300-2454,36.599784,127.296724,2024-05-31
세종특별자치시,세종특별자치시 고등리 661,생활방범,3,044-300-2454,36.72356,127.1964,2024-05-31
세종특별자치시,세종특별자치시 운당리 130-3,생활방범,3,044-300-2454,36.69979,127.1511,2024-05-31
세종특별자치시,세종특별자치시 보덕리 371-8,생활방범,3,044-300-2454,36.64353,127.2565,2024-05-31
세종특별자치시,세종특별자치시 청송리 118-16,생활방범,3,044-300-2454,36.6595,127.2599,2024-05-31
세종특별자치시,세종특별자치시 미곡리 557,생활방범,3,044-300-2454,36.67002,127.2277,2024-05-31
세종특별자치시,세종특별자치시 심중리 631-3,생활방범,3,044-300-2454,36.64255,127.2778,2024-05-31
세종특별자치시,세종특별자치시 전동로 375,생활방범,3,044-300-2454,36.68081,127.2631,2024-05-31
세종특별자치시,세종특별자치시 어천길 91,생활방범,2,044-300-2454,36.69511,127.1659,2024-05-31
세종특별자치시,세종특별자치시 신정리 415-8,생활방범,2,044-300-2454,36.69183,127.2147,2024-05-31
세종특별자치시,세종특별자치시 유천리 산 85-5,생활방범,2,044-300-2454,36.68783,127.1664,2024-05-31
세종특별자치시,세종특별자치시 읍내리 356-4,생활방범,4,044-300-2454,36.67993,127.2045,2024-05-31
세종특별자치시,세종특별자치시 다방리 282-1,생활방범,3,044-300-2454,36.59729,127.1741,2024-05-31
세종특별자치시,세종특별자치시 관정리 291-14,생활방범,3,044-300-2454,36.70176,127.2115,2024-05-31
세종특별자치시,세종특별자치시 용암리 331,생활방범,3,044-300-2454,36.58935,127.2266,2024-05-31
세종특별자치시,세종특별자치시 당산로 384,생활방범,3,044-300-2454,36.56479,127.2838,2024-05-31
세종특별자치시,세종특별자치시 당산로 384,생활방범,3,044-300-2454,36.55886,127.2838,2024-05-31
세종특별자치시,세종특별자치시 와촌리 1211-2,생활방범,3,044-300-2454,36.55599,127.2246,2024-05-31
세종특별자치시,세종특별자치시 월하리 652,생활방범,3,044-300-2454,36.57288,127.2898,2024-05-31
세종특별자치시,세종특별자치시 금암리 636,생활방범,3,044-300-2454,36.44197,127.2016,2024-05-31
세종특별자치시,세종특별자치시 은용리 475-8,생활방범,3,044-300-2454,36.48877,127.1972,2024-05-31
세종특별자치시,세종특별자치시 송학리 511-4,생활방범,3,044-300-2454,36.53855,127.1897,2024-05-31
세종특별자치시,세종특별자치시 평기리 388,생활방범,3,044-300-2454,36.50461,127.2003,2024-05-31
세종특별자치시,세종특별자치시 금암리 125,생활방범,3,044-300-2454,36.45239,127.2262,2024-05-31
세종특별자치시,세종특별자치시 대학길 118,생활방범,2,044-300-2454,36.4413,127.2243,2024-05-31
세종특별자치시,세종특별자치시 신촌2길 22-12,생활방범,3,044-300-2454,36.47195,127.2884,2024-05-31
세종특별자치시,세종특별자치시 발산리 190-3,생활방범,2,044-300-2454,36.44699,127.2855,2024-05-31
세종특별자치시,세종특별자치시 바람재로 615-5,생활방범,3,044-300-2454,36.45868,127.3337,2024-05-31
세종특별자치시,세종특별자치시 감성리 267-7,생활방범,3,044-300-2454,36.4397,127.2929,2024-05-31
세종특별자치시,세종특별자치시 황용리 590,생활방범,3,044-300-2454,36.47987,127.3277,2024-05-31
세종특별자치시,세종특별자치시 용포리 210-7,생활방범,3,044-300-2454,36.46783,127.2824,2024-05-31
세종특별자치시,세종특별자치시 남곡리 225-6,생활방범,3,044-300-2454,36.46542,127.3069,2024-05-31
세종특별자치시,세종특별자치시 노호리 430,생활방범,2,044-300-2454,36.50328,127.3993,2024-05-31
세종특별자치시,세종특별자치시 부강금호로 312,생활방범,3,044-300-2454,36.50191,127.3545,2024-05-31
세종특별자치시,세종특별자치시 부강리 1169-2,생활방범,2,044-300-2454,36.53581,127.3667,2024-05-31
세종특별자치시,세종특별자치시 노호리 95-1,생활방범,3,044-300-2454,36.49491,127.4056,2024-05-31
세종특별자치시,세종특별자치시 예양리 700-2,생활방범,4,044-300-2454,36.57648,127.3101,2024-05-31
세종특별자치시,세종특별자치시 응암리 227-8,생활방범,3,044-300-2454,36.5536,127.3404,2024-05-31
세종특별자치시,세종특별자치시 명학리 656,생활방범,3,044-300-2454,36.52365,127.352,2024-05-31
세종특별자치시,세종특별자치시 명학리 664,생활방범,3,044-300-2454,36.53588,127.3426,2024-05-31
세종특별자치시,세종특별자치시 수산길 2,생활방범,3,044-300-2454,36.54288,127.228,2024-05-31
세종특별자치시,세종특별자치시 보통리 500,생활방범,3,044-300-2454,36.54348,127.2919,2024-05-31
세종특별자치시,세종특별자치시 원리 132-3,생활방범,2,044-300-2454,36.60575,127.2957,2024-05-31
세종특별자치시,세종특별자치시 죽림리 344,생활방범,3,044-300-2454,36.58907,127.2969,2024-05-31
세종특별자치시,세종특별자치시 침산리 76-3,생활방범,3,044-300-2454,36.60079,127.2899,2024-05-31
세종특별자치시,세종특별자치시 신안리 245-9,생활방범,3,044-300-2454,36.63422,127.2911,2024-05-31
세종특별자치시,세종특별자치시 서창리 50-5,생활방범,2,044-300-2454,36.61297,127.294,2024-05-31
세종특별자치시,세종특별자치시 침산리 289,생활방범,4,044-300-2454,36.60541,127.2921,2024-05-31
세종특별자치시,세종특별자치시 새내19길 29,생활방범,3,044-300-2454,36.60704,127.2955,2024-05-31
세종특별자치시,세종특별자치시 한솔동 945(1),생활방범,1,044-300-2454,36.480042,127.259794,2024-05-31
세종특별자치시,세종특별자치시 어울로 40 (한솔동),생활방범,1,044-300-2454,36.48042,127.250482,2024-05-31
세종특별자치시,세종특별자치시 나리로 43 (한솔동),생활방범,1,044-300-2454,36.476279,127.253841,2024-05-31
세종특별자치시,세종특별자치시 나리로 43 (한솔동),생활방범,1,044-300-2454,36.477392,127.255531,2024-05-31
세종특별자치시,세종특별자치시 누리1로 40 (한솔동),생활방범,1,044-300-2454,36.474908,127.24841,2024-05-31
세종특별자치시,세종특별자치시 어울로 30 (한솔동),생활방범,1,044-300-2454,36.480087,127.249137,2024-05-31
세종특별자치시,세종특별자치시 누리1로 65 (한솔동),생활방범,2,044-300-2454,36.476507,127.247234,2024-05-31
세종특별자치시,세종특별자치시 한솔동 980,생활방범,1,044-300-2454,36.470788,127.256934,2024-05-31
세종특별자치시,세종특별자치시 어울로 15 (한솔동),생활방범,1,044-300-2454,36.479632,127.24777,2024-05-31
세종특별자치시,세종특별자치시 나리로 110 (한솔동),생활방범,1,044-300-2454,36.4785,127.261423,2024-05-31
세종특별자치시,세종특별자치시 누리로 110 (한솔동),생활방범,1,044-300-2454,36.480115,127.253186,2024-05-31
세종특별자치시,세종특별자치시 노을3로 75 (한솔동),생활방범,1,044-300-2454,36.478496,127.2555,2024-05-31
세종특별자치시,세종특별자치시 노을3로 10 (한솔동),생활방범,2,044-300-2454,36.482083,127.259524,2024-05-31
세종특별자치시,세종특별자치시 한솔동 979,생활방범,1,044-300-2454,36.471479,127.257284,2024-05-31
세종특별자치시,세종특별자치시 한솔동 1234,생활방범,1,044-300-2454,36.476604,127.257304,2024-05-31
세종특별자치시,세종특별자치시 한솔동 959,생활방범,1,044-300-2454,36.478131,127.261594,2024-05-31
세종특별자치시,세종특별자치시 나리로 90 (한솔동),생활방범,1,044-300-2454,36.477256,127.25961,2024-05-31
세종특별자치시,세종특별자치시 누리로 86 (한솔동),생활방범,1,044-300-2454,36.479713,127.250556,2024-05-31
세종특별자치시,세종특별자치시 나리로 58 (한솔동),생활방범,2,044-300-2454,36.475777,127.256167,2024-05-31
세종특별자치시,세종특별자치시 나리로 43 (한솔동),생활방범,1,044-300-2454,36.475682,127.254732,2024-05-31
세종특별자치시,세종특별자치시 누리로 30 (한솔동),생활방범,1,044-300-2454,36.475821,127.252192,2024-05-31
세종특별자치시,세종특별자치시 나리로 43 (한솔동),생활방범,1,044-300-2454,36.476526,127.252147,2024-05-31
세종특별자치시,세종특별자치시 나리로 43 (한솔동),생활방범,1,044-300-2454,36.477441,127.254104,2024-05-31
세종특별자치시,세종특별자치시 누리로 32 (한솔동),생활방범,3,044-300-2454,36.477638,127.253685,2024-05-31
세종특별자치시,세종특별자치시 누리1로 63 (한솔동),생활방범,2,044-300-2454,36.477807,127.249609,2024-05-31
세종특별자치시,세종특별자치시 노을3로 50 (한솔동),생활방범,1,044-300-2454,36.478648,127.25792,2024-05-31
세종특별자치시,세종특별자치시 나리로 43 (한솔동),생활방범,1,044-300-2454,36.476556,127.255682,2024-05-31
세종특별자치시,세종특별자치시 노을3로 92 (한솔동),생활방범,1,044-300-2454,36.479997,127.254596,2024-05-31
세종특별자치시,세종특별자치시 노을3로 70 (한솔동),생활방범,1,044-300-2454,36.480164,127.258783,2024-05-31
세종특별자치시,세종특별자치시 누리로 40 (한솔동),생활방범,1,044-300-2454,36.476326,127.251194,2024-05-31
세종특별자치시,세종특별자치시 나리로 82 (한솔동),생활방범,1,044-300-2454,36.475696,127.258224,2024-05-31
세종특별자치시,세종특별자치시 노을1로 30 (한솔동),생활방범,3,044-300-2454,36.479792,127.259247,2024-05-31
세종특별자치시,세종특별자치시 누리로 32 (한솔동),생활방범,3,044-300-2454,36.477519,127.252086,2024-05-31
세종특별자치시,세종특별자치시 어울로 5 (한솔동),생활방범,1,044-300-2454,36.479222,127.246694,2024-05-31
세종특별자치시,세종특별자치시 나리로 27 (한솔동),생활방범,1,044-300-2454,36.473391,127.254586,2024-05-31
세종특별자치시,세종특별자치시 어울로 87 (한솔동),생활방범,1,044-300-2454,36.481942,127.255133,2024-05-31
세종특별자치시,세종특별자치시 어울로 72 (한솔동),생활방범,3,044-300-2454,36.481448,127.253818,2024-05-31
세종특별자치시,세종특별자치시 나리로 58 (한솔동),생활방범,2,044-300-2454,36.471792,127.253062,2024-05-31
세종특별자치시,세종특별자치시 누리로 96 (한솔동),생활방범,1,044-300-2454,36.47549,127.25089,2024-05-31
세종특별자치시,세종특별자치시 한솔동 1247,생활방범,1,044-300-2454,36.47915,127.25374,2024-05-31
세종특별자치시,세종특별자치시 누리로 3 (한솔동),생활방범,3,044-300-2454,36.474701,127.254796,2024-05-31
세종특별자치시,세종특별자치시 집현동 883-243,생활방범,4,044-300-2454,36.483078,127.323185,2024-05-31
세종특별자치시,세종특별자치시 집현동 산 198,생활방범,3,044-300-2454,36.482519,127.32059,2024-05-31
세종특별자치시,세종특별자치시 집현동 789-150,생활방범,3,044-300-2454,36.481504,127.324116,2024-05-31
세종특별자치시,세종특별자치시 집현동 1012-3,생활방범,3,044-300-2454,36.500053,127.332933,2024-05-31
세종특별자치시,세종특별자치시 집현동 1065,생활방범,3,044-300-2454,36.500223,127.330653,2024-05-31
세종특별자치시,세종특별자치시 집현동 883-177,생활방범,5,044-300-2454,36.485345,127.323769,2024-05-31
세종특별자치시,세종특별자치시 집현동 785-208,생활방범,3,044-300-2454,36.487351,127.324612,2024-05-31
세종특별자치시,세종특별자치시 집현동 785-228,생활방범,4,044-300-2454,36.486275,127.324052,2024-05-31
