시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,설치년도,설치목적,데이터기준일자,제공기관코드,제공기관명
반여2배수펌프장,부산광역시,해운대구,부산광역시 해운대구 수영강변대로 527(반여동),부산광역시 해운대구 반여동 1502-16번지,35.20492279,129.1196129,051-749-4871,2003.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
재송2배수펌프장,부산광역시,해운대구,부산광역시 해운대구 해운대로 89번가길 13(재송동) 부근,부산광역시 해운대구 재송동 188 부근,35.18944656,129.121561,051-749-4871,2004.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
용천맨홀배수펌프장,부산광역시,해운대구,부산광역시 해운대구 수영강변대로 382(센텀피오레APT 앞),부산광역시 해운대구 재송동 1302번지 앞,35.19271178,129.1150835,051-749-4871,2020.0,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
장위빗물펌프장,서울특별시,성북구,서울특별시 성북구 한천로 724,서울특별시 성북구 장위동 270-1,37.61881724,127.0558739,02-2241-6376,2004.0,침수방지,2024-08-08,3070000,서울특별시 성북구
석관빗물펌프장,서울특별시,성북구,서울특별시 성북구 한천로66길 203,서울특별시 성북구 석관동 134-2,37.61347394,127.0654917,02-2241-6371,2002.0,침수방지,2024-08-08,3070000,서울특별시 성북구
5일시장펌프장,전라남도,함평군,,전라남도 함평군 함평읍 기각리 264-1,35.06351118,126.5240035,061-320-1992,2021.0,침수방지,2024-08-09,4960000,전라남도 함평군
우시장펌프장,전라남도,함평군,,전라남도 함평군 함평읍 기각리 196-6,35.06200733,126.5266488,061-320-1992,1992.0,침수방지,2024-08-09,4960000,전라남도 함평군
나산펌프장,전라남도,함평군,,전라남도 함평군 나산면 삼축리 1213-14,35.1085788958,126.608370977,061-320-1992,2021.0,침수방지,2024-08-09,4960000,전라남도 함평군
원고막펌프장,전라남도,함평군,,전라남도 함평군 학교면 고막리 108-1,35.033390244,126.5923864723,061-320-1992,1985.0,침수방지,2024-08-09,4960000,전라남도 함평군
쌍교펌프장,전라남도,함평군,,전라남도 함평군 학교면 학교리 445-10,35.0185912404,126.5366577867,061-320-1992,1999.0,침수방지,2024-08-09,4960000,전라남도 함평군
신촌펌프장,전라남도,함평군,,전라남도 함평군 함평읍 기각리 189-7,35.0605982367,126.5273121793,061-320-1992,2011.0,침수방지,2024-08-09,4960000,전라남도 함평군
용산배수펌프장,전북특별자치도,남원시,,전북특별자치도 남원시 덕과면 용산리 1063-6,35.5503702583,127.3442496599,,2020.0,재해예방,2024-08-08,4701000,전북특별자치도 남원시
세전배수펌프장,전북특별자치도,남원시,전북특별자치도 남원시 송동면 노송로 150-151,전북특별자치도 남원시 송동면 세전리 1401-28,35.3108890117,127.3223165669,,,재해예방,2024-08-08,4701000,전북특별자치도 남원시
토계배수펌프장,충청북도,충주시,,충청북도 충주시 살미면 토계리 447,36.8983260061,127.9197934438,,2022.0,재난대응용,2024-07-31,4390000,충청북도 충주시
봉방 배수펌프장,충청북도,충주시,,충청북도 충주시 봉방동 546-3,36.98123293,127.8971978598,,1992.0,침수방지,2024-07-31,4390000,충청북도 충주시
용두 배수펌프장,충청북도,충주시,,충청북도 충주시 용두동 461-16,36.97162793,127.8891750185,,1992.0,침수방지,2024-07-31,4390000,충청북도 충주시
창동 배수펌프장,충청북도,충주시,,충청북도 충주시 중앙탑면 창동리 196,36.9858688716,127.8860862,,2000.0,침수방지,2024-07-31,4390000,충청북도 충주시
목계 배수펌프장,충청북도,충주시,,충청북도 충주시 엄정면 목계리 247,37.07695324,127.8860756,,2002.0,침수방지,2024-07-31,4390000,충청북도 충주시
칠금 간이배수펌프장,충청북도,충주시,,충청북도 충주시 칠금동 459-57,36.9877203016,127.8921634441,,1992.0,침수방지,2024-07-31,4390000,충청북도 충주시
만정 배수펌프장,충청북도,충주시,,충청북도 충주시 대소원면 검단리 73-2,36.96485699,127.8762794,,2010.0,침수방지,2024-07-31,4390000,충청북도 충주시
문산배수펌프장,경기도,파주시,경기도 파주시 문산읍 개포래로 88,경기도 파주시 문산읍 문산리 10-87,37.8568720637,126.7812473253,,2000.0,침수방지,2024-08-08,4060000,경기도 파주시
당동배수펌프장,경기도,파주시,경기도 파주시 문산읍 당동1로 39-65,경기도 파주시 문산읍 당동리 548,37.8604984623,126.7732393348,,2002.0,침수방지,2024-08-08,4060000,경기도 파주시
선유3배수펌프장,경기도,파주시,경기도 파주시 문산읍 통일로 1626-37,경기도 파주시 문산읍 선유리 1392-6,37.8538069555,126.7898128911,,2000.0,침수방지,2024-08-08,4060000,경기도 파주시
선유4배수펌프장,경기도,파주시,경기도 파주시 문산읍 독서울2길 46-94,경기도 파주시 문산읍 선유리 1176,37.860737571,126.8028153738,,2000.0,침수방지,2024-08-08,4060000,경기도 파주시
봉일천배수펌프장,경기도,파주시,경기도 파주시 조리읍 송비말길 79-48,경기도 파주시 조리읍 봉일천리 197-11,37.7443582422,126.8025988747,,2000.0,침수방지,2024-08-08,4060000,경기도 파주시
가월리배수펌프장,경기도,파주시,경기도 파주시 적성면 가월로 133-110,경기도 파주시 적성면 가월리 1126,37.9725233258,126.8985367744,,2008.0,침수방지,2024-08-08,4060000,경기도 파주시
두지배수펌프장,경기도,파주시,경기도 파주시 적성면 율곡로 1934,경기도 파주시 적성면 두지리 61-2,37.9679657897,126.8998184436,,2010.0,침수방지,2024-08-08,4060000,경기도 파주시
두포배수펌프장,경기도,파주시,경기도 파주시 파평면 파평산로 498-8,경기도 파주시 파평면 두포리 353-1,37.9031950607,126.8337057214,,2002.0,침수방지,2024-08-08,4060000,경기도 파주시
두포삼거리배수펌프장,경기도,파주시,경기도 파주시 파평면 파평산로 561,경기도 파주시 파평면 두포리 397-2,37.9045043117,126.8254911763,,2004.0,침수방지,2024-08-08,4060000,경기도 파주시
문발배수펌프장,경기도,파주시,경기도 파주시 직지길 457-50,경기도 파주시 문발동 647,37.7209758631,126.6882446154,,2012.0,침수방지,2024-08-08,4060000,경기도 파주시
운정배수펌프장,경기도,파주시,경기도 파주시 소리천로 215,경기도 파주시 와동동 1478,37.734355987,126.770377919,,2012.0,침수방지,2024-08-08,4060000,경기도 파주시
금촌기존배수펌프장,경기도,파주시,경기도 파주시 평화로 86,경기도 파주시 금촌동 366-1,37.765197605,126.7703410459,,1995.0,침수방지,2024-08-08,4060000,경기도 파주시
금촌2배수펌프장,경기도,파주시,경기도 파주시 강천길 58-98,경기도 파주시 금촌동 890,37.7607031686,126.762935853,,2000.0,침수방지,2024-08-08,4060000,경기도 파주시
금촌제1교배수펌프장,경기도,파주시,경기도 파주시 새꽃로 243,경기도 파주시 아동동 311-3,37.7674816752,126.7787912124,,2008.0,침수방지,2024-08-08,4060000,경기도 파주시
문산2간이배수펌프장,경기도,파주시,,경기도 파주시 문산읍 문산리 140-40,37.8590308649,126.7767317116,,2001.0,침수방지,2024-08-08,4060000,경기도 파주시
문산5간이배수펌프장,경기도,파주시,경기도 파주시 문산읍 개포래로 34,경기도 파주시 문산읍 문산리 35-8,37.852754329,126.7848979142,,1995.0,침수방지,2024-08-08,4060000,경기도 파주시
문산4-1간이배수펌프장,경기도,파주시,경기도 파주시 문산읍 문향로68번길 43-3,경기도 파주시 문산읍 문산리 17-23,37.8562611924,126.7867332134,,2002.0,침수방지,2024-08-08,4060000,경기도 파주시
문산4-2간이배수펌프장,경기도,파주시,경기도 파주시 문산읍 문향로68번길 43-3,경기도 파주시 문산읍 문산리 17-23,37.8562611924,126.7867332134,,2002.0,침수방지,2024-08-08,4060000,경기도 파주시
문산4-3간이배수펌프장,경기도,파주시,경기도 파주시 문산읍 문향로68번길 43-3,경기도 파주시 문산읍 문산리 17-23,37.8562611924,126.7867332134,,2002.0,침수방지,2024-08-08,4060000,경기도 파주시
사목리간이배수펌프장,경기도,파주시,,경기도 파주시 문산읍 사목리 204-6,37.8692583505,126.7508430604,,2003.0,침수방지,2024-08-08,4060000,경기도 파주시
장례식장간이배수펌프장,경기도,파주시,,경기도 파주시 문산읍 선유리 966-13,37.8594459788,126.7888306909,,2008.0,침수방지,2024-08-08,4060000,경기도 파주시
봉일천4리간이배수펌프장,경기도,파주시,,경기도 파주시 조리읍 봉일천리 80-22,37.7403268821,126.8221653655,,1996.0,침수방지,2024-08-08,4060000,경기도 파주시
능안리간이배수펌프장,경기도,파주시,,경기도 파주시 조리읍 능안리 40-1,37.7419497288,126.7928567326,,2008.0,침수방지,2024-08-08,4060000,경기도 파주시
봉암1리간이배수펌프장,경기도,파주시,,경기도 파주시 파주읍 봉암리 520-23,37.8142478072,126.7959860139,,2001.0,침수방지,2024-08-08,4060000,경기도 파주시
봉서2리간이배수펌프장,경기도,파주시,경기도 파주시 파주읍 문산역로 49-107,경기도 파주시 파주읍 봉서리 1303-12,37.8496195852,126.783534476,,2002.0,침수방지,2024-08-08,4060000,경기도 파주시
봉서3리간이배수펌프장,경기도,파주시,,경기도 파주시 파주읍 봉서리 1165-2,37.8541301469,126.7988945455,,2001.0,침수방지,2024-08-08,4060000,경기도 파주시
백석5간이배수펌프장,경기도,파주시,,경기도 파주시 파주읍 백석리 124-15,37.8014758799,126.8111276419,,2001.0,침수방지,2024-08-08,4060000,경기도 파주시
연풍1간이배수펌프장,경기도,파주시,경기도 파주시 파주읍 연풍4길 76-16,경기도 파주시 파주읍 연풍리 309-34,37.8280730884,126.8367188165,,2001.0,침수방지,2024-08-08,4060000,경기도 파주시
평전배수장,전라남도,영광군,,전라남도 영광군 영광읍 양평리 9-1,35.3175771233,126.5121075486,061-350-5283,2016.0,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
연풍2간이배수펌프장,경기도,파주시,,경기도 파주시 파주읍 연풍리 300-4,37.8277618844,126.8384134016,,2001.0,침수방지,2024-08-08,4060000,경기도 파주시
연풍3간이배수펌프장,경기도,파주시,,경기도 파주시 파주읍 연풍리 299-8,37.8281727218,126.8380529744,,2001.0,침수방지,2024-08-08,4060000,경기도 파주시
연풍4간이배수펌프장,경기도,파주시,경기도 파주시 파주읍 연풍내길 25,경기도 파주시 파주읍 연풍리 287-5,37.8279939543,126.8411772148,,2005.0,침수방지,2024-08-08,4060000,경기도 파주시
연풍5간이배수펌프장,경기도,파주시,,경기도 파주시 파주읍 연풍리 117-10,37.8273209563,126.8412829406,,2012.0,침수방지,2024-08-08,4060000,경기도 파주시
낙하리간이배수펌프장,경기도,파주시,,경기도 파주시 탄현면 낙하리 172-7,37.8435008672,126.7273346165,,2001.0,침수방지,2024-08-08,4060000,경기도 파주시
갈현3간이배수펌프장,경기도,파주시,,경기도 파주시 탄현면 갈현리 1907-1,37.7629371435,126.6993507541,,2000.0,침수방지,2024-08-08,4060000,경기도 파주시
두지리간이배수펌프장,경기도,파주시,,경기도 파주시 적성면 두지리 79-2,37.9655090156,126.8936016148,,2014.0,침수방지,2024-08-08,4060000,경기도 파주시
앞골입구간이배수펌프장,경기도,파주시,경기도 파주시 앞골길 380,경기도 파주시 아동동 251-1,37.768502422,126.7838162051,,2012.0,침수방지,2024-08-08,4060000,경기도 파주시
월성 빗물펌프장,대구광역시,달서구,대구광역시 달서구 달서대로 243-13,,35.81752447,128.5023713,,,재난방지시설,2024-08-07,6270000,대구광역시
이현 빗물펌프장,대구광역시,서구,대구광역시 서구 달서천로2,,35.883904,128.5350342,,,재난방지시설,2024-08-07,6270000,대구광역시
비산 빗물펌프장,대구광역시,서구,대구광역시 서구 염색공단로 11길 55-7,,35.88306135,128.5548772,,,재난방지시설,2024-08-07,6270000,대구광역시
성서5차 빗물펌프장,대구광역시,달성군,,대구광역시 달성군 다사읍 세천리 1503,35.86570296,128.4740461,,,재난방지시설,2024-08-07,6270000,대구광역시
죽곡 빗물펌프장,대구광역시,달성군,대구광역시 달성군 다사읍 대실역남로 116,,35.84915299,128.4685539,,,재난방지시설,2024-08-07,6270000,대구광역시
창리 빗물펌프장,대구광역시,달성군,대구광역시 달성군 구지면 국가산단서로 189,대구광역시 달성군 구지면 창리 1125-6,35.6444537321,128.4050105758,,,재난방지시설,2024-08-07,6270000,대구광역시
팔달 빗물펌프장,대구광역시,북구,대구광역시 북구 사수로 586-106,,35.89044681,128.5316029,,,재난방지시설,2024-08-07,6270000,대구광역시
3공단 빗물펌프장,대구광역시,서구,대구광역시 서구 염색공단천로 112,,35.88798492,128.5400615,,,재난방지시설,2024-08-07,6270000,대구광역시
서재1 빗물펌프장,대구광역시,달성군,대구광역시 달성군 다사읍 서재로33길 29,,35.87670619,128.4932608,,,재난방지시설,2024-08-07,6270000,대구광역시
서재2 빗물펌프장,대구광역시,달성군,대구광역시 달성군 다사읍 서재본길 92-32,,35.87443471,128.4873632,,,재난방지시설,2024-08-07,6270000,대구광역시
노곡 빗물펌프장,대구광역시,북구,대구광역시 북구 노곡로 12,,35.90553256,128.5636627,,,재난방지시설,2024-08-07,6270000,대구광역시
조야 빗물펌프장,대구광역시,북구,대구광역시 북구 조야로2길 7,,35.90786756,128.5782036,,,재난방지시설,2024-08-07,6270000,대구광역시
동촌 빗물펌프장,대구광역시,동구,대구광역시 동구 팔공로 23길 105,,35.90586112,128.6309327,,,재난방지시설,2024-08-07,6270000,대구광역시
봉무 빗물펌프장,대구광역시,동구,대구광역시 동구 위남로 93,,35.9291493,128.6322936,,,재난방지시설,2024-08-07,6270000,대구광역시
침산 빗물펌프장,대구광역시,북구,대구광역시 북구 노원로 57길 31,,35.90272724,128.5891298,,,재난방지시설,2024-08-07,6270000,대구광역시
산격 빗물펌프장,대구광역시,북구,대구광역시 북구 연암로 209,,35.90320138,128.5960755,,,재난방지시설,2024-08-07,6270000,대구광역시
가천 빗물펌프장,대구광역시,수성구,대구광역시 수성구 천을로23길 260,,35.85530953,128.6933035,,,재난방지시설,2024-08-07,6270000,대구광역시
방촌1 빗물펌프장,대구광역시,동구,대구광역시 동구 호반길 33,,35.88120214,128.6582968,,,재난방지시설,2024-08-07,6270000,대구광역시
방촌2 빗물펌프장,대구광역시,동구,대구광역시 동구 화랑로 454,,35.87528636,128.6736932,,,재난방지시설,2024-08-07,6270000,대구광역시
신암 빗물펌프장,대구광역시,동구,대구광역시 동구 아양로41길 26,,35.8888365,128.6371314,,,재난방지시설,2024-08-07,6270000,대구광역시
팔현 빗물펌프장,대구광역시,수성구,대구광역시 수성구 팔현길 88-86,,35.87124742,128.671602,,,재난방지시설,2024-08-07,6270000,대구광역시
율하 빗물펌프장,대구광역시,동구,대구광역시 동구 금호강변로 278,,35.85992537,128.6928379,,,재난방지시설,2024-08-07,6270000,대구광역시
덕천,부산광역시,북구,부산광역시 북구 낙동대로1739번길 16,,35.2104541,129.001677,051-309-4676,1990.0,침수예방,2024-08-06,3320000,부산광역시 북구
구포,부산광역시,북구,부산광역시 북구 낙동대로1769,,35.2100811449,129.003188,051-309-4675,2002.0,침수예방,2024-08-06,3320000,부산광역시 북구
구남,부산광역시,북구,부산광역시 북구 구포만세길 10,,35.2013304524,128.9967142314,051-309-4677,2003.0,침수예방,2024-08-06,3320000,부산광역시 북구
대천천1,부산광역시,북구,,부산광역시 북구 화명동 2166,35.2403562996,129.0170771462,,2022.0,침수예방,2024-08-06,3320000,부산광역시 북구
대천천2,부산광역시,북구,,부산광역시 북구 화명동 377-6,35.2408033863,129.0175125285,,2022.0,침수예방,2024-08-06,3320000,부산광역시 북구
완산 배수펌프장,경상북도,영천시,,경상북도 영천시 완산동 1269-48,35.9648087,128.9358056,054-339-7598,2003.0,침수방지,2024-08-05,5100000,경상북도 영천시
미동배수장,전라남도,영광군,,전라남도 영광군 염산면 옥실리 1761-15,35.1883827682,126.3701870659,061-350-5283,2016.0,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
제1일반산업단지 망제지구 제1 배수펌프장,전북특별자치도,정읍시,,전북특별자치도 정읍시 영파동 498-2,35.6083841,126.8464783,063-539-5675,2013.0,재난대응용,2024-08-01,4691000,전북특별자치도 정읍시
제1일반산업단지 망제지구 제2 배수펌프장,전북특별자치도,정읍시,,전북특별자치도 정읍시 망제동 41-6,35.6064629687,126.8437762703,063-539-5675,2013.0,재난대응용,2024-08-01,4691000,전북특별자치도 정읍시
의정부1동 배수펌프장,경기도,의정부시,경기도 의정부시 태평로166번길 21-14,경기도 의정부시 가능동 13-47,37.74848574,127.05044332,,1989.0,내수배제,2024-08-02,3820000,경기도 의정부시
의정부3동 배수펌프장,경기도,의정부시,경기도 의정부시 경의로158번길 125,경기도 의정부시 의정부동 64-7,37.72796819,127.05138067,,1989.0,내수배제,2024-08-02,3820000,경기도 의정부시
신곡1동 배수펌프장,경기도,의정부시,경기도 의정부시 장곡로 346,경기도 의정부시 신곡동 615-84,37.7343187,127.05493305,,1993.0,내수배제,2024-08-02,3820000,경기도 의정부시
장암동 배수펌프장,경기도,의정부시,경기도 의정부시 동일로 33-107,경기도 의정부시 장암동 392-4,37.69119559,127.05112002,,2000.0,내수배제,2024-08-02,3820000,경기도 의정부시
호원동 간이배수펌프장,경기도,의정부시,경기도 의정부시 안말로101번길 11,경기도 의정부시 호원동 446-44,37.71496835,127.04987733,,2001.0,내수배제,2024-08-02,3820000,경기도 의정부시
신흥마을 배수펌프장,경기도,의정부시,,경기도 의정부시 의정부동 89-5,37.7303463,127.04701259,,2008.0,내수배제,2024-08-02,3820000,경기도 의정부시
오목마을 배수펌프장,경기도,의정부시,경기도 의정부시 용민로 105,경기도 의정부시 민락동 736-2,37.73975019,127.08926713,,2001.0,내수배제,2024-08-02,3820000,경기도 의정부시
인천교매립지빗물펌프장,인천광역시,동구,인천광역시 동구 중봉대로 113-134,,37.493035,126.6433548,032-770-6886,1990.0,침수방지,2024-08-01,3500000,인천광역시 동구
양평1 빗물펌프장,서울특별시,영등포구,서울특별시 영등포구 선유로 35길22,서울특별시 영등포구 양평동 3가 57,37.5287533941,126.8909800646,2670-4056,1988.0,풍수해대비,2024-08-01,3180000,서울특별시 영등포구
양평2 빗물펌프장,서울특별시,영등포구,서울특별시 영등포구 양평로171,서울특별시 영등포구 양평동 35-2,37.525541227,126.8840668422,2670-4057,1990.0,풍수해대비,2024-08-01,3180000,서울특별시 영등포구
문래 빗물펌프장,서울특별시,영등포구,서울특별시 영등포구 도림천로 62,서울특별시 영등포구 문래동5가 35,37.5153206573,126.8832865674,2670-4055,1989.0,풍수해대비,2024-08-01,3180000,서울특별시 영등포구
영등포 빗물펌프장,서울특별시,영등포구,서울특별시 영등포구 경인로 114길 19,서울특별시 영등포구 영등포동2가 5-2,37.51811643,126.9155046,2670-4060,1990.0,풍수해대비,2024-08-01,3180000,서울특별시 영등포구
도림2 빗물펌프장,서울특별시,영등포구,서울특별시 영등포구 대방천로 29-18,서울특별시 영등포구 도림동 254,37.5062038596,126.897577918,2670-4059,1982.0,풍수해대비,2024-08-01,3180000,서울특별시 영등포구
신길 빗물펌프장,서울특별시,영등포구,서울특별시 영등포구 영등포로343-10,서울특별시 영등포구 신길동 53,37.5163787186,126.9181374679,2670-4054,1989.0,풍수해대비,2024-08-01,3180000,서울특별시 영등포구
대림2 빗물펌프장,서울특별시,영등포구,서울특별시 영등포구 도림천로 21길 1,서울특별시 영등포구 대림동 995-1,37.4858546361,126.90172105,2670-4061,1992.0,풍수해대비,2024-08-01,3180000,서울특별시 영등포구
대림3 빗물펌프장,서울특별시,영등포구,서울특별시 영등포구 도신로 1,서울특별시 영등포구 대림동 611,37.5042932011,126.8944197199,2670-4058,1980.0,풍수해대비,2024-08-01,3180000,서울특별시 영등포구
동천변 침수지 배수시설 1,부산광역시,부산진구,부산광역시 부산진구 범일로154번길 61,부산광역시 부산진구 범천동 842-4,35.14389285,129.0627044,051-605-4671,2011.0,침수지배수,2024-08-01,3290000,부산광역시 부산진구
동천변 침수지 배수시설 2,부산광역시,부산진구,부산광역시 부산진구 중앙번영로 32,부산광역시 부산진구 범천동 842-8,35.14439905,129.0626394,051-605-4671,2010.0,침수지배수,2024-08-01,3290000,부산광역시 부산진구
학익빗물펌프장,인천광역시,미추홀구,인천광역시 미추홀구 아암대로 338,인천광역시 미추홀구 학익동 729,37.43159865,126.6329007,032-880-7478,2004.0,재난대응+침수방지,2024-07-26,3510500,인천광역시 미추홀구
용현빗물펌프장,인천광역시,미추홀구,인천광역시 미추홀구 아암대로 43,인천광역시 미추홀구 용현동 574-21,37.45731282,126.6363901,032-880-4772,1988.0,재난대응+침수방지,2024-07-26,3510500,인천광역시 미추홀구
백운빗물펌프장,인천광역시,미추홀구,인천광역시 미추홀구 아암대로 135,인천광역시 미추홀구 용현동 627-76,37.4502692,126.631507,032-880-4771,2001.0,재난대응+침수방지,2024-07-26,3510500,인천광역시 미추홀구
구미배수펌프장,경기도,연천군,경기도 연천군 백학면 노아로 504-46,경기도 연천군 백학면 구미리 10-2,38.0023279351,126.9641248859,031-839-2453,2009.0,침수피해 예방,2024-07-30,4140000,경기도 연천군
군남배수펌프장,경기도,연천군,경기도 연천군 군남면 진상17길 91-81,경기도 연천군 군남면 진상리 679,38.0617775467,127.0168382111,031-839-2453,2001.0,침수피해 예방,2024-07-30,4140000,경기도 연천군
노곡배수펌프장,경기도,연천군,,경기도 연천군 백학면 노곡리 981,38.001856301,126.9021792565,031-839-2453,2009.0,침수피해 예방,2024-07-30,4140000,경기도 연천군
두일배수펌프장,경기도,연천군,경기도 연천군 백학면 장백로 874,경기도 연천군 백학면 두일리 684-1,38.0141243568,126.9095133658,031-839-2453,2011.0,침수피해 예방,2024-07-30,4140000,경기도 연천군
무등배수펌프장,경기도,연천군,경기도 연천군 왕징면 왕산로78번길 34-20,경기도 연천군 왕징면 무등리 1-3,38.059931925,127.0124762804,031-839-2453,2007.0,침수피해 예방,2024-07-30,4140000,경기도 연천군
백의배수펌프장,경기도,연천군,경기도 연천군 청산면 청창로 727,경기도 연천군 청산면 백의리 822-21,38.0238281252,127.1367512027,031-839-2453,2012.0,침수피해 예방,2024-07-30,4140000,경기도 연천군
연천배수펌프장,경기도,연천군,경기도 연천군 연천읍 연천로 146,경기도 연천군 연천읍 차탄리 193-7,38.0893209784,127.072766484,031-839-2453,2013.0,침수피해 예방,2024-07-30,4140000,경기도 연천군
장남배수펌프장,경기도,연천군,경기도 연천군 장남면 장남로163번길 68,경기도 연천군 장남면 고랑포리 12-4,37.9873173959,126.8600397841,031-839-2453,2001.0,침수피해 예방,2024-07-30,4140000,경기도 연천군
대부 배수장,경상남도,합천군,,경상남도 합천군 청덕면 대부리 1293-4,35.54172514,128.3484864,,2001.0,침수방지,2024-07-25,5480000,경상남도 합천군
초성배수펌프장,경기도,연천군,경기도 연천군 청산면 청창로 52,경기도 연천군 청산면 초성리 291-9,38.0048899751,127.0724892859,031-839-2453,2011.0,침수피해 예방,2024-07-30,4140000,경기도 연천군
거제배수펌프장,부산광역시,연제구,부산광역시 연제구 반송로 107,부산광역시 연제구 거제동 630,35.1928257,129.0899754799,051-665-5041,2017.0,내수배제,2024-07-29,3370000,부산광역시 연제구
신금로배수펌프장,부산광역시,연제구,부산광역시 연제구 온천천남로 39,부산광역시 연제구 연산동 503-1,35.1924816,129.0951416,051-665-5042,2022.0,내수배제,2024-07-29,3370000,부산광역시 연제구
연산4동배수펌프장,부산광역시,연제구,부산광역시 연제구 중앙대로 1164,부산광역세 연제구 연산동 578-1,35.1913830979,129.0812578364,051-665-5041,2010.0,내수배제,2024-07-29,3370000,부산광역시 연제구
