연번,기관명,주소명,전화번호,지정관서
44,산업안전지도사 이상용(안전기술연구소),경기도 안양시 만안구 안양6동 (안양동)(528-13 호정타워 7층 706호),031-204-3466,서울청
45,안전한일터주식회사,경기 광주시 순암로 236((중대동) 301호),개인번호 노출제한,서울청
46,안전환경본부주식회사,"서울 관악구 관악로 98((봉천동, 삼정빌딩) 가동302호)",02-887-3050,서울청
47,산업안전지도사 양홍민(에스에프케이(SFK) 컨설팅),경기도 광주시 머루숯길 94(B동 102호),031-897-2329,서울청
48,산업안전지도사 정훈(우리안전),인천광역시 동구 방축로 58 중앙공구상가,개인번호 노출제한,서울청
49,산업안전지도사 정진익(우림세이프티 유한책임회사),"경기도 부천시 조마루로385번길 92(,1132호(원미동, 부천테크노밸리 U1 center))",개인번호 노출제한,서울청
50,산업안전지도사 김경래(일터),서울특별시 송파구 송파대로 201(송파테라타워2차 B동 310호),031-413-9311,서울청
51,산업안전지도사 조윤형(삼성산업안전컨설팅),"서울특별시 양천구 목동동로 293(제21층 제2106호(목동, 현대41타워))",개인번호 노출제한,서울청
52,주식회사누리앤소방전기안전,경기 과천시 과천대로7길 33(A동 1408호(갈현동)),02-6929-4334,서울청
53,주식회사뉴세이프컨설팅,경기 화성시 꽃내음1길 17((새솔동) 6층 609호),031-356-7676,서울청
54,주식회사대한산업안전관리,경기 광명시 일직로 43((일직동 ) 제비동 13층 1304호),개인번호 노출제한,서울청
55,주식회사대한산업안전본부,"대전광역시 대덕구  대화로106번길 66((대화동, 펜타플렉스) 928호)",042-223-8500,서울청
56,주식회사산업안전기술연구원,"인천 남동구 비류대로  622(1210,  1211호 (남촌동))",032-817-8022,서울청
57,주식회사셉티코(가산),"서울특별시 금천구 가산디지털2로 143((가산동, 가산 어반워크II)  7층 718호)",02-6263-7702,서울청
58,주식회사안전관리전문기관벗,경기도 안양시 만안구 전파로44번길 57(701호),031-385-8140,서울청
59,주식회사안전세움,"경기 안산시 상록구 안산대학로 155((일동, 안산대학교 창업보육센터) 505호)",031-406-1350,서울청
60,주식회사안전제일기술단,"경기 화성시 동탄영천로 150(A동 1138호 (영천동, 실리콘앨리))",031-630-2019,서울청
61,주식회사일터노무안전관리,"경기 용인시 기흥구 기흥로 58(B동 1202호 (구갈동, 기흥ICT밸리))",031-764-9916,서울청
62,주식회사재해예방컨설팅,"경기도 의정부시 호국로1428((금오동, 조광빌딩 3층))",031-851-8877,서울청
63,주식회사한국산업안전,"서울특별시 금천구 가산디지털2로 165((가산동, 백상스타타워2차) 1503호)",02-6111-6350,서울청
64,중부재해예방（주）,"인천광역시 미추홀구  염전로 330((주안동, 주안J TOWER1차지식산업센터) 11층 1109호)",032-429-7421,서울청
65,중소기업안전기술원(주),경기도 부천시  성주로 7-1((송내동)),032-612-3435,서울청
66,산업안전지도사 차순철(차스텍이앤씨(주)),"서울특별시 서초구 효령로60길 23-13((서초동, 포커스빌딩) 301호 차스텍이앤씨(주)))",02-573-9795,서울청
67,케이씨안전기술(주),전남 광양시 옥곡면 신금산단1길 29,061-772-9981,서울청
68,케이아이안전보건기술원(주),인천 서구 검암로30번길 10(201호 (검암동)),032-574-4471,서울청
69,케이에스산업안전(주),서울특별시 중랑구  면목로 357((면목동) 5층 502호),02-492-5800,서울청
70,산업안전지도사 최치현(포유(FOR YOU)안전보건원),"경기도 양주시 옥정동로2길 20(상가 28호(옥정동, 제일풍경채 옥정))",031-858-6075,서울청
71,한강산업안전(주),"충북 충주시 연원로 8(2층 202호 (연수동, 예성빌딩))",043-856-0991,서울청
72,한국기술안전(주),"서울 동대문구 한천로2길 100(100, 2층 (장안동))",02-453-9466,서울청
73,한국나눔안전주식회사,"서울 구로구 디지털로26길 5(11층 1117호 (구로동, 에이스하이엔드타워1차))",1522-6138,서울청
74,한국산업안전관리원(주),경기 안산시 상록구 성호로 38(3층 (일동)),031-414-0723,서울청
75,한국산업안전보건기술원(주),경기 수원시 권선구 곡반정로 147(2층(곡반정동)),031-8002-4117,서울청
76,한국산업안전연구원(주),경기도 성남시 중원구 도촌동 (도촌동)(563 도촌 대덕프라자 1동 3층 301호),031-753-4900,서울청
77,산업안전지도사 권혁무(한국안전기술컨설팅(주)),"서울특별시 강동구  천호대로 1121((길동, 일성하이츠오피스텔) 1302호)",02-3482-5678,서울청
78,한국재해예방관리원(주),경기 안산시 단원구 원포공원1로 30(205호(초지동)),031-405-7833,서울청
79,한국종합안전(주),"인천 남동구 성말로44번길 11-13(3층 (구월동, 상상빌딩))",032-439-8787,서울청
80,산업안전지도사 정명홍(현대안전기술연구소),"경기도 안양시 동안구 시민대로 161((비산동, 안양무역센터) 920호)",031-383-2750,서울청
81,（주）한국산업안전기술단,"경기도 수원시 영통구  중부대로447번길 9((원천동, 성민프라자) 401호)",031-223-1920,서울청
82,(사)대한산업안전협회중부지역본부,인천 부평구 부평대로 301(남광센트렉스빌딩 817호 (청천동)),032-363-3300,중부청
83,(사)한국안전관리사협회,경기도 화성시  병점3로 12((병점동) 2층 202호),031-292-6261,중부청
84,(주)경신산업안전,서울 도봉구 덕릉로57길 30(13호 (창동)),02-335-3072,중부청
85,(주)경인산업안전본부,인천 남동구 백범로 275((간석동)),032-438-5511,중부청
86,산업안전지도사 김봉준((주)국민안전솔루션),인천광역시 미추홀구 주안동로 29(지하1층 (주안동)),개인번호 노출제한,중부청
87,(주)대전충청산업안전본부,충청북도 청주시 청원구 상당로 314(234호 (청주첨단문화산업단지)),043-212-4611,중부청
88,(주)대한산업안전관리본부,충청북도 음성군 대소면 대물1길 11((대소면) 2층),043-882-7915,중부청
89,(주)대한산업안전문화원,"경기도 안산시 단원구  산단로 325((신길동, 리드 스마트스퀘어 지식산업센터) 1325호)",031-365-5365,중부청
90,(주)대한안전경영연구원,경기 수원시 장안구 경수대로 1077(3층 301 (파장동)),031-241-5259,중부청
91,(주)대한안전기술연구원,"경기 안산시 단원구 광덕동로 95(602호 (고잔동, 궁전타워))",031-411-8410,중부청
92,산업안전지도사 서유석((주)더안전지도원),"경기도 오산시 독산성로 425(, 809호(세교동, 더퍼스트타워))",031-8043-1780,중부청
93,(주)산업안전컨설팅,경기 의정부시 경의로 95(4층 (의정부동)),031-876-8782,중부청
94,(주)세이프티컨설팅,인천광역시 미추홀구 소성로 274(4층 (환희빌딩)),032-427-0305,중부청
95,(주)세이프티코리아,"인천 남동구 담방로21번길 55((만수동, 뉴서울아파트상가) 2동15호)",개인번호 노출제한,중부청
96,(주)씨피에스연구소,경기 안양시 동안구 시민대로 361((관양동)1동 608호),개인번호 노출제한,중부청
97,(주)안전보건기술원,"인천광역시 연수구 앵고개로104번길 5((동춘동, 송도 동일하이빌 파크포레 상가) 1층 6호)",032-710-5536,중부청
98,(주)안전을지키는사람들,서울특별시 영등포구  버드나루로 60((영등포동7가) 305호),02-6954-7558,중부청
99,(주)안전이십사,서울 영등포구 경인로71길 6(2층 2호 (문래동2가)),개인번호 노출제한,중부청
100,(주)에스앤아이코퍼레이션,"서울특별시 마포구 마포대로 155(, 5층 (공덕동, LG마포빌딩))",02-6924-5110,중부청
101,(주)오성안전관리단,경기 수원시 장안구 장안로 111((정자동) 402호),031-242-5890,중부청
102,(주)제일산업안전연구소,"인천광역시 계양구  경명대로 1011((계산동, KT&G) 405호)",032-512-0485,중부청
103,(주)케이아이세이프티,경기 평택시 진위면 하북2길 87-23(2층),개인번호 노출제한,중부청
104,(주)한국산업안전컨설팅,경기 안산시 단원구 삼일로 310(705호 (선부동)),031-413-4717,중부청
105,(주)한국안전경영연구원,경기 안산시 단원구 초지로 124(골드프라자 405호 (초지동)),031-403-3135,중부청
106,(주)한국안전관리기술원,인천 남동구 남촌로 67(열망빌딩 2층 (남촌동)),032-715-4300,중부청
107,(주)한국안전환경연구원,경기 수원시 권선구 세권로 177(2층 (권선동)),031-237-2115,중부청
108,(주)휴먼산업안전센터,"충남 천안시 서북구 성성9로 7(401호 (성성동, 하나타워))",041-592-3600,중부청
109,강심산업안전(주),"서울특별시 영등포구  선유로 85((양평동1가, 한특빌딩) 4층)",02-2088-8077,중부청
110,산업안전지도사 이재용(계일산업안전),"인천광역시 동구 방축로37번길 30(4동210호(송현동, 인천산업용품유통단지))",032-547-0847,중부청
111,국제안전보건알앤디센터협동조합,"경기도 화성시 동탄대로 646-2((영천동, 메가비즈타워)  A동 8층 803호)",070-8888-2899,중부청
112,산업안전지도사 서호원(나라안전기술연구원 주식회사),"경기도 군포시 군포첨단산업2로7번길 8(307호(부곡동, 군포 에이스 더블유밸리))",031-488-6562,중부청
113,네오산업안전주식회사,"서울 금천구 가마산로 96((가산동, 대륭테크노타운8차) 2층 204호)",02-2163-0077,중부청
114,노무법인유앤,서울 마포구 마포대로 86((도화동) 창강빌딩 13층),02-508-3344,중부청
115,노무안전법인예지,서울 도봉구 도봉로 787((도봉동) 3층),031-877-5456,중부청
116,대한산업안전관리주식회사,"충북 청주시 서원구 두꺼비로 36((산남동, 동우빌딩) 4층)",043-288-9489,중부청
117,대한산업안전기술단주식회사,경기 안산시 단원구 광덕3로 55((초지동)4층),개인번호 노출제한,중부청
118,대한산업안전기술원주식회사,"경기도 안산시 단원구  광덕4로 260((고잔동, 윈윈프라자) 302호)",031-483-9221,중부청
119,대한산업안전기술주식회사,경기도 수원시 권선구  당진로 13((당수동) 202호),031-296-4200,중부청
120,대한산업안전본부 서울지사,서울특별시 강동구 구천면로34길 6 예일빌딩(3층),02-471-0784,중부청
121,대한안전관리(주),충청북도 충주시  갱고개로 235((연수동) 2층),043-853-0201,중부청
122,대한안전관리센터(주),충북 청주시 청원구 율중로79번길 46((율량동) 201호),043-715-8555,중부청
123,대한재해예방기술(주),"서울특별시 광진구  자양로 71((자양동, 합동빌딩) 3층)",02-458-2013,중부청
124,드림산업안전센터주식회사,충남 천안시 서북구 두정상가1길 5((두정동) 202호),개인번호 노출제한,중부청
125,산업안전지도사 황찬주(드림안전컨설팅 주식회사),서울특별시 영등포구 국제금융로6길 30(6층 625호),02-6953-8887,중부청
126,산업안전지도사 류동현((주)청녹안전컨설팅),경기도 부천시 원미구 상일로 82(904호),032-431-3088,중부청
127,마루세이프티(주),경기 수원시 영통구 청명로 69(3층(영통동)),031-206-6883,중부청
128,산업안전지도사 노행곤(미래안전환경(주)),"서울특별시 송파구 백제고분로7길 49((잠실동, ) 313호)",02-393-0952,중부청
129,산업안전지도사 이성택(비에스티안전기술원),"경기도 안산시 단원구 풍전로 37-9(,304동 3층 325호(원곡동, 트리플렉스))",개인번호 노출제한,중부청
130,산업안전지도사 김용진(비전산업안전연구원),경기도 의정부시  청사로 49((금오동) 금강프라자 5층 1호),개인번호 노출제한,중부청
131,사단법인안전보건진흥원,"서울특별시 금천구  범안로 1152((독산동, 독산빌딩3))",02-804-7900,중부청
132,사단법인한국재난안전연구원,경기 과천시 별양상가1로 38((별양동) 4층 401호),개인번호 노출제한,중부청
133,산업안전연구원(주),"서울 구로구 공원로 41(323호 (구로동, 현대파크빌))",02-487-1091,중부청
134,산업안전지도사 김동걸(산업안전지원센터주식회사),"경기 화성시 수노을중앙로 156((새솔동, 폴리프라자2차) 1동508호)",개인번호 노출제한,중부청
135,산업안전환경기술원(주),"경기도 화성시  동탄기흥로 557((영천동, 금강펜테리움아이티타워) 1207호)",031-258-3225,중부청
136,삼성기술안전주식회사,서울특별시 송파구  오금로44가길 32((가락동) 2층),02-522-0806,중부청
137,산업안전지도사 임종룡(상생안전기술원),경기도 시흥시 장곡로 31(현주빌딩 202호),031-504-2313,중부청
138,산업안전지도사 배연직(서안 안전 컨설팅),"서울특별시 마포구 모래내로3길 7(203호(성산동, 상암 카리스 다올림 오피스텔))",02-6357-9635,중부청
139,서울산업안전컨설팅,"서울특별시 동작구 알마타길 28(,4층(대방동, 현성빌딩))",02-825-6874,중부청
140,산업안전지도사 전대병(세움산업안전지도사전대병사무소),"경기도 안산시 단원구 풍전로 37-24(321동 210호(원곡동, 트리플렉스))",031-8042-2175,중부청
141,세종안전시스템주식회사,경기도 파주시 와석순환로515번길 91(906호 (프라임타워)),031-945-3536,중부청
142,산업안전지도사 이창용(씨와이(CY)안전기술),"경기도 성남시 분당구 탄천상로 164(, B동 629호(구미동, 시그마2오피스텔))",031-600-8535,중부청
143,산업안전지도사 윤용진(아이리맥),"서울특별시 송파구 충민로 10(, 8층 S16-B87호(문정동, 가든파이브툴))",070-8018-9292,중부청
144,산업안전지도사 이상용(안전기술연구소),경기도 안양시 만안구 안양6동 (안양동)(528-13 호정타워 7층 706호),031-204-3466,중부청
145,안전생각주식회사,"경기도 시흥시 하중로 113(201호(하중동, 관악빌딩))",개인번호 노출제한,중부청
146,안전한일터주식회사,경기 광주시 순암로 236((중대동) 301호),개인번호 노출제한,중부청
147,안전환경본부주식회사,"서울 관악구 관악로 98((봉천동, 삼정빌딩) 가동302호)",02-887-3050,중부청
148,산업안전지도사 양홍민(에스에프케이(SFK) 컨설팅),경기도 광주시 머루숯길 94(B동 102호),031-897-2329,중부청
149,산업안전지도사 전병두(에스이솔루션（주）),"경기도 수원시 팔달구  덕영대로697번길 21-7((화서동, 정자프라자) 401호)",개인번호 노출제한,중부청
150,에스이코리아(주),경기도 수원시 영통구 영통로217번길 6(7층 (센타프라자B/D)),031-205-5320,중부청
151,에스텍이엔씨주식회사,"경기 부천시 원미구 조마루로385번길 80(1301호 (원미동, 춘의테크노파크))",032-259-0350,중부청
152,산업안전지도사 정훈(우리안전),인천광역시 동구 방축로 58 중앙공구상가,개인번호 노출제한,중부청
153,산업안전지도사 정진익(우림세이프티 유한책임회사),"경기도 부천시 조마루로385번길 92(,1132호(원미동, 부천테크노밸리 U1 center))",개인번호 노출제한,중부청
154,인천광역시학교안전공제회,인천광역시 남동구 구월남로232번길 31((별관 1층 )),032-437-7900,중부청
155,산업안전지도사 김경래(일터),서울특별시 송파구 송파대로 201(송파테라타워2차 B동 310호),031-413-9311,중부청
156,산업안전지도사 조윤형(삼성산업안전컨설팅),"서울특별시 양천구 목동동로 293(제21층 제2106호(목동, 현대41타워))",개인번호 노출제한,중부청
157,종합안전기술(주),경기도 평택시 죽백7길 2-8(202호),031-618-5631,중부청
158,산업안전지도사 김동섭(주식회사 디에스산업안전컨설팅),"경기도 안산시 단원구 광덕서로 82(716호(고잔동, 한남법조빌딩))",개인번호 노출제한,중부청
159,"산업안전지도사 김형진, 박해진(주식회사 우리안전지도원)",경기도 수원시 영통구 영통로 237(708호),031-224-7721,중부청
160,주식회사누리앤소방전기안전,경기 과천시 과천대로7길 33(A동 1408호(갈현동)),02-6929-4334,중부청
161,주식회사뉴세이프컨설팅,경기 화성시 꽃내음1길 17((새솔동) 6층 609호),031-356-7676,중부청
162,주식회사대한산업안전관리,경기 광명시 일직로 43((일직동 ) 제비동 13층 1304호),개인번호 노출제한,중부청
163,주식회사산업안전기술연구원,"인천 남동구 비류대로  622(1210,  1211호 (남촌동))",032-817-8022,중부청
164,주식회사세이프지,강원 강릉시  명주로 33((용강동) 3층),033-647-9115,중부청
165,주식회사셉티코(가산),"서울특별시 금천구 가산디지털2로 143((가산동, 가산 어반워크II)  7층 718호)",02-6263-7702,중부청
166,주식회사안전관리전문기관벗,경기도 안양시 만안구 전파로44번길 57(701호),031-385-8140,중부청
167,주식회사안전세움,"경기 안산시 상록구 안산대학로 155((일동, 안산대학교 창업보육센터) 505호)",031-406-1350,중부청
168,주식회사안전제일기술단,"경기 화성시 동탄영천로 150(A동 1138호 (영천동, 실리콘앨리))",031-630-2019,중부청
169,주식회사에이씨가드,"인천광역시 미추홀구 방축로 312((주안동 , 주안2차 제이타워 지식산업센터) 931호)",개인번호 노출제한,중부청
170,주식회사위드안전,"경기 구리시 갈매순환로166번길 45(10층 1018호 (갈매동, 구리갈매 아너시티))",02-6390-6166,중부청
171,주식회사일터노무안전관리,"경기 용인시 기흥구 기흥로 58(B동 1202호 (구갈동, 기흥ICT밸리))",031-764-9916,중부청
172,주식회사재해예방컨설팅,"경기도 의정부시 호국로1428((금오동, 조광빌딩 3층))",031-851-8877,중부청
173,주식회사한국산업안전,"서울특별시 금천구 가산디지털2로 165((가산동, 백상스타타워2차) 1503호)",02-6111-6350,중부청
174,주식회사한국안전연구소,"경기 부천시 오정구 오정로211번길 40((오정동, 부천우편집중국 2층일부))",032-678-9100,중부청
175,중부재해예방（주）,"인천광역시 미추홀구  염전로 330((주안동, 주안J TOWER1차지식산업센터) 11층 1109호)",032-429-7421,중부청
176,중소기업안전기술원(주),경기도 부천시  성주로 7-1((송내동)),032-612-3435,중부청
177,산업안전지도사 박용환(중앙S&EC),"인천광역시 계양구 서운산단로1길 19(5층 521호(서운동, 계양DSE지식산업센터 ))",개인번호 노출제한,중부청
178,산업안전지도사 차순철(차스텍이앤씨(주)),"서울특별시 서초구 효령로60길 23-13((서초동, 포커스빌딩) 301호 차스텍이앤씨(주)))",02-573-9795,중부청
179,산업안전지도사 이종열(청담산업안전컨설팅),인천광역시 남동구 백범로 132(206(만수동)),032-471-7787,중부청
180,케이씨안전기술(주),전남 광양시 옥곡면 신금산단1길 29,061-772-9981,중부청
181,케이아이안전보건기술원(주),인천 서구 검암로30번길 10(201호 (검암동)),032-574-4471,중부청
182,케이에스산업안전(주),서울특별시 중랑구  면목로 357((면목동) 5층 502호),02-492-5800,중부청
183,티에스산업안전컨설팅(주),인천광역시 연수구  새말로 80-1((연수동) 203호),032-818-7268,중부청
184,산업안전지도사 김현수(티티에스컨설팅),"경기도 성남시 중원구 제일로 65(402호(성남동, 대명빌딩))",개인번호 노출제한,중부청
185,산업안전지도사 권양국(포엠 산업안전기술원),"경기도 화성시 동탄문화센터로 61(, 7층 A741호(반송동, 아시아 프라자))",개인번호 노출제한,중부청
186,산업안전지도사 최치현(포유(FOR YOU)안전보건원),"경기도 양주시 옥정동로2길 20(상가 28호(옥정동, 제일풍경채 옥정))",031-858-6075,중부청
187,한강산업안전(주),"충북 충주시 연원로 8(2층 202호 (연수동, 예성빌딩))",043-856-0991,중부청
188,한국기술안전(주),"서울 동대문구 한천로2길 100(100, 2층 (장안동))",02-453-9466,중부청
189,한국나눔안전주식회사,"서울 구로구 디지털로26길 5(11층 1117호 (구로동, 에이스하이엔드타워1차))",1522-6138,중부청
190,한국산업안전관리원(주),경기 안산시 상록구 성호로 38(3층 (일동)),031-414-0723,중부청
191,한국산업안전기술원(주),강원 원주시 송림길 78-46(2층),033-734-8413,중부청
192,한국산업안전보건기술원(주),경기 수원시 권선구 곡반정로 147(2층(곡반정동)),031-8002-4117,중부청
193,한국산업안전연구원(주),경기도 성남시 중원구 도촌동 (도촌동)(563 도촌 대덕프라자 1동 3층 301호),031-753-4900,중부청
194,한국안전기술연구원（주）,경기 성남시 중원구 둔촌대로 114(４층 (하대원동)),031-751-0042,중부청
195,산업안전지도사 권혁무(한국안전기술컨설팅(주)),"서울특별시 강동구  천호대로 1121((길동, 일성하이츠오피스텔) 1302호)",02-3482-5678,중부청
196,한국안전원주식회사,강원 강릉시 강릉대로 344(2층 (포남동)),033-645-6330,중부청
197,산업안전지도사 박형수(한국안전환경평가원(주)),"경기도 안산시 상록구 해양3로 17(, 307호(사동, 그랑시티 시그니처타워))",개인번호 노출제한,중부청
198,한국재해예방관리원(주),경기 안산시 단원구 원포공원1로 30(205호(초지동)),031-405-7833,중부청
199,한국종합안전(주),"인천 남동구 성말로44번길 11-13(3층 (구월동, 상상빌딩))",032-439-8787,중부청
200,산업안전지도사 정명홍(현대안전기술연구소),"경기도 안양시 동안구 시민대로 161((비산동, 안양무역센터) 920호)",031-383-2750,중부청
201,（주）한국산업안전기술단,"경기도 수원시 영통구  중부대로447번길 9((원천동, 성민프라자) 401호)",031-223-1920,중부청
202,（주）한국안전,인천광역시 남동구 남동대로239번길 68((후생시설상가 308-2호)),032-811-9114,중부청
203,(사)대한산업안전협회부산지역본부,부산 부산진구 전포대로199번길 15(현대타워오피스텔 8층 (전포동)),051-804-5454,부산청
204,(주)경남산업안전본부,경남 창원시 성산구 중앙대로 225(경상남도지방행정동우회회관 3층 (용호동)),055-237-4865,부산청
205,(주)경남안전기술단,"경상남도 창원시 의창구 평산로 23(, 4층 409호 410호(신화테크노벨리))",055-273-7012,부산청
206,(주)경동안전기술원,"경상남도 창원시 의창구 평산로 33((팔용동 ) 802호,803호)",055-297-8821,부산청
207,(주)글로벌안전공사,"울산광역시 북구  염포로 177((진장동, 동천강주유소) 203호)",052-289-9504,부산청
208,(주)글로벌안전관리,울산 북구 염포로 177(3호 (진장동)),052-289-9848,부산청
209,(주)대한안전기술원,"부산광역시 강서구  유통단지1로 41((대저2동, 부산티플렉스) 116동 203호)",051-796-3855,부산청
210,(주)부산경남산업안전본부,부산광역시 동래구  여고북로 200((사직동) 3층),051-553-6177,부산청
211,(주)부산안전원,"부산광역시 사상구  모라로 22((모라동, 부산벤처타워) 1316호)",051-714-2898,부산청
212,(주)영남산업안전연구소,부산광역시 남구  유엔로157번길 7((대연동) 2층),051-556-9141,부산청
213,(주)이누안전보건연구소,부산 부산진구 서면문화로 47((부전동) 1동 5층 1호),051-807-0205,부산청
214,(주)케이안전기술원,"경남 진주시 동부로169번길 12((충무공동, 윙스타워) 7층 에이710호)",055-755-6500,부산청
215,(주)코리아베스트세이프티아,"경남 창원시 성산구 창이대로460번길 13(3층 (용호동, 탑할인마트 용호점))",055-606-3121,부산청
216,(주)한국산업안전기술원,울산 남구 돋질로81번길 6((신정동)),052-273-4755,부산청
217,(주)한국산업안전연구원,부산광역시 동래구  여고북로 200((사직동) 3층),051-504-9142,부산청
218,(주)한국안전공사,"부산광역시 사상구  강변대로 570((엄궁동, 부산건축자재판매단지 부건빌딩) A동 206호)",051-317-3606,부산청
219,(주)한국안전기술지원단,부산광역시 강서구  대저로 294((대저1동) 한국안전기술지원단빌딩),051-332-2114,부산청
220,(주)한국안전기술지원센터,경상남도 양산시 물금읍 야리3길 34((물금읍)),055-785-1301,부산청
221,산업안전지도사 한이두(경남산업안전기술원),경상남도 창원시 의창구 사림로45번길 52((사림동 ) 201호),055-715-9000,부산청
222,디에이치안전(주),경상남도 김해시 북부동(삼계동)(1413번지 5호 5층),055-724-0057,부산청
223,산업안전지도사 송준영(모두안전보건연구소),부산 강서구 명지국제2로 16((명지동) 제나우스 블루오션 오피스텔 상가 2층 217호),0507-1380-9594,부산청
