물품명,규격명,구입단가,구입일자,기능,확보기관,비고
수술용레이저또는액세서리,의료용레이저조사기  씨알테크놀러지  SALUS-TALENT  Diode,8370000,2012-03-29,물리치료용,보건소,건강증진과 물리치료실
열상관측장비,열상관측장비  Thales  FR/SOPHIE-MF  310×490×290mm,22300000,2009-10-29,전염병예방,보건소,보건소(보건행정과)
열상관측장비,열상관측장비  Thales  FR/SOPHIE-MF  310×490×290mm,22300000,2009-10-29,전염병예방,보건소,보건소(보건행정과)
치과용테이블또는액세서리,치과용진료장치및의자  신흥  TAURUS2000  유압전동,12000000,2001-06-09,치과진료,보건소,옥곡지소
의료용일반방사선장치,진단용엑스선촬영장치  디케이메디칼시스템  ACC-625R,24523750,2009-10-27,광양공립노인전문요양병원 장비구입▶물품 전체 이동 (보건소 보건행정과:48400610000->보건소 보건위생과:48401830000),보건소,광양공립노인전문요양병원
의료영상기록용컴퓨터장치(PACS),의료영상저장전송장치  메디칼스탠다드  PACSPLUS,24450000,2016-06-27,공립노인전문요양병원 장비보강,보건소,보건행정과(광양시공립노인전문요양병원 방사선실)
혈당측정기,Arkray  JP/GLUCOCARD Ⅱ,134000,2014-12-31,혈당 측정,보건소,도시보건지소(물리치료실)
자동전자혈압계,A&D  JP/UA-772C  팔뚝형,109500,2014-12-31,혈압 측정,보건소,도시보건지소(물리치료실)
저주파자극기,Homer ion  JP/TENS 21  19mA,2735000,2013-12-31,물리치료(전기치료),보건소,도시보건지소(물리치료실)
발맛사지기,CN/GP-22B,1540000,2011-12-31,발마사지,보건소,도시보건지소(물리치료실)
반신욕사우나,log-s1,1089000,2011-12-31,물리치료(온열치료),보건소,도시보건지소(물리치료실)
개인용온열기,의자형,1089000,2011-12-31,물리치료(온열치료),보건소,도시보건지소(물리치료실)
사지압박순환장치,Mark Ⅲ plus(MK-400),1215000,2011-12-31,상하지 마사지,보건소,도시보건지소(물리치료실)
적외선조사기,IR-880,118800,2011-12-31,물리치료기기(광선치료),보건소,도시보건지소(물리치료실)
안마의자,CN/EP1280 K,1998000,2011-12-31,전신마사지,보건소,도시보건지소(물리치료실)
벨트마사지기,930×470×980mm,435600,2011-12-31,전신마사지,보건소,도시보건지소(물리치료실)
개인용조합자극기(두타베드),HS700-C,700000,2011-12-31,전신마사지,보건소,도시보건지소(물리치료실)
의료용전기충격기,Enraf-nonius B.V  NL/ENDOMED 581,2200000,2011-12-31,물리치료(전기치료),보건소,도시보건지소(물리치료실)
무릎훈련기,920×1050×1110mm,700000,2011-12-31,하지 근력 강화,보건소,도시보건지소(물리치료실)
하체근력강화용자전거,SP-8900S  1400×710,450160,2011-12-31,하지 근력 강화,보건소,도시보건지소(물리치료실)
침대, 760×1850×500mm,440000,2011-12-31,물리치료(온열치료),보건소,도시보건지소(물리치료실)
개인용온열기, 480×380×420,836000,2010-12-31,물리치료(온열치료),보건소,도시보건지소(물리치료실)
사지압박순환장치,Mark Ⅲ plus(MK-400),1384000,2010-12-31,상하지 마사지,보건소,도시보건지소(물리치료실)
원적외선반신욕기,640×1200×1100mm,1149500,2010-12-31,물리치료(온열치료),보건소,도시보건지소(물리치료실)
원적외선반신욕기,580×970×610mm,836000,2010-12-31,물리치료(온열치료),보건소,도시보건지소(물리치료실)
개인용조합자극기(두타베드),TH-7700,660000,2010-12-31,전신마사지,보건소,도시보건지소(물리치료실)
벨트마사지기,800×2100×880mm,522500,2010-12-31,전신마사지,보건소,도시보건지소(물리치료실)
좌탕기,KDJ-J-AA-G  일반형,1149500,2010-12-31,물리치료(온열치료),보건소,도시보건지소(물리치료실)
정형용운동장치,ASM-01,855000,2010-12-31,하지 근력 강화,보건소,도시보건지소(물리치료실)
안마의자,CN/EP1280 K,1870000,2010-12-31,전신마사지,보건소,도시보건지소(물리치료실)
하체근력강화용자전거,1500×700×980mm,2486000,2010-12-31,하지 근력 강화,보건소,도시보건지소(물리치료실)
상하지 에르고미터,1250×950×1500mm,12600000,2010-12-31,하지 근력 강화,보건소,도시보건지소(물리치료실)
저주파자극기,JP/Sedante 5202,9000000,2010-12-31,물리치료(전기치료),보건소,도시보건지소(물리치료실)
찜질팩가온기,570×470×855mm,950000,2010-12-31,찜질팩 온열기,보건소,도시보건지소(물리치료실)
적외선치료기,IRH-3100,132000,2010-12-31,물리치료기기(광선치료),보건소,도시보건지소(물리치료실)
자세교정용 거울,DH6014,770000,2010-12-31,운동치료(자세교정),보건소,도시보건지소(물리치료실)
손목운동기,US/5267,900000,2010-12-31,작업치료도구,보건소,도시보건지소(물리치료실)
초음파자극기,DE/Sonostat 133  1  3MHz,2970000,2010-12-31,물리치료,보건소,도시보건지소(물리치료실)
높이조절ROM아크,US/C5291,280000,2010-12-31,작업치료도구,보건소,도시보건지소(물리치료실)
콘쌓기,US/C1498,440000,2010-12-31,작업치료도구,보건소,도시보건지소(물리치료실)
계단보행연습기,DH 3019,1760000,2010-12-31,운동치료,보건소,도시보건지소(물리치료실)
치료용보행용 봉,DH 3015,990000,2010-12-31,운동치료,보건소,도시보건지소(물리치료실)
트레드밀,2140×850×1330mm,4900000,2010-12-31,하지 근력 강화,보건소,도시보건지소(물리치료실)
운동용 공,550mm,88000,2010-12-31,운동치료,보건소,도시보건지소(물리치료실)
하체근력강화용자전거,M660BRL,908000,2010-12-31,하지 근력 강화,보건소,도시보건지소(물리치료실)
운동용매트,2000×45×1800mm ,950000,2010-12-31,운동치료,보건소,도시보건지소(물리치료실)
발맛사지기,JP/RA-01J,1430000,2010-12-31,발마사지,보건소,도시보건지소(물리치료실)
침대,760×1850×500mm,440000,2010-12-31,물리치료(온열치료),보건소,도시보건지소(물리치료실)
조립능력측정도구,US/C2046,1650000,2010-12-31,작업치료도구,보건소,도시보건지소(물리치료실)
정형용운동장치,ASM-01,1243000,2010-12-31,상지 종합 운동,보건소,도시보건지소(물리치료실)
이동식공기압축기,이동식공기압축기 신흥 Maxim air 1.1kW 치과용,3400000,2010-03-30,썩션,보건소,도시보건지소(치과실)
심미치과용광중합기또는액세서리,치과용가시광선중합기 Kerr US/Demi Portable,1170000,2008-07-08,치과재료 중합기,보건소,도시보건지소(치과실)
치과용테이블또는액세서리,치과용진료장치및의자 신흥 Taurus O/S 유압전동,14610000,2010-03-30,환자치료의자,보건소,도시보건지소(치과실)
고압멸균기,고압멸균기 신흥 SAC-230G 121~134℃,3200000,2010-03-30,멸균소독기,보건소,도시보건지소(치과실)
갈바닉또는감응전류자극기,의료용전기자극기 간섭전류치료기,7150000,2008-12-31,물리치료용,보건소,도시보건지소(방문보건팀)
신경근자극기또는키트,저주파자극기 Homer ion JP/TENS 21 19mA,2050000,2008-12-31,물리치료용,보건소,도시보건지소(방문보건팀)
신경근자극기또는키트,개인용저주파자극기 Homerion JP/HOME CARE TENS 13mA,12400000,2011-12-31,물리치료용,보건소,도시보건지소(방문보건팀)
신경근자극기또는키트,저주파자극기 Cefar medical AB SE/Physio 4 4채널,4600000,2008-12-31,물리치료용,보건소,도시보건지소(방문보건팀)
혈색소측정기,자동헤모글로빈측정기및자동분석시약류 Hemocue AB SE/Hb 201+ 최소검량10μL이하,990000,2010-12-31,혈색소측정용,보건소,도시보건지소(방문보건팀)
혈당측정기,혈당측정기 Arkray JP/GLUCOCARD Ⅱ,121000,2005-12-31,혈당측정용,보건소,도시보건지소(방문보건팀)
아네로이드혈압계,아네로이드식혈압계 ALP-K2 JP/500V 팔뚝형,132000,2005-12-31,혈압측정용,보건소,도시보건지소(방문보건팀)
아네로이드혈압계,아네로이드식혈압계 S&K welch allyn DE/DS44P 팔뚝형,132000,2006-12-31,혈압측정용,보건소,도시보건지소(방문보건팀)
전자혈압계,자동전자혈압계 세인전자 SE-6000N 팔뚝형,110000,2005-12-31,혈압측정용,보건소,도시보건지소(방문보건팀)
전자혈압계,자동전자혈압계 Takeda medical JP/UA-701 팔뚝형,110000,2005-12-31,혈압측정용,보건소,도시보건지소(방문보건팀)
신경근자극기또는키트,저주파자극기 Homer ion JP/TENS 21 19mA,2200000,2010-12-31,물리치료용,보건소,도시보건지소(방문보건팀)
체성분분석기,체지방측정기 인바디 InBody720,18500000,2010-12-31,체지방측정용,보건소,도시보건지소(방문보건팀)
체성분분석기,체지방측정기 인바디 InBody230,3000000,2014-12-31,체지방측정용,보건소,도시보건지소(방문보건팀)
의료용분광광도계,의료용분광광도계 Axis-shield NO/Nycocard READERⅡ 측정시간2~3min,2821500,2008-12-31,콜레스테롤 및 혈당측정용,보건소,도시보건지소(방문보건팀)
의료용분광광도계,의료용분광광도계 Cholestech US/LDX,3800000,2014-12-31,콜레스테롤 및 혈당측정용,보건소,도시보건지소(방문보건팀)
의료용분광광도계,의료용분광광도계 Roche diagnostics DE/Accutrend Plus,880000,2010-12-31,콜레스테롤 및 혈당측정용,보건소,도시보건지소(방문보건팀)
의료용초음파골밀도측정기,초음파골밀도측정기 오스테오시스 EXA-3000,17825000,2010-12-31,골밀도측정용,보건소,도시보건지소(방문보건팀)
혈당측정기,혈당측정기 Hemocue SW/Glucose 201＋,130000,2003-12-31,혈당측정용,보건소,도시보건지소(방문보건팀)
전자혈압계,자동전자혈압계 인바디 BPBIO330 탁상형,945000,2023-12-07,혈압 측정,보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
일산화탄소측정기,일산화탄소측정기 Davis (US)DAVIS GT-96,2200000,2023-12-19,일산화탄소 측정(금연 대상자),보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
혈당측정기,혈당측정기 Biocontrol technology (US)Diasensor 1000,66000,2023-12-19,혈당 측정,보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
개인용혈당측정기,개인용혈당측정기 에스디 바이오센서 02LA10G 에스디리피도케어,297000,2023-12-19,혈당 측정,보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
혈색소측정기,자동헤모글로빈측정기및자동분석시약류 인포피아 Easy A1c 200×200×139mm,2200000,2023-12-19,빈혈 수치 측정,보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
적외선체온계,적외선체온계 자원메디칼 DX-707 귓속용,198000,2023-12-19,체온 측정,보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
혈색소측정기,자동헤모글로빈측정기및자동분석시약류 미코바이오메드 MHD-2 자동헤모글로빈측정장치,660000,2024-05-10,빈혈 수치 측정,보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
전자혈압계,자동전자혈압계 BRAUN (DE)BP5900 팔뚝형,45000,2024-05-10,혈압 측정,보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
전자혈압계,자동전자혈압계 휴비딕 CN/HBP-600 손목형,83000,2024-05-23,혈압 측정,보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
적외선체온계,적외선체온계 파이시스 PISIS-007 피부 비접촉식,990000,2024-05-23,체온 측정,보건소,도시보건과(광영금호건강지원팀 금호건강생활지원센터)
콜레스테롤측정기,콜레스테롤측정기 리피드,440000,2017-06-30,콜레스테롤측정,보건소,도시보건과(광영금호건강지원팀 광영건강생활지원센터)
혈색소측정기,자동헤모글로빈측정기및자동분석시약류 아이센스 A1Care,2200000,2017-06-30,당화혈색소 측정,보건소,도시보건과(광영금호건강지원팀 광영건강생활지원센터)
자동혈압계,아케소 986,110000,2017-06-30,혈압 측정,보건소,도시보건과(광영금호건강지원팀 광영건강생활지원센터)
전자동혈압계,전자동혈압계(팔뚝형) BPBI0320,2100000,2017-06-30,혈압 측정,보건소,도시보건과(광영금호건강지원팀 광영건강생활지원센터)
헤모글로빈 측정기,헤모큐 301,1050000,2017-06-25,빈혈수치 측정,보건소,도시보건과(광영금호건강지원팀 광영건강생활지원센터)
체성분측정기,인바디620 DMS-BIA,6500000,2019-03-19,체성분측정,보건소,도시보건과(광영금호건강지원팀 광영건강생활지원센터)
체성분측정기,인바디770,16651250,2017-06-30,체성분측정,보건소,도시보건과(광영금호건강지원팀 광영건강생활지원센터)
자동신장계,BSM330,850000,2017-06-26,신장 측정,보건소,도시보건과(광영금호건강지원팀 광영건강생활지원센터)
혈압측정기,이동식혈압계-수은 HEM 7122,98500,2017-06-25,혈압 측정,보건소,도시보건과(광영금호건강지원팀 광영건강생활지원센터)
전자혈압계,자동전자혈압계 인바디 BPBIO330 탁상형,945000,2023-12-07,혈압 측정,보건소,도시보건과(광영금호건강지원팀)
일산화탄소측정기,일산화탄소측정기 Davis (US)DAVIS GT-96,2200000,2023-12-19,일산화탄소 측정(금연 대상자),보건소,도시보건과(광영금호건강지원팀)
혈당측정기,혈당측정기 Biocontrol technology (US)Diasensor 1000,66000,2023-12-19,혈당측정용,보건소,도시보건과(광영금호건강지원팀)
개인용혈당측정기,개인용혈당측정기 에스디 바이오센서 02LA10G 에스디리피도케어,297000,2023-12-19,혈당측정용,보건소,도시보건과(광영금호건강지원팀)
혈색소측정기,자동헤모글로빈측정기및자동분석시약류 인포피아 Easy A1c 200×200×139mm,2200000,2023-12-19,혈색소측정용,보건소,도시보건과(광영금호건강지원팀)
적외선체온계,적외선체온계 자원메디칼 DX-707 귓속용,198000,2023-12-19,체온 측정,보건소,도시보건과(광영금호건강지원팀)
혈색소측정기,자동헤모글로빈측정기및자동분석시약류 미코바이오메드 MHD-2 자동헤모글로빈측정장치,660000,2024-05-10,혈색소측정용,보건소,도시보건과(광영금호건강지원팀)
전자혈압계,자동전자혈압계 BRAUN (DE)BP5900 팔뚝형,45000,2024-05-10,혈압측정용,보건소,도시보건과(광영금호건강지원팀)
심장충격기,저출력심장충격기 나눔테크 NT-381 0~150J,1540000,2024-05-14,심장충격기,보건소,도시보건과(광영금호건강지원팀)
심장충격기,저출력심장충격기 나눔테크 NT-W1 (부품)벽걸이형보관함,220000,2024-05-14,심장충격기,보건소,도시보건과(광영금호건강지원팀)
전자혈압계,자동전자혈압계 휴비딕 CN/HBP-600 손목형,83000,2024-05-23,혈압측정용,보건소,도시보건과(광영금호건강지원팀)
적외선체온계,적외선체온계 파이시스 PISIS-007 피부 비접촉식,990000,2024-05-23,체온측정용,보건소,도시보건과(광영금호건강지원팀)
체성분분석기,InBody620 DSM-BIA,6533340,2022-05-27,체성분측정,보건소,도시보건과(골약건강지원팀 골약건강생활지원센터)
전자혈압계,전자동전자혈압계,646000,2022-06-09,혈압 측정,보건소,도시보건과(골약건강지원팀 골약건강생활지원센터)
전자혈압계,자동전자혈압계 인바디 BPBIO330탁상형,1457430,2022-05-27,혈압 측정,보건소,도시보건과(골약건강지원팀 골약건강생활지원센터)
당화혈색소측정기,인포피아 Easy A1c,2131400,2022-06-09,당화혈색소 측정,보건소,도시보건과(골약건강지원팀 골약건강생활지원센터)
혈색소측정기,아이센스A1Care Analyzer,1150000,2022-05-27,혈색소 측정,보건소,도시보건과(골약건강지원팀 골약건강생활지원센터)
의료용분광광도계,인포피아 Lipid Pro ,291000,2022-06-09,콜레스테롤 측정,보건소,도시보건과(골약건강지원팀 골약건강생활지원센터)
안과용시력검사기,뷰엠테크놀로지 VAA-2000PSE,3598360,2022-07-04,시력 측정,보건소,도시보건과(골약건강지원팀 골약건강생활지원센터)
혈당측정기,Biocontrol technology(US)Diasensor1000,64600,2022-06-09,혈당 측정,보건소,도시보건과(골약건강지원팀 골약건강생활지원센터)
일산화탄소측정기,체내일산화탄소측정기,1929000,2022-06-09,체내 일산화탄소 측정,보건소,도시보건과(골약건강지원팀 골약건강생활지원센터)
생화학분석기,HITACHI-3100,62598,2016-12-31,"간기능검사, 신장기능, 고지혈증 등",보건소,중마통합보건지소(검사실)
디지털진단용엑스선촬영장치,디지털X선촬영장치  DK메디칼시스템 INNOCISION-EXⅡ 흉부촬영,144229,2023-04-11,폐질환검사,보건소,중마통합보건지소(방사선실)
자동혈구분석기,SYSMEX XN-550,45851,2016-12-31,"혈액학검사(적혈구수, 백혈구수, 빈혈 등)",보건소,중마통합보건지소(검사실)
형광현미경,BX51/DP71,26500,2008-12-31,결핵균검사,보건소,중마통합보건지소(검사실)
