수가코드,한글수가명,산재단가금액,일반단가금액,건강단가금액,보호일반단가금액,산재일반단가금액,산재후유단가금액,감액가능품목여부,해당수가입력일자,적용시작일자,적용종료일자
91518A,직업력조사(근골격계질환),103520,103520,103520,103520,103520,103520,N,2017-12-18,2019-01-01,2019-12-31
91518B,직업력조사(소음성난청),103520,103520,103520,103520,103520,103520,N,2017-12-18,2019-01-01,2019-12-31
91518C,직업력조사(뇌 심혈관계 질환),103520,103520,103520,103520,103520,103520,N,2017-12-18,2019-01-01,2019-12-31
91518D,"직업력조사(직업성 암, 만성호흡기 질환)",103520,103520,103520,103520,103520,103520,N,2017-12-18,2019-01-01,2019-12-31
91519,신체부담 요인조사,98000,98000,98000,98000,98000,98000,N,2017-12-18,2019-01-01,2019-12-31
91519A,신체부담 요인조사(목부위),98000,98000,98000,98000,98000,98000,N,2017-12-18,2019-01-01,2019-12-31
91519B,신체부담 요인조사(어깨/위팔부위),98000,98000,98000,98000,98000,98000,N,2017-12-18,2019-01-01,2019-12-31
91519C,신체부담 요인조사(팔꿈치/아래팔부위),98000,98000,98000,98000,98000,98000,N,2017-12-18,2019-01-01,2019-12-31
91519D,신체부담 요인조사(손/손목부위),98000,98000,98000,98000,98000,98000,N,2017-12-18,2019-01-01,2019-12-31
91519E,신체부담 요인조사(허리/고관절부위),98000,98000,98000,98000,98000,98000,N,2017-12-18,2019-01-01,2019-12-31
91519F,신체부담 요인조사(무릎/발목부위),98000,98000,98000,98000,98000,98000,N,2017-12-18,2019-01-01,2019-12-31
91520,기본 직무분석(작업치료사),84720,84720,84720,84720,84720,84720,N,2017-12-18,2019-07-23,2019-12-31
91520-1,기본 직무분석(산업위생사),84720,84720,84720,84720,84720,84720,N,2019-12-31,2019-07-23,2019-12-31
91521,인간공학적 평가(간단한것),147000,147000,147000,147000,147000,147000,N,2017-12-18,2019-01-03,2019-12-31
91522,인간공학적 평가(복잡한것),294000,294000,294000,294000,294000,294000,N,2017-12-18,2019-01-03,2019-12-31
91523,사업장방문료(50km 이내),54750,54750,54750,54750,54750,54750,N,2017-12-18,2019-01-03,2019-12-31
91525,사업장방문료-의사방문,267000,267000,267000,267000,267000,267000,N,2017-12-18,2019-01-01,2019-12-31
91526,직업재활상담료,42360,42360,42360,42360,42360,42360,N,2017-12-18,2019-01-01,2019-12-31
91526-1,직업재활상담료(산업위생사),42360,42360,42360,42360,42360,42360,N,2019-12-31,2019-03-04,2019-12-31
91570,사업장 방문료(50km 초과 1km 당),700,700,700,700,700,700,N,2019-12-31,2019-01-01,2019-12-31
AA222,재진-물리치료@주사등을 시술받는경우,3680,3680,3680,3680,3680,3680,Y,2001-07-01,2019-01-01,2019-12-31
AA256A,재진,14850,14850,13100,13100,14850,14850,Y,2001-07-01,2019-01-01,2019-12-31
AA256B,재진 6세미만,15370,15370,13610,13610,15370,15370,Y,2001-07-01,2019-01-01,2019-12-31
AA256C,재진 1세미만,16100,16100,14340,14340,16100,16100,Y,2017-06-15,2019-01-01,2019-12-31
AA256D,대리 진찰료,7430,7430,6550,6550,7430,7430,Y,2001-07-01,2019-01-01,2019-12-31
AA256E,재진 장애인 야간(공휴) 건강검진,9200,9200,8330,8330,9200,9200,Y,2013-06-05,2019-01-01,2019-12-31
AA256F,재진 장애인,15530,15530,13770,13770,15530,15530,Y,2002-06-18,2019-01-01,2019-12-31
AA256G,재진 1세미만야간(공휴),18300,18300,16550,16550,18300,18300,Y,2017-06-15,2019-01-01,2019-12-31
AA256H,재진 장애인 건강검진,8100,8100,7220,7220,8100,8100,Y,2013-06-05,2019-01-01,2019-12-31
AA256J,재진 야간(공휴),17060,17060,15300,15300,17060,17060,Y,2001-07-01,2019-01-01,2019-12-31
AA256K,재진 6세미만 야간(공휴),17570,17570,15810,15810,17570,17570,Y,2001-07-01,2019-01-01,2019-12-31
AA256N,재진 장애인 야간(공휴),17730,17730,15970,15970,17730,17730,Y,2013-06-05,2019-01-01,2019-12-31
AA256P,재진 6세미만 건강검진,7940,7940,7060,7060,7940,7940,Y,2010-12-31,2019-01-01,2019-12-31
AA256Q,재진 건강검진,7430,7430,6550,6550,7430,7430,Y,2010-12-31,2019-01-01,2019-12-31
AA256R,재진 야간(공휴) 건강검진,8530,8530,7650,7650,8530,8530,Y,2012-04-30,2019-01-01,2019-12-31
AA256S,재진 6세미만 야간(공휴) 건강검진,9040,9040,8160,8160,9040,9040,Y,2012-04-30,2019-01-01,2019-12-31
AA256U,재진 1세미만검진,8680,8680,7800,7800,8680,8680,Y,2017-06-15,2019-01-01,2019-12-31
AN300,가정간호기본방문료,47680,47680,45830,45830,47680,47680,Y,2014-07-31,2019-01-01,2019-12-31
91505,다학제 재활 통합진료료(3인),109500,109500,109500,109500,109500,109500,N,2018-04-01,2018-04-02,
91506,다학제 재활 통합진료료(4인),139740,139740,139740,139740,139740,139740,N,2018-04-01,2018-04-02,
91507,다학제 재활 통합진료료(5인이상),169970,169970,169970,169970,169970,169970,N,2018-04-01,2018-04-02,
91509A,재활종합계획 평가료(4인),109500,0,0,0,109500,109500,N,2017-12-18,2019-01-01,
91510A,재활종합계획 평가료(4인 초과 1인당),17470,0,0,0,17470,17470,N,2017-12-18,2019-01-01,
91511A,재활종합계획 평가료(의사가산 1인당),34940,0,0,0,34940,34940,N,2017-12-18,2019-01-01,
91512A,재활목표설정 지원관리료(4인),73000,0,0,0,73000,73000,N,2017-12-18,2019-01-01,
91513A,재활목표설정 지원관리료(4인 초과 1인당),11650,0,0,0,11650,11650,N,2017-12-18,2019-01-01,
91514A,재활목표설정 지원관리료(의사 가산 1인당),23290,0,0,0,23290,23290,N,2017-12-18,2019-01-01,
91515,산재재활 교육 상담료,59330,0,0,0,59330,59330,N,2017-12-18,2019-01-01,
91516,진료정보 제공료,59330,0,0,0,59330,59330,N,2017-12-18,2019-01-01,
91527,다학제 회의료(3인),90700,90700,90700,90700,90700,90700,N,2018-03-29,2019-01-01,2019-12-31
91527A,다학제 회의료(3인) 요양검토회의,90700,90700,90700,90700,90700,90700,N,2018-03-30,2019-01-01,2019-12-31
91528,다학제 회의료(4인),120940,120940,120940,120940,120940,120940,N,2018-03-29,2019-01-01,2019-12-31
91528A,다학제 회의료(4인) 요양검토회의,120940,120940,120940,120940,120940,120940,N,2018-03-30,2019-01-01,2019-12-31
91529,다학제 회의료(5인 이상),151170,151170,151170,151170,151170,151170,N,2018-03-29,2019-01-01,2019-12-31
91529A,다학제 회의료(5인 이상) 요양검토회의,151170,151170,151170,151170,151170,151170,N,2018-03-30,2019-01-01,2019-12-31
91530,재활지도료-산재재활전문간호사,59330,59330,59330,59330,59330,59330,N,2018-07-26,2019-01-01,2019-12-31
91530-2,재활지도료-물리치료실,59330,59330,59330,59330,59330,59330,N,2018-07-26,2019-01-01,2019-12-31
91530-3,재활지도료-작업치료실,59330,59330,59330,59330,59330,59330,N,2018-07-26,2019-01-01,2019-12-31
91531,생활현장 지도료,59330,59330,59330,59330,59330,59330,N,2018-03-29,2019-01-01,2019-12-31
91532,집단 교육 프로그램(의사) 4인 이하,51000,51000,51000,51000,51000,51000,N,2018-03-29,2019-01-01,2019-12-31
91533,집단 교육 프로그램(의사) 5-7인,34500,34500,34500,34500,34500,34500,N,2018-03-29,2019-01-01,2019-12-31
91534,집단 교육 프로그램(의사) 8인 이상,25500,25500,25500,25500,25500,25500,N,2018-03-29,2019-01-01,2019-12-31
91535,집단 교육 프로그램(간호사) 4인 이하,34000,34000,34000,34000,34000,34000,N,2018-03-29,2019-01-01,2019-12-31
91535-1,"집단 교육 프로그램 기타(물리치료사,산업위생사,사회복지사,임상심리사등) 4인 이하",34000,34000,34000,34000,34000,34000,N,2019-12-31,2019-03-04,2019-12-31
91536,집단 교육 프로그램(간호사) 5-7인,23000,23000,23000,23000,23000,23000,N,2018-03-29,2019-01-01,2019-12-31
91536-1,"집단 교육 프로그램 기타(물리치료사,산업위생사,사회복지사,임상심리사등) 5-7인",23000,23000,23000,23000,23000,23000,N,2019-12-31,2019-03-04,2019-12-31
91537,집단 교육 프로그램(간호사) 8인 이상,17000,17000,17000,17000,17000,17000,N,2018-03-29,2019-01-01,2019-12-31
91537-1,"집단 교육 프로그램 기타(물리치료사,산업위생사,사회복지사,임상심리사등)8인 이상",17000,17000,17000,17000,17000,17000,N,2019-12-31,2019-03-04,2019-12-31
91538,생활현장 방문료(기본),54750,54750,54750,54750,54750,54750,N,2018-03-29,2019-01-01,2019-12-31
91539,생활현장 방문료(거리가산 50km),27380,27380,27380,27380,27380,27380,N,2018-03-29,2019-01-01,2019-12-31
91540,업무부담 요인조사,214800,214800,214800,214800,214800,214800,N,2018-03-29,2019-01-01,2019-12-31
91541,소음 노출수준 조사Ⅰ,470800,470800,470800,470800,470800,470800,N,2018-03-29,2019-01-01,2019-12-31
91542,소음 노출수준 조사Ⅱ,116800,116800,116800,116800,116800,116800,N,2018-03-29,2019-01-01,2019-12-31
91543,입원 집중재활관리료(1일당),24120,0,0,0,24120,24120,N,2019-10-04,2019-10-01,
91544,통원 집중재활관리료(방문당),11310,0,0,0,11310,11310,N,2019-10-04,2019-10-01,
91549,집중재활촉진지원금(15일이내 전과),150000,150000,150000,150000,150000,150000,N,2018-04-18,2018-05-01,
91550,집중재활촉진지원금(16일에서 30일이내 전과),100000,100000,100000,100000,100000,100000,N,2018-04-18,2018-05-01,
91551,집중재활촉진지원금(31일에서 45일이내 전과),50000,50000,50000,50000,50000,50000,N,2018-04-18,2018-05-01,
91552,산재환자 진료지원료(입원 1일당),16500,16500,16500,16500,16500,16500,N,2018-08-14,2019-01-01,
91553,산재환자 진료지원료(외래 방문당),11550,11550,11550,11550,11550,11550,N,2018-08-14,2019-01-01,
91554,특진환자 진료지원료(입원 1일당),24750,24750,24750,24750,24750,24750,N,2018-08-14,2019-01-01,
91555,특진환자 진료지원료(외래 방문당),17300,17300,17300,17300,17300,17300,N,2018-08-14,2019-01-01,
91556,산재관리의사 상담료,59330,0,0,0,59330,59330,N,2018-12-18,2018-12-18,
91557,통합서비스 회의료(3인),60470,60470,60470,60470,60470,60470,N,2019-12-31,2019-01-01,2019-12-31
91558,통합서비스 회의료(3인 초과 1인당),15120,15120,15120,15120,15120,15120,N,2019-12-31,2019-01-01,2019-12-31
91559,재활종합계획 평가 및 목표설정 지원관리(환자 또는 보호자 참여),14580,14580,14580,14580,14580,14580,N,2019-12-31,2019-01-01,2019-12-31
91560,진료기록 분석(업무 관련성 평가) 간단한 것,118660,118660,118660,118660,118660,118660,N,2019-12-31,2019-01-01,2019-12-31
91561,진료기록 분석(업무 관련성 평가) 복잡한 것,237320,237320,237320,237320,237320,237320,N,2019-12-31,2019-01-01,2019-12-31
91562,진료기록 분석(장해등급 평가) 간단한 것,118660,118660,118660,118660,118660,118660,N,2019-12-31,2019-01-01,2019-12-31
91563,진료기록 분석(장해등급 평가) 복잡한 것,237320,237320,237320,237320,237320,237320,N,2019-12-31,2019-01-01,2019-12-31
91564,진료기록 분석(기타),59330,59330,59330,59330,59330,59330,N,2019-12-31,2019-01-01,2019-12-31
91565,사례관리 계획,59330,59330,59330,59330,59330,59330,N,2019-12-31,2019-01-01,2019-12-31
91566,사례관리 종결 보고,59330,59330,59330,59330,59330,59330,N,2019-12-31,2019-01-01,2019-12-31
91567,정밀 직무분석,147000,147000,147000,147000,147000,147000,N,2019-12-31,2019-01-01,2019-12-31
91568,직장복귀 지원 계획(최초),78130,78130,78130,78130,78130,78130,N,2019-12-31,2019-01-01,2019-12-31
91569,직장복귀 지원 계획(변경),39070,39070,39070,39070,39070,39070,N,2019-12-31,2019-01-01,2019-12-31
91581,간병 재활요구도 평가,30830,30830,30830,30830,30830,30830,N,2019-12-31,2019-01-01,2019-12-31
91582,중증환자 간호 간병지원료(2:1 이상 3:1 미만),121300,121300,121300,121300,121300,121300,N,2019-12-31,2019-01-01,2019-12-31
91583,중증환자 간호 간병지원료(3:1 이상 4:1 미만),80870,80870,80870,80870,80870,80870,N,2019-12-31,2019-01-01,2019-12-31
91584,중증환자 간호 간병지원료(4:1),60650,60650,60650,60650,60650,60650,N,2019-12-31,2019-01-01,2019-12-31
91585,병동지원인력 가산,2030,2030,2030,2030,2030,2030,N,2019-12-31,2019-01-01,2019-12-31
91586,간호 간병통합서비스 통합간호료(입원환자 통합간호료),35520,35520,35520,35520,35520,35520,N,2019-12-31,2019-01-01,2019-12-31
91587,간호 간병통합서비스 통합간호료(퇴원환자 통합간호료),24260,24260,24260,24260,24260,24260,N,2019-12-31,2019-01-01,2019-12-31
91588,간호 간병통합서비스 통합간호료(수술 전 통합간호료)(1일당),29060,29060,29060,29060,29060,29060,N,2019-12-31,2019-01-01,2019-12-31
91589,간호 간병통합서비스 통합간호료(수술 후 통합간호료)(1일당),42960,42960,42960,42960,42960,42960,N,2019-12-31,2019-01-01,2019-12-31
91590,간호 간병통합서비스 통합간호료(재활간호료)(30분당),40360,40360,40360,40360,40360,40360,N,2019-12-31,2019-01-01,2019-12-31
91591,업무상 스트레스 및 개인적 요인조사,312800,312800,312800,312800,312800,312800,N,2019-07-11,2019-04-01,
91592,자살사건 조사,103520,103520,103520,103520,103520,103520,N,2019-03-28,2019-04-01,
91593,통합서비스 회의료((의사가산),30240,0,0,0,30240,30240,N,2019-07-12,2019-07-15,
91594,집단 상담료(의사) 4인,109500,0,0,0,109500,109500,N,2019-07-12,2019-07-15,
91595,집단 상담료(의사) 4인 초과 1인당,17470,0,0,0,17470,17470,N,2019-07-12,2019-07-15,
91596,집단 상담료(임상심리사 등) 4인,54750,0,0,0,54750,54750,N,2019-07-12,2019-07-15,
91597,집단 상담료(임상심리사 등) 4인 초과 1인당,8740,0,0,0,8740,8740,N,2019-07-12,2019-07-15,
91914,사업장 훈련지도 실시 계획,59330,0,0,0,59330,59330,N,2019-07-12,2019-07-15,
AC450,수술실 환자 안전관리료,18170,18170,18170,18170,18170,18170,Y,2019-06-27,2019-06-27,2019-12-31
AH011,"감염예방 관리료-상급종합,종합병원 3등급",1580,1580,1580,1580,1580,1580,Y,2019-12-31,2019-10-01,2019-12-31
AH501,중환자실 입원시 협의진찰료-상급종합병원,13980,0,0,0,13980,13980,Y,2015-08-10,2019-01-01,
AH600,입원환자 협의진찰료(Consult),13980,13980,10580,10580,13980,13980,Y,2014-08-05,2019-01-01,2019-12-31
AH603,안심병원 감염전문관리료 종합병원,11650,11650,10580,10580,11650,11650,Y,2015-07-08,2019-01-01,2019-12-31
AC105,응급의료관리료(지역의료기관),20280,20280,20280,20280,20280,20280,Y,2013-12-31,2019-01-01,2019-12-31
V6001,응급실 1인 격리병상 격리관리료-일반격리관리료,48570,48570,48570,48570,48570,48570,Y,2016-09-22,2019-01-01,2019-12-31
V6002,응급실 1인 격리병상 격리관리료-음압격리관리료,160990,160990,160990,160990,160990,160990,Y,2017-06-13,2019-01-01,2019-12-31
V7000,응급환자 중증도 분류 및 선별료,3800,3800,3800,3800,3800,3800,Y,2017-01-02,2019-01-01,2019-12-31
53010,전문재활치료 팀 회의료- 최초,24320,0,0,0,24320,24320,N,2017-02-02,2015-07-01,
53011,전문재활치료 팀 회의료- 2회째부터,16210,0,0,0,16210,16210,N,2017-02-02,2015-07-01,
91501B,전문재활치료팀 회의료(인증환자 제외),0,0,0,0,0,0,N,2015-04-01,2019-01-01,2019-12-31
AB2000,입원료,73230,73230,51650,51650,73230,73230,Y,2001-01-01,2019-01-01,2019-12-31
AB20000S,입원료(진폐정밀),42050,42050,37120,37120,42050,42050,Y,2018-04-27,2019-01-01,2019-12-31
AB2000E,입원료-외박,56770,56770,37120,37120,56770,56770,Y,2017-10-30,2019-01-01,2019-12-31
AB2010,입원료/오전0-6시입원,36620,36620,25820,25820,36620,36620,Y,2013-12-31,2019-01-01,2019-12-31
AB2020,입원료/18-24시퇴원,36620,36620,25820,25820,36620,36620,Y,2001-01-01,2019-01-01,2019-12-31
AB2080,입원료/입원16일-30일까지,67380,67380,46480,46480,67380,67380,Y,2001-01-01,2019-01-01,2019-12-31
AB2090,입원료/입원31일부터,64460,64460,43900,43900,64460,64460,Y,2001-01-01,2019-01-01,2019-12-31
AB2200,입원료 5인실,95200,95200,67140,67140,95200,95200,Y,2015-09-21,2019-01-01,2019-12-31
AB2200D,입원료 5인실(DRG차액),11130,11130,11130,11130,11130,11130,Y,2014-12-31,2019-01-01,2019-12-31
AB2200E,입원료 5인실-외박,73800,73800,48250,48250,73800,73800,Y,2017-10-30,2019-01-01,2019-12-31
AB2210,입원료 5인실/오전0-6시입원,47600,47600,33570,33570,47600,47600,Y,2015-09-21,2019-01-01,2019-12-31
AB2220,입원료 5인실/18-24시퇴원,47600,47600,33570,33570,47600,47600,Y,2015-09-21,2019-01-01,2019-12-31
AB2280,입원료 5인실/입원16일-30일까지,87600,87600,60430,60430,87600,87600,Y,2015-09-21,2019-01-01,2019-12-31
AB2290,입원료 5인실/입원31일부터,83790,83790,57070,57070,83790,83790,Y,2015-09-21,2019-01-01,2019-12-31
AB2400,입원료 4인실,117170,117170,82640,82640,117170,117170,Y,2002-01-29,2019-01-01,2019-12-31
AB2400D,입원료 4실(DRG 차액),22270,22270,22270,22270,22270,22270,Y,2014-12-31,2019-01-01,2019-12-31
AB2400E,입원료 4인실-외박,90830,90830,59390,59390,90830,90830,Y,2017-10-30,2019-01-01,2019-12-31
AB2410,입원료 4인실/오전0-6시입원,58590,58590,41320,41320,58590,58590,Y,2015-09-21,2019-01-01,2019-12-31
AB2420,입원료 4인실/18-24시퇴원,58590,58590,41320,41320,58590,58590,Y,2015-09-21,2019-01-01,2019-12-31
AB2480,입원료 4인실/입원16일-30일까지,107810,107810,74370,74370,107810,107810,Y,2015-09-21,2019-01-01,2019-12-31
AB2490,입원료 4인실/입원31일부터,103130,103130,70240,70240,103130,103130,Y,2015-09-21,2019-01-01,2019-12-31
AB2600,입원료 3인실,140610,140610,99160,99160,140610,140610,Y,2018-07-01,2019-01-01,2019-12-31
AB2600D,입원료 3인실(DRG 차액),34140,34140,34140,34140,34140,34140,Y,2018-08-20,2019-01-01,2019-12-31
AB2600E,입원료 3인실-외박,109000,109000,71260,71260,109000,109000,Y,2018-07-01,2019-01-01,2019-12-31
AB2610,입원료 3인실/오전0-6시입원,70300,70300,49580,49580,70300,70300,Y,2018-07-01,2019-01-01,2019-12-31
AB2620,입원료 3인실/18-24시퇴원,70300,70300,49580,49580,70300,70300,Y,2018-07-01,2019-01-01,2019-12-31
AB2680,입원료 3인실/입원16일-30일까지,129370,129370,89240,89240,129370,129370,Y,2018-07-01,2019-01-01,2019-12-31
AB2690,입원료 3인실/입원31일부터,123760,123760,84290,84290,123760,123760,Y,2018-07-01,2019-01-01,2019-12-31
AB2700,입원료 2인실,187480,187480,123950,123950,187480,187480,Y,2018-07-01,2019-01-01,2019-12-31
AB2700D,입원료 2인실(DRG 차액),51960,51960,51960,51960,51960,51960,Y,2018-08-20,2019-01-01,2019-12-31
AB2700E,입원료 2인실-외박,145330,145330,89080,89080,145330,145330,Y,2018-07-01,2019-01-01,2019-12-31
AB2710,입원료 2인실/오전0-6시입원,93740,93740,61980,61980,93740,93740,Y,2018-07-01,2019-01-01,2019-12-31
AB2720,입원료 2인실/18-24시퇴원,93740,93740,61980,61980,93740,93740,Y,2018-07-01,2019-01-01,2019-12-31
AB2780,입원료 2인실/입원16일-30일까지,172500,172500,111560,111560,172500,172500,Y,2018-07-01,2019-01-01,2019-12-31
AB2790,입원료 2인실/입원31일부터,165010,165010,105360,105360,165010,165010,Y,2018-07-01,2019-01-01,2019-12-31
AC422,입원환자 안전관리료,1810,1810,2120,2120,1810,1810,Y,2017-09-28,2019-01-01,2019-12-31
AI120,야간간호료,4300,4300,4300,4300,4300,4300,Y,2019-12-31,2019-10-01,2019-12-31
AO2000,입원관리료,79450,79450,48460,48460,79450,79450,Y,2017-12-18,2019-01-01,2019-12-31
AO2010,입원관리료/오전0-6시입원,39730,39730,24230,24230,39730,39730,Y,2017-12-18,2019-01-01,2019-12-31
AO2020,입원관리료/18-24시퇴원,39730,39730,24230,24230,39730,39730,Y,2017-12-18,2019-01-01,2019-12-31
AO2080,입원관리료/입원16일-30일까지,74030,74030,43610,43610,74030,74030,Y,2017-12-18,2019-01-01,2019-12-31
AO2090,입원관리료/입원31일부터,71330,71330,41190,41190,71330,71330,Y,2017-12-18,2019-01-01,2019-12-31
AO2200,입원관리료 5인실,107270,107270,65420,65420,107270,107270,Y,2017-12-18,2019-01-01,2019-12-31
AO2200D,입원관리료 5인실(DRG차액),11130,11130,11130,11130,11130,11130,Y,2017-12-18,2019-01-01,2019-12-31
AO2210,입원관리료 5인실/오전0-6시입원,53630,53630,32710,32710,53630,53630,Y,2017-12-18,2019-01-01,2019-12-31
AO2220,입원관리료 5인실/18-24시퇴원,53630,53630,32710,32710,53630,53630,Y,2017-12-18,2019-01-01,2019-12-31
AO2280,입원관리료 5인실/입원16일-30일까지,99960,99960,58880,58880,99960,99960,Y,2017-12-18,2019-01-01,2019-12-31
AO2290,입원관리료 5인실/입원31일부터,96300,96300,55610,55610,96300,96300,Y,2017-12-18,2019-01-01,2019-12-31
AO2400,입원관리료 4인실,135070,135070,82380,82380,135070,135070,Y,2017-12-18,2019-01-01,2019-12-31
AO2400D,입원관리료 4인실(DRG차액),22270,22270,22270,22270,22270,22270,Y,2017-12-18,2019-01-01,2019-12-31
AO2410,입원관리료 4인실/오전0-6시입원,67540,67540,41190,41190,67540,67540,Y,2017-12-18,2019-01-01,2019-12-31
AO2420,입원관리료 4인실/18-24시퇴원,67540,67540,41190,41190,67540,67540,Y,2017-12-18,2019-01-01,2019-12-31
AO2480,입원관리료 4인실/입원16일-30일까지,125860,125860,74140,74140,125860,125860,Y,2017-12-18,2019-01-01,2019-12-31
AO2490,입원관리료 4인실/입원31일부터,121260,121260,70020,70020,121260,121260,Y,2017-12-18,2019-01-01,2019-12-31
AO2600,입원관리료 3인실,162070,162070,98860,98860,162070,162070,Y,2018-06-30,2019-01-01,2019-12-31
AO2600D,입원관리료 3인실(DRG차액),34140,34140,34140,34140,34140,34140,Y,2018-06-30,2019-01-01,2019-12-31
AO2610,입원관리료 3인실/오전0-6시입원,81040,81040,49430,49430,81040,81040,Y,2018-06-30,2019-01-01,2019-12-31
AO2620,입원관리료 3인실/18-24시퇴원,81040,81040,49430,49430,81040,81040,Y,2018-06-30,2019-01-01,2019-12-31
AO2680,입원관리료 3인실/입원16일-30일까지,151020,151020,88970,88970,151020,151020,Y,2018-06-30,2019-01-01,2019-12-31
AO2690,입원관리료 3인실/입원31일부터,145500,145500,84030,84030,145500,145500,Y,2018-06-30,2019-01-01,2019-12-31
AO2800,입원관리료 2인실,216100,216100,123570,123570,216100,216100,Y,2018-06-30,2019-01-01,2019-12-31
AO2800D,입원관리료 2인실(DRG차액),51960,51960,51960,51960,51960,51960,Y,2018-06-30,2019-01-01,2019-12-31
AO2810,입원관리료 2인실/오전0-6시입원,108060,108060,61790,61790,108060,108060,Y,2018-06-30,2019-01-01,2019-12-31
AO2820,입원관리료 2인실/18-24시퇴원,108060,108060,61790,61790,108060,108060,Y,2018-06-30,2019-01-01,2019-12-31
AO2880,입원관리료 2인실/입원16일-30일까지,201370,201370,111210,111210,201370,201370,Y,2018-06-30,2019-01-01,2019-12-31
AO2890,입원관리료 2인실/입원31일부터,194000,194000,105030,105030,194000,194000,Y,2018-06-30,2019-01-01,2019-12-31
AV2200,간호간병료,111730,111730,85620,85620,111730,111730,Y,2017-12-18,2019-01-01,2019-12-31
AV2210,간호간병료/오전0-6시입원,40440,40440,30620,30620,40440,40440,Y,2017-12-18,2019-01-01,2019-12-31
AV2220,간호간병료/18-24시퇴원,40440,40440,30620,30620,40440,40440,Y,2017-12-18,2019-01-01,2019-12-31
AV2280,간호간병료/입원16-30일,100560,100560,77060,77060,100560,100560,Y,2017-12-18,2019-01-01,2019-12-31
AV2290,간호간병료/입원 31일부터,94970,94970,72780,72780,94970,94970,Y,2017-12-18,2019-01-01,2019-12-31
AV2300,간호간병료 2인실,111730,111730,85620,85620,111730,111730,Y,2018-08-17,2019-01-01,2019-12-31
AV2310,간호간병료 2인실/오전0-6시입원,40440,40440,30620,30620,40440,40440,Y,2018-06-30,2019-01-01,2019-12-31
AV2320,간호간병료 2인실/18-24시퇴원,40440,40440,30620,30620,40440,40440,Y,2018-06-30,2019-01-01,2019-12-31
AV2380,간호간병료 2인실/입원16-30일,100560,100560,77060,77060,100560,100560,Y,2018-08-17,2019-01-01,2019-12-31
AV2390,간호간병료 2인실/입원 31일부터,94970,94970,72780,72780,94970,94970,Y,2018-08-17,2019-01-01,2019-12-31
AV2400,간호간병료 3인실,111730,111730,85620,85620,111730,111730,Y,2018-08-17,2019-01-01,2019-12-31
AV2410,간호간병료 3인실/오전0-6시입원,40440,40440,30620,30620,40440,40440,Y,2018-06-30,2019-01-01,2019-12-31
AV2420,간호간병료 3인실/18-24시퇴원,40440,40440,30620,30620,40440,40440,Y,2018-06-30,2019-01-01,2019-12-31
AV2480,간호간병료 3인실/입원16-30일,100560,100560,77060,77060,100560,100560,Y,2018-08-17,2019-01-01,2019-12-31
AV2490,간호간병료 3인실/입원 31일부터,94970,94970,72780,72780,94970,94970,Y,2018-08-17,2019-01-01,2019-12-31
AV2500,간호간병료 4인실,111730,111730,85620,85620,111730,111730,Y,2018-12-30,2019-01-01,2019-12-31
AV2510,간호간병료 4인실/오전0-6시입원,40440,40440,30620,30620,40440,40440,Y,2018-12-30,2019-01-01,2019-12-31
AV2520,간호간병료 4인실/18-24시퇴원,40440,40440,30620,30620,40440,40440,Y,2018-12-30,2019-01-01,2019-12-31
