연번,행정동명,설치장소,적사함수,관리기관(부서),관리자 연락처,데이터 기준일자
41,"산격3,4동",대도시장 ↔ 산격시영,4,건설과/안전총괄과,053-665-4352,2024-06-04
42,산격4동,도청정문 ↔ 대도시장,4,건설과/안전총괄과,053-665-4352,2024-06-04
43,산격1동,성북교 ↔ 도청정문,2,건설과/안전총괄과,053-665-4352,2024-06-04
44,산격3동,경대후(서)문 ↔ 경대북문,4,건설과/안전총괄과,053-665-4352,2024-06-04
45,대현1동,대현육교 ↔ 대구축협네거리,6,건설과/안전총괄과,053-665-4352,2024-06-04
46,복현2동,축협네거리 ↔ 동사무소입구,6,건설과/안전총괄과,053-665-4352,2024-06-04
47,복현2동,복현오거리 ↔ 북중학교입구,4,건설과/안전총괄과,053-665-4352,2024-06-04
48,복현2동,공항교 좌우측,2,건설과/안전총괄과,053-665-4352,2024-06-04
49,복현2동,복현오거리 ↔ 코스트코,1,건설과/안전총괄과,053-665-4352,2024-06-04
50,검단동,프라이스클럽 ↔ 버스종점,6,건설과/안전총괄과,053-665-2918,2024-06-04
51,무태조야동,산격대교 입구 ↔ 국우터널,5,건설과/안전총괄과,053-665-2918,2024-06-04
52,무태조야동,동변교 양안,1,건설과/안전총괄과,053-665-2918,2024-06-04
53,무태조야동,동화교 양안,1,건설과/안전총괄과,053-665-2918,2024-06-04
54,동천동,국우터널 ↔ 구안국도,13,건설과/안전총괄과,053-665-2918,2024-06-04
55,국우동,국우터널 ↔ 칠곡3지구,1,건설과/안전총괄과,053-665-2918,2024-06-04
56,읍내동,농촌진흥원 앞 ↔ 시경계,2,건설과/안전총괄과,053-665-2918,2024-06-04
57,읍내동,목련아파트 ↔ 대동교,3,건설과/안전총괄과,053-665-2918,2024-06-04
58,읍내동,칠곡우체국네거리 ↔ 우방타운,2,건설과/안전총괄과,053-665-2918,2024-06-04
59,관음동,강북네거리 ↔ 칠곡I.C,4,건설과/안전총괄과,053-665-2918,2024-06-04
60,관음동,칠곡I.C ↔관음동 양지마을,5,건설과/안전총괄과,053-665-2918,2024-06-04
61,태전1동,"강북고교입구 ↔ 현대공원, 시경계",6,건설과/안전총괄과,053-665-2918,2024-06-04
62,태전1동,매천초등 ↔ 칠곡I.C,10,건설과/안전총괄과,053-665-2918,2024-06-04
63,"산격2,3동",복현오거리 고가도로,2,건설과/안전총괄과,053-665-2918,2024-06-04
64,관문동,팔달 고가도로,2,건설과/안전총괄과,053-665-2918,2024-06-04
65,태전1동,태전 고가교,2,건설과/안전총괄과,053-665-2918,2024-06-04
66,태전1동,태전고가교 ↔ 태전육교,8,건설과/안전총괄과,053-665-2918,2024-06-04
67,태전1동,태전육교,4,건설과/안전총괄과,053-665-2918,2024-06-04
68,태전1동,태현 육교,2,건설과/안전총괄과,053-665-2918,2024-06-04
69,동천동,진흥교,1,건설과/안전총괄과,053-665-2918,2024-06-04
70,읍내동,거동교 양안,2,건설과/안전총괄과,053-665-2918,2024-06-04
71,읍내동,구수교 양안,2,건설과/안전총괄과,053-665-2918,2024-06-04
72,읍내동,대동교 양안,2,건설과/안전총괄과,053-665-2918,2024-06-04
73,태전2동,동천교 양안,2,건설과/안전총괄과,053-665-2918,2024-06-04
74,태전2동,태암교 양안,2,건설과/안전총괄과,053-665-2918,2024-06-04
75,태전2동,구암교 양안,2,건설과/안전총괄과,053-665-2918,2024-06-04
76,태전1동,태전교 양안,2,건설과/안전총괄과,053-665-2918,2024-06-04
77,관문동,매천교 양안,2,건설과/안전총괄과,053-665-2918,2024-06-04
78,읍내동,읍내우방아파트 앞 경사도로,3,건설과/안전총괄과,053-665-2918,2024-06-04
79,태전동,보건대정문 맞은편경사도로,1,건설과/안전총괄과,053-665-2918,2024-06-04
80,태전동,보건대 대학로앞,1,건설과/안전총괄과,053-665-2918,2024-06-04
81,구암동,운암지공원앞,1,건설과/안전총괄과,053-665-2918,2024-06-04
82,구암동,구암동사무소 맞은편,1,건설과/안전총괄과,053-665-2918,2024-06-04
83,학정동,학남고등학교 북편,1,건설과/안전총괄과,053-665-2918,2024-06-04
84,학정동,한라하우제 네거리,1,건설과/안전총괄과,053-665-2918,2024-06-04
85,학정동,학정로~구암로,12,건설과/안전총괄과,053-665-2918,2024-06-04
86,산격2동,우편집중국앞 삼거리,1,건설과/안전총괄과,053-665-2918,2024-06-04
87,학정동,청아람아파트뒤곡선도로(학정로),1,건설과/안전총괄과,053-665-2918,2024-06-04
88,서변동,고촌지하차도 시점,1,건설과/안전총괄과,053-665-2918,2024-06-04
89,매천동,매천택지지구앞 삼거리,1,건설과/안전총괄과,053-665-2918,2024-06-04
90,매천동,매전교 양안,1,건설과/안전총괄과,053-665-2918,2024-06-04
91,매천동,매전교 양안,1,건설과/안전총괄과,053-665-2918,2024-06-04
92,매천동,대한중석아파트삼거리,2,건설과/안전총괄과,053-665-2918,2024-06-04
93,매천동,매천초교네거리,1,건설과/안전총괄과,053-665-2918,2024-06-04
94,매천동,매천화성파크네거리,1,건설과/안전총괄과,053-665-2918,2024-06-04
95,매천동,매천휴먼시아 2단지입구,1,건설과/안전총괄과,053-665-2918,2024-06-04
96,관문동,매천~지천간 도로(팔달교~시경계),15,건설과/안전총괄과,053-665-2918,2024-06-04
97,읍내동,구수산공원 북서편 삼거리,1,건설과/안전총괄과,053-665-2918,2024-06-04
98,읍내동,구수산도서관 주변도로,2,건설과/안전총괄과,053-665-2918,2024-06-04
99,태전2동,대구병원~구암고교삼거리,7,건설과/안전총괄과,053-665-2918,2024-06-04
100,관문동,농수산물도매시장 삼거리,2,건설과/안전총괄과,053-665-2918,2024-06-04
101,산격4동,해인약국 ~ 실내체육관북편도로,2,건설과/안전총괄과,053-665-2918,2024-06-04
102,산격2동,영우내안에아파트 남편도로,1,건설과/안전총괄과,053-665-2918,2024-06-04
103,산격2동,영우내안에아파트 건너편,1,건설과/안전총괄과,053-665-2918,2024-06-04
104,읍내동,칠곡초소 북편,1,건설과/안전총괄과,053-665-2918,2024-06-04
105,복현2동,공항교동편,2,건설과/안전총괄과,053-665-2918,2024-06-04
106,복현2동,신암선열공원 입구,1,건설과/안전총괄과,053-665-2918,2024-06-04
107,칠성동,통일지하차도 남단,1,건설과/안전총괄과,053-665-2918,2024-06-04
108,칠성동,태평지하차도 남단,1,건설과/안전총괄과,053-665-2918,2024-06-04
109,고성동,원대지하차도 남단,1,건설과/안전총괄과,053-665-2918,2024-06-04
110,노원동,원대오거리 서구경계,1,건설과/안전총괄과,053-665-2918,2024-06-04
111,노원동,만평네거리 서구경계,1,건설과/안전총괄과,053-665-2918,2024-06-04
112,노원동,노원네거리,1,건설과/안전총괄과,053-665-2918,2024-06-04
113,팔달동,매천대교입구 서구경계,1,건설과/안전총괄과,053-665-2918,2024-06-04
114,태전1동,현대공원묘지 입구 시경계,1,건설과/안전총괄과,053-665-2918,2024-06-04
115,학정동,50사단 남문 입구,1,건설과/안전총괄과,053-665-2918,2024-06-04
116,국우동,국우터널 입구,4,건설과/안전총괄과,053-665-2918,2024-06-04
117,서변동,국우터널 입구,6,건설과/안전총괄과,053-665-2918,2024-06-04
118,금호동,금호택지,12,건설과/안전총괄과,053-665-2918,2024-06-04
119,산격4동,산격동 1437-117,1,건설과/안전총괄과,053-665-2918,2024-06-04
120,산격2동,청소년회관,4,건설과/안전총괄과,053-665-2918,2024-06-04
121,침산3동,북구청 일원,7,건설과/안전총괄과,053-665-2918,2024-06-04
122,"침산2,3동",성북로,2,건설과/안전총괄과,053-665-2918,2024-06-04
123,노원동,노원공영주차장,4,건설과/안전총괄과,053-665-2918,2024-06-04
124,산격2동,대불공원~신기공원,11,건설과/안전총괄과,053-665-2918,2024-06-04
125,복현2동,복현로 140 일원,7,건설과/안전총괄과,053-665-2918,2024-06-04
