의료기관명,종별,병상수,소재지도로명주소,전화번호,데이터기준일자
우리비뇨기과의원,의원,0,"전라북도 정읍시 중앙로 24, 4층 (연지동, 종로B/D)",063-537-4400,2022-12-13
연세김창훈내과의원,의원,0,"전라북도 정읍시 우암로 20, 2층 (시기동)",063-537-5335,2022-12-13
장내과의원,의원,0,전라북도 정읍시 신태인읍 신태인중앙로 8,063-571-8737,2022-12-13
현대가정의학과의원,의원,0,전라북도 정읍시 우암로 25 (시기동),063-536-7555,2022-12-13
열린내과의원,의원,0,"전라북도 정읍시 남북로 34, 2층 (수성동)",063-532-5222,2022-12-13
맑은샘의원,의원,0,전라북도 정읍시 중앙로 145-7 (수성동),063-531-7585,2022-12-13
탑가정의학과 의원,의원,0,전라북도 정읍시 중앙로 141(수성동),063-532-2119,2022-12-13
조용근정형외과&연합의원,의원,0,"전라북도 정읍시 신태인읍 신태인중앙로 25, 1~2층 (조용근정형외과)",063-571-1119,2022-12-13
해맑은연합소아청소년과의원,의원,0,전라북도 정읍시 남북로 34 (수성동),063-532-3995,2022-12-13
서경락가정의학과의원,의원,0,전라북도 정읍시 천변로 234 (시기동),063-533-2225,2022-12-13
정읍이비인후과의원,의원,0,전라북도 정읍시 남북로 48 (수성동),063-537-0041,2022-12-13
미래산부인과의원,의원,8,전라북도 정읍시 남북로 50 (수성동),063-536-0011,2022-12-13
고려신경외과의원,의원,27,전라북도 정읍시 중앙1길 39 (수성동),063-532-1414,2022-12-13
하나외과의원,의원,8,전라북도 정읍시 중앙1길 58 (수성동),063-535-9966,2022-12-13
현대마취통증의학과의원,의원,0,전라북도 정읍시 우암로 21 (시기동),063-532-3385,2022-12-13
김형식내과의원,의원,0,"전라북도 정읍시 충정로 58, 정읍농협상동지점 (상동)",063-538-8275,2022-12-13
고려연합의원,의원,29,전라북도 정읍시 중앙1길 39 (수성동),063-532-1414,2022-12-13
현대의원,의원,0,전라북도 정읍시 산외면 산외로 439,063-537-3949,2022-12-13
한사랑가정의원,의원,0,"전라북도 정읍시 학산로 103-4, 1,2층 (상동, 대우드림채상가)",063-538-6500,2022-12-13
문성강안과의원,의원,2,전라북도 정읍시 중앙로 122 (수성동),063-535-1269,2022-12-13
대성의원,의원,0,전라북도 정읍시 우암로 3-1 (시기동),063-532-5533,2022-12-13
동하가정의학과의원,의원,0,전라북도 정읍시 벚꽃로 380(시기동),063-538-8900,2022-12-13
임철수연합의원,의원,0,전라북도 정읍시 중앙로 154 (시기동),063-538-7733,2022-12-13
김태진재활의학과의원,의원,0,전라북도 정읍시 충정로 354 (연지동),063-533-5651,2022-12-13
박이비인후과의원,의원,0,전라북도 정읍시 중앙로 160 (시기동),063-531-7722,2022-12-13
이가정의학과의원,의원,0,전라북도 정읍시 충정로 70 (상동),063-533-7573,2022-12-13
김준식내과의원,의원,0,전라북도 정읍시 중앙로 148 (시기동),063-531-7799,2022-12-13
대동마취통증의학과의원,의원,0,전라북도 정읍시 신태인읍 정신로 1139-1,063-571-0330,2022-12-13
한비뇨기과의원,의원,0,전라북도 정읍시 남북로 42 (수성동),063-532-0048,2022-12-13
장기영정형외과의원,의원,29,전라북도 정읍시 중앙1길 66 (수성동),063-536-6700,2022-12-13
이충섭내과의원,의원,0,"전라북도 정읍시 서부로 53, 2층 (연지동)",063-535-1300,2022-12-13
명성의원,의원,0,전라북도 정읍시 태인면 태인로 22,063-534-8118,2022-12-13
성모연합의원,의원,0,전라북도 정읍시 서성길 31-1 (수성동),063-533-3301,2022-12-13
권혁철피부과의원,의원,0,전라북도 정읍시 우암로 25 (시기동),063-538-3858,2022-12-13
현대산부인과의원,의원,8,전라북도 정읍시 중앙로 20 (연지동),063-532-5300,2022-12-13
참연합의원,의원,0,전라북도 정읍시 수성로 58 (수성동),063-533-0923,2022-12-13
장희성내과의원,의원,0,"전라북도 정읍시 중앙2길 13-6, 장희성내과의원 (수성동)",063-536-3535,2022-12-13
삼광의원,의원,9,전라북도 정읍시 칠보면 칠보중앙로 77-6,063-531-1202,2022-12-13
중앙정신건강의학과의원,의원,0,전라북도 정읍시 중앙1길 66-1 (수성동),063-535-8876,2022-12-13
이영식이비인후과의원,의원,0,전라북도 정읍시 중앙로 85-1 (수성동),063-531-7420,2022-12-13
박흥수일반외과의원,의원,9,"전라북도 정읍시 중앙로 84 (연지동, 박흥수외과)",063-533-8877,2022-12-13
연희내과의원,의원,0,전라북도 정읍시 초산로 82 (수성동),063-533-8880,2022-12-13
기독의원,의원,10,전라북도 정읍시 연지8길 12 (연지동),063-535-4777,2022-12-13
정읍안과의원,의원,2,전라북도 정읍시 중앙로 67 (연지동),063-533-3287,2022-12-13
김완길이비인후과의원,의원,4,전라북도 정읍시 충정로 324 (연지동),063-533-2345,2022-12-13
성심의원,의원,0,전라북도 정읍시 중앙로 41 (연지동),063-533-2422,2022-12-13
종삼의원,의원,0,전라북도 정읍시 우암로 36-1 (수성동),063-535-4230,2022-12-13
정읍연합치과의원,치과의원,0,전라북도 정읍시 중앙로 132 (수성동),063-531-3070,2022-12-13
정읍스타치과의원,치과의원,0,전라북도 정읍시 중앙로 56 (연지동),063-700-7582,2022-12-13
청담연치과의원,치과의원,0,"전라북도 정읍시 충정로 59, 2층 (상동)",063-537-4600,2022-12-13
중앙치과의원,치과의원,0,"전라북도 정읍시 우암로 20, 1층 (시기동, 일부)",063-536-7528,2022-12-13
하나치과의원,치과의원,0,"전라북도 정읍시 중앙로 141-1, 2층 (수성동)",063-536-2111,2022-12-13
한마음부부치과의원,치과의원,0,전라북도 정읍시  학산로  117-16 (상동),063-537-2275,2022-12-13
미플란트치과의원,치과의원,0,전라북도 정읍시 중앙1길 1 (수성동),063-536-2879,2022-12-13
심플란트치과의원,치과의원,0,"전라북도 정읍시 중앙로 33, ,정읍시 중앙로 26-1 (연지동)",063-537-2872,2022-12-13
하얀치과의원,치과의원,0,전라북도 정읍시 신태인읍 신태인1길 107,063-571-0928,2022-12-13
조은치과의원,치과의원,0,전라북도 정읍시 충정로 30 (상동),063-533-2875,2022-12-13
미소진치과의원,치과의원,0,"전라북도 정읍시 남북로 34 (수성동, 미소진치과의원)",063-532-7575,2022-12-13
하나로치과의원,치과의원,0,"전라북도 정읍시 충정로 99, 2층 (상동)",063-535-7528,2022-12-13
박치과의원,치과의원,0,전라북도 정읍시 신태인읍 신태인중앙로 8,063-571-0828,2022-12-13
태인치과의원,치과의원,0,"전라북도 정읍시 수성로 40, 태인치과의원 2층 (수성동)",063-533-7528,2022-12-13
청치과의원,치과의원,0,"전라북도 정읍시 상동중앙로 45, 2층 (상동)",063-537-1885,2022-12-13
김성일치과의원,치과의원,0,전라북도 정읍시 중앙로 123 (수성동),063-533-0280,2022-12-13
이편한치과의원,치과의원,0,"전라북도 정읍시 신경2길 28, 1동 202호 (상동)",063-537-7528,2022-12-13
수성치과의원,치과의원,0,전라북도 정읍시 수성2로 35 (수성동),063-538-2080,2022-12-13
최치과의원,치과의원,0,전라북도 정읍시 중앙로 106 (연지동),063-532-2897,2022-12-13
세종치과의원,치과의원,0,전라북도 정읍시 중앙로 37 (연지동),063-531-7528,2022-12-13
상동치과의원,치과의원,0,"전라북도 정읍시 충정로 80 (상동, 타이어뱅크)",063-538-2875,2022-12-13
제일치과의원,치과의원,0,전라북도 정읍시 초산로 54-1 (시기동),063-533-7590,2022-12-13
보원치과의원,치과의원,0,전라북도 정읍시 수성로 58 (수성동),063-531-9963,2022-12-13
이사랑부부치과의원,치과의원,0,전라북도 정읍시 초산로 83 (수성동),063-535-2531,2022-12-13
최정호치과의원,치과의원,0,전라북도 정읍시 중앙로 140 (시기동),063-533-1771,2022-12-13
김낙은치과의원,치과의원,0,전라북도 정읍시 초산3길 2 (시기동),063-537-2875,2022-12-13
김규석치과의원,치과의원,0,전라북도 정읍시 수성로 39 (수성동),063-537-2828,2022-12-13
송하치과의원,치과의원,0,전라북도 정읍시 남북로 14 (시기동),063-536-3100,2022-12-13
송창용치과의원,치과의원,0,전라북도 정읍시 남북로 42 (수성동),063-536-2875,2022-12-13
문치과의원,치과의원,0,"전라북도 정읍시 중앙로 85-1, 2층 (수성동)",063-535-1199,2022-12-13
유영관치과의원,치과의원,0,전라북도 정읍시 우암로 33 (수성동),063-535-5465,2022-12-13
유종만치과의원,치과의원,0,전라북도 정읍시 중앙로 112 (수성동),063-532-7887,2022-12-13
안치과의원,치과의원,0,전라북도 정읍시 중앙로 138 (시기동),063-531-9946,2022-12-13
정읍치과의원,치과의원,0,전라북도 정읍시 중앙로 118 (수성동),063-535-2340,2022-12-13
약촌한의원,한의원,0,"전라북도 정읍시 우암로 33, 3층 (수성동)",063-534-1075,2022-12-13
하림한의원,한의원,0,"전라북도 정읍시 서부산업도로 447, 1~2층 (하북동)",063-538-7510,2022-12-13
소나무한의원,한의원,0,"전라북도 정읍시 초산로 45-1 (시기동, 소나무한의원)",063-533-7585,2022-12-13
올바른한의원,한의원,0,"전라북도 정읍시 중앙로 118, 3층 (수성동, 코오롱스포츠)",063-535-8275,2022-12-13
정읍부부한의원,한의원,0,"전라북도 정읍시 우암로 9, 하나한의원 (시기동)",063-537-7559,2022-12-13
동진한의원,한의원,0,전라북도 정읍시 학산로 117-14 (상동),063-535-0531,2022-12-13
연지한의원,한의원,0,전라북도 정읍시 중앙로 33 (연지동),063-536-7751,2022-12-13
칠보한의원,한의원,0,전라북도 정읍시 칠보면 칠보중앙로 75,063-531-1175,2022-12-13
경희한의원,한의원,0,"전라북도 정읍시 충정로 80, 3층 (상동)",063-537-0002,2022-12-13
명한의원,한의원,0,전라북도 정읍시 신태인읍 정신로 1151-1,063-571-1075,2022-12-13
동인한의원,한의원,0,전라북도 정읍시 신태인읍 신태인1길 99,063-571-8807,2022-12-13
윤한의원,한의원,0,전라북도 정읍시 신경2길 24 (상동),063-535-7975,2022-12-13
으뜸한의원,한의원,0,전라북도 정읍시 중앙로 141-1 (수성동),063-535-7525,2022-12-13
원광한의원,한의원,0,전라북도 정읍시 신태인읍 신태인중앙로  19,063-571-7480,2022-12-13
수한의원,한의원,0,전라북도 정읍시 신태인읍 정신로 1164,063-571-8500,2022-12-13
명동한의원,한의원,0,전라북도 정읍시 중앙로 139 (수성동),063-532-0036,2022-12-13
북면한의원,한의원,0,"전라북도 정읍시 북면 칠북로 109, 샘골농협 하나로마트 2층",063-538-1075,2022-12-13
맑은샘한의원,한의원,0,전라북도 정읍시 중앙로 145-7 (수성동),063-531-7585,2022-12-13
민중한의원,한의원,0,"전라북도 정읍시 학산로 89-17, 303~4호 (상동)",063-538-2332,2022-12-13
온세한의원,한의원,0,"전라북도 정읍시 중앙로 67, 2층 (연지동)",063-533-7970,2022-12-13
광명한의원,한의원,0,전라북도 정읍시 중앙로 59 (연지동),063-535-4043,2022-12-13
태인한의원,한의원,0,전라북도 정읍시 태인면 태인로 27-3,063-534-8885,2022-12-13
서울한의원,한의원,0,전라북도 정읍시 충정로 362 (연지동),063-532-6688,2022-12-13
권한의원,한의원,0,전라북도 정읍시 중앙로 15 (연지동),063-531-9191,2022-12-13
호남한의원,한의원,0,"전라북도 정읍시 우암로 16-6, 덕화주단홈패션 (시기동)",063-534-2010,2022-12-13
조한의원,한의원,0,전라북도 정읍시 중앙로 26-2 (연지동),063-532-9457,2022-12-13
화평한의원,한의원,0,"전라북도 정읍시 충정로 321, 1층 (연지동)",063-533-9044,2022-12-13
원광한의원,한의원,0,전라북도 정읍시 충정로 357-1 (연지동),063-533-9720,2022-12-13
정주한의원,한의원,0,전라북도 정읍시 중앙로 44 (연지동),063-537-3145,2022-12-13
