기관명,기관종류,지역,우편번호,주소,상세주소,문의전화
경상대학교병원,상급종합병원,경남,52727,경상남도 진주시 강남로 79,경남지역암센터 3층 호스피스완화병동 (칠암동),055-750-9352
가천대길병원,상급종합병원,인천,21565,인천광역시 남동구 남동대로774번길 21,가천대 길병원 (구월동),032-460-3591
홍성의료원,종합병원,충남,32232,충청남도 홍성군 홍성읍 조양로 224,홍성의료원 2층,041-630-6330
칠곡경북대학교병원,종합병원,대구,41404,대구광역시 북구 호국로 807,칠곡경북대학교병원 (학정동),053-200-2539
부산대학교병원,상급종합병원,부산,49241,부산광역시 서구 구덕로 179,부산대학교병원 (아미동1가),051-240-7866
충북대학교병원,상급종합병원,충북,28644,충청북도 청주시 서원구 1순환로 776,충북대학교병원 (개신동),043-269-6910
제주대학교병원,종합병원,제주,63241,제주특별자치도 제주시 아란13길 15,35 완화의료병동 (아라일동),064-717-2365
대구가톨릭대학교병원,상급종합병원,대구,42472,대구광역시 남구 두류공원로17길 33,대구가톨릭대학교병원 (대명동),053-650-4557
서울특별시북부병원,병원,서울,2062,서울특별시 중랑구 양원역로 38,서울특별시 북부병원 (망우동),02-2036-0419
서울특별시동부병원,종합병원,서울,2584,서울특별시 동대문구 무학로 124,서울특별시 동부병원 (용두동),02-920-9379
아주대학교병원,상급종합병원,경기,16499,경기도 수원시 영통구 월드컵로 164,아주대학교병원(경기지역암센터) (원천동),031-219-7126
청주의료원,종합병원,충북,28547,충청북도 청주시 서원구 흥덕로 48,청주의료원 (사직동),043-279-2719
강원대학교병원,종합병원,강원,24289,강원도 춘천시 백령로 156,강원대학교병원 (효자동),033-258-9060
순천의료원,병원,전남,57940,전라남도 순천시 서문성터길 2,순천의료원 (매곡동),061-759-9650
춘천기독의원(춘천호스피스),의원,강원,24409,강원도 춘천시 동산면 영서로 1428,춘천기독의원(춘천호스피스),033-263-5454
경기도의료원파주병원,종합병원,경기,10922,경기도 파주시 중앙로 207,별관2층 완화병동 (금촌동),031-940-9338
포항의료원,종합병원,경북,37688,경상북도 포항시 북구 용흥로 36,(용흥동),054-245-0271
경기도의료원의정부병원,종합병원,경기,11671,경기도 의정부시 흥선로 142,(의정부동),031-828-5461
울산대학교병원,상급종합병원,울산,44033,울산광역시 동구 방어진순환도로 877,93병동(완화의료병동) (전하동),052-250-7847
서울특별시서울의료원,종합병원,서울,2053,서울특별시 중랑구 신내로 156,서울의료원 (신내동),02-2276-8127
굿피플의원,의원,경기,10949,경기도 파주시 조리읍 등원로391번길 47,굿피플의원 3층,031-934-5777
가톨릭대학교인천성모병원,상급종합병원,인천,21431,인천광역시 부평구 동수로 56,마리아관 호스피스완화의료센터 마리아병동 (부평동),032-280-6201
가톨릭관동대학교 국제성모병원,종합병원,인천,22711,인천광역시 서구 심곡로100번길 25,가톨릭관동대 국제성모병원 5층 마리아병동 (심곡동),032-290-3638
새오름가정의원,의원,경기,14911,경기도 시흥시 비둘기공원7길 83,"3~4층(대야동558-7번지,힐탑메디컬프라자3~4층)",031-313-9809
서울특별시서남병원,병원,서울,8049,서울특별시 양천구 신정이펜1로 20,서울특별시 서남병원 (신정동),02-6300-9088
대전보훈병원,종합병원,대전,34314,대전광역시 대덕구 대청로82번길 147,대전보훈병원 (신탄진동),042-939-0303
국립암센터,종합병원,경기,10408,경기도 고양시 일산동구 일산로 323,국립암센터 (마두동),031-920-1129
중앙보훈병원,종합병원,서울,5368,서울특별시 강동구 진황도로61길 53,중앙보훈병원 (둔촌동),02-2225-1529
부산보훈병원,종합병원,부산,46996,부산광역시 사상구 백양대로 420,부산보훈병원 (주례동),051-601-6113
메트로병원,종합병원,경기,14096,경기도 안양시 만안구 명학로33번길 8,메트로병원 (안양동),031-467-9880
국립중앙의료원,종합병원,서울,4564,서울특별시 중구 을지로 245,국립중앙의료원 (을지로6가),02-2276-2240
인하대학교병원,상급종합병원,인천,22332,인천광역시 중구 인항로 27,(신흥동3가),032-890-3744
동래성모병원,병원,부산,47815,부산광역시 동래구 충렬대로 188,"명륜메디칼센터 7층,8층,9층,10층 (명륜동)",051-559-8888
한국원자력의학원 원자력병원,종합병원,서울,1812,서울특별시 노원구 노원로 75,한국원자력의학원 호스피스완화의료센터 (공릉동),02-970-2796
광주보훈병원,종합병원,광주,62284,광주광역시 광산구 첨단월봉로 99,(산월동),062-602-6228
가톨릭대학교여의도성모병원,종합병원,서울,7345,서울특별시 영등포구 63로 10,(여의도동),02-3779-2549
재단법인원불교 원병원,병원,전북,54535,전라북도 익산시 익산대로25길 18,(신동),063-843-3582
남천병원,병원,경기,15820,경기도 군포시 고산로 575,남천병원 6층 호스피스완화의료병동 (산본동),031-390-2073
고신대학교 복음병원,상급종합병원,부산,49267,부산광역시 서구 감천로 262,고신대학교복음병원 525병동 (암남동),051-990-5226
안성 하랑내과의원,의원,경기,17548,경기도 안성시 공도읍 상마정앞길 57,하랑내과,031-618-8814
지샘병원,종합병원,경기,15839,경기도 군포시 군포로 591,8층 완화의료병동 (당동),031-389-3892
사랑나무의원,의원,대구,42037,대구광역시 수성구 화랑로 112-1,사랑나무의원 (만촌동),053-217-9500
군산의료원,종합병원,전북,54105,전라북도 군산시 의료원로 27,전라북도 군산의료원 (지곡동),063-472-5850
대자인병원,종합병원,전북,54910,전라북도 전주시 덕진구 견훤로 390,(우아동3가) 대자인병원,063-250-8761
계명대학교경주동산병원,병원,경북,38144,경상북도 경주시 봉황로 65,계명대학교 경주동산병원 (서부동),054-770-9576
희연의원,의원,경남,51420,경상남도 창원시 성산구 원이대로393번길 25,5층 희연 호스피스 클리닉 (반지동),055-270-9698
안동의료원,종합병원,경북,36694,경상북도 안동시 태사2길 55,(북문동470번지) 경상북도안동의료원 (북문동),054-850-6550
메리놀병원,종합병원,부산,48972,부산광역시 중구 중구로 121,(대청동4가),051-461-2471
