순번,본부명,소방서,주소,전화번호,FAX
117,강원소방본부,양구소방서,강원특별자치도 양구군 양구읍 중심로 92,033-480-4212,033-480-4209
118,강원소방본부,양양소방서,강원특별자치도 양양군 양양읍 남대천로 33,033-639-7212,033-639-7209
119,강원소방본부,영월소방서,강원특별자치도 영월군 영월읍 영월로 1863,033-371-7212,033-371-7209
120,강원소방본부,원주소방서,강원특별자치도 원주시 동부순환로 201(반곡동),033-763-4119,033-769-1209
121,강원소방본부,인제소방서,강원특별자치도 인제군 인제읍 비봉로 44번길 71,033-460-9212,033-460-9209
122,강원소방본부,정선소방서,강원특별자치도 정선군 정선읍 녹송로 27,033-560-6212,033-560-6209
123,강원소방본부,철원소방서,강원특별자치도 철원군 갈말읍 태봉로 1504,033-450-2212,033-450-2209
124,강원소방본부,춘천소방서,강원특별자치도 춘천시 후석로 446,033-241-0119,033-248-9209
125,강원소방본부,태백소방서,강원특별자치도 태백시 태백로 1120,033-550-8212,033-550-8209
126,강원소방본부,평창소방서,강원특별자치도 평창군 평창읍 살구실길 10,033-339-8100,033-339-8209
127,강원소방본부,홍천소방서,강원특별자치도 홍천군 홍천읍 공작산로 99,033-439-2212,033-439-2209
128,강원소방본부,화천소방서,강원특별자치도 화천군 하남면 위라리길 47,033-440-7212,033-440-7209
129,강원소방본부,횡성소방서,강원특별자치도 횡성군 횡성읍 문예로 157,033-340-9212,033-340-9209
130,충북소방본부,청주동부소방서,충청북도 청주시 상당구 영운로 61,043-251-0104,043-251-0115
131,충북소방본부,청주서부소방서,충청북도 청주시 흥덕구 가경로 143,043-249-9201,043-249-9265
132,충북소방본부,충주소방서,충청북도 충주시 목행산단7로 9,043-841-3100,043-841-3119
133,충북소방본부,제천소방서,충청북도 제천시 신죽하로 164,043-641-7201,043-641-7139
134,충북소방본부,보은소방서,충청북도 보은군 보은읍 남부로 4415,043-773-0100,043-773-0119
135,충북소방본부,옥천소방서,충청북도 옥천군 옥천읍 중앙로 132,043-730-1800,043-730-1819
136,충북소방본부,영동소방서,충청북도 영동군 영동읍 영동황간로 174,043-740-7000,043-740-7019
137,충북소방본부,증평소방서,충청북도 증평군 충청대로 1789,043-830-0100,043-830-0151
138,충북소방본부,진천소방서,충청북도 진천군 진천읍 진광로 93,043-539-8110,043-539-8129
139,충북소방본부,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69,043-760-0100,043-760-0129
140,충북소방본부,음성소방서,충청북도 음성군 금왕읍 응천서길 11,043-880-0201,043-880-0199
141,충북소방본부,단양소방서,충청북도 단양군 단양읍 삼봉로 421-56,043-767-4100,043-767-4119
142,충남소방본부,계룡소방서,충청남도 계룡시 엄사면 문화로 32,042-540-5200,042-540-5219
143,충남소방본부,공주소방서,충청남도 공주시 무령로 55,041-851-0201,041-851-0219
144,충남소방본부,금산소방서,충청남도 금산군 금산읍 삼풍로 2,041-750-1201,041-750-1219
145,충남소방본부,논산소방서,충청남도 논산시 대학로 17,041-730-0201,041-730-0219
146,충남소방본부,당진소방서,충청남도 당진시 역천로 838,041-350-5201,041-350-5219
147,충남소방본부,보령소방서,충청남도 보령시 성주산로 63,041-930-0201,041-930-0219
148,충남소방본부,부여소방서,충청남도 부여군 규암면 계백로 17,041-830-0200,041-830-0219
149,충남소방본부,서산소방서,충청남도 서산시 호수공원 14로 26-4,041-689-0200,041-689-0219
150,충남소방본부,서천소방서,충청남도 서천군 장항읍 장항로 37,041-955-0201,041-955-0219
151,충남소방본부,아산소방서,충청남도 아산시 모종로 77,041-538-0201,041-538-0219
152,충남소방본부,예산소방서,충청남도 예산군 오가면 오가중앙로 111,041-330-4201,041-330-4219
153,충남소방본부,천안동남소방서,충청남도 천안시 동남구 천안대로 580,041-570-0201,041-570-0219
154,충남소방본부,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단2길 32,041-360-0200,041-360-0219
155,충남소방본부,청양소방서,충청남도 청양군 청양읍 충절로 1187,041-940-7201,041-940-7219
156,충남소방본부,태안소방서,충청남도 태안군 태안읍 동백로 100,041-671-0201,041-671-0219
157,충남소방본부,홍성소방서,충청남도 홍성군 홍성읍 충절로 741,041-630-0200,041-630-0219
158,전북소방본부,전주완산소방서,전북특별자치도 전주시 완산구 거마평로 73,063-220-4201,063-289-1020
159,전북소방본부,전주덕진소방서,전북특별자치도 전주시 덕진구 백제대로 611,063-250-4201,063-250-4229
160,전북소방본부,군산소방서,전북특별자치도 군산시 번영로 308,063-450-0201,063-289-1040
161,전북소방본부,익산소방서,전북특별자치도 익산시 무왕로 1338,063-839-3201,063-839-3219
162,전북소방본부,정읍소방서,전북특별자치도 정읍시 서부산업도로 507-5,063-570-1201,063-289-1080
163,전북소방본부,남원소방서,전북특별자치도 남원시 요천로 1965,063-625-2119,063-630-8381
164,전북소방본부,김제소방서,전북특별자치도 김제시 벽성로 278,063-540-4201,063-289-1100
165,전북소방본부,완주소방서,전북특별자치도 완주군 삼례읍 삼봉로 518,063-290-0201,063-289-1110
166,전북소방본부,진안소방서,전북특별자치도 진안군 진안읍 쇠징계로 9,063-786-5201,063-289-1160
167,전북소방본부,무주소방서,전북특별자치도 무주군 무주읍 당산강변로 126,063-780-3201,063-289-1170
168,전북소방본부,장수소방서,전북특별자치도 장수군 장계면 육십령로 136,063-350-6201,063-289-1140
169,전북소방본부,임실소방서,전북특별자치도 임실군 임실읍 감천로 33,063-778-2201,063-289-1180
170,전북소방본부,순창소방서,전북특별자치도 순창군 순창읍 교성로 24,063-650-9201,063-289-1150
171,전북소방본부,고창소방서,전북특별자치도 고창군 고창읍 녹두로 1294,063-560-1201,063-289-1120
172,전북소방본부,부안소방서,전북특별자치도 부안군 행안면 변산로 86,063-580-1201,063-289-1130
173,전남소방본부,목포소방서,전라남도 목포시 삼향천로 110,061-280-0900,061-280-0740
174,전남소방본부,여수소방서,전라남도 여수시 망마로 20,061-680-0900,061-680-0740
175,전남소방본부,순천소방서,전라남도 순천시 서면 삼산로 281,061-750-0701,061-750-0740
176,전남소방본부,나주소방서,전라남도 나주시 예향로 4201,061-330-0701,061-330-0740
177,전남소방본부,광양소방서,전라남도 광양시 중마중앙로 109,061-798-0701,061-798-0740
178,전남소방본부,담양소방서,전라남도 담양군 담양읍 추성로 1232,061-380-0701,061-380-0740
179,전남소방본부,곡성소방서,전라남도 곡성군 곡성읍 학교로 7,061-357-0701,061-357-0740
180,전남소방본부,구례소방서,전라남도 구례군 구례읍 양정4길 37,061-749-0701,061-749-0740
181,전남소방본부,고흥소방서,전라남도 고흥군 풍양면 고흥로 1330,061-840-0701,061-840-0740
182,전남소방본부,보성소방서,전라남도 보성군 벌교읍 녹색로 5247,061-859-0701,061-859-0740
183,전남소방본부,화순소방서,전라남도 화순군 화순읍 학포로 2750,061-379-0701,061-379-0740
184,전남소방본부,장흥소방서,전라남도 장흥군 장흥읍 북부로 138,061-850-0701,061-850-0740
185,전남소방본부,강진소방서,전라남도 강진군 군동면 중앙로 223,061-430-0701,061-430-0740
186,전남소방본부,해남소방서,전라남도 해남군 해남읍 교육청길 82,061-530-0701,061-530-0740
187,전남소방본부,영암소방서,전라남도 영암군 삼호읍 나불로 192,061-460-0701,061-460-0740
188,전남소방본부,무안소방서,전라남도 무안군 무안읍 공항로 133,061-450-0701,061-450-0740
189,전남소방본부,함평소방서,전라남도 함평군 대동면 학동로 386,061-338-0701,061-338-0740
190,전남소방본부,영광소방서,전라남도 영광군 영광읍 함영로 3508,061-350-0701,061-350-0740
191,전남소방본부,장성소방서,전라남도 장성군 장성읍 단풍로 204,061-360-0701,061-360-0740
192,전남소방본부,완도소방서,전라남도 완도군 농공단지길 7,061-470-0701,061-470-0740
193,전남소방본부,진도소방서,전라남도 진도군 진도읍 진도대로 6935,061-540-0701,061-540-0740
194,전남소방본부,신안소방서,전라남도 신안군 암태면 승봉로 17,061-241-0701,061-241-0740
195,경북소방본부,경산소방서,경상북도 경산시 압량읍 김유신로 12,053-819-6200,053-812-4119
196,경북소방본부,경주소방서,경상북도 경주시 알천남로 276,054-778-0500,054-778-0529
197,경북소방본부,고령소방서,경상북도 고령군 대가야읍 벽화길 18,054-950-8000,054-950-8029
198,경북소방본부,구미소방서,경상북도 구미소방서 수출대로112,054-463-9680,054-440-0129
199,경북소방본부,김천소방서,경상북도 김천시 강변로 219,054-420-5800,054-436-2490
200,경북소방본부,문경소방서,경상북도 문경시 중앙로 305,054-559-1800,054-559-1829
201,경북소방본부,봉화소방서,경상북도 봉화군 봉화읍 내성천3길 152,054-679-3114,054-679-3159
202,경북소방본부,상주소방서,경상북도 상주시 경상대로 3203-11,054-530-3700,054-530-3729
203,경북소방본부,성주소방서,경상북도 성주군 성주읍 주산로 193,054-930-5513,054-931-7119
204,경북소방본부,안동소방서,경상북도 안동시 육사로 301,054-857-7119,
205,경북소방본부,영덕소방서,경상북도 영덕군 영덕읍 경동로 8401,054-730-1500,054-730-1509
206,경북소방본부,영주소방서,경상북도 영주시 문수면 적서로 448번길 17,054-630-0301,054-630-0329
207,경북소방본부,영천소방서,경상북도 영천시 호국로 187,054-339-6801,054-334-6119
208,경북소방본부,예천소방서,경상북도 예천군 예천읍 양궁로 61-12,054-650-3400,054-650-3429
209,경북소방본부,울진소방서,경상북도 울진군 울진읍 울진북로 508,054-780-1300,054-780-1329
210,경북소방본부,의성소방서,경상북도 의성군 봉양면 경북대로 4741,054-830-7700,054-830-7729
211,경북소방본부,청도소방서,경상북도 청도군 청도읍 중앙로 192-34,054-370-8214,054-370-8229
212,경북소방본부,청송소방서,경상북도 청송군 청송읍 굿바들길 19,054-870-2913,054-870-2929
213,경북소방본부,칠곡소방서,경상북도 칠곡군 기산면 칠곡대로 1216,054-970-2700,054-970-2729
214,경북소방본부,포항남부소방서,경상북도 포항시 남구 동해안로 5890,054-288-0800,054-288-0809
215,경북소방본부,포항북부소방서,경상북도 포항시 북구 중앙로 332,054-260-2101,054-260-2129
216,경남소방본부,거제소방서,경남 거제시 진목로 1,055-689-9200,055-689-9219
217,경남소방본부,거창소방서,경남 거창군 거창읍 거함대로 3324,055-940-9200,055-940-9219
218,경남소방본부,고성소방서,경남 고성군 남해안대로 2670,055-670-9200,055-670-9219
219,경남소방본부,김해동부소방서,김해시 김해대로 2507,055-320-9200,055-320-9219
220,경남소방본부,김해서부소방서,김해시 진례면 서부로 730,055-344-9215,055-344-9219
221,경남소방본부,남해소방서,경남 남해군 남해읍 스포츠로 81,055-860-9200,055-860-9219
222,경남소방본부,밀양소방서,경상남도 밀양시 밀양대공원로 66,055-350-9200,055-350-9219
223,경남소방본부,사천소방서,경남 사천시 남일로 29,055-830-9200,055-830-9219
224,경남소방본부,산청소방서,경남 산청군 산청읍 중앙로 76-7,055-970-9200,055-970-9219
225,경남소방본부,양산소방서,경남 양산시 황산로 719,055-379-9200,055-379-9219
226,경남소방본부,의령소방서,경남 의령군 의령읍 의병로 108-17,055-570-9200,055-570-9219
227,경남소방본부,진주소방서,경남 진주시 동진로 249,055-760-9200,055-760-9219
228,경남소방본부,창녕소방서,경남 창녕군 대지면 우포2로 1097,055-259-2000,055-259-9219
229,경남소방본부,통영소방서,경남 통영시 광도면 죽림4로 49,055-640-9200,055-640-9219
230,경남소방본부,하동소방서,하동군 금성면 금성로 15,055-880-9200,055-880-9219
231,경남소방본부,함안소방서,경남 함안군 가야읍 선왕길 59,055-580-9200,055-580-9219
232,경남소방본부,함양소방서,경남 함양군 고운로 161-41,055-960-9200,055-960-9219
233,경남소방본부,합천소방서,경남 합천군 합천읍 인덕로 2453,055-930-9200,055-930-9219
234,창원소방본부,제주소방서,제주 제주시 중앙로 342(이도2동),064-729-0103,064-729-0110
235,창원소방본부,서귀포소방서,제주 서귀포시 서호남로 20,064-730-7101,064-730-7134
236,창원소방본부,서부소방서,제주 제주시 한림읍 한림중앙로 150,064-795-0101,064-795-0129
237,창원소방본부,동부소방서,제주 서귀포시 성산읍 일주동로 4120번길 7,064-780-9133,064-780-9129
238,제주소방본부,마산소방서,경상남도 창원시 마산합포구 제2부두로 55,055-249-9200,055-249-9219
239,제주소방본부,성산소방서,경상남도 창원시 의창구 상남로 165,055-211-9200,055-211-9219
240,제주소방본부,의창소방서,경상남도 창원시 의창구  중동중앙로 119,055-225-9200,055-225-9219
241,제주소방본부,진해소방서,경상남도 창원시 진해구 진해대로 1101,055-548-9200,055-548-9219
