폐기물구분,상호명,폐기물종류,연락처,처리방법,사업장주소,신고기준년도,데이터기준일자
사업장비배출시설계폐기물,영송여자고등학교,폐합성수지류외,053-235-8270,재활용(고형연료화),대구광역시 북구 태전로 92(태전동),2012,2024-05-02
사업장비배출시설계폐기물,㈜이랜드리테일 엑스코점,폐합성수지류외,053-662-9111,"재활용(고형연료화), 재활용(연료.고형연료제품 제조) ",대구광역시 북구 유통단지로14길 22(산격동),2012,2024-05-02
사업장비배출시설계폐기물,㈜지원이엔씨,폐합성수지류,053-324-0600,"재활용(연료,고형연료제품제조)",대구광역시 북구 학정로 422(구암동),2013,2024-05-02
사업장비배출시설계폐기물,(의)강의료재단,폐합성수지류,053-350-5000,"재활용(연료,고형연료제품제조)",대구광역시 북구 노원로 70(노원동),2013,2024-05-02
사업장비배출시설계폐기물,의료법인 두리의료재단,폐합성수지류,053-321-0020,재활용(파분쇄),대구광역시 북구 노본길 15-3(학정동),2014,2024-05-02
사업장비배출시설계폐기물,보선건설㈜,음식물류폐기물외,070-8785-8803,재활용(사료화),대구광역시 북구 대학로 80(산격동),2015,2024-05-02
사업장비배출시설계폐기물,대중금속공업고등학교,음식물류폐기물,053-235-9111,재활용(농업생산활동에사용),대구광역시 북구 관음로 302-12(읍내동),2015,2024-05-02
사업장비배출시설계폐기물,㈜뭉클,폐합성수지류,053-383-9500,"재활용(연료,고형연료제품제조)",대구광역시 북구 검단로31길 71-11(검단동),2015,2024-05-02
사업장비배출시설계폐기물,강북고등학교,폐합성수지류외,053-235-5952,"재활용(연료,고형연료제품제조), 재활용(농업생산활동에사용)",대구광역시 북구 태전로 100(태전동),2016,2024-05-02
사업장비배출시설계폐기물,리치프라자 상가관리단,폐합성수지류외,070-4145-5464,재활용(고형연료화),대구광역시 북구 옥산로17길14(칠성동),2016,2024-05-02
사업장비배출시설계폐기물,효민의료재단 대구큰사랑요양병원,폐합성수지류외,053-951-9119,"재활용(고형연료화), 재활용(사료화)",대구광역시 북구 대현로 46(대현동),2016,2024-05-02
사업장비배출시설계폐기물,㈜용궁냉동,폐합성수지류외,053-313-4990,"재활용(고형연료화), 재활용(사료화)",대구광역시 북구 매천로2길 49-8(팔달동),2016,2024-05-02
사업장비배출시설계폐기물,근로복지공단 대구병원,폐합성수지류외,053-715-7725,재활용(고형연료화),대구광역시 북구 학정로 515(학정동),2016,2024-05-02
사업장비배출시설계폐기물,㈜하림디지포스터,폐합성수지류외,053-311-7273,"재활용(고형연료화), 재활용(사료화)",대구광역시 북구 동호길 30(동호동),2016,2024-05-02
사업장비배출시설계폐기물,㈜더존푸드,폐합성수지류외,053-322-2215,"재활용(고형연료화), 재활용(사료화)",대구광역시 북구 칠곡중앙대로52길 65(태전동),2016,2024-05-02
사업장비배출시설계폐기물,동진테크,그밖의광재류,053-353-5695,재활용(중간가공폐기물제조),대구광역시 북구 3공단로 87 10동(노원동),2017,2024-05-02
사업장비배출시설계폐기물,㈜화성철강산업,그밖의광재류,053-381-6333,재활용(중간가공폐기물제조),대구광역시 북구 유통단지로7길 66-11(산격동),2017,2024-05-02
사업장비배출시설계폐기물,㈜제이수산,수산물가공잔재물,053-325-6005,재활용(중간가공폐기물제조),대구광역시 북구 매천로2길 27(팔달동),2017,2024-05-02
사업장비배출시설계폐기물,㈜삼일,그밖의광재류,053-382-5400,재활용(중간가공폐기물제조),대구광역시 북구 유통단지로21길 20(산격동),2017,2024-05-02
사업장비배출시설계폐기물,진영철강,그밖의광재류,053-358-7941,재활용(중간가공폐기물제조),대구광역시 북구 노원로17길 73(노원동3가),2017,2024-05-02
사업장비배출시설계폐기물,영진철강,그밖의광재류,053-353-6516,재활용(중간가공폐기물제조),"대구광역시 북구 3공단로 173,C동6호(노원동)",2017,2024-05-02
사업장비배출시설계폐기물,성신종합철재,그밖의광재류,053-358-7534,재활용(중간가공폐기물제조),대구광역시 북구 오봉로 67(노원동),2017,2024-05-02
사업장비배출시설계폐기물,㈜우리철강,그밖의광재류,053-359-0123,재활용(중간가공폐기물제조),대구광역시 북구 오봉로 69(노원동),2017,2024-05-02
사업장비배출시설계폐기물,㈜승익노비아갈라전자관점,폐합성수지류외,053-604-2030,재활용,대구광역시 북구 유통단지로 45(산격동),2018,2024-05-02
사업장비배출시설계폐기물,SK텔레콤㈜대구infra본부,그밖의폐합성고분자화합물,053-605-2737,재활용(원료제조),대구광역시 북구 서구 원대로 73(원대동),2018,2024-05-02
사업장비배출시설계폐기물,㈜엠케이,축산가공잔재물,053-382-1818,재활용(농업생산활동에사용),대구광역시 북구 검단공단로 60-13(검단동),2018,2024-05-02
사업장비배출시설계폐기물,대호,폐합성수지류,053-475-0038,재활용(중간가공폐기물제조),대구광역시 북구 조야로2길 101(서변동),2018,2024-05-02
사업장비배출시설계폐기물,㈜해동자원 북구사업소,폐합성수지류,053-951-0357,"재활용(연료,고형연료제품제조)",대구광역시 북구 조야로2길 103(서변동),2019,2024-05-02
사업장비배출시설계폐기물,㈜대구시민프로축구단,폐합성수지류,053-222-3612,재활용(중간가공폐기물제조),"대구광역시 북구 고성로 191, FC축구장(고성동)",2019,2024-05-02
사업장비배출시설계폐기물,대구축협육가공공장,축산가공잔재물,053-383-9901,재활용(농업생산활동에사용),대구광역시 북구 검단북로11길 11 3층(검단동),2019,2024-05-02
사업장비배출시설계폐기물,대구농수산물도매시장 환경협의회,식물성잔재물,053-803-7014,재활용(농업생산활동에사용),대구광역시 북구 매천로18길 34(매천동),2019,2024-05-02
사업장비배출시설계폐기물,삼성전자㈜,폐합성수지류외,053-341-3493,재활용(중간가공폐기물제조),대구광역시 북구 호암로 51 대구삼성창조캠퍼스(침산동),2019,2024-05-02
사업장비배출시설계폐기물,금미식품,축산가공잔재물,053-424-4206,재활용(농업생산활동에사용),대구광역시 북구 칠성시장로5길 29-3(칠성동),2019,2024-05-02
사업장비배출시설계폐기물,㈜두잉씨앤에스,폐합성수지류,070-7123-3858,재활용(중간가공폐기물제조),대구광역시 북구 대학로 80(산격동),2019,2024-05-02
사업장비배출시설계폐기물,대구시민전문장례식장,폐합성수지류외,,재활용(중간가공폐기물제조),대구광역시 북구 호국로 898(동호동),2019,2024-05-02
사업장비배출시설계폐기물,주식회사 봉성유리,폐유리,053-341-0100,재활용(원료제조),대구광역시 북구 노원로 159(노원동),2019,2024-05-02
사업장비배출시설계폐기물,재단법인 대구전통시장진흥재단(칠성시장야시장),폐합성수지류외,053-621-1985,재활용(중간가공폐기물제조),대구광역시 남구 대명로 215(대명동),2019,2024-05-02
사업장비배출시설계폐기물,한솔요양병원,폐섬유류,053-354-5555,중간처분(일반소각),대구광역시 북구 침산로 167(침산동),2020,2024-05-02
사업장비배출시설계폐기물,문요양병원,폐합성수지류외,053-326-6800,"재활용(연료,고형연료제품제조)",대구광역시 북구 칠곡중앙대로215(테전동),2020,2024-05-02
사업장비배출시설계폐기물,새결요양병원,폐합성수지류외,053-314-1100,"재활용(연료,고형연료제품제조)",대구광역시 북구 학정로 103(태전동),2020,2024-05-02
사업장비배출시설계폐기물,칠성시장상인회,폐합성수지류,053-423-3480,재활용(중간가공폐기물제조),대구광역시 북구 칠성남로 229(칠성동),2020,2024-05-02
사업장비배출시설계폐기물,대구국제고등학교,폐합성수지류외,053-235-6571,재활용(중간가공폐기물제조),대구광역시 북구 도남길 77(국우동),2021,2024-05-02
사업장비배출시설계폐기물,㈜엠디개발(웨딩메르디앙),폐합성수지류외,053-326-9442,재활용(중간가공폐기물제조),대구광역시 북구 중앙대로 581(침산동),2021,2024-05-02
사업장비배출시설계폐기물,의료법인 대구의료재단 케이병원,폐합성수지류외,053-370-7114,재활용(중간가공폐기물제조),대구광역시 북구 칠곡중앙대로 357(태전동),2022,2024-05-02
사업장비배출시설계폐기물,연경그루시티,폐합성수지류외,053-584-8858,재활용(연료고형연료제품제조),대구광역시 북구 동화천로 290(연경동),2022,2024-05-02
사업장비배출시설계폐기물,영풍철강㈜,그밖의광재류,053-356-8183,재활용(중간가공폐기물제조),대구광역시 북구 오봉로 73(노원동),2022,2024-05-02
사업장비배출시설계폐기물,센트럴요양병원,폐합성수지류외,053-957-8888,재활용(연료고형연료제품제조),대구광역시 북구 연암로 111(산격동),2022,2024-05-02
사업장비배출시설계폐기물,창성워터젯,그밖의공정오니,053-357-5252,매립(민간),대구광역시 북구 3공단로33길 21(노원동3가),2023,2024-05-02
사업장비배출시설계폐기물,원-스틸,그밖의광재류,053-341-7260,재활용(중간가공폐기물제조),대구광역시 북구 노원로26길 27(노원동3가),2023,2024-05-02
사업장비배출시설계폐기물,세진산업,폐합성고무류,,재활용(중간가공폐기물제조),대구광역시 북구 팔달로7길 13(노원동3가),2024,2024-05-02
사업장비배출시설계폐기물,미래병원,의료기관일회용기저귀,053-259-8800,일반소각,"대구광역시 북구 신암로 55, 6층(대현동)",2024,2024-05-02
사업장비배출시설계폐기물,한국맥도날드(유)대구태전DT점,폐합성수지류,053-213-2900,재활용(중간가공폐기물제조),대구광역시 북구 칠곡중앙대로 303(태전동),2024,2024-05-02
사업장비배출시설계폐기물,창신기계㈜,그밖의공정오니,053-341-9277,매립(민간관리형매립시설),대구광역시 북구 3공단로47길 16(노원동3가),2024,2024-05-02
사업장배출시설계폐기물,청하환경,폐합성수지류,053-312-0040,"재활용(연료·고형연료제품 제조), 재활용(중간가공폐기물 제조), 중간처분(일반소각)",대구광역시 북구 매천로18길 34(매천동),1999,2024-05-02
사업장배출시설계폐기물,에스엘(주),폐합성수지류,053-382-8511,소각,대구광역시 북구 검단공단로 32(검단동),1996,2024-05-02
사업장배출시설계폐기물,㈜우진산업사,폐수처리오니,053-382-0244,매립,대구광역시 북구 검단공단로 22-19(검단동),1996,2024-05-02
사업장배출시설계폐기물,삼광쇼트기계,그 밖의 분진,053-352-8856,매립,대구광역시 북구 팔달북로2길 29(노원동),1996,2024-05-02
사업장배출시설계폐기물,제림금속,그밖의광재류,053-351-2460,재활용(중간가공폐기물제조),대구광역시 북구 노원로42길 26-11(침산동),1997,2024-05-02
사업장배출시설계폐기물,영남주물공업㈜,폐주물사,053-351-3950,재활용,대구광역시 북구 노원로9길 12 (노원동),1997,2024-05-02
사업장배출시설계폐기물,대성금속공업㈜,폐수처리오니,053-352-2911,매립,대구광역시 북구 노원로1길 81 (노원동),1998,2024-05-02
사업장배출시설계폐기물,금오섬유,폐수처리오니,053-354-4911,매립,대구광역시 북구 노원로1길 154 (노원동),1998,2024-05-02
사업장배출시설계폐기물,영진바렐,폐수처리오니,053-355-7307,매립,대구광역시 북구 3공단로 245 (노원동),1999,2024-05-02
사업장배출시설계폐기물,대구공공시설관리공단 신천사업소,하수처리오니외,053-605-8107,"재활용, 매립",대구광역시 북구 조야로2길 209(서변동),1999,2024-05-02
사업장배출시설계폐기물,㈜원영T&B,폐합성섬유,053-356-7800,재활용(기타),대구광역시 북구 3공단로 170 (노원동3가),2000,2024-05-02
사업장배출시설계폐기물,태성금속공업사,페주물사,053-356-4800,재활용,대구광역시 북구 팔달북로18길 17-4(노원동),2000,2024-05-02
사업장배출시설계폐기물,일성산업사,폐주물사,053-351-1933,"재활용, 매립",대구광역시 북구 노원로9길 17-9(노원동),2000,2024-05-02
사업장배출시설계폐기물,무림 sp㈜,폐합성수지,053-351-8111,재활용(파쇄분쇄),대구광역시 북구 침산로 205 (침산동),2000,2024-05-02
사업장배출시설계폐기물,에스엠티(SMT),폐주물사,053-352-7444,재활용,대구광역시 북구 팔달북로8길 59(노원동),2001,2024-05-02
사업장배출시설계폐기물,신진레미콘㈜,폐콘크리트,053-354-1411,"중간처리, 재활용(파쇄분쇄)",대구광역시 북구 3공단로 5 (노원동),2001,2024-05-02
사업장배출시설계폐기물,신흥산업㈜,폐합성수지,053-380-2149,재활용(고형연료화),대구광역시 북구 검단북로11길 11(검단동),2001,2024-05-02
사업장배출시설계폐기물,형제도금,폐수처리오니,053-358-3540,매립,대구광역시 북구 노원로9길 17-15 (노원동),2004,2024-05-02
사업장배출시설계폐기물,대원도장공업,폐합성고무,053-354-6394,재활용(파쇄분쇄),대구광역시 북구 팔달로7길 9-1 (노원동),2004,2024-05-02
사업장배출시설계폐기물,㈜홈센타,"폐레미콘, 사실상, 폐콘크리트",053-341-0711,재활용(파쇄분쇄),대구광역시 북구 노원로25길 65 (노원동),2004,2024-05-02
사업장배출시설계폐기물,상수도사업본부시설관리소,정수처리오니(무기성),053-670-2552,재활용(파쇄분쇄),대구광역시 북구 동북로 92(산격동),2005,2024-05-02
사업장배출시설계폐기물,애크미알로이,폐주물사,053-356-3208,재활용,대구광역시 북구 오봉로36길 48 (침산동),2005,2024-05-02
사업장배출시설계폐기물,우성산업,폐수처리오니,053-358-7714,매립,대구광역시 북구 노원로39길 5 (침산동),2006,2024-05-02
사업장배출시설계폐기물,일흥EMT㈜,폐수처리오니,053-351-5234,매립,대구광역시 북구 3공단로 122 (노원동),2007,2024-05-02
사업장배출시설계폐기물,유영나염,폐수처리오니,053-353-9010,매립,대구광역시 북구 오봉로18길 38 (침산동),2007,2024-05-02
사업장배출시설계폐기물,㈜대철,폐주물사,053-356-7881,재활용(파쇄분쇄),대구광역시 북구 노원로9길 46 (노원동),2008,2024-05-02
사업장배출시설계폐기물,윤금사,폐수처리오니,053-354-3604,매립,대구광역시 북구 오봉로36길 82-1 (침산동),2008,2024-05-02
사업장배출시설계폐기물,동일도금,폐수처리오니,053-359-0352,매립,대구광역시 북구 노원로21길 17-1 (노원동),2008,2024-05-02
사업장배출시설계폐기물,㈜삼영스텐레스,폐사,053-351-7188,재활용,대구광역시 북구 3공단로 174(노원동),2008,2024-05-02
사업장배출시설계폐기물,강원특수금속,폐주물사,053-355-3808,재활용,대구광역시 북구 오봉로36길 32-1 (침산동),2004,2024-05-02
사업장배출시설계폐기물,대호산업사,광재,053-354-1530,매립,대구광역시 북구 노원로9길 32 (노원동),2010,2024-05-02
사업장배출시설계폐기물,대갑,폐수처리오니,053-353-7179,매립,대구광역시 북구 노원로25길 40 (노원동),2010,2024-05-02
사업장배출시설계폐기물,현대금속엔지니어링,폐주물사,053-356-0167,"중간처리, 재활용(파쇄분쇄)",대구광역시 북구 노원동로3길 47 (노원동),2010,2024-05-02
사업장배출시설계폐기물,풍산기업㈜,폐주물사,053-351-7007,"재활용(중간가공폐기물 제조), 매립",대구광역시 북구 노원로동39길 14 (침산동),2011,2024-05-02
사업장배출시설계폐기물,(주)동강테크,폐수처리오니,053-351-2100,매립,대구광역시 북구 팔달북로18길47-4(노원동),2011,2024-05-02
사업장배출시설계폐기물,동강테크,폐수처리오니,053-356-8866,매립,대구광역시 북구 3공단로47길 12-8 (노원동),2011,2024-05-02
사업장배출시설계폐기물,세진산업,화학점결폐주물사,053-353-6583,"매립, 재활용(중간가공폐기물제조)",대구광역시 북구 노원로39길 30 (침산동),2011,2024-05-02
사업장배출시설계폐기물,(주)씨엠에스 검단1지점,폐수처리오니외,053-384-5211,"매립(민간), 재활용(연료,고형연료제품제조)",대구광역시 북구 검단로27길58-11(검단동),2011,2024-05-02
사업장배출시설계폐기물,㈜제세,폐수처리오니,053-355-2378,매립,대구광역시 북구 3공단로 89-8 (노원동),2011,2024-05-02
사업장배출시설계폐기물,㈜바다마을,폐수처리오니,053-359-3755,매립(민간관리형매립시설),대구광역시 북구 노원로 215(침산동),2012,2024-05-02
사업장배출시설계폐기물,대흥공업사,광재,053-357-8044,매립(민간관리형매립시설),대구광역시 북구 3공단로10길 23(노원동),2012,2024-05-02
사업장배출시설계폐기물,㈜씨씨엠,폐목재류,053-382-6991,"중간처분, 재활용(파쇄분쇄)",대구광역시 북구 검단로27길80(검단동),2014,2024-05-02
사업장배출시설계폐기물,㈜영빈산업,폐콘크리트외,053-384-3500,"재활용(중간가공폐기물 제조), 중간처분, 재활용(파쇄분쇄)",대구광역시 북구 검단공단로 107(검단동),2014,2024-05-02
사업장배출시설계폐기물,㈜보광산업,폐레미콘,053-384-0822,재활용(파쇄분쇄),대구광역시 북구 유통단지로3길 40(산격동),2015,2024-05-02
사업장배출시설계폐기물,하나바렐연마,폐수처리오니,053-357-3960,매립,대구광역시 북구 노원로17길 64-11(노원동),2015,2024-05-02
사업장배출시설계폐기물,제일금속,그 밖의 광재류(아연광재),053-356-2264,재활용(파쇄분쇄),대구광역시 북구 침산로 67길 36(침산동),2015,2024-05-02
