대분류,소분류,파일명
식품건강,식품의약안전,광주광역시_보건환경연구원 식품중 방사능 검사 현황_20231231
식품건강,식품의약안전,광주광역시_보건환경연구원 지하수 노로바이러스 검사 현황_20231220
식품건강,식품의약안전,충청남도 당진시_담배소매인_20240701
식품건강,식품의약안전,한국의약품안전관리원_연도별증상별 이상사례보고현황_20231231
식품건강,식품의약안전,전라남도 여수시_공중위생업소 현황_20230915
식품건강,식품의약안전,충청북도 옥천군_공중위생업소현황_20240808
식품건강,식품의약안전,전라북도 정읍시_의료기관 현황_20221213
식품건강,식품의약안전,한국식품연구원_대표식품별 건강기능(병증처방) 정보_20190308
식품건강,식품의약안전,부산광역시 동래구_소독업소 현황_20231213
식품건강,식품의약안전,한국의약품안전관리원_노인주의약물_20240813
식품건강,식품의약안전,한국식품연구원_대표식품별 건강기능(학술) 정보_20190305
식품건강,식품의약안전,충청북도 제천시_담배소매인지정현황_20240912
식품건강,식품의약안전,부산광역시_수영구_약국 현황_20240305
식품건강,식품의약안전,경기도 성남시_건강기능식품판매업_현황_20240417
식품건강,식품의약안전,인천광역시 서구_유통식품 방사능 수거검사 결과_20240805
식품건강,식품의약안전,한국의료기기안전정보원_품목코드_20240821
보건의료,보건의료,국립암센터_암발생 통계 정보_20231228
보건의료,보건의료,대구광역시 북구_의료기관 수술실 현황_20240531
보건의료,보건의료,보건복지부_시도별 암 발생자 분포_20201231
보건의료,보건의료,강원특별자치도_의료시설 현황_20230821
보건의료,보건의료,전라남도_광양시_보건소 의료장비 보유 현황_20230920
보건의료,보건의료,보건복지부 국립나주병원_진료비 청구 현황_20240630
보건의료,보건의료,국립암센터_24개종 암발생률_20231228
보건의료,보건의료,질병관리청_인체유래물은행현황_20240901
보건의료,보건의료,전라남도_장애인센터현황_20240909
보건의료,보건의료,근로복지공단_소속병원진료현황통계_소속병원 산재입원환자 요양기간별 현황_20231231
보건의료,보건의료,질병관리청 국립마산병원_진료비 청구 현황_20230930
보건의료,보건의료,국립암센터_24개종 암 유병률_20231228
보건의료,보건의료,제주특별자치도_연도별건강조사주요지표현황_20240227
보건의료,보건의료,경기도 화성시_만성질환관리 프로그램 통계(운동)_20191231
보건의료,보건의료,국립암센터 호스피스완화의료 전문기관 리스트_20170412
보건의료,보건의료,의료분쟁 조정분석 현황(2015.6.1.)
보건의료,보건의료,근로복지공단_소속병원진료현황통계_연도별 건강진단 및 작업환경 측정 현황_20231231
보건의료,건강보험,건강보험심사평가원_의료기관 시군구별 진료비 통계_20231231
보건의료,건강보험,국민건강보험공단_신규 중증(암)등록환자의 암유형별 등록인원 현황_20221231
보건의료,건강보험,건강보험심사평가원_의료행위별 성별 입원외래별 건강보험 진료 통계_20231231
보건의료,건강보험,국민건강보험공단_복지용구 품목별 이용현황_20240331
보건의료,건강보험,건강보험심사평가원_전문병원 지정 현황_20210101
보건의료,건강보험,건강보험심사평가원_병원급이상 진료과목별 시도별 진료비 통계_20231231
보건의료,건강보험,건강보험심사평가원_의원급 표시과목별 상병 통계_20231231
보건의료,건강보험,국민건강보험공단_당뇨병의료이용률_20221231
보건의료,건강보험,국민건강보험공단_고혈압의료이용률_20221231
보건의료,건강보험,국민건강보험공단_복지용구공급업체 정보검색_20240630
보건의료,건강보험,건강보험심사평가원_시군구별 비만 진료 통계_20231231
산업고용,고용노동,근로복지공단_산재심사 결정현황_20231231
산업고용,고용노동,근로복지공단_산재보험 지정의료기관 현황정보_20231231
산업고용,고용노동,근로복지공단_규모별 산재신청 승인현황_20231231
산업고용,고용노동,근로복지공단_지사별 진료비 지급현황_20221231
산업고용,고용노동,근로복지공단_업종별 산재신청 승인현황_20231231
산업고용,고용노동,한국장애인고용공단_장애인 표준사업장 현황_20231231
산업고용,산업·중소기업일반,한국전력공사_지역별 전기차 현황정보_20240731
산업고용,산업·중소기업일반,한국동서발전(주)_발전소 주변 기상 및 대기질 정보_20231231
산업고용,산업·중소기업일반,한국에너지공단_자동차 표시연비 정보_20240731
산업고용,산업·중소기업일반,전라남도 영광군_자동차등록대수_20240826
산업고용,산업·중소기업일반,부산광역시 연제구_담배소매인 지정 현황_20240926
산업고용,산업·중소기업일반,광주광역시_동구_담배소매인지정정보_20240913
산업고용,에너지및자원개발,한국서부발전(주)_발전소 주변 대기오염물질 농도_20240701
산업고용,에너지및자원개발,원자력안전위원회_방사성폐기물 관리시설 현황_20231231
산업고용,에너지및자원개발,전북특별자치도_환경산업체현황_20210531
산업고용,에너지및자원개발,한국서부발전(주)_태양광 발전 현황_20230630
산업고용,산업진흥·고도화,경기도 양주시_공장등록 현황_20231230
