테이블명,컬럼명,데이터_타입,분석결과
country,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 04:44:00'), Timestamp('2006-02-15 04:44:00'))"
customer,customer_id,smallint,"정상 범위: (21, 572), 이상치: [1, 2, 3, 4]"
customer,store_id,tinyint,"정상 범위: (1, 2), 이상치: []"
customer,first_name,varchar,"자주 나타나는 값: [], 이상치: ['JESSIE', 'TRACY', 'WILLIE', 'JAMIE']"
customer,last_name,varchar,"자주 나타나는 값: [], 이상치: ['SMITH', 'TURPIN', 'SCHRADER', 'MEEK']"
customer,email,varchar,"자주 나타나는 값: [], 이상치: ['MARY.SMITH@sakilacustomer.org', 'JOHNNY.TURPIN@sakilacustomer.org', 'JIMMY.SCHRADER@sakilacustomer.org', 'ANTONIO.MEEK@sakilacustomer.org']"
customer,address_id,smallint,"정상 범위: (34, 578), 이상치: [5, 6, 7, 8]"
customer,active,tinyint,"정상 범위: (1, 1), 이상치: [0, 0, 0, 0]"
customer,create_date,datetime,"날짜 범위: (Timestamp('2006-02-14 22:04:36'), Timestamp('2006-02-14 22:04:37'))"
customer,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 04:57:20'), Timestamp('2006-02-15 04:57:20'))"
customer_list,ID,smallint,"정상 범위: (28, 578), 이상치: [24, 585, 590, 21]"
customer_list,name,varchar,"자주 나타나는 값: [], 이상치: ['VERA MCCOY', 'NORMA GONZALES', 'CRAIG MORRELL', 'SHIRLEY ALLEN']"
customer_list,address,varchar,"자주 나타나는 값: [], 이상치: ['1168 Najafabad Parkway', '152 Kitwe Parkway', '717 Changzhou Lane', '217 Botshabelo Place']"
customer_list,zip code,varchar,"자주 나타나는 값: [], 이상치: ['52137', '9668', '22474', '40301']"
customer_list,phone,varchar,"자주 나타나는 값: [], 이상치: ['886649065861', '835433605312', '426255288071', '665356572025']"
customer_list,city,varchar,"자주 나타나는 값: [], 이상치: ['Aurora', 'London', 'Kabul', 'Hagonoy']"
customer_list,country,varchar,"자주 나타나는 값: ['India', 'China', 'United States', 'Japan'], 이상치: ['Pakistan', 'Spain', 'South Korea', 'Netherlands']"
customer_list,notes,varchar,"자주 나타나는 값: ['active', ''], 이상치: []"
customer_list,SID,tinyint,"정상 범위: (1, 2), 이상치: []"
film_actor,actor_id,smallint,"정상 범위: (3, 37), 이상치: [1, 1, 1, 1]"
film_actor,film_id,smallint,"정상 범위: (23, 971), 이상치: [1, 939, 980, 3]"
film_actor,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 05:05:03'), Timestamp('2006-02-15 05:05:03'))"
film_category,film_id,smallint,"정상 범위: (49, 954), 이상치: [1, 2, 3, 4]"
film_category,category_id,tinyint,"정상 범위: (1, 15), 이상치: [16, 16, 16, 16]"
film_category,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 05:07:09'), Timestamp('2006-02-15 05:07:09'))"
film_list,FID,smallint,"정상 범위: (49, 954), 이상치: [1, 2, 3, 4]"
film_list,title,varchar,"자주 나타나는 값: [], 이상치: ['ACADEMY DINOSAUR', 'PERFECT GROOVE', 'PARK CITIZEN', 'PARTY KNOCK']"
film_list,description,text,"자주 나타나는 값: [], 이상치: ['A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies', 'A Thrilling Yarn of a Dog And a Dog who must Build a Husband in A Baloon', 'A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan', 'A Fateful Display of a Technical Writer And a Butler who must Battle a Sumo Wrestler in An Abandoned Mine Shaft']"
film_list,category,varchar,"자주 나타나는 값: ['Sports', 'Foreign', 'Family', 'Documentary'], 이상치: []"
film_list,price,decimal,"정상 범위: (0.99, 4.99), 이상치: []"
film_list,length,smallint,"정상 범위: (51, 180), 이상치: [48, 50, 54, 46]"
film_list,rating,enum,지원되지 않는 데이터 유형입니다.
film_list,actors,text,"자주 나타나는 값: [], 이상치: ['ANGELA HUDSON', 'CHRISTIAN GABLE, LUCILLE TRACY, SANDRA PECK, JOHNNY CAGE, MENA TEMPLE, WARREN NOLTE, OPRAH KILMER, ROCK DUKAKIS, MARY KEITEL, PENELOPE GUINESS', 'BEN WILLIS, LAURENCE BULLOCK, JAYNE NOLTE, JIM MOSTEL, KARL BERRY, NATALIE HOPKINS', 'RIVER DEAN, CHRIS DEPP']"
film_text,film_id,smallint,"정상 범위: (49, 954), 이상치: [1, 2, 3, 4]"
film_text,title,varchar,"자주 나타나는 값: [], 이상치: ['ACADEMY DINOSAUR', 'PERFECT GROOVE', 'PARK CITIZEN', 'PARTY KNOCK']"
film_text,description,text,"자주 나타나는 값: [], 이상치: ['A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies', 'A Thrilling Yarn of a Dog And a Dog who must Build a Husband in A Baloon', 'A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan', 'A Fateful Display of a Technical Writer And a Butler who must Battle a Sumo Wrestler in An Abandoned Mine Shaft']"
inventory,inventory_id,mediumint,"정상 범위: (49, 954), 이상치: [1, 2, 3, 4]"
inventory,film_id,smallint,"정상 범위: (10, 211), 이상치: [1, 1, 1, 1]"
inventory,store_id,tinyint,"정상 범위: (1, 2), 이상치: []"
inventory,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 05:09:17'), Timestamp('2006-02-15 05:09:17'))"
language,language_id,tinyint,"정상 범위: (2, 6), 이상치: [1]"
language,name,char,"자주 나타나는 값: ['English', 'Italian', 'Japanese', 'Mandarin'], 이상치: []"
language,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 05:02:19'), Timestamp('2006-02-15 05:02:19'))"
nicer_but_slower_film_list,FID,smallint,"정상 범위: (49, 954), 이상치: [1, 2, 3, 4]"
nicer_but_slower_film_list,title,varchar,"자주 나타나는 값: [], 이상치: ['ACADEMY DINOSAUR', 'PERFECT GROOVE', 'PARK CITIZEN', 'PARTY KNOCK']"
nicer_but_slower_film_list,description,text,"자주 나타나는 값: [], 이상치: ['A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies', 'A Thrilling Yarn of a Dog And a Dog who must Build a Husband in A Baloon', 'A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan', 'A Fateful Display of a Technical Writer And a Butler who must Battle a Sumo Wrestler in An Abandoned Mine Shaft']"
nicer_but_slower_film_list,category,varchar,"자주 나타나는 값: ['Sports', 'Foreign', 'Family', 'Documentary'], 이상치: []"
nicer_but_slower_film_list,price,decimal,"정상 범위: (0.99, 4.99), 이상치: []"
nicer_but_slower_film_list,length,smallint,"정상 범위: (51, 180), 이상치: [48, 50, 54, 46]"
nicer_but_slower_film_list,rating,enum,지원되지 않는 데이터 유형입니다.
nicer_but_slower_film_list,actors,text,"자주 나타나는 값: [], 이상치: ['Angela Hudson', 'Christian Gable, Lucille Tracy, Sandra Peck, Johnny Cage, Mena Temple, Warren Nolte, Oprah Kilmer, Rock Dukakis, Mary Keitel, Penelope Guiness', 'Ben Willis, Laurence Bullock, Jayne Nolte, Jim Mostel, Karl Berry, Natalie Hopkins', 'River Dean, Chris Depp']"
payment,payment_id,smallint,"정상 범위: (49, 955), 이상치: [1, 2, 3, 4]"
payment,customer_id,smallint,"정상 범위: (3, 35), 이상치: [1, 1, 1, 1]"
payment,staff_id,tinyint,"정상 범위: (1, 2), 이상치: []"
payment,rental_id,int,"정상 범위: (570, 15057), 이상치: [76, 1185, 14825, 15298]"
payment,amount,decimal,"정상 범위: (0.99, 7.99), 이상치: [9.99, 1.99, 10.99, 1.99]"
payment,payment_date,datetime,"날짜 범위: (Timestamp('2005-05-25 01:10:47'), Timestamp('2006-02-14 15:16:03'))"
payment,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 22:12:30'), Timestamp('2006-02-15 22:12:37'))"
rental,rental_id,int,"정상 범위: (48, 954), 이상치: [1, 2, 3, 4]"
rental,rental_date,datetime,"날짜 범위: (Timestamp('2005-05-24 22:53:30'), Timestamp('2005-05-31 00:46:31'))"
rental,inventory_id,mediumint,"정상 범위: (187, 4438), 이상치: [4443, 146, 4441, 4482]"
rental,customer_id,smallint,"정상 범위: (17, 562), 이상치: [575, 37, 597, 7]"
rental,return_date,datetime,"날짜 범위: (Timestamp('2005-05-25 23:55:21'), Timestamp('2005-06-09 01:19:28'))"
rental,staff_id,tinyint,"정상 범위: (1, 2), 이상치: []"
rental,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 21:30:53'), Timestamp('2006-02-15 21:30:53'))"
sales_by_film_category,category,varchar,"자주 나타나는 값: ['Sports', 'Sci-Fi', 'Animation', 'Drama'], 이상치: []"
sales_by_film_category,total_sales,decimal,"정상 범위: (3549.64, 4756.98), 이상치: [5314.21, 3417.72]"
sales_by_store,store,varchar,"자주 나타나는 값: ['Woodridge,Australia', 'Lethbridge,Canada'], 이상치: []"
sales_by_store,manager,varchar,"자주 나타나는 값: ['Jon Stephens', 'Mike Hillyer'], 이상치: []"
sales_by_store,total_sales,decimal,"정상 범위: (33679.79, 33726.77), 이상치: []"
staff,staff_id,tinyint,"정상 범위: (1, 2), 이상치: []"
staff,first_name,varchar,"자주 나타나는 값: ['Mike', 'Jon'], 이상치: []"
staff,last_name,varchar,"자주 나타나는 값: ['Hillyer', 'Stephens'], 이상치: []"
staff,address_id,smallint,"정상 범위: (3, 4), 이상치: []"
staff,picture,blob,지원되지 않는 데이터 유형입니다.
staff,email,varchar,"자주 나타나는 값: ['Mike.Hillyer@sakilastaff.com', 'Jon.Stephens@sakilastaff.com'], 이상치: []"
staff,store_id,tinyint,"정상 범위: (1, 2), 이상치: []"
staff,active,tinyint,"정상 범위: (1, 1), 이상치: []"
staff,username,varchar,"자주 나타나는 값: ['Mike', 'Jon'], 이상치: []"
staff,password,varchar,"자주 나타나는 값: ['8cb2237d0679ca88db6464eac60da96345513964'], 이상치: []"
staff,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 03:57:16'), Timestamp('2006-02-15 03:57:16'))"
staff_list,ID,tinyint,"정상 범위: (1, 2), 이상치: []"
staff_list,name,varchar,"자주 나타나는 값: ['Mike Hillyer', 'Jon Stephens'], 이상치: []"
staff_list,address,varchar,"자주 나타나는 값: ['23 Workhaven Lane', '1411 Lillydale Drive'], 이상치: []"
staff_list,zip code,varchar,"자주 나타나는 값: [''], 이상치: []"
staff_list,phone,varchar,"자주 나타나는 값: ['14033335568', '6172235589'], 이상치: []"
staff_list,city,varchar,"자주 나타나는 값: ['Lethbridge', 'Woodridge'], 이상치: []"
staff_list,country,varchar,"자주 나타나는 값: ['Canada', 'Australia'], 이상치: []"
staff_list,SID,tinyint,"정상 범위: (1, 2), 이상치: []"
store,store_id,tinyint,"정상 범위: (1, 2), 이상치: []"
store,manager_staff_id,tinyint,"정상 범위: (1, 2), 이상치: []"
store,address_id,smallint,"정상 범위: (1, 2), 이상치: []"
store,last_update,timestamp,"날짜 범위: (Timestamp('2006-02-15 04:57:12'), Timestamp('2006-02-15 04:57:12'))"
