인증번호,사업체명,관할지사,대표자,사업자등록번호,소재지,인증일자,전화번호,업종 및 주요생산품,비고
제2013-021호,죠이프린라이프,서울남부지사,"정난희, 권성민",119-06-99527,서울특별시 금천구 두산로 9길 28,2013-06-19,02-851-0105,"인쇄업(종이함 인쇄, 각종 유인물 인쇄, 청소포)",일반
제2013-023호,㈜티에스이,부산지역본부,차호철,621-81-39427,부산광역시 기장군 정관면 산단7로 99-56 ,2013-06-19,051-514-6700,"제조업(소형변압기, 리엑터, 리드스위치 등)",일반
제2013-024호,디자인글꼴,부산지역본부,김수진,605-06-79075,부산광역시 부산진구 범천동 876-10,2013-06-19,051-636-1210,"제조업(광고인쇄물, 팬시용품, 홈페이지구축, 기타 기념품)",일반
제2013-026호,㈜넥슨커뮤니케이션즈,부산지역본부,신원석,617-81-94173,부산광역시 해운대구 수영강변대로 140,2013-06-19,051-746-4433,소프트웨어 개발 및 자문,자회사
제2013-027호,(주)제일산업,대구지역본부,정하일,513-81-46971,경상북도 칠곡군 지천면 창평리 507,2013-06-19,054-972-7988,제조업(종이컵),일반
제2013-028호,(주)화진산업,대구지역본부,이현진,502-81-05102,대구광역시 동구 각산동 300-12 (안심로 65길 13),2013-06-19,053-963-1050,제조업(장갑제조),일반
제2013-030호,박스뱅크주식회사,대구지역본부,임응배,514-81-65383,(43011)대구광역시 달성군 구지면 달성2차서로 19 박스뱅크(주),2013-06-19,053-269-9000,"제조업(포장지, 골판지지함)",일반
제2013-034호,건강누리의료기,대구지역본부,김호용,504-31-71016,경상북도 칠곡군 동명면 금암리 416번지,2013-06-19,054-971-1103,"제조업(의료용품,의료기기)",일반
제2013-035호,송죽글러브㈜,대구지역본부,정선희,510-81-29686,경상북도 성주군 선남면 용신리 805-2(용신공단길 10-20),2013-06-19,054-932-8872,제조업(장갑),일반
제2013-036호,한국세라프,인천지사,김영훈,122-52-69730,인천광역시 서구 북항로 207 45,2013-06-19,032-527-8380,제조업(부엌칼 및 가위 등),일반
제2013-037호,㈜인성드림,인천지사,정영호,122-81-88552,인천광역시 서구 가좌1동 585-19,2013-06-19,032-581-9369,세탁업,자회사
제2013-039호,주식회사 유진전장,인천지사,정태성,131-81-88027,인천광역시 미추홀구 경인로 41번길 24(숭의동),2013-06-19,032-882-4700,제조업(자동차부품),일반
제2013-040호,㈜두진,인천지사,안병세,137-81-15954,인천광역시 서구 사렴로 61,2013-06-19,032-562-7670,제조업(소방호스),일반
제2013-041호,한성기업,경기북부지사,최승자,109-31-88097,경기도 김포시 월곶면 비석동로 122-12,2013-06-19,031-988-3405,제조업(칫솔),일반
제2013-043호,㈜우광테크,인천지사,안생열,131-81-45542,인천광역시 남동구 호구포로14번길 115,2013-06-19,032-815-3741,"제조업(LED가로등, 보안등, 터널등, 경관조명등)",일반
제2013-048호, 아미스,광주지역본부,김우열,408-81-44399,광주광역시 서구 상무대로 673번길 8,2013-06-19,062-382-0800,"서비스업(청소위생관리, 프로그램개발공급, 소독)",자회사
제2013-049호,이노위드㈜,광주지역본부,설진길,410-86-61625,광주광역시 광산구 하남산단 5번로 26,2013-06-19,062-950-0128,서비스업(청소용역),자회사
제2013-053호,㈜박사,경기서부지사,선계종,131-81-84792,"경기도 안산시 단원구 별망로 26번길 28(성곡동, 2층시화공단 4바 808)",2013-06-19,031-497-8490,"제조업(정밀광학부품, 사출, 통신기기, 전대)",일반
제2013-055호,㈜팜파스,경기동부지사,김헌,126-81-92169,경기도 광주시 오포읍 추자리 455-12,2013-06-19,031-768-4913,제조업(화장지),일반
제2013-056호,㈜쏘랜드코리아,경기동부지사,정세영,132-81-61360,경기도 양평군 옥천면 고읍로 162-4,2013-06-19,031-775-6603,"제조업(기념품(볼펜, 지갑, 수첩 등), 디자인소품)",일반
제2013-057호,다성㈜,경기서부지사,최문호,134-81-65630,경기도 안산시 단원구 원시로 239-14,2013-06-19,031-493-8844,"제조업(네비게이션, 블랙박스, 전자제품 부품)",일반
제2013-058호,에스원CRM㈜,경기지역본부,김상준,135-86-13130,경기도 수원시 팔달구 경수대로 522(인계동),2013-06-19,031-228-9912,서비스업(콜센터 및 텔레마케팅),자회사
제2013-059호,㈜유플러스,서울지역본부,지영희,142-85-13728,서울특별시 중구 동호로14길 7 BS빌딩 5층(신당동),2013-06-19,02-2137-9113,"서비스업(콜센터), 인쇄",자회사
제2013-060호,(주)제니엘플러스,서울남부지사,남석현,107-87-64188,"서울특별시 영등포구 당산로 41길 11, 1403호(당산동4가, 당산 에스케이브이1 센터)",2013-06-19,070-5090-9006,"서비스업(카드배송, 인력공급업)",자회사
제2013-061호,오픈핸즈㈜,서울동부지사,전종민,129-86-52327,"서울특별시 송파구 올림픽로35길 123, 16층(신천동, 향군타워)",2013-06-19,02-6155-6450,"사업지원 서비스업(S/W개발, 환경미화, 연구및개발용역,차량관리, 스포츠마사지)",자회사
제2013-063호,㈜하누리,경기지역본부,주종명,135-86-29758,"경기도 평택시 진위2산단로 140, 더퍼스트타워평택 1030호, 1031호",2013-06-19,031-686-3977,"서비스업(스팀세차, 청소용역)",자회사
제2013-064호,재단법인 행복아이씨티,서울북부지사,김성한,129-82-12399,"서울특별시 성동구 성수일로6길 33, 2층(성수동2가, 아연디지털타워)",2013-06-19,070-7864-2690,웹사이트개발및운영,일반
제2013-065호,재단법인 행복그린넷,경기지역본부,이순건,125-82-11175,경기도 안성시 공도읍 기업단지로 264,2013-06-19,070-7842-5147,서비스업(통신기기 세척 등),일반
제2013-067호,㈜에이스푸드,경기북부지사,윤준현,132-81-68553,경기도 구리시 동구릉로460번길 28,2013-06-19,031-529-2323,식육포장처리업(계육),일반
제2013-070호,린텍스기업주식회사,경기북부지사,탁정식,128-81-51640,경기도 파주시 법원읍 술이홀로 960-1 린텍스기업주식회사,2013-06-19,031-959-9934,세탁업,일반
제2013-071호,삼양라운드어스 주식회사,강원지사,우종선,224-81-49122,강원도 원주시 우산로 177 (우산동),2013-06-19,033-740-8250,제조업(농산물가공),자회사
제2013-073호,㈜엘림,충북지사,김영구,204-81-97071,충청북도 음성군 감곡면 문촌리 706-5,2013-06-19,043-882-0535,세탁업,자회사
제2013-075호,㈜행복누리,충북지사,조웅래,317-81-34824,충청북도 청주시 흥덕구 옥산면 과학산업3로 29 LG화학내,2013-06-19,043-219-7113,"카페, 서비스업(스팀세차, 청소용역)",자회사
제2013-076호,(주)드림앤첼린지,충남지사,윤승원,312-86-03786,충청남도 천안시 서북구 쌍용동 456 나사렛대학교 제2창학관 3층,2013-06-19,041-578-4076,"서비스업(청소용역, 여행상담)",자회사
제2013-077호,(유)용문전자,전북지사,강용구,404-81-37921,전라북도 정읍시 정신로 13 정읍제2산업단지 (하북동),2013-06-19,063-531-1586,제조업(자동차 솔레노이드 밸브),일반
제2013-079호,주식회사 김장독,전북지사,문성호,401-81-26482,전라북도 군산시 고봉리 송호로 157-5 (성산면),2013-06-19,063-453-2724,제조업(김치류),일반
제2013-082호,마음건강사업단,전북지사,박헌수,402-30-85139,전라북도 전주시 완산구 물왕멀2길 20-29 (중노송동),2013-06-19,063-232-7032,"제조업(우산, 보온병, 수건, USB, 세면세트, 포대, 쓰레기봉투, 환풍기, 선풍기)",일반
제2013-084호,(주)하나,경북지사,안용우,510-02-74959,경상북도 김천시 대광동 340,2013-06-19,054-439-2241,제조업(자동포장기계),일반
제2013-085호,수강메디카(주),경북지사,이명숙,513-81-20272,경상북도 구미시 고아읍 원대로 13길 66,2013-06-19,054-482-4554,제조업(의료용품(탄력붕대)),일반
제2013-086호,태양글러브,경북지사,유미향,511-05-44105,경상북도 문경시 신기동 1112-3,2013-06-19,054-553-0098,제조업(작업용 코팅장갑),일반
제2013-088호,㈜장우,경북지사,장재권,506-81-35423,경상북도 포항시 남구 오천읍 철강산단로130번길 207-20 (문덕리),2013-06-19,054-285-4226,제조업(수·배전 판넬),일반
제2013-089호,㈜나눔누리,경북지사,이해철,513-81-68427,경상북도 구미시 3공단 2로 235(진평동),2013-06-19,054-717-0632,"환경미화, 세차, 헬스키퍼 등",자회사
제2013-090호,(주)아난,경남동부지사,이동훈,615-81-85514,경상남도 김해시 주촌면 골든루트로 66번길 48-3,2013-06-19,055-337-7882,제조업(자동차시트 및 의료기매트),일반
제2013-091호,미성사,경남동부지사,송호영,622-14-63535,경상남도 김해시 진영읍 본산리 988-3번지,2013-06-19,055-343-5211,세탁업,일반
제2013-092호,㈜탑위드,경남동부지사,김기민,615-81-73449,경상남도 김해시 안동 416-5번지,2013-06-19,055-335-0053,"농수산물소분작업(멸치,김,오징어,호두,아몬드 외)",자회사
제2013-093호,㈜무학위드,경남동부지사,김영남,608-81-84841,경상남도 창원시 마산회원구 봉암동 470-5,2013-06-19,070-7576-2062,빈병수거 세척,자회사
제2013-095호,한라산업,제주지사,김창기,616-06-97767,제주특별자치도 제주시 선반로8길 21-2,2013-06-19,064-722-9300,세탁업,일반
제2013-102호,주식회사 맑은기업,울산지사,황희,610-86-09777,(44917)울산광역시 울주군 범서읍 관문로 656 주식회사 맑은기업 (베이커스 바오밥),2013-07-05,052-277-7773,제조업(복사용지),일반
제2013-103호,㈜명지위드,경기북부지사,김왕태,121-86-08128,경기도 고양시 덕양구 호국로 630,2013-07-05,031-810-5146,"서비스업(콜센터, 의무기록관리)",자회사
제2013-106호,대영이엔씨,강원지사,김완희,222-05-79645,"강원도 동해시 지양길 168, 170",2013-08-14,033-521-2458,제조업(방진마스크),일반
제2013-108호,㈜서현인터내셔날,대전지역본부,서애숙,109-81-46224,충청남도 논산시 채운면 동안로617번길 17-19,2013-08-14,041-742-2920,제조업(조명기기),일반
제2013-110호,대성산업,충남지사,구재귀,117-04-15755,충청남도 보령시 남포면 고루머리길 6,2013-08-14,041-931-4294,세탁업,일반
제2013-111호,㈜티에스글로벌,대구지역본부,강선영,504-86-05423,대구광역시 중구 남산로 8길 51,2013-08-14,053-964-6667,세탁업,일반
제2013-112호,농업회사법인 ㈜동서웰빙,대구지역본부,최보경,505-81-63945,"경상북도 영천시 산업단지로 164, 1층(본촌동)",2013-08-14,054-336-1212,"제조업, 도소매업(건강기능식품)",일반
제2013-113호,㈜경신유앤엘,인천지사,박경만,130-81-64890,인천광역시 서구 가좌1동 173-224,2013-08-14,032-578-0931,세탁업,일반
제2013-118호,㈜위드유,경기서부지사,장광국,119-86-72082,"경기도 안양시 만안구 덕천로48번길 37, 1층(안양동)",2013-09-04,070-4040-6860,"서비스(콜센터, 기타사무지원)",자회사
제2013-122호,㈜레드스톤시스템,서울지역본부,박치영,106-86-49926,서울특별시 용산구 이태원로 223-5 비101호(한남동),2013-11-08,070-7099-0234,제조업(컴퓨터 및 주변기기) 소프트웨어 개발,일반
제2013-123호,(사)아름다운사람들,서울북부지사,신창식,206-82-12755,"서울특별시 성동구 뚝섬로1길 25, 서울특별시숲 한라에코벨리 702호",2013-11-08,02-6948-9650,"인쇄, 출판, 스마트콘텐츠, 시각디자인",일반
제2013-125호,행복두드리미㈜,서울남부지사,남경환,107-88-00288,서울특별시 영등포구 선유동 2로 57(이레빌딩 구관 14층),2013-11-12,02-2102-8640,"서비스업(카페 운영, 헬스키퍼 등)",자회사
제2013-126호,㈜엔셀,충북지사,이병국,123-86-33619,충청북도 음성군 원남면 상노길 274 원남산업단지,2013-11-12,043-724-2867,제조업(떡류 등),일반
제2013-129호,우영식품,부산지역본부,성영란,621-15-70404,부산광역시 금정구 회천로 32번길 25,2013-12-03,051-525-0188,제조업(빵류),일반
제2013-130호,미문산업,경기북부지사,김덕호,212-11-83764,경기도 파주시 파주읍 술이홀로 33 미문산업,2013-12-03,02-482-0936,"제조업(우편박스, 주차스토퍼)",일반
제2013-132호,㈜우리성원,서울지역본부,"고정희, 이해성",105-87-82837,서울특별시 마포구 마포대로 11다길 11,2013-12-30,02-312-8081,"제조업, 도소매업(종이인쇄,파일제작, 복사용지, 잉크토너)",일반
제2013-133호,흥진섬유㈜,대전지역본부,김길동,314-86-02589,대전광역시 서구 갈마역로 155(월평동),2013-12-30,042-489-2742,"제조업(와이셔츠, 근무복 등)",일반
제2013-134호,㈜탐나는초콜릿,제주지사,송지아,640-81-01408,제주특별자치도 제주시 조천읍 함덕남12길 115-6,2013-12-30,064-782-2350,제조업(초콜릿),일반
제2013-135호,㈜오상엠엔이티,부산지역본부,유삼주,603-81-62764,부산광역시 강서구 녹산산단361로 16(송정동),2013-12-30,051-623-0268,제조업(LED조명),일반
제2013-139호,세한실업,제주지사,윤영옥,616-06-79003,제주특별자치도 제주시 선반남1길 57 ,2013-12-30,064-758-3911,세탁업,일반
제2013-142호,㈜믿음을주는나무,경북지사,조재권,513-81-77080,경상북도 구미시 고아읍 파산2길 56,2013-12-30,054-481-2822,"제조업(비닐봉투, 종량제 봉투)",일반
제2014-001호,㈜엔젤위드,경기서부지사,이일권,134-87-06119,경기도 안산시 단원구 시화벤처로 575,2014-01-17,031-490-8003,제조업(사무용기계 및 장비),자회사
제2014-002호,㈜벗이,경기동부지사,박찬호,142-81-43054,경기도 용인시 처인구 양지면 학촌로53번길 4,2014-01-17,031-288-0371,서비스업(도소매),자회사
제2014-003호,㈜행복한동행,대구지역본부,배재순,514-81-90830,대구광역시 달성군 다사읍 달구벌대로 861 (8층),2014-01-17,053-584-2520,"청소용역, 컴퓨터수리",일반
제2014-005호,(주)커스프,대구지역본부,전희찬,514-81-81985,대구광역시 달서구 월곡로100길 17,2014-03-20,053-651-9334,"인쇄, 옥외광고물, 판촉물, 디자인",일반
제2014-010호,21세기산업,경북지사,권정하,508-07-44888,경상북도 안동시 서후면 광평2길 39,2014-04-18,054-853-1020,세탁업,일반
제2014-014호,(사)한국장애인문화콘텐츠협회,서울지역본부,홍중표,104-82-12861,서울특별시 중구 수표로10길 10,2014-07-10,02-2279-6760,"인쇄, 출판, 디자인, 편집 등",일반
제2014-020호,㈜경서,경남동부지사,정삼정,139-81-65917,경상남도 진주시 공단로 237,2014-09-11,055-752-2527,세탁업,일반
제2014-024호,㈜삼오산업,전남지사,이경택,411-81-79268,전라남도 목포시 둔재머리길 41(연산동) ,2014-11-07,061-281-1711,세탁업,일반
제2014-025호,주식회사 해피코리아,울산지사,곽양근,610-86-14848,울산광역시 울주군 온양읍 화산발리로 627,2014-11-07,052-239-7570,"제조업(자동차부품), 도소매업",일반
제2014-027호,농업회사법인㈜메이즈랜드,제주지사,이동한,616-81-56327,제주특별자치도 제주시 구좌읍 비자림로 2134-47,2014-11-27,064-784-3838,문화 및 집회시설(돌미로공원),일반
제2014-034호,케이디음향 ,강원지사,김범수,226-04-78942,강원도 강릉시 모전리 강동초교길 39,2014-12-19,033-646-6812,"제조업(스피커, 전자부품, 음향 등)",일반
제2014-035호,㈜커피지아,서울동부지사,김희수,120-87-79573,"서울특별시 강남구 논현로 74, 지하 1층(개포동, 코인빌딩)",2014-12-19,070-8254-1910,"원두커피가공, 판매)",일반
제2014-036호,드림제지,대구지역본부,손은지,514-13-87506,경상북도 경산시 자인면 공단로 144-12 ,2014-12-30,053-817-6756,"제조업(화장지, 물티슈)",일반
제2014-037호,㈜가천누리,인천지사,양승현,131-86-67202,"인천광역시 남동구 구월남로 174, 8층 803호(구월동, 그랜드 프라자)",2014-12-30,032-460-8494,서비스업(영상기록저장),자회사
제2015-002호,㈜경희매니지먼트컴퍼니,서울북부지사,서규훈,204-81-95694,서울특별시 동대문구 회기로 111(회기동),2015-01-21,02-964-7490,서비스업(인력파견),자회사
제2015-005호,㈜그린산업,충남지사,유성곤,311-81-50092,충청남도 예산군 덕산면 온천단지3로 45-7,2015-02-09,041-330-8282,세탁업,자회사
제2015-006호,㈜비젼테크,부산지역본부,김채원,607-81-88354,부산광역시 금정구 개좌로 263(회동동)  ,2015-03-12,051-529-7001,제조업(LED조명장치 등),일반
제2015-009호,㈜신광제약,전북지사,기순종,407-81-05199,전라북도 순창군 순창읍 가남리 203-4 농공단지,2015-03-12,063-653-1040,"제조업(칫솔, 마스크 등)",일반
제2015-010호,㈜케이앤씨가람,서울남부지사,권승후,201-86-43945,"서울특별시 금천구 가산디지털1로 128, B110호 (가산동, 에스티엑스브이타워)",2015-03-12,02-2279-7857,"태양광발전 .LED조명. 태양광안내판. 인쇄업(인쇄, 광고 등)",일반
제2015-011호,제주탐나씨푸드 영어조합법인,제주지사,김미,616-81-49807,제주특별자치도 제주시 명림로 258 (봉개동)  ,2015-04-29,064-722-8701,"제조업(어묵, 수산조미식품)",일반
제2015-014호,주식회사 도노,경기동부지사,정상구,204-86-50334,"경기도 하남시 미사강변서로 25 제8층 제에프849호(풍산동, 미사테스타타워지식산업센터)",2015-04-29,070-4334-4770,제조 및 판매(원두커피),일반
제2015-015호,㈜참푸드팜,대구지역본부,현진규,515-81-33389,대구광역시 동구 금강로16길 7 (신서동)   ,2015-07-01,053-815-4243,"제조업,소매(육류가공)",일반
제2015-016호,㈜백록육가공공장,제주지사,문승택,616-81-63599,제주특별자치도 제주시 애월읍 광령남6길 45,2015-07-01,064-747-6560,"제조업, 도소매업(식육가공,포장)",일반
제2015-018호,(사)장애인인권센터,서울남부지사,서인환,107-82-12123,"서울특별시 영등포구 선유로49길 23, 315호(양평동4가, 선유도2차 아이에스비즈타워)",2015-07-01,02-6123-4400,"서비스업(CCTV, LED, 전광판 설치, 인터넷홈페이지 제작, 전산업무)",일반
제2015-019호,(사)부산장애인총연합회,부산지역본부,조창용,604-82-03843,"부산광역시 동구 중앙대로 196번길 12-3, 9층(초량동, 부산장애인종합회관) ",2015-07-01,051-863-0650,서비스업,일반
제2015-021호,㈜더올가,경기북부지사,이순화,132-81-91146,경기도 남양주시 경춘로691번길 42 (일패동),2015-07-30,031-511-0008,"제조업, 음식업(도시락, 반찬)",일반
제2015-022호,(사)한마음장애인복지회,충남지사,송순왕,312-82-17263,충청남도 천안시 동남구 수신면 백자3길 96,2015-07-30,041-583-8815,"제조업(화장지, 복사용지), 서비스업(문서파쇄 및 청소용역)",일반
제2015-025호,㈜우리제지,경기지역본부,홍남희,132-81-63029,경기도 화성시 정남면 보통내길 82-13,2015-07-30,031-352-0147 ,"제조업(화장지, 페이퍼타월)",일반
제2015-030호,(사)한국나눔복지연합회,서울지역본부,김상균,201-82-08810,"서울특별시 중구 창경궁로1길 8, 1,2층(충무로4가)",2015-10-05,02-2279-9240,"제조업(인쇄, 디자인, 복사용지)",일반
제2015-031호,성안(주),강원지사,박순분,224-81-57559,강원도 원주시 흥업면 대안로 1013,2015-10-05,033-763-0465,"제조업(교시용 모형, 세탁)",일반
제2015-032호,㈜성원에어테크,경기북부지사,민성식,206-86-36565,경기도 양주시 백석읍 권율로1253번길 77-42 홍죽산업단지 B-4,2015-10-05,031-872-2421,"제조업(방열관, 덕트, 배관금속제품)",일반
제2015-033호,바다누리㈜,대구지역본부,조효현,514-81-38469,대구광역시 달성군 구지면 달성2차서로 84-26,2015-10-30,053-636-6337,"제조업, 도소매업(건어물가공, 다시마 등)",일반
제2015-036호,㈜지앤지티씨,인천지사,정복기,137-81-80611,인천광역시 계양구 계산로 111번길 5-2,2015-10-30,032-561-1364,"제조업(장갑,의류 등)",일반
제2015-037호,㈜해농,전남지사,조명추,347-87-01156,전라남도 나주시 동수농공단지길 30-91,2015-10-30,061-336-9934,제조업(조미김),일반
제2015-038호,천지환경㈜,전남지사,최명순,412-81-15331,전라남도 함평군 함평읍 함영로 1685-15,2015-10-30,061-323-1882,"건설폐기물중간처리업, 골재선별파쇄업, 톱밥, 상온아스콘",일반
제2015-039호,㈜대길,울산지사,김길자,620-81-06675,울산광역시 북구 산성로 60,2015-11-27,052-288-8584,세탁업,일반
제2015-041호,㈜한양기업,경기서부지사,김영호,130-86-19954,경기도 부천시 원미구 옥산로 220번길 9(도당동) ,2015-11-27,032-683-2478 ,제조업(섬유제품 정리 및 마무리가공),일반
제2015-042호,㈜케이두레,서울남부지사,안언숙,107-88-37994,"서울특별시 강서구 강서로 468, 7층 701호(등촌동, 테크노타워)",2015-11-27,02-2668-0311,서비스업(콜센터),일반
제2015-044호,세준푸드 농업회사법인 주식회사,경기동부지사,문완기,650-87-00878,경기도 광주시 곤지암읍 가마을길63,2015-11-27,031-761-4564,"제조업(식혜, 수정과)",일반
제2015-046호,(주)효성크린,경기서부지사,권효숙,130-86-90452,경기도 부천시 원미구 옥산로252번길 56 (도당동),2015-12-29,032-681-4821,제조업(섬유표백및가공),일반
제2015-047호,㈜다함께,인천지사,원용관,131-86-27156,"인천광역시 남동구 아암대로 1223, 제1동 1층 108-1호  (고잔동, 성강지식센터)",2015-12-29,032-468-8026,"제조업(위생물티슈, 물수건)",일반
제2015-048호,㈜삼미식품,경기서부지사,유완현,140-81-33171,경기도 시흥시 신천로25번길 24(신천동)  ,2015-12-29,031-316-5540,제조업(떡류),일반
제2015-049호,㈜더휴,부산지역본부,권영 ,625-86-00138,부산광역시 사상구 낙동대로 1356(삼락동),2015-12-29,051-206-0191,"서비스업(장례업, 화환)",일반
제2015-050호,㈜나누리,충남지사,백운성,446-81-00054,충청남도 예산군 신암면 추사로 447,2015-12-29,041-404-7732,제조업(자동차 모터부품 등),자회사
제2015-051호,장미고무공업사(주),부산지역본부,윤철희,606-86-23407,부산광역시 사상구 낙동대로1292번길 31 (삼락동),2015-12-29,051-302-5376,제조업(장갑),일반
제2015-052호,㈜두루가온누리,인천지사,심웅섭,144-86-00172,"인천광역시 부평구 주부토로 261, 203호(갈산동)",2015-12-29,032-510-0024,서비스업(위생관리),자회사
제2015-053호,㈜태건비에프,경기북부지사,김만석,202-81-44170,경기도 고양시 일산서구 덕산로57번길 37,2015-12-29,031-923-6400,제조업(가설분전반),일반
제2016-001호,㈜밝은누리,충북지사,서덕천,796-81-00186,충청북도 청주시 흥덕구 2순환로 765(송정동) LG화학청주공장 2복지관 2층,2016-01-28,043-261-7357,"매점, 카페, 미화 등",자회사
제2016-004호,㈜컴트리,서울남부지사,이숙영,214-88-00529,"서울특별시 금천구 가산디지털1로 30, 1712호",2016-02-05,02-858-4582,"제조업(데스크톱 컴퓨터, 액정모니터)",일반
제2016-005호,주식회사 대원크리닝,울산지사,최인호,621-86-03021,경상남도 양산시 소주공단5길 5 (주남동),2016-03-04,055-366-1853,서비스업(산업용세탁),일반
제2016-007호,한국동그라미파트너스 ㈜,대전지역본부,정일용,666-81-00186,대전광역시 대덕구 대덕대로1447번길 40,2016-04-05,042-930-1244,"서비스업(카페, 세탁 등)",자회사
제2016-009호,㈜핸드,부산지역본부,김영환,603-81-78873,부산광역시 강서구 녹산산단382로14번길 27 (송정동),2016-04-05,051-205-3553,제조업(복지용구),일반
제2016-010호,(사)군포시장애인단체총연합회,경기서부지사,이남숙,123-82-14666,"경기도 군포시 산본로 329 (산본동, 경원빌딩8층)",2016-04-05,031-398-8887,서비스업(청소),일반
제2016-012호,(사)한국장애인상생복지회,서울남부지사,손춘호,682-82-00040,"서울특별시 금천구 가산디지털1로 24, 제지1층제비102호, 제비103호(가산동, 대륭테크노타운13차)",2016-04-14,02-2644-2911,"제조업(인쇄물, 판촉물)",일반
제2016-013호,㈜행복큐산업,경기북부지사,"박지혜, 배명순",132-81-94589,경기도 남양주시 수동면 소래비로 227-17,2016-04-14,031-591-1568,제조업(화장지),일반
제2016-014호,㈜내일식품,충북지사,전기성,303-81-76524,충청북도 음성군 원남면 상노리 740-1 ,2016-04-29,043-873-2100,제조업(절임김치 등),자회사
제2016-017호,엔에이치엔굿프렌즈㈜,경기동부지사,이중하,692-88-00321,"경기도 성남시 분당구 대왕판교로 645번길 16(삼평동, 플레이뮤지엄)",2016-05-16,031-8038-3603,소매업(매점),자회사
제2016-018호,가람상사㈜,대전지역본부,김규일,305-86-30140,대전광역시 서구 관저동로 158,2016-05-16,042-222-3013,서비스업(주차장 운영 등),자회사
제2016-021호,㈜엔티코리아,경남동부지사,엄점태,613-81-54825,경상남도 산청군 금서면 친환경로 2461,2016-05-16,055-974-0188,제조업(피포대),일반
제2016-022호,㈜링키지랩,서울북부지사,박대영,235-88-00278,"서울특별시 성동구 성수일로6길 33, 3층(성수동2가, 아연디지털타워)",2016-06-08,02-6452-5000,"서비스업(인터넷 서비스 운영 관리업, 소프트웨어 개발·공급·자문업, 온라인정보 제공업, 광고대행업, 텔레마케팅업)",자회사
제2016-023호,㈜신우성,경기지역본부,최찬식,124-81-44996,경기도 수원시 권선구 서둔동 14-2,2016-06-08,031-291-1706,서비스업(세탁업),일반
