진료년도,표시과목,주상병코드,환자수,명세서청구건수,입내원일수,요양급여비용총액,보험자부담금
2023,일반의,A87,128,190,210,8636280,7006350
2023,일반의,A88,420,642,642,13566940,10518740
2023,일반의,A89,1,1,1,104370,73070
2023,일반의,A93,2,2,2,417950,292650
2023,일반의,A94,1,1,1,12380,8680
2023,일반의,A97,1,1,1,21620,15220
2023,일반의,A98,9,19,18,317030,257230
2023,일반의,A99,16,16,16,369430,276030
2023,일반의,B00,229618,324338,324458,5955141670,4436344110
2023,일반의,B01,4133,6652,6855,172017730,131828730
2023,일반의,B02,215645,451460,458686,11173160680,8365996420
2023,일반의,B04,4,4,4,68640,48340
2023,일반의,B05,12,17,17,370860,276560
2023,일반의,B06,21,23,22,1368400,1092700
2023,일반의,B07,110491,248892,248862,15363007770,10842815270
2023,일반의,B08,57016,94255,96128,2278609900,1839999320
2023,일반의,B09,1044,1338,1338,25674000,19940400
2023,일반의,B15,376,469,478,16029210,11599500
2023,일반의,B16,271,384,384,23448830,16670530
2023,일반의,B17,2477,3769,3849,219595490,157498830
2023,일반의,B18,19587,53239,53297,4021186580,2849201690
2023,일반의,B19,446,740,747,33080790,23937930
2023,일반의,B20,5,7,7,106030,83930
2023,일반의,B21,1,5,5,171670,154770
2023,일반의,B23,1,1,1,27300,19200
2023,일반의,B24,26,32,32,682020,527520
2023,일반의,B25,51,55,55,1327710,944710
2023,일반의,B26,746,995,999,24063200,17602180
2023,일반의,B27,46,88,101,7005210,5451640
2023,일반의,B30,4202,5947,5950,116681710,88092520
2023,일반의,B33,4898,6402,6402,157410980,115049080
2023,일반의,B34,33960,43903,45424,1540364290,1308247630
2023,일반의,B35,706546,1556096,1556132,27677886370,20779253830
2023,일반의,B36,19551,27532,27529,512479760,376137560
2023,일반의,B37,99253,164855,164831,8635033140,6107142320
2023,일반의,B38,1,2,2,31330,28230
2023,일반의,B39,2,3,3,50430,43130
2023,일반의,B40,11,20,20,706240,498340
2023,일반의,B42,3,15,15,558050,397250
2023,일반의,B43,996,1288,1286,49701590,35754590
2023,일반의,B44,11,46,46,1119120,797320
2023,일반의,B45,1,1,1,9030,6330
2023,일반의,B46,27,32,32,592350,439850
2023,일반의,B47,107,200,200,3273670,2521170
2023,일반의,B48,408,751,751,13030030,9917930
2023,일반의,B49,1214,2278,2278,42794890,32488990
2023,일반의,B50,5,5,5,83610,65810
2023,일반의,B51,9,12,12,304850,243750
2023,일반의,B52,1,1,1,17320,12220
2023,일반의,B54,27,41,41,1131780,812980
2023,일반의,B56,10,13,13,203720,149720
2023,일반의,B58,62,130,130,8618330,6048130
2023,일반의,B60,37,56,56,1265120,938020
2023,일반의,B64,7,9,9,138550,111150
2023,일반의,B65,9,12,12,196060,158660
2023,일반의,B66,834,1013,1010,21506880,16141780
2023,일반의,B68,11,11,11,210040,151640
2023,일반의,B69,4,23,23,527130,437530
2023,일반의,B70,1,2,2,47570,35570
2023,일반의,B71,9,12,12,168320,135520
2023,일반의,B73,1,1,1,112700,78900
2023,일반의,B76,7,9,9,145310,107110
2023,일반의,B77,224,249,249,4721960,3686460
2023,일반의,B79,9,11,11,583360,408760
2023,일반의,B80,24,29,29,527940,399840
2023,일반의,B81,24,25,25,3321510,2328610
2023,일반의,B82,263,287,286,5740970,4448170
2023,일반의,B83,605,769,769,14972820,10903220
2023,일반의,B85,1489,1884,1884,38692140,28521640
2023,일반의,B86,8178,12848,12847,226512730,173483430
2023,일반의,B87,6,6,6,103750,92050
2023,일반의,B88,6091,9116,9123,347283190,257515690
2023,일반의,B89,80,92,92,2959340,2144640
2023,일반의,B90,132,178,178,9928930,7131730
2023,일반의,B91,9,76,76,2885250,2083950
2023,일반의,B92,14,18,18,511710,426310
2023,일반의,B94,110,116,116,2105460,1511060
2023,일반의,B95,10,20,20,273670,214770
2023,일반의,B96,5,11,11,157380,118680
2023,일반의,B97,1587,3097,3097,308925970,217255180
2023,일반의,B98,8114,10046,10044,262580610,186361510
2023,일반의,B99,76,92,157,12855710,10000170
2023,일반의,C00,17,67,96,11094060,10415770
2023,일반의,C01,43,267,579,32700560,29302720
2023,일반의,C02,232,1670,2477,248448630,229936020
2023,일반의,C03,34,376,625,25005860,23292940
2023,일반의,C04,21,160,436,23891250,21295340
2023,일반의,C05,23,220,568,35646860,31346150
2023,일반의,C06,100,631,904,78237850,72668080
2023,일반의,C07,188,926,1145,239073170,219268610
2023,일반의,C08,98,491,695,63677260,58456310
2023,일반의,C09,123,695,1193,82462110,75407460
2023,일반의,C10,50,231,477,24821210,22263800
2023,일반의,C11,122,944,2044,133591370,119829260
2023,일반의,C12,13,44,115,19613630,18400770
2023,일반의,C13,85,452,1030,72658500,64789190
2023,일반의,C14,18,95,103,5217630,4934050
2023,일반의,C15,709,4464,9164,904887550,839822740
2023,일반의,C16,5700,34665,47892,3364582680,3106591320
2023,일반의,C17,171,1519,1880,153919150,143148510
2023,일반의,C18,3427,24030,34124,2584209740,2384154200
2023,일반의,C19,366,2218,2987,262357360,243362150
2023,일반의,C20,1842,11326,17848,1443588030,1324340580
2023,일반의,C21,131,880,1195,53778330,48499970
2023,일반의,C22,2850,17117,26401,2519023160,2328312180
2023,일반의,C23,456,3156,5078,534256350,495629260
2023,일반의,C24,884,6259,9320,930236000,864017110
2023,일반의,C25,2083,15092,24816,2681076670,2493032510
2023,일반의,C26,54,271,324,25943340,25032070
2023,일반의,C30,45,372,599,37523930,34131250
2023,일반의,C31,37,293,590,49653770,44956470
2023,일반의,C32,216,1495,2202,160373510,147664150
2023,일반의,C33,12,62,62,1845270,1757470
2023,일반의,C34,5399,37459,60919,5269706430,4863891790
2023,일반의,C37,159,1211,2020,100720480,90354900
2023,일반의,C38,35,153,220,13566620,12651290
2023,일반의,C39,22,93,92,4075540,3855940
2023,일반의,C40,26,138,322,27853110,25445830
2023,일반의,C41,89,511,705,59548650,54578470
2023,일반의,C43,480,1569,1936,133744820,121811870
2023,일반의,C44,1529,8922,9584,486545140,446905130
2023,일반의,C45,23,87,517,64815320,59594370
2023,일반의,C46,25,250,254,5309650,4997760
2023,일반의,C47,15,93,142,6147630,5570350
2023,일반의,C48,130,1230,2164,130253060,117472220
2023,일반의,C49,309,2025,3070,257433990,238181050
2023,일반의,C50,12212,81270,134354,8233005790,7381964390
2023,일반의,C51,40,283,599,42689240,38525450
2023,일반의,C52,14,174,218,11088550,10122160
2023,일반의,C53,755,5973,10182,785673050,719244180
2023,일반의,C54,744,5841,10057,576530910,515547150
2023,일반의,C55,114,1051,1319,57253910,51083800
2023,일반의,C56,1491,13153,21694,1298239570,1155357430
2023,일반의,C57,92,641,1135,49789890,43070320
2023,일반의,C58,7,58,58,6105180,5747780
2023,일반의,C60,9,30,147,41264930,38953340
2023,일반의,C61,4521,30125,33586,1952100690,1821020080
2023,일반의,C62,43,146,179,12173840,10892280
2023,일반의,C63,10,45,52,4157500,3853740
2023,일반의,C64,908,5902,8494,790766250,733541710
2023,일반의,C65,143,1093,1496,104296270,96356900
2023,일반의,C66,190,1121,1932,172751990,159272870
2023,일반의,C67,1448,8636,10960,798840710,740153370
2023,일반의,C68,23,72,227,23616620,21598960
2023,일반의,C69,24,141,191,9835180,8754140
2023,일반의,C70,32,192,194,7376660,6988260
2023,일반의,C71,480,4990,7494,948287100,885180330
2023,일반의,C72,50,468,504,23930230,22132230
2023,일반의,C73,13929,40337,58193,5826887090,5192822630
2023,일반의,C74,39,163,313,15366860,13695290
2023,일반의,C75,36,288,289,14220700,13087180
2023,일반의,C76,73,368,389,20780870,18881180
2023,일반의,C77,208,915,1294,89149840,80108850
2023,일반의,C78,356,1997,3409,219952480,195613260
2023,일반의,C79,287,1927,3316,331188690,305041450
2023,일반의,C80,243,1222,1600,116672590,107488550
2023,일반의,C81,80,316,363,18141030,16690000
2023,일반의,C82,122,790,1301,65225580,58798270
2023,일반의,C83,404,2421,3782,301539920,275844120
2023,일반의,C84,69,573,756,30282160,26903020
2023,일반의,C85,413,2345,2884,176434110,161994430
2023,일반의,C86,35,208,464,34805640,31814160
2023,일반의,C88,149,838,1455,79788420,69719560
2023,일반의,C90,345,2465,3529,161961480,148338540
2023,일반의,C91,144,803,1058,48251210,43838570
2023,일반의,C92,325,1588,2008,162581200,153131270
2023,일반의,C93,19,146,145,7261000,6753800
2023,일반의,C94,33,144,143,4503220,4241520
2023,일반의,C95,63,369,377,13843150,12883640
2023,일반의,C96,45,337,336,6775180,6396280
2023,일반의,C97,1,1,1,3360,3260
2023,일반의,D00,270,1829,1833,89774850,84812370
2023,일반의,D01,734,3261,3408,250139610,229204300
2023,일반의,D02,59,289,289,11746900,10927980
2023,일반의,D03,199,380,377,11818500,9215220
2023,일반의,D04,242,1382,1430,66310420,60915560
2023,일반의,D05,1921,7180,9165,851136090,775383040
2023,일반의,D06,1477,4583,5164,493622510,457297100
2023,일반의,D07,144,597,811,45715460,40234540
2023,일반의,D09,222,1024,1070,51518910,47352230
2023,일반의,D10,665,1015,1017,87254780,63332020
2023,일반의,D11,1114,2724,3125,1114659210,872987570
2023,일반의,D12,38171,43272,43741,13142287890,9292742280
2023,일반의,D13,10420,12037,11838,1744030560,1231528960
2023,일반의,D14,1815,2183,2154,226113280,160275350
2023,일반의,D15,209,265,258,15909230,11284830
2023,일반의,D16,273,446,513,32394030,23581610
2023,일반의,D17,30348,77580,77944,5499435810,3923088500
2023,일반의,D18,7190,9264,9255,1205354780,849300500
2023,일반의,D19,51,96,96,7063890,5108790
2023,일반의,D20,19,28,25,2293070,1629070
2023,일반의,D21,14557,44018,44276,2970836350,2127897050
2023,일반의,D22,4018,4535,4523,122766390,89028390
2023,일반의,D23,76355,153868,153943,11019172890,7851048070
2023,일반의,D24,31764,42476,42480,5265214500,3734360000
2023,일반의,D25,60367,74858,76518,11352646360,8155676640
2023,일반의,D26,440,501,490,49029440,35191010
2023,일반의,D27,12408,16383,16806,2339582080,1689007750
2023,일반의,D28,2892,5341,5355,1094459100,769575120
2023,일반의,D29,1800,3059,3036,450043000,317394300
2023,일반의,D30,1941,2389,2318,312534760,220541800
2023,일반의,D31,87,120,120,9067510,6469710
2023,일반의,D32,926,5263,5760,292597910,267893330
2023,일반의,D33,658,3201,3313,178897650,158442100
2023,일반의,D34,15417,18808,18499,1630350200,1156741580
2023,일반의,D35,1033,2465,2460,168876570,131524900
2023,일반의,D36,4745,9496,9520,684498590,488840210
2023,일반의,D37,1673,3351,3385,312044820,241453700
2023,일반의,D38,899,1308,1394,140327280,105441190
2023,일반의,D39,1100,1520,1518,158527010,117227080
2023,일반의,D40,267,413,397,58220070,41835690
2023,일반의,D41,481,784,782,100888210,77379100
2023,일반의,D42,55,325,418,19153540,17268400
2023,일반의,D43,217,1188,1406,135350880,122670100
2023,일반의,D44,3919,5335,5292,772685060,554081860
2023,일반의,D45,156,711,736,29203590,25730150
2023,일반의,D46,206,1789,2318,250284400,233742200
2023,일반의,D47,369,2014,2053,115148550,107151580
2023,일반의,D48,2322,4101,4213,376726480,274896760
2023,일반의,D50,64076,119840,119893,4143594930,3026653640
2023,일반의,D51,814,1893,1893,78849430,58744910
2023,일반의,D52,551,1006,1060,26444140,20183480
2023,일반의,D53,643,1285,1306,39398080,29506970
2023,일반의,D55,24,25,25,488740,358640
2023,일반의,D56,6,31,30,579070,492770
2023,일반의,D57,5,5,5,71160,49960
2023,일반의,D58,32,56,56,1786940,1307340
2023,일반의,D59,68,99,98,1791970,1416470
2023,일반의,D60,9,10,10,627520,560820
2023,일반의,D61,74,164,161,4000590,3260290
2023,일반의,D62,70,96,96,3364690,2389790
2023,일반의,D63,174,708,706,77508130,69440230
2023,일반의,D64,21928,30863,30827,1538266200,1109737880
2023,일반의,D65,12,13,13,1135460,804160
2023,일반의,D66,1020,13376,13376,95351996810,86195018210
2023,일반의,D67,254,3198,3198,39375095490,35573504290
2023,일반의,D68,497,1193,1189,1775235770,1593426470
2023,일반의,D69,5462,8453,8410,221234060,167541860
2023,일반의,D70,1456,2065,2049,72096660,52138260
2023,일반의,D71,2,3,3,125600,112900
2023,일반의,D72,2227,2783,2770,126683270,90742260
2023,일반의,D73,163,190,186,23933930,16820130
2023,일반의,D75,515,639,630,32899750,23322850
2023,일반의,D76,20,25,25,1029330,754230
2023,일반의,D77,15,35,35,723550,511050
2023,일반의,D80,33,509,509,8968720,7898820
2023,일반의,D81,54,153,153,2814340,2083740
2023,일반의,D82,16,110,110,3885470,3427170
2023,일반의,D83,1,1,1,12380,8680
2023,일반의,D84,396,1308,1398,32157410,24080730
2023,일반의,D86,25,99,99,5427350,4517050
2023,일반의,D89,98,288,288,7111150,5115050
2023,일반의,E00,17,49,49,580530,436430
2023,일반의,E01,45,63,63,8275340,5920640
2023,일반의,E02,1579,7774,7774,269268740,198837940
2023,일반의,E03,68718,238909,238900,8088563190,5884855220
2023,일반의,E04,43909,54445,54218,4685572750,3319198380
2023,일반의,E05,19816,65922,65876,3008160040,2148077930
2023,일반의,E06,10857,21097,21102,1343971000,954485990
2023,일반의,E07,21291,29266,29275,2028237080,1443742840
2023,일반의,E10,4693,17913,18908,543802140,417917880
2023,일반의,E11,575014,3641397,3652837,95161283390,74124124010
2023,일반의,E12,168,616,618,12750890,10008320
2023,일반의,E13,17435,83489,83616,2248741770,1720610040
2023,일반의,E14,84247,407705,407946,10664418810,8194314620
2023,일반의,E15,11,30,30,945250,749750
2023,일반의,E16,3562,5045,5058,139937730,105423480
2023,일반의,E20,251,665,665,16086450,12345250
2023,일반의,E21,286,494,487,42675830,32998400
2023,일반의,E22,3374,11663,11611,950760350,672419350
2023,일반의,E23,1307,9715,9701,1707371460,1209814120
2023,일반의,E24,98,384,383,13541160,10339060
2023,일반의,E25,28,64,63,1381860,1118960
2023,일반의,E26,23,32,32,677350,503450
2023,일반의,E27,1521,2752,2758,142652520,103336020
2023,일반의,E28,14939,39163,39138,4666483270,3273200980
2023,일반의,E29,672,1222,1221,40881480,29252380
2023,일반의,E30,11511,53572,53515,5729650800,4023551300
2023,일반의,E31,1,2,2,137900,96600
2023,일반의,E32,33,51,46,2082070,1504570
2023,일반의,E34,1845,5711,5685,616684560,436803160
2023,일반의,E35,106,157,157,10274190,7387890
2023,일반의,E40,1,1,1,17320,12220
2023,일반의,E41,2714,5029,5046,176409120,137978020
2023,일반의,E42,6,6,6,132150,99450
2023,일반의,E43,54,80,80,1838210,1379410
2023,일반의,E44,259,435,435,11013480,8619580
2023,일반의,E45,12,15,15,155410,121910
2023,일반의,E46,1627,3053,3055,74359700,57562000
2023,일반의,E50,18968,26862,26861,485104110,361851310
2023,일반의,E51,125,226,226,4336290,3438590
2023,일반의,E53,2378,3971,3971,158440380,115476080
2023,일반의,E54,277,453,453,9400300,6879700
2023,일반의,E55,50120,80024,80021,2007673950,1466690610
2023,일반의,E56,2248,4743,4755,127536000,100909480
2023,일반의,E58,1798,3428,3428,64726370,49289270
2023,일반의,E59,33,67,67,3843990,2867190
2023,일반의,E60,43,62,62,3132600,2221600
2023,일반의,E61,2751,4400,4407,95647210,72576740
2023,일반의,E63,10262,20542,20596,683589260,540180340
2023,일반의,E64,343,678,714,28965870,22496710
2023,일반의,E65,31,34,34,613320,457520
2023,일반의,E66,5241,8836,8834,195921270,139452170
2023,일반의,E67,35,42,42,944430,694330
2023,일반의,E68,2,2,2,36960,26060
2023,일반의,E70,26,76,76,2438480,2099680
2023,일반의,E71,31,344,343,26802220,23956720
2023,일반의,E72,163,310,310,7759890,6069290
2023,일반의,E73,141,203,203,3895500,3338400
2023,일반의,E74,25,54,53,1724850,1413750
2023,일반의,E75,43,807,807,51908720,47459270
2023,일반의,E76,8,54,54,2790860,2475360
2023,일반의,E77,8,30,30,2995820,2653820
2023,일반의,E78,612333,1833535,1833361,48581423520,35495574910
2023,일반의,E79,2157,3574,3573,127920330,92323490
2023,일반의,E80,321,415,411,25255750,17815900
2023,일반의,E83,4401,8226,8220,214721860,161417160
2023,일반의,E84,10,11,11,379220,282520
2023,일반의,E85,18,31,30,2013360,1547760
2023,일반의,E86,56046,100500,100690,3707357300,2863888140
2023,일반의,E87,10176,27013,27110,1357113080,1080156600
2023,일반의,E88,793,2870,2880,78598280,58403290
2023,일반의,E89,1923,5805,5805,167527380,122059480
2023,일반의,E90,29,172,172,2545280,1854180
2023,일반의,F00,72498,438603,452838,11389125540,8760003730
2023,일반의,F01,2073,7485,7525,217854110,171886160
2023,일반의,F02,314,1170,1166,49349110,37865410
2023,일반의,F03,6445,20712,20670,889645270,687730420
2023,일반의,F04,36,110,110,2114730,1725630
2023,일반의,F05,366,884,886,22510170,17443520
2023,일반의,F06,72030,217513,219165,4990714030,4016223160
2023,일반의,F07,614,1453,1453,48583340,37864890
2023,일반의,F09,79,319,452,20601590,15924590
2023,일반의,F10,2233,9271,11470,773420700,609904330
2023,일반의,F11,9,54,54,4191640,3315740
2023,일반의,F12,5,21,30,2808820,2203580
2023,일반의,F13,32,136,136,2935500,2235900
2023,일반의,F14,2,2,2,154410,108210
2023,일반의,F15,5,8,8,253240,196040
2023,일반의,F16,3,25,25,1814590,1377390
2023,일반의,F17,368,722,722,11234210,8214610
2023,일반의,F18,6,12,12,749220,546820
2023,일반의,F19,23,54,202,17814590,14847050
2023,일반의,F20,3829,40311,51973,3752546270,3149995250
2023,일반의,F21,26,233,233,13525490,11238890
2023,일반의,F22,294,1666,2164,143509670,113063950
2023,일반의,F23,387,2474,2592,162289600,129668630
2023,일반의,F25,379,3685,4608,296364600,251984940
2023,일반의,F28,84,589,589,33447620,26786120
2023,일반의,F29,717,4897,5671,341834970,278481060
2023,일반의,F30,130,446,446,14701460,11671260
2023,일반의,F31,9518,63868,65992,3770199490,2914656420
2023,일반의,F32,73409,433715,441805,27238292650,21249759400
2023,일반의,F33,6869,44321,44408,2826879550,2210694600
2023,일반의,F34,2396,10790,11030,501896340,396798490
2023,일반의,F38,1341,3328,3328,74359080,59196480
2023,일반의,F39,1555,4251,4250,152499710,117872310
2023,일반의,F40,3847,16622,16667,934271330,733942710
2023,일반의,F41,97869,391230,392619,16777550440,13104507780
2023,일반의,F42,2527,17587,17584,1228300600,957166300
2023,일반의,F43,11782,42849,42954,2898120040,2272449620
2023,일반의,F44,107,298,298,19100010,14538010
2023,일반의,F45,10167,31966,31963,1115516480,866761800
2023,일반의,F48,18188,37230,37264,946498390,731803640
2023,일반의,F50,4116,14461,14461,827189760,651748860
2023,일반의,F51,76557,293836,293833,7646923470,5989596300
2023,일반의,F52,1492,2180,2178,37903860,27719060
2023,일반의,F53,25,128,128,10276650,7885350
2023,일반의,F54,234,320,320,6071920,4786720
2023,일반의,F55,7,9,9,682110,527110
2023,일반의,F59,68,79,79,1367270,977870
2023,일반의,F60,111,723,723,46268420,37112690
2023,일반의,F62,4,23,23,1371170,1100670
2023,일반의,F63,368,1549,1580,113776090,87520260
2023,일반의,F64,1608,11137,11133,222938010,162257110
2023,일반의,F65,23,152,152,9575190,7382790
2023,일반의,F66,68,179,179,5633310,4312010
2023,일반의,F68,27,56,56,4626950,3934750
2023,일반의,F69,3,19,19,1506060,1175360
2023,일반의,F70,797,5242,5342,324661820,253498130
2023,일반의,F71,321,2023,2867,201042490,165791260
2023,일반의,F72,158,1495,1649,74952360,57517490
2023,일반의,F73,34,260,260,14014090,10908990
2023,일반의,F78,66,285,285,15152290,11568490
2023,일반의,F79,151,643,667,52011400,40257900
2023,일반의,F80,536,2367,2363,172716060,149547060
2023,일반의,F81,69,260,260,30077840,24549440
2023,일반의,F82,12,71,71,3112620,2452920
2023,일반의,F83,17,534,534,22284730,18698930
2023,일반의,F84,1628,15034,15141,920531140,737442720
2023,일반의,F88,5,6,6,341500,277200
2023,일반의,F89,49,128,128,8198920,6453820
2023,일반의,F90,14638,111453,111489,8187581080,6328060920
2023,일반의,F91,275,1633,1632,97696760,76081360
2023,일반의,F92,477,1778,1776,78966850,61848350
2023,일반의,F93,576,2594,2594,238162170,182574670
2023,일반의,F94,119,616,616,50630720,39141620
2023,일반의,F95,1640,10061,10053,777769900,592770600
2023,일반의,F98,834,2893,2892,258822840,206616140
2023,일반의,F99,487,1567,1567,148327880,110380480
2023,일반의,G00,16,29,29,1161260,831460
2023,일반의,G01,1,18,18,314850,220950
2023,일반의,G02,4,8,10,559000,465670
2023,일반의,G03,45,50,73,5333300,4258640
2023,일반의,G04,48,389,397,29420680,26859030
2023,일반의,G05,1289,1727,1727,38675120,28658220
2023,일반의,G06,13,13,12,475870,339570
2023,일반의,G07,1,7,7,111520,111520
2023,일반의,G08,2,2,2,1090770,767370
2023,일반의,G09,3,87,87,2513560,1763660
2023,일반의,G10,9,19,18,363270,294870
2023,일반의,G11,122,2817,2816,131162780,118468950
2023,일반의,G12,253,3060,3055,225026540,199640630
2023,일반의,G13,5,154,154,7994960,7397360
2023,일반의,G14,69,167,167,10416150,8223050
2023,일반의,G20,5892,32109,32448,1170282300,1008585110
2023,일반의,G21,582,2401,2404,61753350,49324210
2023,일반의,G22,265,1121,1137,39412620,30907680
2023,일반의,G23,86,392,389,19316690,15825590
2023,일반의,G24,3001,5202,5209,125967770,96193360
2023,일반의,G25,13546,33189,33222,820948370,637489410
2023,일반의,G26,6,12,12,297170,236170
2023,일반의,G30,3297,15177,15169,376274450,301769350
2023,일반의,G31,89630,271419,271433,5017231870,4156531000
2023,일반의,G32,119,365,365,6280270,5229770
2023,일반의,G35,81,525,569,17327580,14878530
2023,일반의,G36,30,203,203,16673070,14793470
2023,일반의,G37,74,176,206,14614540,12786090
2023,일반의,G40,5057,26234,26230,1141348700,940851510
2023,일반의,G41,500,2135,2141,55056810,46203350
2023,일반의,G43,89874,170637,170778,3718993190,2738427290
2023,일반의,G44,76061,130759,131328,5636331810,4089880090
2023,일반의,G45,1638,4323,4487,193767650,145943230
2023,일반의,G46,710,1912,2084,58941510,45800380
2023,일반의,G47,229883,747314,756374,25435199640,20039001330
2023,일반의,G50,6931,16024,16026,677708380,507533990
2023,일반의,G51,4369,15272,15421,425710920,310462670
2023,일반의,G52,328,670,666,40583950,29385950
2023,일반의,G53,37433,113998,114323,2774599340,2177357860
2023,일반의,G54,4860,15003,15156,832503880,605839660
2023,일반의,G55,1883,8540,9163,690281270,501446420
2023,일반의,G56,22677,56420,56826,2654508580,1899993260
2023,일반의,G57,21547,67743,67904,3843259270,2764925630
2023,일반의,G58,10535,21959,21982,1134916580,828235370
2023,일반의,G59,532,1413,1413,32231460,25152760
2023,일반의,G60,34,275,275,11592440,9751740
2023,일반의,G61,131,861,861,31523740,28625640
2023,일반의,G62,1796,4666,4663,145286910,111088050
2023,일반의,G63,3488,11981,12039,408309660,343087330
2023,일반의,G64,3646,7518,7521,189800630,147247990
2023,일반의,G70,246,1136,1154,54203720,42858850
2023,일반의,G71,246,3944,3985,189862660,172301100
2023,일반의,G72,66,119,118,4483630,3571930
2023,일반의,G73,100,317,314,13632950,10736650
2023,일반의,G80,1116,48682,51434,4000151080,3391622940
2023,일반의,G81,829,12812,13103,589988810,452481630
2023,일반의,G82,448,5666,6024,396249160,326315370
2023,일반의,G83,462,1219,1282,48614620,38132330
2023,일반의,G90,7388,19641,19689,984512450,725343420
2023,일반의,G91,210,1066,1111,77716990,65995440
2023,일반의,G92,4,5,13,1027920,911820
2023,일반의,G93,3116,6373,6425,378198270,301156770
2023,일반의,G94,11,29,28,1747640,1307740
2023,일반의,G95,653,2501,2575,78093570,61394500
2023,일반의,G96,52,219,219,8434400,6091600
2023,일반의,G97,4,17,17,753970,592270
2023,일반의,G98,115,210,210,6210180,4755380
2023,일반의,G99,372,725,766,27883670,21213210
2023,일반의,H00,72753,96712,96705,2103926430,1516203290
2023,일반의,H01,37360,45883,45883,869355150,641292550
2023,일반의,H02,7465,18403,18531,1037389790,749909200
2023,일반의,H03,1009,1610,1610,37546280,27875280
2023,일반의,H04,123914,216146,216157,4070223600,3013116590
2023,일반의,H05,827,1083,1081,25461800,19131200
2023,일반의,H06,45,79,79,4245890,3000190
2023,일반의,H10,224928,311587,311610,5900779260,4492541660
2023,일반의,H11,20671,29298,29311,644691130,477881990
2023,일반의,H13,331,408,408,7361260,5880360
2023,일반의,H15,648,1068,1068,21849680,16542280
2023,일반의,H16,30097,46931,46926,968979030,733178730
2023,일반의,H17,102,216,216,5532890,4164790
2023,일반의,H18,390,893,892,18157550,13829250
2023,일반의,H19,5689,9093,9093,172029640,128332240
2023,일반의,H20,1277,3630,3630,80479230,61048030
2023,일반의,H21,57,72,72,2126670,1558070
2023,일반의,H22,4,4,4,72940,53440
