"부서명","부서코드","의료진명","진료타입 (선택 진료 : Y, 일반 진료 : N)","월요일 오전 스케줄 (유 : Y, 무 : N)","월요일 오후 스케줄 (유 : Y, 무 : N)","화요일 오전 스케줄 (유 : Y, 무 : N)","화요일 오후 스케줄 (유 : Y, 무 : N)","수요일 오전 스케줄 (유 : Y, 무 : N)","수요일 오후 스케줄 (유 : Y, 무 : N)","목요일 오전 스케줄 (유 : Y, 무 : N)","목요일 오후 스케줄 (유 : Y, 무 : N)","금요일 오전 스케줄 (유 : Y, 무 : N)","금요일 오후 스케줄 (유 : Y, 무 : N)","기타 휴진 사유","의료진 전문분야"
"신경외과","MC0036","김성훈","","N","N","N","N","N","N","N","Y","Y","Y","","뇌혈관, 뇌졸중, 혈관 내 수술"
"신경외과","MC0036","송관영","","N","N","N","N","Y","N","N","N","N","N","","뇌혈관, 뇌종양, 요통"
"신경외과","MC0036","홍순오","","Y","Y","N","N","N","N","N","Y","N","N","","뇌종양, 뇌외상, 척추"
"흉부외과","MC0037","손진성","","Y","N","N","N","Y","Y","N","N","N","Y","","심장 및 혈관외과, 폐?식도외과, 흉부종양및외상, 하지정맥류, 기흉"
"흉부외과","MC0037","백강석","","N","Y","Y","N","N","N","Y","Y","N","N","","대동맥 및 말초혈관의 혈관내 치료 및 수술, 정맥질환(하지정맥류, 심부정맥혈전증), 혈액투석혈관조성 및 복구, 일반흉부질환, 흉부외상"
"흉부외과","MC0037","이현석","","N","N","N","N","N","N","N","N","Y","N","","일반 흉부외과 질환"
"산부인과","MC0039","조 숙","","Y","Y","N","N","N","N","N","N","Y","Y","","폐경기, 비뇨부인과, 골다공증"
"산부인과","MC0039","이현주","","N","N","N","N","N","N","N","N","N","N","가임 클리닉 시간표를 확인해주세요.","난임, 인공수정, 시험관 아기, 습관성 유산, 착상전 유전진단, 무월경, 다낭성 난소, 복강경 및 자궁경 수술, 미혼여성"
"산부인과","MC0039","황인철","","N","N","Y","Y","Y","N","N","N","N","N","","산전관리, 고위험임신, 정밀초음파"
"산부인과","MC0039","연명진","","N","N","N","N","N","N","N","N","N","N","가임 클리닉 시간표를 확인해주세요.","난임 및 시험관 아기 시술, 습관성 유산 및 반복착상실패, 착상전 유전진단, 가임력 보존 , 미혼여성, 월경장애, 다낭성난소 증후군"
"산부인과","MC0039","윤루비","","N","N","N","N","N","N","N","N","N","N","","산부인과"
"산부인과","MC0039","배동한","","N","N","Y","Y","Y","Y","N","N","N","N","","부인암,  폐경기, 골다공증, 비뇨부인과"
"산부인과","MC0039","이원식","","Y","Y","N","N","N","Y","Y","N","N","N","","부인과 복강경 및 자궁내시경 수술(자궁 근종, 자궁선근종, 난소종양, 자궁내막증, 자궁냉막질환) 비뇨부인과(자궁탈출증,  복압성요실금)"
"산부인과","MC0039","김민정","","N","N","N","N","N","N","N","N","N","N","","난임, 인공수정, 시험관아기, 반복착상실패, 습관성유"
"피부과","MC0040","김수경","","Y","N","Y","N","N","Y","N","Y","Y","N","","건선, 백반증, 흉터, 레이저"
"피부과","MC0040","모현진","","N","Y","N","Y","Y","N","Y","N","N","Y","","알레르기피부질환, 아토피, 피부양성종양, 레이져 수술"
"비뇨의학과","MC0041","김민수","","N","N","Y","N","Y","Y","N","N","Y","N","","내비뇨, 전립선비대, 요로결석, 배뇨장애, 종양"
"비뇨의학과","MC0041","이신영","","Y","N","N","Y","N","N","Y","N","N","N","","요실금, 배뇨장애 및 전립선, 소아비뇨"
"비뇨의학과","MC0041","최승권","","Y","N","Y","Y","N","N","N","Y","N","N","","전립선, 비뇨기암, 복강경수술, 남성"
"비뇨의학과","MC0041","이신우","","N","Y","N","N","N","Y","N","N","N","Y","","복강경 종양 요로결석 전립선"
"안과","MC0042","오주연","","Y","N","Y","Y","N","N","N","N","N","N","","백내장, 녹내장"
"안과","MC0042","이동익","","N","Y","N","N","Y","Y","Y","N","N","Y","","망막, 유리체, 백내장, 당뇨망막병증"
"이비인후과","MC0043","정우찬","","N","N","N","N","N","N","N","N","N","N","","목 종양, 부비동염(코질환), 중이염(귀질환),어지러움"
"이비인후과","MC0043","민현정","","Y","N","Y","N","N","Y","N","Y","Y","N","","이과,난청,이명,중이염,어지럼증 및 편도,비염진료"
"이비인후과","MC0043","이성만","","N","N","N","Y","Y","N","Y","N","N","Y","","비염,부비동염, 인후두질환, 귀질환, 두경부질환"
"재활의학과","MC0044","박희동","","N","Y","Y","N","Y","Y","N","N","Y","N","","중재적 통증 치료, 뇌신경재활, 근골격계 통증 및 재활, 요통/오십견 클리닉, 전기진단(근전도)"
"재활의학과","MC0044","오주선","","Y","N","N","Y","Y","N","N","Y","N","Y","","뇌신경재활(뇌졸중, 뇌손상), 어깨통증, 무릎 통증, 목통증 , 연하장애클리닉,심폐재활"
"재활의학과","MC0044","김종규","","Y","N","N","Y","N","Y","Y","N","N","Y","","척수손상재활, 소아재활, 근골격계 통증, 전기진단, 암재활, 소아마비클리닉"
"응급의학과","MC0045","박현경","","N","N","N","N","N","N","N","N","N","N","","외상처치술, 응급의료체계"
"응급의학과","MC0045","박근홍","","Y","Y","Y","Y","Y","Y","N","N","Y","Y","24시간 진료","중환자의학, 심폐소생술, 독성학, 응급의료 지도의사"
"응급의학과","MC0045","김한범","","N","N","N","N","N","N","N","N","N","N","24시간 진료","소아응급의학"
"응급의학과","MC0045","함은미","","N","N","N","N","N","N","N","N","N","N","","소아응급의학"
"응급의학과","MC0045","박진형","","N","N","N","N","N","N","N","N","N","N","","외상처치술, 응급의료체계"
"응급의학과","MC0045","김지선","","N","N","N","N","N","N","N","N","N","N","","응급의료체계"
"응급의학과","MC0045","송은곤","","N","N","N","N","N","N","N","N","N","N","","소생의학, 중환자의학"
"응급의학과","MC0045","곽문환","","N","N","N","N","N","N","N","N","N","N","","중환자의학"
"응급의학과","MC0045","최동선","","N","N","N","N","N","N","N","N","N","N","","응급의료체계. 소생의학. 응급의학"
"응급의학과","MC0045","김지현","","N","N","N","N","N","N","N","N","N","N","","중환자의학, 심폐소생술"
"응급의학과","MC0045","임대성","","N","N","N","N","N","N","N","N","N","N","24시간 진료","응급의학,응급의료체계,소생의학"
"응급의학과","MC0045","예성열","","N","N","N","N","N","N","N","N","N","N","","응급의학,응급의료체계,소생의학"
"응급의학과","MC0045","정용욱","","N","N","N","N","N","N","N","N","N","N","","응급의학,응급의료체계,소생의학"
"마취통증의학과","MC0047","이준용","","N","N","N","N","N","N","N","N","N","N","","통증관리"
"마취통증의학과","MC0047","문정은","","N","N","N","N","N","N","N","N","N","N","","심폐마취"
"마취통증의학과","MC0047","류승아","","N","N","N","N","N","N","N","N","N","N","","심폐마취, 진정마취"
"마취통증의학과","MC0047","이정현","","N","N","N","N","N","N","N","N","N","N","","노인마취"
"마취통증의학과","MC0047","신소진","","N","N","N","N","N","N","N","N","N","N","","부위마취"
"마취통증의학과","MC0047","박찬혜","","N","N","N","N","N","N","N","N","N","N","","통증관리, 진정마취"
"마취통증의학과","MC0047","박효원","","N","N","N","N","N","N","N","N","N","N","","심폐마취, 산과마취"
"진단검사의학과","MC0048","인지원","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","진단검사의학(임상화학, 진단면역, 분자유전)"
"진단검사의학과","MC0048","유희진","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","진단검사의학(임상미생물,진단혈액,수혈의학)"
"병리과","MC0049","최희승","","N","N","N","N","N","N","N","N","N","N","","General pathology"
"병리과","MC0049","이영은","","N","N","N","N","N","N","N","N","N","N","","General pathology"
"병리과","MC0049","정회선","","N","N","N","N","N","N","N","N","N","N","","General pathology"
"영상의학과","MC0050","신명진","","N","N","N","N","N","N","N","N","N","N","","근골격계 영상의학"
"영상의학과","MC0050","황호경","","N","N","N","N","N","N","N","N","N","N","","중재적 방사선과학"
"영상의학과","MC0050","박철희","","N","N","N","N","N","N","N","N","N","N","","복부, 비뇨기계 영상의학"
"영상의학과","MC0050","김민지","","N","N","N","N","N","N","N","N","N","N","","근, 골격계 영상의학"
"영상의학과","MC0050","이영경","","N","N","N","N","N","N","N","N","N","N","","흉부, 심장 영상의학과"
"영상의학과","MC0050","김여은","","N","N","N","N","N","N","N","N","N","N","","복부 영상의학"
"영상의학과","MC0050","정선영","","N","N","N","N","N","N","N","N","N","N","","유방 영상의학"
"영상의학과","MC0050","장지연","","N","N","N","N","N","N","N","N","N","N","","신경, 두경부 영상의학"
"영상의학과","MC0050","김영은","","N","N","N","N","N","N","N","N","N","N","","유방 영상의학"
"영상의학과","MC0050","변준수","","N","N","N","N","N","N","N","N","N","N","","신경중재치료학(뇌동맥류, 급성허혈성뇌졸중, 뇌척추동정맥기형)"
"영상의학과","MC0050","김기황","","N","N","N","N","N","N","N","N","N","N","","복부영상진단"
"치과","MC0052","신수미","","N","N","N","N","N","N","N","N","N","N","","보존수복, 근관치료, 심미수복"
"치과","MC0052","최영하","","N","N","N","N","N","N","N","N","N","N","","일반보철, 심미보철, 임플란트(인공치아), 보철, 총의치보철"
"치과","MC0052","심영섭","","N","N","N","N","N","N","N","N","N","N","","치과"
"치과","MC0052","류혜인","","Y","Y","N","Y","Y","N","Y","Y","Y","N","","발치, 임플란트 수술, 구강내 소수술"
"치과","MC0052","임진혁","","N","Y","Y","Y","N","Y","Y","N","Y","Y","","발치, 임플란트 수술, 구강내 소수술"
"치과","MC0052","김지현","","Y","N","Y","Y","Y","Y","N","Y","N","Y","","일반보철, 심미보철, 임플란트보철, 가철성 의치보철"
"가정의학과","MC0086","이수형","","Y","N","N","N","Y","Y","N","N","Y","N","","평생건강관리, 노인의학, 비만영양, 알레르기"
"가정의학과","MC0086","박기현","","Y","N","N","Y","N","N","Y","N","Y","N","","건강증진, 대사 질환"
"가정의학과","MC0086","정은진","","Y","Y","Y","N","N","N","N","Y","N","N","","만성질환관리, 노인의학, 건강증진, 비만영양, 예방접종, 금연"
"가정의학과","MC0086","한건희","","N","N","N","N","Y","N","Y","N","N","Y","","비만, 만성질환,골다공증,갱년기,피로"
"순환기내과","MC0094","김석연","","Y","N","Y","N","N","N","N","N","N","Y","","급성 관동맥 증후군(협심증, 심근 경색증), 고혈압, 고지혈증"
"순환기내과","MC0094","원경헌","","Y","N","N","N","N","Y","Y","N","Y","N","","허혈성 심질환(협심증,심근경색증), 심혈관 중재시술, 고혈압, 고지혈증"
"순환기내과","MC0094","이주호","","Y","N","N","N","Y","N","N","Y","Y","N","","관상동맥질환(협심증, 심근경색증), 심장혈관 중재시술"
"순환기내과","MC0094","이성윤","","N","Y","N","Y","Y","N","Y","N","N","N","","허혈성 심질환(협심증,심근경색증), 심혈관 중재시술, 고혈압, 고지혈증"
"순환기내과","MC0094","천우정","","N","Y","Y","N","N","Y","N","N","N","Y","","허혈성 심질환(협심증,심근경색증), 심혈관 중재시술, 고혈압, 고지혈증"
"내분비대사내과","MC0095","김태호","","N","Y","Y","N","Y","Y","N","N","Y","N","","당뇨, 갑상선, 고지혈증, 부신, 골다공증"
"내분비대사내과","MC0095","범선희","","Y","N","N","N","Y","N","N","Y","Y","Y","","당뇨, 갑상선, 비만, 골다공증, 고지혈증, 내분비질환"
"내분비대사내과","MC0095","김현목","","Y","N","N","N","Y","N","Y","Y","Y","N","","당뇨, 갑상선질환, 비만, 이상지질혈증, 부신 및 뇌하수체질환, 골다공증"
"내분비대사내과","MC0095","안종화","","Y","N","Y","Y","N","N","Y","N","N","Y","","갑상선 질환,당뇨병,부신 질환,골다공증 및 내분비 질환"
"소화기내과","MC0096","장유현","","Y","N","Y","N","Y","N","N","N","N","N","","소화성 궤양, 대장염, 위 내시경"
"소화기내과","MC0096","배준용","","Y","N","N","N","Y","N","N","Y","N","N","","위장관 질환, 치료내시경, 간경화, 간염, 췌담도 진단?치료 내시경"
"소화기내과","MC0096","박혜원","","N","N","N","N","N","N","N","N","N","N","","위 식도 대장 질환 및 치료내시경"
"소화기내과","MC0096","정상희","","N","N","N","N","N","N","N","N","N","N","","상하부위장관질환, 치료내시경"
"소화기내과","MC0096","김세웅","","N","N","N","N","N","N","N","N","N","N","","위장관 질환, 내시경"
"소화기내과","MC0096","정혜연","","N","N","N","Y","N","N","N","N","N","N","","위장관 질환, 내시경"
"소화기내과","MC0096","김봉룡","","N","N","N","N","Y","N","Y","N","N","N","","상?하부 위장관 질환, 치료 내시경, 췌담도 진단?치료 내시경"
"감염내과","MC0097","최재필","","Y","N","N","N","Y","Y","N","N","N","N","","감염성 질환, 불명열, 에이즈, 신종감염병"
"감염내과","MC0097","오동현","","N","N","N","N","N","N","N","N","N","N","","불명열, 면역저하감염, 성인예방접종"
"감염내과","MC0097","안미영","","N","N","N","N","Y","N","N","N","Y","N","","발열, 불명열, 여행자 감염, 에이즈"
"감염내과","MC0097","김수빈","","N","N","N","Y","N","N","N","Y","N","N","","감염성질환, 불명열, 신종감염병, 성인예방접종"
"신장내과","MC0098","강나리","","Y","N","Y","N","Y","N","N","N","N","N","","급성 신손상, 만성 신질환, 혈액투석, 복막투석, 부종, 신이식후 관리"
"신장내과","MC0098","최재신","","Y","N","N","Y","N","N","Y","N","N","Y","","급성 신손상, 만성 신질환, 혈액투석, 복막투석, 부종"
"신장내과","MC0098","백나나","","N","Y","Y","N","N","Y","N","N","Y","N","","급성 신손상, 만성 신질환, 혈액투석, 복막투석, 부종,신이식후 관리"
"혈액종양내과","MC0099","이덕주","","Y","Y","Y","N","Y","N","N","N","Y","N","","항암치료(위,대장,간,담도,췌장,신장,전립선),암검사,철결핍성빈혈"
"호흡기내과","MC0100","김수현","","N","N","Y","N","N","Y","Y","N","N","N","","폐혈관 질환, 호흡기 질환, 중환자 관리"
"호흡기내과","MC0100","함초롬","","N","N","N","Y","Y","N","N","Y","N","N","","폐렴, 폐결핵, 다제내성 폐결핵, 천식, 만성 폐쇄성 폐질환, 기관지 확장증, 늑막 질환, 만성 기침"
"호흡기내과","MC0100","위승범","","Y","N","Y","N","N","Y","N","N","N","Y","","호흡기 일반 질환"
"호흡기내과","MC0100","박진아","","N","N","N","N","N","N","N","N","N","N","","일반진료"
"호흡기내과","MC0100","이예현","","N","N","N","Y","N","N","Y","N","Y","N","","호흡기 질환,호흡기신환 클리닉,중환자 의학,만성 폐쇄성 폐질환,간질성 폐질환"
"호흡기내과","MC0100","오지윤","","N","N","N","N","N","N","N","N","N","N","","알레르기성비염, 만성 두드러기, 약물 알레르기, 호산구 증가증, 천식, 만성 기침"
"호흡기내과","MC0100","송숙희","","Y","Y","N","N","Y","Y","Y","Y","Y","N","","천식 및 알레르기"
"호흡기내과","MC0100","송민종","","Y","N","N","N","N","Y","N","Y","N","N","","호흡기 질환, 폐암, 폐결핵, 비결핵 항상균 폐질환, 기관지 내시경"
"호흡기내과","MC0100","김지연","","N","N","Y","N","Y","N","N","N","N","Y","","호흡기 질환, 폐암, 폐결핵, 비결핵 항상균 폐질환, 기관지 내시경"
"류마티스내과","MC0102","정유진","","Y","N","N","Y","Y","N","N","Y","Y","N","","류마티스 관절염, 강직성 척추염, 루푸스, 쇼그렌 증후군, 피부 근염, 통풍, 섬유근통"
"핵의학과","MC0105","이은정","","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","","종양?심장?신경핵의학, 핵의학 체내?외검사 및 치료"
"직업환경의학과","MC0109","김규상","","N","N","N","N","N","N","N","N","N","N","","소음성 난청, 직업성 천식, 직업성 근골격계질환과 인간공학"
"직업환경의학과","MC0109","이경덕","","Y","N","N","N","Y","N","N","N","Y","N","","직업병, 직업성 폐질환, 생활습관병"
"한방과(침구과)","MC0194","김미경","","Y","Y","N","Y","Y","N","N","Y","Y","N","","급만성 통증과 마비, 중풍 후유증, 체질침"
"기타","MC0195","전현정","","N","N","N","Y","N","Y","N","N","N","N","휴 진","항암치료, 암검사, 빈혈"
"기타","MC0195","이덕주","","N","Y","Y","N","N","N","Y","N","N","N","휴 진","항암치료, 암검사, 빈혈"
"산부인과(가임클리닉)","MC0198","연명진","","Y","N","N","N","Y","Y","Y","N","N","Y","","난임 및 시험관 아기 시술, 습관성 유산 및 반복착상실패, 착상전 유전진단, 가임력 보존 , 미혼여성, 월경장애, 다낭성난소 증후군"
"산부인과(가임클리닉)","MC0198","이현주","","N","N","N","N","N","N","N","N","N","N","","난임, 인공수정, 시험관 아기, 습관성 유산, 착상전 유전진단, 무월경, 다낭성 난소, 복강경 및 자궁경 수술, 미혼여성"
"산부인과(가임클리닉)","MC0198","김민정","","Y","Y","Y","Y","N","N","N","Y","Y","N","","난임, 인공수정, 시험관아기, 반복착상실패, 습관성유산, 가임력보존(난자냉동), 자궁내막증, 난임내시경수술(복강경,  자궁경수술), 다낭성난소증후군, 월경장애, 사춘기, 미혼여성, 착상전 유전진단(PGD, PGS), 남성난임"
"마취통증의학과(통증클리닉)","MC0199","이정현","","N","N","N","N","N","N","N","N","N","N","","통증관리, 노인마취"
