구,업종명,업소명,인허가일자,영업상태,폐업일자,소재지(도로명),소재지(지번),데이터기준일자
수정구,건강기능식품일반판매업,녹십초 성남지사,2007-08-28,영업중,,"경기도 성남시 수정구 수정로119번길 7, 2층 (태평동)",경기도 성남시 수정구 태평동 3691-2 2층 ,2024-04-17
수정구,건강기능식품일반판매업,베스트케어,2008-07-07,영업중,,"경기도 성남시 수정구 공원로 322 (신흥동,신동아파라디움 205호)",경기도 성남시 수정구 신흥동 2465-7 신동아파라디움 205호 ,2024-04-17
수정구,건강기능식품일반판매업,영양칠보석 의료기,2008-07-28,영업중,,"경기도 성남시 수정구 수정북로 60, 2층 (태평동)",경기도 성남시 수정구 태평동 3482-2 2층 ,2024-04-17
수정구,건강기능식품일반판매업,(주)코리아나 화장품,2008-12-26,영업중,,"경기도 성남시 수정구 산성대로 267, 2층 206(일부)호 (신흥동)",경기도 성남시 수정구 신흥동 4124 206호 일부 ,2024-04-17
수정구,건강기능식품일반판매업,이롬황성주생식 성남사업단,2008-12-15,영업중,,"경기도 성남시 수정구 공원로 322, 117호 (신흥동, 신동아파라디움)",경기도 성남시 수정구 신흥동 2465-7 신동아파라디움 117호,2024-04-17
수정구,건강기능식품일반판매업,오휘 모란점,2009-06-18,영업중,,"경기도 성남시 수정구 성남대로 1170, 의남빌딩 지하1(일부)층 (수진동)","경기도 성남시 수정구 수진동 4528 의남빌딩, 지하1층 일부 ",2024-04-17
수정구,건강기능식품일반판매업,100세동안(수정점),2009-07-16,영업중,,"경기도 성남시 수정구 제일로 175-1, 1층 (태평동)",경기도 성남시 수정구 태평동 6414 ,2024-04-17
수정구,건강기능식품일반판매업,에치와이 신성남점,2009-08-10,영업중,,"경기도 성남시 수정구 제일로158번길 10, 1층 (수진동)",경기도 성남시 수정구 수진동 71 1층 ,2024-04-17
수정구,건강기능식품일반판매업,정관장태평역점,2009-10-19,영업중,,"경기도 성남시 수정구 제일로 154, 1층 (수진동)",경기도 성남시 수정구 수진동 75 1층 ,2024-04-17
수정구,건강기능식품일반판매업,파티마외과,2010-01-21,영업중,,"경기도 성남시 수정구 산성대로 229, 9층 일부호 (신흥동)",경기도 성남시 수정구 신흥동 4239 9층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,(주)이마트성남점,2010-09-02,영업중,,"경기도 성남시 수정구 수정로 201, 지하2층 (태평동)",경기도 성남시 수정구 태평동 7336 신세계쉐덴 지하2층 ,2024-04-17
수정구,건강기능식품일반판매업,LG화장품,2011-01-10,영업중,,"경기도 성남시 수정구 수정로 201 (태평동,성남태평동신세계쉐덴 지하1층)",경기도 성남시 수정구 태평동 7336 성남태평동신세계쉐덴 지하1층 ,2024-04-17
수정구,건강기능식품일반판매업,(주)에치와이 신흥점,2011-03-02,영업중,,"경기도 성남시 수정구 수정북로 128, 엘지빌리지 1층 101호 (태평동)",경기도 성남시 수정구 태평동 7337-2 엘지빌리지 1층 101호,2024-04-17
수정구,건강기능식품일반판매업,씨제이올리브영(주)가천대점,2011-03-18,영업중,,"경기도 성남시 수정구 성남대로 1342 (복정동,외41필지 MEP동 지하3층)",경기도 성남시 수정구 복정동 620-2 외41필지 MEP동 지하3층 ,2024-04-17
수정구,건강기능식품일반판매업,뉴랜드알로에,2011-03-24,영업중,,"경기도 성남시 수정구 제일로 144-1 (수진동,3층)",경기도 성남시 수정구 수진동 89-1 3층 ,2024-04-17
수정구,건강기능식품일반판매업,한성마트,2011-07-25,영업중,,,경기도 성남시 수정구 심곡동 144 성남비행장 ,2024-04-17
수정구,건강기능식품일반판매업,국군복지단 7군단156공병마트,2011-07-26,영업중,,,경기도 성남시 수정구 금토동 산 41 ,2024-04-17
수정구,건강기능식품일반판매업,연세안과,2011-12-13,영업중,,경기도 성남시 수정구 수정로 106 (수진동),경기도 성남시 수정구 수진동 55 SR프라자 3층 ,2024-04-17
수정구,건강기능식품일반판매업,주식회사나음케어 성남지점,2011-12-20,영업중,,"경기도 성남시 수정구 위례광장로 9-9, 위례우남역 퍼스트푸르지오시티 313호 (창곡동)",경기도 성남시 수정구 창곡동 560-1 위례우남역 퍼스트푸르지오시티 313호,2024-04-17
수정구,건강기능식품일반판매업,주식회사 다나음,2011-12-20,영업중,,"경기도 성남시 수정구 위례광장로 9-9, 위례우남역 퍼스트푸르지오시티 311호 (창곡동)",경기도 성남시 수정구 창곡동 560-1 위례우남역 퍼스트푸르지오시티 311호,2024-04-17
수정구,건강기능식품일반판매업,마더케어,2012-02-06,영업중,,"경기도 성남시 수정구 수정로 91, 1층(일부) (태평동)",경기도 성남시 수정구 태평동 6450 1층(일부) 부인과데스크 ,2024-04-17
수정구,건강기능식품일반판매업,KGC라이프엔진 수정대리점,2012-02-20,영업중,,"경기도 성남시 수정구 수정로342번길 13-13, 2층 (산성동)",경기도 성남시 수정구 산성동 1361 2층 ,2024-04-17
수정구,건강기능식품일반판매업,에디슨 소아청소년과,2012-03-12,영업중,,"경기도 성남시 수정구 수정로 208, 2층 201호 (신흥동, 메드위즈)",경기도 성남시 수정구 신흥동 3436-13 메드위즈 2층 201호,2024-04-17
수정구,건강기능식품일반판매업,애터미,2012-11-02,영업중,,"경기도 성남시 수정구 복정로32번길 10, 302호 (복정동)",경기도 성남시 수정구 복정동 698 302호 ,2024-04-17
수정구,건강기능식품일반판매업,한울,2012-03-16,영업중,,"경기도 성남시 수정구 위례광장로 21-12, 1층 118호 (창곡동, 위례드림시티)",경기도 성남시 수정구 창곡동 547-10 위례드림시티 1층 118호,2024-04-17
수정구,건강기능식품일반판매업,(주)유안글로벌,2012-11-27,영업중,,"경기도 성남시 수정구 위례광장로 322, 6층 628호 (창곡동, 아이플렉스)",경기도 성남시 수정구 창곡동 508 아이플렉스 6층 628호 ,2024-04-17
수정구,건강기능식품일반판매업,선한이웃 가정의원,2012-06-08,영업중,,"경기도 성남시 수정구 수정로 59, 2층 (태평동)",경기도 성남시 수정구 태평동 6975-5 ,2024-04-17
수정구,건강기능식품일반판매업,아이베리,2012-04-04,영업중,,"경기도 성남시 수정구 위례서일로 26, 라크리움 5층 511(일부)호 (창곡동)","경기도 성남시 수정구 창곡동 559-6 라크리움,5층511호(일부) ",2024-04-17
수정구,건강기능식품일반판매업,연호웰빙라이프,2012-01-05,영업중,,"경기도 성남시 수정구 고등로 34, 202동 14층 1402호 (고등동, 호반써밋 판교밸리)","경기도 성남시 수정구 고등동 592 호반써밋 판교밸리,202동14층1402호 ",2024-04-17
수정구,건강기능식품일반판매업,선헬스,2013-05-30,영업중,,"경기도 성남시 수정구 탄리로 116, 1층 (일부)호 (태평동)",경기도 성남시 수정구 태평동 3180 1층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,세이브존성남점,2013-06-27,영업중,,"경기도 성남시 수정구 산성대로 337, 지하1층 (신흥동)",경기도 성남시 수정구 신흥동 2463-5 지하1층 ,2024-04-17
수정구,건강기능식품일반판매업,한빛나노의료기 수진지점,2013-09-02,영업중,,"경기도 성남시 수정구 수정로 120, 3층 (수진동)",경기도 성남시 수정구 수진동 48 3층 ,2024-04-17
수정구,건강기능식품일반판매업,아모레퍼시픽 모란특약점,2013-10-22,영업중,,"경기도 성남시 수정구 산성대로 91, 7층 (수진동, 성호빌딩)",경기도 성남시 수정구 수진동 4531 성호빌딩 7층 ,2024-04-17
수정구,건강기능식품일반판매업,팡팡점핑클럽,2013-01-14,영업중,,"경기도 성남시 수정구 위례광장로 310, A동 6층 605호 (창곡동)",경기도 성남시 수정구 창곡동 509-2 우성트램타워 A동 605호,2024-04-17
수정구,건강기능식품일반판매업,비겐의료기 미즈미 토탈케어,2012-01-11,영업중,,"경기도 성남시 수정구 수정북로 133, 3층 302호 (태평동, 한성맨션)",경기도 성남시 수정구 태평동 7327-2 한성맨션 302호 ,2024-04-17
수정구,건강기능식품일반판매업,뉴랜드알로에평택중앙지사,2013-05-01,영업중,,"경기도 성남시 수정구 고등로 33, 301동 305호 (고등동, 판교밸리포레자이)",경기도 성남시 수정구 고등동 576 판교밸리포레자이 301동 305호,2024-04-17
수정구,건강기능식품일반판매업,홈플러스 익스프레스 성남수진점,2014-01-06,영업중,,"경기도 성남시 수정구 수정로 140, 1층 (수진동)",경기도 성남시 수정구 수진동 2 1층 ,2024-04-17
수정구,건강기능식품일반판매업,홈플러스 익스프레스 성남복정점,2014-01-06,영업중,,"경기도 성남시 수정구 복정로 41, 1층 (복정동)",경기도 성남시 수정구 복정동 689-9 1층 ,2024-04-17
수정구,건강기능식품일반판매업,황실과 구운돌,2014-02-21,영업중,,"경기도 성남시 수정구 수정로119번길 7-1, 2층 (태평동)",경기도 성남시 수정구 태평동 3691-1 2층 ,2024-04-17
수정구,건강기능식품일반판매업,남한산성 벌꿀농장,2014-08-11,영업중,,"경기도 성남시 수정구 고등로 57, 101동 12층 1212호 (고등동, 고등마을)","경기도 성남시 수정구 고등동 578 고등마을,101동 12층 1212호 ",2024-04-17
수정구,건강기능식품일반판매업,GS25 태평오거리점,2014-08-22,영업중,,"경기도 성남시 수정구 남문로69번길 5-6, 1층 (태평동)",경기도 성남시 수정구 태평동 3154 1층 ,2024-04-17
수정구,건강기능식품일반판매업,다오,2014-09-16,영업중,,"경기도 성남시 수정구 산성대로283번길 19, 1층 (신흥동)",경기도 성남시 수정구 신흥동 2684 1층 ,2024-04-17
수정구,건강기능식품일반판매업,남형근 소아청소년과 의원,2014-09-17,영업중,,"경기도 성남시 수정구 공원로 322, 1층 184, 185호 (신흥동)","경기도 성남시 수정구 신흥동 2465-7 1층, 184,185호 ",2024-04-17
수정구,건강기능식품일반판매업,세븐일레븐 성남중앙점,2014-10-23,영업중,,"경기도 성남시 수정구 제일로 205-1, 1층 (태평동)",경기도 성남시 수정구 태평동 5605 1층 ,2024-04-17
수정구,건강기능식품일반판매업,세븐일레븐(성남양지점),2014-10-23,영업중,,"경기도 성남시 수정구 산성대로 479, 1층 (양지동)",경기도 성남시 수정구 양지동 876 1층 ,2024-04-17
수정구,건강기능식품일반판매업,세븐일레븐(성남양지2호점),2014-10-23,영업중,,"경기도 성남시 수정구 산성대로 517, 1층 (양지동)",경기도 성남시 수정구 양지동 534 1층 ,2024-04-17
수정구,건강기능식품일반판매업,세븐일레븐(성남태평점),2014-10-23,영업중,,"경기도 성남시 수정구 성남대로 1224, 1층 (수진동)",경기도 성남시 수정구 수진동 3007 1층 ,2024-04-17
수정구,건강기능식품일반판매업,세븐일레븐(성남가천대역점),2014-10-23,영업중,,"경기도 성남시 수정구 성남대로 1324, 지층 (태평동)",경기도 성남시 수정구 태평동 5113-10 ,2024-04-17
수정구,건강기능식품일반판매업,세븐일레븐(태평역점),2014-10-23,영업중,,"경기도 성남시 수정구 수정로 69, 1층 (태평동)",경기도 성남시 수정구 태평동 6511 1층 ,2024-04-17
수정구,건강기능식품일반판매업,세븐일레븐(성남희망점),2014-10-23,영업중,,"경기도 성남시 수정구 산성대로 435, 1층 (단대동)",경기도 성남시 수정구 단대동 97-1 1층 ,2024-04-17
수정구,건강기능식품일반판매업,세븐일레븐(성남수진중앙점),2014-10-23,영업중,,"경기도 성남시 수정구 수정로136번길 3, 1층 (수진동)",경기도 성남시 수정구 수진동 7 1층 ,2024-04-17
수정구,건강기능식품일반판매업,고려홍삼전시판매장,2014-01-09,영업중,,"경기도 성남시 수정구 복정로134번길 26, 1층 일부호 (복정동)",경기도 성남시 수정구 복정동 653-6 1층 일부호 ,2024-04-17
수정구,건강기능식품일반판매업,백옥생 예림지사,2015-10-13,영업중,,"경기도 성남시 수정구 수정로 115-1, 3층 (태평동)",경기도 성남시 수정구 태평동 3678 3층 ,2024-04-17
수정구,건강기능식품일반판매업,(주)닥터스랩,2015-11-16,영업중,,"경기도 성남시 수정구 복정로118번길 5-7, 지하1층 일부호 (복정동)",경기도 성남시 수정구 복정동 647-15 지하1층(일부) ,2024-04-17
수정구,건강기능식품일반판매업,세븐일레븐 성남위례1호점,2015-11-19,영업중,,"경기도 성남시 수정구 위례서일로3길 21, 1층 (창곡동)",경기도 성남시 수정구 창곡동 555-1 1층 ,2024-04-17
수정구,건강기능식품일반판매업,대광코퍼레이션,2015-05-01,영업중,,"경기도 성남시 수정구 산성대로 331, 한신프라자 5층 531호 (신흥동)","경기도 성남시 수정구 신흥동 2463-4 한신프라자, 5층 531호",2024-04-17
수정구,건강기능식품일반판매업,서울삼성안과,2016-04-01,영업중,,"경기도 성남시 수정구 수정로 116, 4층 (수진동)",경기도 성남시 수정구 수진동 50 외2필지 4층 ,2024-04-17
수정구,건강기능식품일반판매업,씨제이올리브영(주)성남수정점,2016-05-12,영업중,,"경기도 성남시 수정구 수정로 190-1, 1층 (신흥동)",경기도 성남시 수정구 신흥동 5502 1층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,오휘 성남단대점,2016-08-02,영업중,,"경기도 성남시 수정구 산성대로 433, 4층 (단대동)",경기도 성남시 수정구 단대동 97-2 4층 ,2024-04-17
수정구,건강기능식품일반판매업,씨제이올리브영(주) 성남위례점,2016-09-22,영업중,,"경기도 성남시 수정구 위례동로 147, 1층 102,103호 (창곡동)","경기도 성남시 수정구 창곡동 513-2 1층 102,103호 ",2024-04-17
수정구,건강기능식품일반판매업,현소아청소년과의원,2016-10-19,영업중,,"경기도 성남시 수정구 위례광장로 320, 6층 619(일부)호 (창곡동, 아이에스 센트럴 타워)",경기도 성남시 수정구 창곡동 509-3 아이에스 센트럴 타워 6층 619(일부)호 ,2024-04-17
수정구,건강기능식품일반판매업,신선한 건강녹즙,2016-10-21,영업중,,"경기도 성남시 수정구 수정남로 109, 1층 (신흥동)",경기도 성남시 수정구 신흥동 5403 ,2024-04-17
수정구,건강기능식품일반판매업,아산플러스,2016-11-08,영업중,,"경기도 성남시 수정구 위례동로 153, 4층 403(일부)호 (창곡동, 위례에이플타워)",경기도 성남시 수정구 창곡동 513 위례메이플타워 4층 403(일부)호 ,2024-04-17
수정구,건강기능식품일반판매업,신흥종로약국,2016-12-14,영업중,,"경기도 성남시 수정구 산성대로 247, 1(일부)층 (신흥동)",경기도 성남시 수정구 신흥동 4223-2 1(일부)층 ,2024-04-17
수정구,건강기능식품일반판매업,농업회사법인 행복한애벌레(주),2016-03-09,영업중,,"경기도 성남시 수정구 수정로 115-1, 3(일부)층 (태평동, 주민신협행복빌딩 )",경기도 성남시 수정구 태평동 3678 주민신협행복빌딩  3(일부)층 ,2024-04-17
수정구,건강기능식품일반판매업,내추라 앤 네이처스 코리아,2016-04-15,영업중,,"경기도 성남시 수정구 위례광장로 328, 우성위례타워 7층 709호 (창곡동)",경기도 성남시 수정구 창곡동 508-2 우성위례타워 709호,2024-04-17
수정구,건강기능식품일반판매업,(주)행복을 전하는 사람들,2017-03-20,영업중,,"경기도 성남시 수정구 신촌로15번길 6, 2(일부)층 (신촌동)",경기도 성남시 수정구 신촌동 201-1 2층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,라라소아청소년과,2017-04-06,영업중,,"경기도 성남시 수정구 위례동로 141, 5층 504 일부호 (창곡동, 우성메디피아)",경기도 성남시 수정구 창곡동 513-3 우성메디피아 5층 504호 일부 ,2024-04-17
수정구,건강기능식품일반판매업,주민두레소비자생활협동조합,2017-04-12,영업중,,"경기도 성남시 수정구 산성대로 409, 1층 (단대동, 일부)",경기도 성남시 수정구 단대동 160-20 1층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,청의원,2017-06-19,영업중,,"경기도 성남시 수정구 수정로 175, 5층 일부호 (태평동)",경기도 성남시 수정구 태평동 7288-6 5층 일부호,2024-04-17
수정구,건강기능식품일반판매업,주식회사 씨앤링크,2017-06-22,영업중,,"경기도 성남시 수정구 위례광장로 322, 5층 508호 (창곡동, 아이플렉스)",경기도 성남시 수정구 창곡동 508 아이플렉스 ,2024-04-17
수정구,건강기능식품일반판매업,라이프타임 헬스(LIFETIME HEALTH),2017-07-06,영업중,,"경기도 성남시 수정구 산성대로 189, 수산타워 10층 일부호 (수진동)","경기도 성남시 수정구 수진동 2216 수산타워, 10층 2호 ",2024-04-17
수정구,건강기능식품일반판매업,(주)지에스리테일 GS수퍼 위례중앙점,2017-07-17,영업중,,"경기도 성남시 수정구 위례광장로 300, 지하1층 B25(일부)호 (창곡동, 중앙타워)",경기도 성남시 수정구 창곡동 509 중앙타워지하1층B25(일부)호 ,2024-04-17
수정구,건강기능식품일반판매업,청계벌꿀,2017-08-08,영업중,,"경기도 성남시 수정구 달래내로221번길 2, 1층 102호 (금토동)",경기도 성남시 수정구 금토동 93-1 102호,2024-04-17
수정구,건강기능식품일반판매업,노브랜드 위례창곡점,2017-08-28,영업중,,"경기도 성남시 수정구 위례광장로 322, 103~104호 일부호 (창곡동, 아이플렉스)",경기도 성남시 수정구 창곡동 508 아이플렉스 103~104호 일부 ,2024-04-17
수정구,건강기능식품일반판매업,김정혜산부인과,2017-09-14,영업중,,"경기도 성남시 수정구 산성대로 289, 3층 일부호 (신흥동)",경기도 성남시 수정구 신흥동 2490 3층일부호,2024-04-17
수정구,건강기능식품일반판매업,포도나무녹즙,2017-09-22,영업중,,"경기도 성남시 수정구 모란로 31, 1층 (수진동)",경기도 성남시 수정구 수진동 4780-3 1층호,2024-04-17
수정구,건강기능식품일반판매업,더제이마트 주식회사 위례점,2017-09-29,영업중,,"경기도 성남시 수정구 위례동로 135-4, 1층 일부호 (창곡동)",경기도 성남시 수정구 창곡동 513-6 1층일부호,2024-04-17
수정구,건강기능식품일반판매업,위례밝은아이소아청소년과의원,2017-10-23,영업중,,"경기도 성남시 수정구 위례광장로 322, 3층 310호 일부호 (창곡동, 아이플렉스)",경기도 성남시 수정구 창곡동 508 아이플렉스 3층 310호 일부 ,2024-04-17
수정구,건강기능식품일반판매업,씨제이올리브영(주) 위례센터점,2017-10-30,영업중,,"경기도 성남시 수정구 위례광장로 104, 1층 1045호 일부호 (창곡동, 위례한화오벨리스크 센트럴스퀘어)",경기도 성남시 수정구 창곡동 505 위례 한화오벨리스크 센트럴스퀘어 1층 1045호 일부 ,2024-04-17
수정구,건강기능식품일반판매업,원헬스,2017-12-13,영업중,,"경기도 성남시 수정구 복정로118번길 25, 1층 101호 (복정동)",경기도 성남시 수정구 복정동 656-4 1층101호,2024-04-17
수정구,건강기능식품일반판매업,롯데프레시 가천대점,2017-12-22,영업중,,"경기도 성남시 수정구 복정로 17, 벽산빌딩 1층 일부호 (복정동)",경기도 성남시 수정구 복정동 711-1 벽산빌딩 1층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,네오코스메틱스,2017-10-10,영업중,,"경기도 성남시 수정구 위례순환로 220, 위례더힐55 5510동 504(일부)호 (창곡동, 위례더힐55)","경기도 성남시 수정구 창곡동 521 위례더힐55, 5510-504(일부) ",2024-04-17
수정구,건강기능식품일반판매업,애터미 양재 임마누엘 센터,2017-11-01,영업중,,"경기도 성남시 수정구 옛골로10번길 4, 상적동 316-8 헤브론 2층 (상적동)","경기도 성남시 수정구 상적동 316-8 상적동 316-8 헤브론, 2층 ",2024-04-17
수정구,건강기능식품일반판매업,(주)드림빅바이오,2017-11-14,영업중,,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 526,527호 (창곡동)","경기도 성남시 수정구 창곡동 508 아이플렉스,526,527호 ",2024-04-17
수정구,건강기능식품일반판매업,주식회사 엠앤비솔루션즈,2017-02-20,영업중,,"경기도 성남시 수정구 창업로 17, 판교아이스퀘어 F동 5층 521호 (시흥동)",경기도 성남시 수정구 시흥동 288-2 F동 521호,2024-04-17
수정구,건강기능식품일반판매업,정다운산부인과,2018-01-10,영업중,,"경기도 성남시 수정구 산성대로295번길 3, 2층 일부호 (신흥동)",경기도 성남시 수정구 신흥동 2484 2층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,얌이,2018-01-18,영업중,,"경기도 성남시 수정구 시민로197번길 13, B동 2층 201 일부호 (태평동, 혜송빌라)","경기도 성남시 수정구 태평동 7335-1 혜송빌라, 2층 201호 일부 B동 ",2024-04-17
수정구,건강기능식품일반판매업,케이앤씨플러스,2018-01-26,영업중,,"경기도 성남시 수정구 탄리로17번길 22-1, 2층 (수진동)",경기도 성남시 수정구 수진동 1993 2층 ,2024-04-17
수정구,건강기능식품일반판매업,씨제이올리브영(주)태평역점,2018-02-06,영업중,,"경기도 성남시 수정구 수정로 80, 1층 101일부호 (수진동, 우리빌)","경기도 성남시 수정구 수진동 2965 우리빌, 1층 101일부호",2024-04-17
수정구,건강기능식품일반판매업,다자연 생명공학,2018-03-02,영업중,,"경기도 성남시 수정구 산성대로215번길 3, 관서형빌딩 8층 일부호 (신흥동)",경기도 성남시 수정구 신흥동 6918 관서형빌딩 8층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,수민컴퍼니,2018-03-14,영업중,,"경기도 성남시 수정구 복정로72번길 4, 2층 일부호 (복정동)",경기도 성남시 수정구 복정동 686 2층 일부호,2024-04-17
수정구,건강기능식품일반판매업,예나산부인과의원,2018-04-17,영업중,,"경기도 성남시 수정구 산성대로 331, 한신프라자 2층 203-2호 (신흥동)","경기도 성남시 수정구 신흥동 2463-4 한신프라자, 2층 203-2호",2024-04-17
수정구,건강기능식품일반판매업,주식회사 오아시스 위례1호점,2018-04-20,영업중,,"경기도 성남시 수정구 위례동로 153, 에이플타워 1층 103 일부호 (창곡동)","경기도 성남시 수정구 창곡동 513 에이플타워, 1층 103일부호",2024-04-17
수정구,건강기능식품일반판매업,주식회사 오아시스 위례본점,2018-04-20,영업중,,"경기도 성남시 수정구 위례서로 12, 1층 일부호 (창곡동)",경기도 성남시 수정구 창곡동 557-7 1층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,이마트성남점 아모레퍼시픽,2018-05-31,영업중,,"경기도 성남시 수정구 수정로 201, 지하1층 (태평동, 신세계쉐덴)","경기도 성남시 수정구 태평동 7336 신세계쉐덴, 지하1층 ",2024-04-17
수정구,건강기능식품일반판매업,얌구리,2018-06-20,영업중,,"경기도 성남시 수정구 시민로197번길 13, B동 2층 201 일부호 (태평동, 혜송빌라)","경기도 성남시 수정구 태평동 7335-1 혜송빌라, 2층 201호 일부 B동 ",2024-04-17
수정구,건강기능식품일반판매업,씨제이올리브영(주)신흥역점,2018-07-26,영업중,,"경기도 성남시 수정구 산성대로 257-1, 1층 일부호 (신흥동)",경기도 성남시 수정구 신흥동 4190 1층 일부 ,2024-04-17
수정구,건강기능식품일반판매업,정관장 & 동인비 위례동로 본점,2018-08-16,영업중,,"경기도 성남시 수정구 위례동로 141, 우성메디피아 주건축물제1동 1층 104호 (창곡동)","경기도 성남시 수정구 창곡동 513-2 우성메디피아, 주건축물제1동 1층 104호",2024-04-17
수정구,건강기능식품일반판매업,동신약국,2018-10-12,영업중,,"경기도 성남시 수정구 수정로 139, 1층 (태평동)",경기도 성남시 수정구 태평동 3502 1층 ,2024-04-17
수정구,건강기능식품일반판매업,알뜰폰 전문매장 와우통신,2018-12-04,영업중,,"경기도 성남시 수정구 수정남로68번길 1, 1(일부)층 (수진동)",경기도 성남시 수정구 수진동 565 1층 일부 ,2024-04-17
