발생연도,성별,국제질병분류,암종,발생자수,조발생률,연령표준화발생률
2001,남녀전체,"C82-C86,C96",비호지킨림프종,2241,4.7,7.4
2001,남녀전체,C90,다발성 골수종,565,1.2,2.2
2001,남녀전체,C91-C95,백혈병,2208,4.6,5.8
2001,남녀전체,Re.C00-C96,기타 암,7433,15.5,27.2
2001,남자,C00-C96,모든암,63272,263.3,580.9
2001,남자,C00-C14,"입술, 구강 및 인두",1387,5.8,11.7
2001,남자,C15,식도,1741,7.2,17.2
2001,남자,C16,위,14920,62.1,134.3
2001,남자,C18-C20,대장,6575,27.4,60.5
2001,남자,C22,간,10388,43.2,85.4
2001,남자,C23-C24,담낭 및 기타담도,1710,7.1,18.3
2001,남자,C25,췌장,1589,6.6,16.0
2001,남자,C32,후두,1088,4.5,10.3
2001,남자,C33-C34,폐,10513,43.7,110.3
2001,남자,C50,유방,48,0.2,0.5
2001,남자,C53,자궁경부,0,,
2001,남자,C54,자궁체부,0,,
2001,남자,C56,난소,0,,
2001,남자,C61,전립선,1871,7.8,24.0
2001,남자,C62,고환,144,0.6,0.5
2001,남자,C64,신장,1140,4.7,8.8
2001,남자,C67,방광,1982,8.2,20.7
2001,남자,C70-C72,뇌 및 중추신경계,732,3.0,4.4
2001,남자,C73,갑상선,630,2.6,4.0
2001,남자,C81,호지킨림프종,100,0.4,0.5
2001,남자,"C82-C86,C96",비호지킨림프종,1335,5.6,9.9
2001,남자,C90,다발성 골수종,313,1.3,2.9
2001,남자,C91-C95,백혈병,1211,5.0,7.1
2001,남자,Re.C00-C96,기타 암,3855,16.0,33.6
2001,여자,C00-C96,모든암,49189,206.3,309.0
2001,여자,C00-C14,"입술, 구강 및 인두",478,2.0,2.9
2001,여자,C15,식도,177,0.7,1.4
2001,여자,C16,위,7694,32.3,51.3
2001,여자,C18-C20,대장,5202,21.8,36.0
2001,여자,C22,간,3436,14.4,24.1
2001,여자,C23-C24,담낭 및 기타담도,1720,7.2,12.7
2001,여자,C25,췌장,1197,5.0,8.7
2001,여자,C32,후두,91,0.4,0.7
2001,여자,C33-C34,폐,3680,15.4,26.7
2001,여자,C50,유방,7298,30.6,39.4
2001,여자,C53,자궁경부,4655,19.5,26.5
2001,여자,C54,자궁체부,839,3.5,5.0
2001,여자,C56,난소,1351,5.7,7.7
2001,여자,C61,전립선,0,,
2001,여자,C62,고환,0,,
2001,여자,C64,신장,536,2.2,3.4
2001,여자,C67,방광,529,2.2,3.9
2001,여자,C70-C72,뇌 및 중추신경계,647,2.7,3.5
2001,여자,C73,갑상선,3878,16.3,19.8
2001,여자,C81,호지킨림프종,48,0.2,0.2
2001,여자,"C82-C86,C96",비호지킨림프종,906,3.8,5.5
2001,여자,C90,다발성 골수종,252,1.1,1.8
2001,여자,C91-C95,백혈병,997,4.2,5.0
2001,여자,Re.C00-C96,기타 암,3578,15.0,23.0
2002,남녀전체,C00-C96,모든암,118786,246.8,425.1
2002,남녀전체,C00-C14,"입술, 구강 및 인두",1994,4.1,6.9
2002,남녀전체,C15,식도,1954,4.1,7.8
2002,남녀전체,C16,위,23308,48.4,86.3
2002,남녀전체,C18-C20,대장,13242,27.5,50.0
2002,남녀전체,C22,간,13994,29.1,50.4
2002,남녀전체,C23-C24,담낭 및 기타담도,3568,7.4,15.0
2002,남녀전체,C25,췌장,3069,6.4,12.4
2002,남녀전체,C32,후두,1133,2.4,4.4
2002,남녀전체,C33-C34,폐,14970,31.1,61.2
2002,남녀전체,C50,유방,8305,17.3,22.6
2002,남녀전체,C53,자궁경부,4495,9.3,13.3
2002,남녀전체,C54,자궁체부,945,2.0,2.9
2002,남녀전체,C56,난소,1470,3.1,4.5
2002,남녀전체,C61,전립선,2142,4.5,9.5
2002,남녀전체,C62,고환,155,0.3,0.3
2002,남녀전체,C64,신장,1780,3.7,6.1
2002,남녀전체,C67,방광,2505,5.2,10.2
2002,남녀전체,C70-C72,뇌 및 중추신경계,1311,2.7,3.6
2002,남녀전체,C73,갑상선,5558,11.5,14.7
2002,남녀전체,C81,호지킨림프종,145,0.3,0.4
2002,남녀전체,"C82-C86,C96",비호지킨림프종,2237,4.6,7.1
2002,남녀전체,C90,다발성 골수종,569,1.2,2.1
2002,남녀전체,C91-C95,백혈병,2319,4.8,6.2
2002,남녀전체,Re.C00-C96,기타 암,7618,15.8,27.2
2002,남자,C00-C96,모든암,66272,274.4,592.6
2002,남자,C00-C14,"입술, 구강 및 인두",1498,6.2,12.3
2002,남자,C15,식도,1793,7.4,17.4
2002,남자,C16,위,15316,63.4,135.2
2002,남자,C18-C20,대장,7564,31.3,67.9
2002,남자,C22,간,10512,43.5,83.9
2002,남자,C23-C24,담낭 및 기타담도,1759,7.3,18.2
2002,남자,C25,췌장,1761,7.3,16.9
2002,남자,C32,후두,1040,4.3,9.6
2002,남자,C33-C34,폐,11013,45.6,111.7
2002,남자,C50,유방,62,0.3,0.5
2002,남자,C53,자궁경부,0,,
2002,남자,C54,자궁체부,0,,
2002,남자,C56,난소,0,,
2002,남자,C61,전립선,2142,8.9,26.1
2002,남자,C62,고환,155,0.6,0.6
2002,남자,C64,신장,1207,5.0,9.2
2002,남자,C67,방광,1968,8.1,20.0
2002,남자,C70-C72,뇌 및 중추신경계,687,2.8,4.0
2002,남자,C73,갑상선,728,3.0,4.4
2002,남자,C81,호지킨림프종,83,0.3,0.5
2002,남자,"C82-C86,C96",비호지킨림프종,1320,5.5,9.4
2002,남자,C90,다발성 골수종,328,1.4,2.8
2002,남자,C91-C95,백혈병,1331,5.5,8.0
2002,남자,Re.C00-C96,기타 암,4005,16.6,34.0
2002,여자,C00-C96,모든암,52514,219.0,320.3
2002,여자,C00-C14,"입술, 구강 및 인두",496,2.1,3.0
2002,여자,C15,식도,161,0.7,1.2
2002,여자,C16,위,7992,33.3,51.6
2002,여자,C18-C20,대장,5678,23.7,37.8
2002,여자,C22,간,3482,14.5,23.6
2002,여자,C23-C24,담낭 및 기타담도,1809,7.5,12.9
2002,여자,C25,췌장,1308,5.5,9.2
2002,여자,C32,후두,93,0.4,0.6
2002,여자,C33-C34,폐,3957,16.5,28.0
2002,여자,C50,유방,8243,34.4,43.4
2002,여자,C53,자궁경부,4495,18.7,25.0
2002,여자,C54,자궁체부,945,3.9,5.5
2002,여자,C56,난소,1470,6.1,8.3
2002,여자,C61,전립선,0,,
2002,여자,C62,고환,0,,
2002,여자,C64,신장,573,2.4,3.6
2002,여자,C67,방광,537,2.2,3.8
2002,여자,C70-C72,뇌 및 중추신경계,624,2.6,3.3
2002,여자,C73,갑상선,4830,20.1,24.5
2002,여자,C81,호지킨림프종,62,0.3,0.3
2002,여자,"C82-C86,C96",비호지킨림프종,917,3.8,5.4
2002,여자,C90,다발성 골수종,241,1.0,1.6
2002,여자,C91-C95,백혈병,988,4.1,4.9
2002,여자,Re.C00-C96,기타 암,3613,15.1,22.9
2003,남녀전체,C00-C96,모든암,126060,260.9,433.4
2003,남녀전체,C00-C14,"입술, 구강 및 인두",2092,4.3,7.0
2003,남녀전체,C15,식도,1935,4.0,7.5
2003,남녀전체,C16,위,23957,49.6,85.0
2003,남녀전체,C18-C20,대장,14738,30.5,53.7
2003,남녀전체,C22,간,14105,29.2,48.8
2003,남녀전체,C23-C24,담낭 및 기타담도,3709,7.7,14.9
2003,남녀전체,C25,췌장,3225,6.7,12.5
2003,남녀전체,C32,후두,1119,2.3,4.2
2003,남녀전체,C33-C34,폐,15235,31.5,60.0
2003,남녀전체,C50,유방,8551,17.7,22.5
2003,남녀전체,C53,자궁경부,4386,9.1,12.8
2003,남녀전체,C54,자궁체부,1096,2.3,3.2
2003,남녀전체,C56,난소,1484,3.1,4.3
2003,남녀전체,C61,전립선,2673,5.5,11.3
2003,남녀전체,C62,고환,154,0.3,0.3
2003,남녀전체,C64,신장,1908,3.9,6.2
2003,남녀전체,C67,방광,2772,5.7,10.6
2003,남녀전체,C70-C72,뇌 및 중추신경계,1486,3.1,4.0
2003,남녀전체,C73,갑상선,7567,15.7,19.1
2003,남녀전체,C81,호지킨림프종,158,0.3,0.4
2003,남녀전체,"C82-C86,C96",비호지킨림프종,2359,4.9,7.3
2003,남녀전체,C90,다발성 골수종,617,1.3,2.3
2003,남녀전체,C91-C95,백혈병,2281,4.7,6.0
2003,남녀전체,Re.C00-C96,기타 암,8453,17.5,29.4
2003,남자,C00-C96,모든암,69764,287.9,597.3
2003,남자,C00-C14,"입술, 구강 및 인두",1588,6.6,12.6
2003,남자,C15,식도,1740,7.2,16.3
2003,남자,C16,위,15838,65.4,133.2
2003,남자,C18-C20,대장,8408,34.7,71.8
2003,남자,C22,간,10607,43.8,80.6
2003,남자,C23-C24,담낭 및 기타담도,1803,7.4,17.5
2003,남자,C25,췌장,1800,7.4,16.6
2003,남자,C32,후두,1033,4.3,9.2
2003,남자,C33-C34,폐,11229,46.3,110.1
2003,남자,C50,유방,58,0.2,0.4
2003,남자,C53,자궁경부,0,,
2003,남자,C54,자궁체부,0,,
2003,남자,C56,난소,0,,
2003,남자,C61,전립선,2673,11.0,30.5
2003,남자,C62,고환,154,0.6,0.6
2003,남자,C64,신장,1298,5.4,9.5
2003,남자,C67,방광,2199,9.1,21.1
2003,남자,C70-C72,뇌 및 중추신경계,806,3.3,4.5
2003,남자,C73,갑상선,1036,4.3,5.8
2003,남자,C81,호지킨림프종,112,0.5,0.6
2003,남자,"C82-C86,C96",비호지킨림프종,1377,5.7,9.9
2003,남자,C90,다발성 골수종,332,1.4,2.9
2003,남자,C91-C95,백혈병,1249,5.2,7.1
2003,남자,Re.C00-C96,기타 암,4424,18.3,36.3
2003,여자,C00-C96,모든암,56296,233.9,331.5
2003,여자,C00-C14,"입술, 구강 및 인두",504,2.1,2.9
2003,여자,C15,식도,195,0.8,1.4
2003,여자,C16,위,8119,33.7,50.4
2003,여자,C18-C20,대장,6330,26.3,41.0
2003,여자,C22,간,3498,14.5,22.9
2003,여자,C23-C24,담낭 및 기타담도,1906,7.9,13.1
2003,여자,C25,췌장,1425,5.9,9.6
2003,여자,C32,후두,86,0.4,0.6
2003,여자,C33-C34,폐,4006,16.6,27.2
2003,여자,C50,유방,8493,35.3,43.4
2003,여자,C53,자궁경부,4386,18.2,23.8
2003,여자,C54,자궁체부,1096,4.6,6.3
2003,여자,C56,난소,1484,6.2,8.1
2003,여자,C61,전립선,0,,
2003,여자,C62,고환,0,,
2003,여자,C64,신장,610,2.5,3.6
2003,여자,C67,방광,573,2.4,3.8
2003,여자,C70-C72,뇌 및 중추신경계,680,2.8,3.5
2003,여자,C73,갑상선,6531,27.1,32.1
2003,여자,C81,호지킨림프종,46,0.2,0.2
2003,여자,"C82-C86,C96",비호지킨림프종,982,4.1,5.6
2003,여자,C90,다발성 골수종,285,1.2,1.9
2003,여자,C91-C95,백혈병,1032,4.3,5.2
2003,여자,Re.C00-C96,기타 암,4029,16.7,24.9
2004,남녀전체,C00-C96,모든암,134829,278.1,446.5
2004,남녀전체,C00-C14,"입술, 구강 및 인두",2163,4.5,7.0
2004,남녀전체,C15,식도,1986,4.1,7.4
2004,남녀전체,C16,위,23651,48.8,80.8
2004,남녀전체,C18-C20,대장,16337,33.7,57.4
2004,남녀전체,C22,간,14496,29.9,48.8
2004,남녀전체,C23-C24,담낭 및 기타담도,3987,8.2,15.5
2004,남녀전체,C25,췌장,3409,7.0,12.8
2004,남녀전체,C32,후두,1084,2.2,4.0
2004,남녀전체,C33-C34,폐,16378,33.8,62.0
2004,남녀전체,C50,유방,9249,19.1,23.7
2004,남녀전체,C53,자궁경부,4144,8.5,11.7
2004,남녀전체,C54,자궁체부,1125,2.3,3.2
2004,남녀전체,C56,난소,1562,3.2,4.6
2004,남녀전체,C61,전립선,3423,7.1,13.5
2004,남녀전체,C62,고환,155,0.3,0.3
2004,남녀전체,C64,신장,2099,4.3,6.6
2004,남녀전체,C67,방광,2916,6.0,10.9
2004,남녀전체,C70-C72,뇌 및 중추신경계,1541,3.2,4.2
2004,남녀전체,C73,갑상선,10456,21.6,25.7
2004,남녀전체,C81,호지킨림프종,206,0.4,0.5
2004,남녀전체,"C82-C86,C96",비호지킨림프종,2567,5.3,7.8
2004,남녀전체,C90,다발성 골수종,679,1.4,2.3
2004,남녀전체,C91-C95,백혈병,2372,4.9,6.2
2004,남녀전체,Re.C00-C96,기타 암,8844,18.2,29.7
2004,남자,C00-C96,모든암,73884,303.8,607.3
2004,남자,C00-C14,"입술, 구강 및 인두",1578,6.5,11.7
2004,남자,C15,식도,1823,7.5,16.3
2004,남자,C16,위,15630,64.3,125.5
2004,남자,C18-C20,대장,9458,38.9,77.6
2004,남자,C22,간,10927,44.9,80.7
2004,남자,C23-C24,담낭 및 기타담도,2010,8.3,19.3
2004,남자,C25,췌장,1922,7.9,17.1
2004,남자,C32,후두,991,4.1,8.6
2004,남자,C33-C34,폐,11989,49.3,111.9
2004,남자,C50,유방,51,0.2,0.4
2004,남자,C53,자궁경부,0,,
2004,남자,C54,자궁체부,0,,
2004,남자,C56,난소,0,,
2004,남자,C61,전립선,3423,14.1,35.7
2004,남자,C62,고환,155,0.6,0.6
2004,남자,C64,신장,1421,5.8,10.3
2004,남자,C67,방광,2332,9.6,21.3
2004,남자,C70-C72,뇌 및 중추신경계,811,3.3,4.8
2004,남자,C73,갑상선,1422,5.8,7.6
2004,남자,C81,호지킨림프종,147,0.6,0.7
2004,남자,"C82-C86,C96",비호지킨림프종,1511,6.2,10.3
2004,남자,C90,다발성 골수종,363,1.5,2.8
2004,남자,C91-C95,백혈병,1321,5.4,7.7
2004,남자,Re.C00-C96,기타 암,4599,18.9,36.3
2004,여자,C00-C96,모든암,60945,252.2,346.3
2004,여자,C00-C14,"입술, 구강 및 인두",585,2.4,3.3
2004,여자,C15,식도,163,0.7,1.1
2004,여자,C16,위,8021,33.2,48.0
2004,여자,C18-C20,대장,6879,28.5,43.1
2004,여자,C22,간,3569,14.8,22.8
2004,여자,C23-C24,담낭 및 기타담도,1977,8.2,13.1
2004,여자,C25,췌장,1487,6.2,9.7
2004,여자,C32,후두,93,0.4,0.6
2004,여자,C33-C34,폐,4389,18.2,28.8
2004,여자,C50,유방,9198,38.1,45.8
2004,여자,C53,자궁경부,4144,17.1,21.8
2004,여자,C54,자궁체부,1125,4.7,6.2
2004,여자,C56,난소,1562,6.5,8.5
2004,여자,C61,전립선,0,,
2004,여자,C62,고환,0,,
2004,여자,C64,신장,678,2.8,3.9
2004,여자,C67,방광,584,2.4,3.8
2004,여자,C70-C72,뇌 및 중추신경계,730,3.0,3.7
2004,여자,C73,갑상선,9034,37.4,43.4
2004,여자,C81,호지킨림프종,59,0.2,0.2
2004,여자,"C82-C86,C96",비호지킨림프종,1056,4.4,6.0
2004,여자,C90,다발성 골수종,316,1.3,2.0
2004,여자,C91-C95,백혈병,1051,4.3,5.2
2004,여자,Re.C00-C96,기타 암,4245,17.6,25.3
2005,남녀전체,C00-C96,모든암,147394,302.8,473.1
2005,남녀전체,C00-C14,"입술, 구강 및 인두",2253,4.6,7.1
2005,남녀전체,C15,식도,2049,4.2,7.3
2005,남녀전체,C16,위,26376,54.2,87.5
2005,남녀전체,C18-C20,대장,18355,37.7,62.2
2005,남녀전체,C22,간,15158,31.1,49.4
2005,남녀전체,C23-C24,담낭 및 기타담도,4282,8.8,16.1
2005,남녀전체,C25,췌장,3758,7.7,13.8
2005,남녀전체,C32,후두,1161,2.4,4.1
2005,남녀전체,C33-C34,폐,17272,35.5,63.0
2005,남녀전체,C50,유방,10325,21.2,26.0
2005,남녀전체,C53,자궁경부,4047,8.3,11.2
2005,남녀전체,C54,자궁체부,1217,2.5,3.4
2005,남녀전체,C56,난소,1681,3.5,4.8
2005,남녀전체,C61,전립선,3764,7.7,14.3
2005,남녀전체,C62,고환,154,0.3,0.3
2005,남녀전체,C64,신장,2387,4.9,7.5
2005,남녀전체,C67,방광,3056,6.3,11.0
2005,남녀전체,C70-C72,뇌 및 중추신경계,1616,3.3,4.4
2005,남녀전체,C73,갑상선,12833,26.4,31.2
2005,남녀전체,C81,호지킨림프종,158,0.3,0.4
2005,남녀전체,"C82-C86,C96",비호지킨림프종,2596,5.3,7.7
2005,남녀전체,C90,다발성 골수종,795,1.6,2.7
2005,남녀전체,C91-C95,백혈병,2345,4.8,6.0
2005,남녀전체,Re.C00-C96,기타 암,9756,20.0,31.8
2005,남자,C00-C96,모든암,79894,327.3,636.0
2005,남자,C00-C14,"입술, 구강 및 인두",1624,6.7,11.7
2005,남자,C15,식도,1890,7.7,15.9
2005,남자,C16,위,17404,71.3,135.5
2005,남자,C18-C20,대장,10688,43.8,83.5
2005,남자,C22,간,11424,46.8,81.7
2005,남자,C23-C24,담낭 및 기타담도,2147,8.8,20.1
2005,남자,C25,췌장,2076,8.5,18.2
2005,남자,C32,후두,1077,4.4,9.1
2005,남자,C33-C34,폐,12522,51.3,113.8
2005,남자,C50,유방,57,0.2,0.5
2005,남자,C53,자궁경부,0,,
2005,남자,C54,자궁체부,0,,
2005,남자,C56,난소,0,,
2005,남자,C61,전립선,3764,15.4,37.6
2005,남자,C62,고환,154,0.6,0.5
2005,남자,C64,신장,1624,6.7,11.5
2005,남자,C67,방광,2450,10.0,21.9
2005,남자,C70-C72,뇌 및 중추신경계,846,3.5,5.1
2005,남자,C73,갑상선,1787,7.3,9.2
2005,남자,C81,호지킨림프종,105,0.4,0.5
2005,남자,"C82-C86,C96",비호지킨림프종,1505,6.2,10.1
2005,남자,C90,다발성 골수종,407,1.7,3.3
2005,남자,C91-C95,백혈병,1330,5.4,7.5
2005,남자,Re.C00-C96,기타 암,5013,20.5,38.5
2005,여자,C00-C96,모든암,67500,278.1,373.2
2005,여자,C00-C14,"입술, 구강 및 인두",629,2.6,3.5
2005,여자,C15,식도,159,0.7,1.0
2005,여자,C16,위,8972,37.0,52.3
2005,여자,C18-C20,대장,7667,31.6,46.5
2005,여자,C22,간,3734,15.4,23.0
2005,여자,C23-C24,담낭 및 기타담도,2135,8.8,13.6
2005,여자,C25,췌장,1682,6.9,10.7
2005,여자,C32,후두,84,0.3,0.5
2005,여자,C33-C34,폐,4750,19.6,29.8
2005,여자,C50,유방,10268,42.3,50.4
2005,여자,C53,자궁경부,4047,16.7,20.9
2005,여자,C54,자궁체부,1217,5.0,6.5
2005,여자,C56,난소,1681,6.9,8.8
2005,여자,C61,전립선,0,,
2005,여자,C62,고환,0,,
2005,여자,C64,신장,763,3.1,4.4
2005,여자,C67,방광,606,2.5,3.8
