구분,기관명,주소,우편번호,전화번호
장애인주간보호시설,다솜누리장애인주간보호센터,전라남도 여수시 소라면 덕양삼거리길 11-36,59649,061-685-1153
장애인주간보호시설,사랑이 가득한집,전라남도 여수시 문수북5길 27-12 (문수동),59714,061-653-9970
장애인주간보호시설,꿈이룸터,전라남도 여수시 무선8길 29-1 (선원동),59640,061-683-3307
장애인주간보호시설,동행주간보호센터,전라남도 여수시 소라면 화양로 1953,59656,061-681-3571
장애인주간보호시설,순천시장애인주간보호센터,전라남도 순천시 서면 청소년수련원길 2,57906,061-755-4450
장애인주간보호시설,전남지적장애인복지협회주간보호센터,전라남도 순천시 강남로 27(장천동),57960,061-744-0826
장애인주간보호시설,순천밀알주간보호센터,전라남도 순천시 상사면오실길183나동,57920,061-723-9917
장애인주간보호시설,나주시장애인주간보호센터,나주시 늦은맛재길 9,58263,031-332-5055
장애인주간보호시설,광양시장애인복지관주간보호시설,전라남도 광양시 광양읍 대림오성로 117,57762,061-761-4438
장애인주간보호시설,햇빛마을주간보호센터,전라남도 광양시 금호로 330 (금호동),57806,061-799-2777
장애인주간보호시설,혜림주간보호센터,전라남도 담양군 금성면 새덕굴길 317,57352,061-380-4580
장애인주간보호시설,구례군장애인주간보호센터,전라남도 구례군 구례읍 동편제길 30,57647,061-783-7611
장애인주간보호시설,예빛누리장애인주간보호시설,전라남도 고흥군 남양면 고흥로 3604,59509,061-835-7991
장애인주간보호시설,햇살장애인주간보호센터,전라남도 화순군 화순읍 연양리 354-25,58126,061-373-8004
장애인주간보호시설,하늘사랑주간보호센터,전라남도 화순군 화순읍 중앙로 52-7,58113,061-371-3215
장애인주간보호시설,전남장애인주간보호센터(분관),전라남도 장흥군 장흥읍 흥성로 25,59327,061-864-4105
장애인주간보호시설,해남장애인종합복지관주간보호센터,전라남도 해남군 해남읍 신안길2-20,59044,061-536-6311
장애인주간보호시설,영암군장애인주간보호센터,전라남도 영암군 삼호읍 세가래로 88,58458,061-462-1695
장애인주간보호시설,영암참사랑장애인주간보호센터,영암군 신북면 원월평길 8,58401,061-472-9166
장애인주간보호시설,무안장애인종합복지관주간보호센터,전라남도 무안군 무안읍 공항로 148-18,58520,061-452-9837
장애인주간보호시설,무지개장애인주간보호센터,전라남도 함평군 학교면 학교화산길 16,57158,061-323-7275
장애인주간보호시설,하누리장애인 주간보호센터,전라남도 영광군 영광읍 덕호로 82-15,57023,061-352-0804
장애인주간보호시설,영광장애인주간보호센터,전라남도 영광군 영광읍 옥당로 50,57048,061-356-0420
장애인주간보호시설,숲누리장애인주간보호센터,전라남도 신안군 압해읍 수련의금길 46-11,58827,061-271-8277
장애인생활이동지원센터,전라남도장애인생활이동지원센터,"전라남도 목포시 미항로 19, 4층(상동,YM빌딩)",58749,061-284-3401
장애인생활이동지원센터,목포시 시각장애인 생활이동지원센터,전라남도 목포시 영산로 361,58651,061-285-5200
장애인생활이동지원센터,여수시장애인 생활이동지원센터,"전남 여수시 만성로 147, 1동 1호(미평동)",59624,061-653-0885
장애인생활이동지원센터,순천시장애인생활이동지원센터,"전라남도 순천시 중앙로 67, 5층(저전동)",57957,061-742-5444
장애인생활이동지원센터,나주시장애인생활이동지원센터,전라남도 나주시 봉황로 49(부덕동),58271,061-335-2585
장애인생활이동지원센터,광양시장애인생활이동지원센터,전라남도 광양시 구마10길 25 (중동),57781,061-791-5147
장애인생활이동지원센터,담양군장애인생활이동지원센터,전라남도 담양군 담양읍 담주1길 14,57341,061-383-1120
장애인생활이동지원센터,곡성군장애인생활이동지원센터,전라남도 곡성군 곡성읍 학교로 87 해든센트럴상가 102호,57542,061-363-8587
장애인생활이동지원센터,고흥군장애인생활이동지원센터,전라남도 고흥군 고흥읍 고흥로 2002(2층),59535,061-835-3600
장애인생활이동지원센터,보성군장애인생활이동지원센터,전라남도 보성군 보성읍 현충로 186,59454,061-852-1525
장애인생활이동지원센터,화순군시각장애인생활이동지원센터,전라남도 화순군 화순읍 광덕로 156(청전상가 209호),58126,061-927-2110
장애인생활이동지원센터,장흥군시각장애인생활이동지원센터,전라남도 장흥군 장흥읍 동부로 80-16,59325,061-863-2554
장애인생활이동지원센터,강진군장애인생활이동지원센터,전라남도 강진군 강진읍 중앙로 166-2,59225,061-433-5688
장애인생활이동지원센터,해남군장애인생활이동지원센터,전라남도 해남군 해남읍 영빈로31,59039,061-536-8669
장애인생활이동지원센터,영암군장애인생활이동지원센터,"전라남도 영암군 영암읍 중앙로 85, 1층",58415,061-471-7942
장애인생활이동지원센터,무안군장애인생활이동지원센터,"전라남도 무안군 무안읍 창포로 19-10, 3층 305호(지우빌딩)",58526,061-452-2077
장애인생활이동지원센터,함평군장애인생활이동지원센터,전라남도 함평군 함평읍 내바람길 58,57153,061-324-0822
장애인생활이동지원센터,영광군장애인생활이동지원센터,전라남도 영광군 군남면 천년로 680 다동 1층,57039,061-351-9977
장애인생활이동지원센터,장성군장애인생활이동지원센터,전라남도 장성군 장성읍 청운길 16,57220,061-392-8996
장애인생활이동지원센터,진도군장애인생활이동지원센터,전라남도 진도군 진도읍 남산로 50-3,58928,061-542-0053
장애인생활이동지원센터,신안군장애인생활이동지원센터,"전라남도 신안군 압해읍 압해로 861, 2층",58824,061-271-8899
수어통역센터,도수어통역센터,"전라남도 목포시 용당로 281번길, 5층",58647,061-278-2165
수어통역센터,목포시수어통역센터,"전라남도 목포시 산정로 21번길 9,  2층",58741,061-242-2165
수어통역센터,여수시수어통역센터,전라남도 여수시 중앙로 39 (충무동)  동아빌딩4층,59732,061-666-8900
수어통역센터,순천시수어통역센터,"전라남도 순천시 청사1길 8(저전동),  2층",57957,061-742-1754
수어통역센터,나주시수어통역센터,"전라남도 나주시 늦은맛재길 9,   2층",58263,061-333-9003
수어통역센터,광양시수화통역센터,전라남도 광양시 구마10길 25(중동),57781,061-793-3110
수어통역센터,담양군수어통역센터,"전라남도 담양군 담양읍 추성로 1297,  2층",57340,061-381-9620
수어통역센터,고흥군수어통역센터,"전라남도 고흥군.읍 봉황길9,  5층",59538,061-833-2006
수어통역센터,보성군수어통역센터,전라남도 보성군 보성읍 인사길 5-9,59457,061-853-1073
수어통역센터,화순군수어통역센터,"전라남도 화순군 화순읍 만연로 66-3,   3층",58117,061-372-7800
수어통역센터,장흥군수어통역센터,"전라남도 장흥군.읍 건산로30,  2층",59331,061-864-4795
수어통역센터,강진군수어통역센터,전라남도 강진군.읍 보은로 99,59234,061-433-6730
수어통역센터,해남군수어통역센터,"전라남도 해남군 해남읍 읍사무소길1,   2층(평화빌딩)",59040,061-537-4001
수어통역센터,영암군수어통역센터,"전라남도 영암군 영암읍 동문로 15,   2층",58418,061-473-9068
수어통역센터,무안군수어통역센터,"전라남도 무안군 무안읍 불무로 38-6,   2층",58527,061-452-6378
수어통역센터,함평군수어통역센터,"전라남도 함평군 함평읍 영수길 186,   2층",57151,061-323-8006
수어통역센터,영광군수어통역센터,"전라남도 영광군 영광읍 옥당로50,  농아동",57036,061-352-6644
수어통역센터,완도군수어통역센터,"전라남도 완도군 완도읍 장보고대로 274,  2층",59122,061-553-2255
수어통역센터,진도군수어통역센터,"전라남도 진도군 진도읍 남산로 50-3,   2층",58928,061-543-4834
수어통역센터,신안군수어통역센터,전라남도 신안군 압해읍 압해로 876-20,58824,061-271-2119
장애인직업재활시설,"전남장애인보호작업장 (행정봉투, 인쇄물)",전라남도 나주시 내영산1길 67 (삼영동),58263,061-332-1236
장애인직업재활시설,"예손자립원(참기름, 들기름)",전라남도 목포시 대양로 372-4(석현동 969-2),58607,061-246-2400
장애인직업재활시설,"명도자립센터(제과제빵, 우편물발송대행)",전라남도 목포시 옥암마을길 74,58670,061-284-4879
장애인직업재활시설,소망자립센터(세탁업),전라남도 목포시 대양산단로199번길 93-34(대양동),58601,061-278-7222
장애인직업재활시설,송정인더스트리(복사용지),전라남도 여수시 소라면 화양로 1951,59656,061-682-5999
장애인직업재활시설,"여수시장애인보호작업장(면장갑, 소독방역)",전라남도 여수시 만성로 173,59624,061-652-0044
장애인직업재활시설,"송광행복타운(피복류(작업복), 판촉물인쇄)",전라남도 여수시 소라면 장전길 84-31,59609,061-684-2678
장애인직업재활시설,"여수장애인재활자립장(누룽지, 제과제빵)",전라남도 여수시 화산3길 36 (화장동),59643,061-691-4449
장애인직업재활시설,꿈을키우는 세상(화장지),전라남도 순천시 서면 둔대수계길 24,57905,061-752-8300
장애인직업재활시설,"순천보호작업장(방역, 소독)",전라남도 순천시 서면 임촌동길 90,57906,061-743-1003
장애인직업재활시설,"미라클센터(제과제빵, 커피)",전라남도 순천시 서면 청소길383,57904,061-751-9890
장애인직업재활시설,계산원 보호작업장(PE종량제봉투),전라남도 나주시 구진포로 298(삼영동),58264,061-332-1881
장애인직업재활시설,"서산나래(제과, 제빵)",전라남도 광양시 광양읍 오성길 14,57762,061-761-9877
장애인직업재활시설,동악포장재사업소(박스),전라남도 곡성군 곡성읍 곡성로 399-26,57527,061-363-6096
장애인직업재활시설,보성군장애인직업재활센터(물수건),전라남도 보성군 보성읍 현충로 186,59454,061-852-7897
장애인직업재활시설,화순군장애인직업재활시설(타월),전라남도 화순군 동면 동농공길 169,58143,061-373-3370
장애인직업재활시설,"해남군장애인직업재활시설(두부, 콩나물)",전라남도 해남군 계곡면 둔주포안길 18,59017,061-537-1180
장애인직업재활시설,영암자립센터(임가공(건강음료)),전라남도 영암군 삼호읍 녹색로 1117-129,58447,061-462-7357
장애인직업재활시설,"무안자립원(도자기, 판촉물)",전라남도 무안군 청계면 문화로 339-5,58555,061-454-2455
장애인직업재활시설,"함평장애인보호작업장(세탁, 자동차 전구포장)",전라남도 함평군 함평읍 남일길 238-55,57138,061-324-4201
장애인직업재활시설,"무지개장애인근로사업장(복사용지, 종이컵)",전라남도 함평군 학교면 학교화산길 16,57158,061-323-9301
장애인직업재활시설,"예그리나보호작업장 (돈가스, 커피)",전라남도 영광군 군서면 천년로 1252-5,57033,061-352-4288
장애인가족지원센터,목포장애인가족지원센터,전라남도 목포시 영산로 635(석현동),58615,070-4610-4500
장애인가족지원센터,여수장애인가족지원센터,전라남도 여수시 화산2길 13 (화장동),59641,061-652-0426
장애인가족지원센터,순천장애인가족지원센터,전라남도 순천시 강남로 4 (장천동),57960,061-902-2342
장애인가족지원센터,광양시장애인가정지원센터,전라남도 광양시 광양읍 서평1길16,57737,061-761-8346
장애인지원센터,지적발달장애인자립지원센터,전라남도 순천시 강남로 27(장천동),57960,061-744-0826
장애인지원센터,장애인재활지원센터,전라남도 나주시 이창1길 21-11,58274,061-334-3636
장애인지원센터,장애인보조기구수리센터,전라남도 무안군 삼향읍 오룡3길 22,58565,061-279-4995
장애인지원센터,척수장애인재활지원센터,전라남도 순천시 순천만길 184,58026,061-742-6655
장애인지원센터,신장장애인지원센터,전라남도 순천시 비봉2길 3-18,57933,061-727-4002
장애인지원센터,신체장애인지원센터,전라남도 여수시 무선4길 18,59640,061-666-9200
장애인지원센터,전라남도시각장애인자립지원센터,"전라남도 목포시 미항로 19, 4층(상동,YM빌딩)",58749,061-284-3401
장애인지원센터,여수시시각장애인자립지원센터,전라남도 여수시 미평남1길 28-14(미평동),59720,061-921-9880
장애인지원센터,광양시각장애인자립지원센터,"전라남도 광양시 광장로 1, 1층",57796,061-791-0051
장애인지원센터,농아노인복지센터,"전라남도 목포시 용당로 281, 종원빌딩 5층",58647,061-278-2165
장애인지원센터,동부권 농아노인복지센터,전라남도 순천시 청사1길 8 1층 ,57957,061-744-0603
장애인지원센터,목포장애인자립생활센터,전라남도 목포시 산정로152번길 53,58706,061-272-1117
장애인지원센터,유달장애인자립생활센터,"전라남도 목포시 영산로 633, 3층",58615,061-801-7535
장애인지원센터,여수장애인자립생활센터,"전라남도 여수시 학동2길 22, 202호(프라임시티)",59677,061-643-9452
장애인지원센터,여수나르쉬장애인자립생활센터,전라남도 여수시 성산6길 34,59642,061-691-7910
장애인지원센터,순천장애인자립생활센터,전라남도 순천시 장명로 58 (장천동) 순천문화원 1층,57956,061-723-6241
장애인지원센터,순천팔마자립생활센터,전라남도 순천시 충효로 129 (조례동),57966,061-743-8485
장애인지원센터,나주장애인자립생활센터,전라남도 나주시 학생운동길 18,58260,061-337-7828
장애인지원센터,광양장애인자립생활센터,전라남도 광양시 광양읍 서평로 30,57739,061-762-3375
장애인지원센터,화순장애인자립생활센터,전라남도 화순군 화순읍 일심4길 3-1,58126,061-371-3210
장애인지원센터,무안장애인자립생활센터,"전라남도 무안군 삼향읍 대죽서로 15번길 36, 청우프라자 2층 202호",58567,061-282-6811
장애인지원센터,신안장애인자립생활센터,전라남도 신안군 압해읍 압해로 876-20,58824,061-246-0015
장애인지원센터,전남장애인편의증진기술지원센터,"전라남도 목포시 정의로30, 에메랄드 법조빌딩 501호",58671,061-287-4990
장애인지원센터,전남목포시장애인편의증진기술지원센터,전라남도 목포시 영산로 350-3,58701,061-277-1077
장애인지원센터,전남여수시장애인편의증진기술지원센터,전라남도 여수시 만성로 173 (미평동),59624,061-652-5841
장애인지원센터,전남순천시장애인편의증진기술지원센터,전라남도 순천시 비봉2길 7-38,57933,061-755-0034
장애인지원센터,전남나주시장애인편의증진기술지원센터,전라남도 나주시 늦은맛재길 9(나주시장애인연합회관 1층),58263,061-332-2530
장애인지원센터,전남광양시장애인편의증진기술지원센터,전라남도 광양시 광양읍 남등1길 72-4,57739,061-761-4500
장애인지원센터,전남담양군장애인편의증진기술지원센터,전라남도 담양군 담양읍 천변5길 63,57348,061-381-3100
장애인지원센터,전남곡성군장애인편의증진기술지원센터,전라남도 곡성군 곡성읍 읍내 14길 3층,57542,061-362-3322
장애인지원센터,전남구례군장애인편의증진기술지원센터,전라남도 구례군 구례읍 서시천로 106,57635,061-782-3955
장애인지원센터,전남고흥군장애인편의증진기술지원센터,"전라남도 고흥군 고흥읍 신계학림길 39,1층",59538,061-835-1909
장애인지원센터,전남보성군장애인편의증진기술지원센터,전라남도 보성군 보성읍 현충로 186,59454,061-852-4436
장애인지원센터,전남화순군장애인편의증진기술지원센터,전라남도 화순군 화순읍 부처샘길 5-11,58114,061-373-0967
장애인지원센터,전남장흥군장애인편의증진기술지원센터,전라남도 장흥군 장흥읍 북부로 73,59334,061-863-8960
장애인지원센터,전남강진군장애인편의증진기술지원센터,전라남도 강진군 강진읍 시장길 17-14,59231,061-434-6933
장애인지원센터,전남해남군장애인편의증진기술지원센터,전라남도 해남군 해남읍 신안길 2-21(다목적생활체육관 2층),59044,061-534-8115
장애인지원센터,전남영암군장애인편의증진기술지원센터,전라남도 영암군 영암읍 1527,58418,061-473-2271
장애인지원센터,전남무안군장애인편의증진기술지원센터,전라남도 무안군 일로읍 일로로 89,58523,061-284-3329
장애인지원센터,전남함평군장애인편의증진기술지원센터,전라남도 함평군 함평읍 남일길 238-59,57138,061-324-4222
장애인지원센터,전남영광군장애인편의증진기술지원센터,전라남도 영광군 영광읍 옥당로60,57040,061-353-9931
장애인지원센터,전남장성군장애인편의증진기술지원센터,전라남도 장성군 장성읍 청운길 23,57220,061-394-5300
장애인지원센터,전남완도군장애인편의증진기술지원센터,"전라남도 목포시 정의로30, 에메랄드 법조빌딩 501호",58671,061-287-4990
장애인지원센터,전남진도군장애인편의증진기술지원센터,전라남도 진도군 진도읍 남산로 50-3,58928,061-544-3890
장애인지원센터,전남신안군장애인편의증진기술지원센터,전라남도 목포시 수강로 3번길 14,58753,061-245-6152
장애인지원센터,장애인일자리종합지원센터,전라남도 목포시 입암로 4번길 21,58697,061-287-8333
장애인지원센터,장애인정보화지원센터,전라남도 목포시 유동로 11번길 16-14,58757,061-243-5200
장애인지원센터,장애인권익옹호기관,전라남도 목포시 영산로 633(석현동),58615,061-285-8298
장애인지원센터,발달장애인지원센터,전라남도 무안군 삼향읍 후광대로 282 전문건설회관 4층,58567,061-802-1062
장애인지원센터,장애인민원상담센터,전라남도 목포시 신흥로 83번길 5 3층,58684,1899-2925
장애인지원센터,장애인보조기기센터,전라남도 순천시 제일대학길 17,57997,0507-1329-1502
장애인지원센터,서부권발달장애인평생교육지원센터,전라남도 목포시 영산로 628 ,58655,061-801-6033
장애인지원센터,동부권발달장애인평생교육지원센터,전라남도 순천시 야흥고개길 108,58028,061-741-9270
