발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X,발생위치Y,경도,위도
2023,2023-01-03 09:00,주,화,1,0,0,0,0,전북,전주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,968270,1760703,127.1486424,35.84233248
2023,2023-01-03 14:00,주,화,1,0,0,0,0,경기,화성시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,939203,1898316,126.8159777,37.08148832
2023,2023-01-04 00:00,야,수,1,0,0,0,0,대구,수성구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1101745,1763660,128.6269475,35.86422104
2023,2023-01-04 09:00,주,수,1,0,0,0,0,인천,남동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,931854,1939840,126.7294968,37.4552471
2023,2023-01-04 13:00,주,수,1,1,0,0,1,경남,함양군,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,화물차,화물차,1023859,1727945,127.7632278,35.54719951
2023,2023-01-04 16:00,주,수,1,1,0,1,0,충남,당진시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,935796,1882251,126.7790176,36.93645598
2023,2023-01-04 17:00,주,수,1,1,0,1,0,강원,철원군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,976883,2019762,127.2360621,38.17781361
2023,2023-01-04 17:00,주,수,1,0,0,0,0,경남,김해시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1128638,1695018,128.9138386,35.24232994
2023,2023-01-04 18:00,야,수,1,0,0,0,0,충북,제천시,차대사람,횡단중,횡단중,기타,단일로,기타단일로,승용차,보행자,1063036,1902611,128.2095724,37.12005371
2023,2023-01-04 18:00,야,수,1,0,0,0,0,경기,파주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,944859,1973296,126.8740089,37.75765207
2023,2023-01-04 19:00,야,수,1,0,0,0,0,대구,달성군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1085935,1741780,128.4495091,35.6684867
2023,2023-01-05 00:00,야,목,1,0,0,0,0,전북,남원시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,교량위,승합차,없음,984595,1715705,127.3302739,35.43700303
2023,2023-01-05 04:00,야,목,1,0,0,0,0,경기,안양시,차대사람,횡단중,횡단중,기타,교차로,교차로횡단보도내,화물차,보행자,952741,1934091,126.9660156,37.40473292
2023,2023-01-05 10:00,주,목,1,0,0,0,0,제주,서귀포시,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음,929677,1477443,126.7447666,33.28609008
2023,2023-01-05 23:00,야,목,1,0,0,0,0,경기,김포시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,928665,1960047,126.6914784,37.63712612
2023,2023-01-06 04:00,야,금,1,0,0,0,0,전북,익산시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,949617,1774211,126.9412429,35.96333465
2023,2023-01-06 11:00,주,금,1,2,2,0,0,전남,장성군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,936595,1707771,126.8020679,35.36356732
2023,2023-01-06 13:00,주,금,1,0,0,0,0,경남,양산시,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,이륜차,화물차,1139614,1706983,129.0364743,35.34871034
2023,2023-01-06 14:00,주,금,1,0,0,0,0,전남,해남군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,899750,1631833,126.4057106,34.6759068
2023,2023-01-06 17:00,주,금,1,6,3,1,2,경기,광주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승용차,985095,1925950,127.3317478,37.33243722
2023,2023-01-06 18:00,야,금,1,0,0,0,0,경기,이천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,기타,기타,승용차,없음,998960,1921228,127.4882668,37.28999237
2023,2023-01-06 19:00,야,금,1,0,0,0,0,경남,거제시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1106955,1658285,128.6708322,34.9137155
2023,2023-01-06 20:00,야,금,1,0,0,0,0,전북,완주군,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,961916,1769333,127.0778712,35.9199132
2023,2023-01-07 11:00,주,토,1,0,0,0,0,경기,수원시,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,화물차,이륜차,962945,1918825,127.0820716,37.26759463
2023,2023-01-07 22:00,야,토,2,0,0,0,0,충남,예산군,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,936187,1855719,126.7856341,36.69732301
2023,2023-01-07 22:00,야,토,1,0,0,0,0,인천,미추홀구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,924787,1940106,126.6495732,37.45709655
2023,2023-01-08 06:00,주,일,1,0,0,0,0,경기,안산시,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,보행자,944570,1922805,126.8745399,37.30255524
2023,2023-01-08 15:00,주,일,1,0,0,0,0,충남,보령시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,919359,1816887,126.6013266,36.34601055
2023,2023-01-08 18:00,야,일,1,0,0,0,0,광주,동구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,948221,1684398,126.9315087,35.1534934
2023,2023-01-09 05:00,야,월,1,0,0,0,0,부산,강서구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,건설기계,1133047,1689275,128.9613551,35.18998579
2023,2023-01-09 06:00,주,월,1,0,0,0,0,대전,중구,차대차,기타,기타,신호위반,교차로,교차로부근,건설기계,자전거,989430,1811001,127.38228,36.29626685
2023,2023-01-09 08:00,주,월,1,2,2,0,0,강원,원주시,차대차,기타,기타,중앙선 침범,단일로,기타단일로,승용차,승용차,1045876,1937185,128.0185506,37.43268999
2023,2023-01-09 14:00,주,월,1,0,0,0,0,대구,북구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승용차,1094211,1771285,128.5444151,35.93371107
2023,2023-01-09 15:00,주,월,1,0,0,0,0,경기,이천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,998960,1921226,127.4882668,37.28997434
2023,2023-01-09 18:00,야,월,1,0,0,0,0,전남,해남군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,기타,기타,화물차,없음,891257,1623646,126.3140726,34.60122508
2023,2023-01-09 20:00,야,월,1,0,0,0,0,경기,시흥시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,932899,1926456,126.7425263,37.33469306
2023,2023-01-09 20:00,야,월,1,0,0,0,0,제주,서귀포시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,916079,1474657,126.5990036,33.2599905
2023,2023-01-10 04:00,야,화,1,1,1,0,0,인천,계양구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,교량위,화물차,화물차,934049,1952628,126.7531653,37.570663
2023,2023-01-10 05:00,야,화,1,0,0,0,0,대전,서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,991118,1815763,127.4010253,36.33921546
2023,2023-01-10 12:00,주,화,1,0,0,0,0,전남,영광군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,907604,1694156,126.4845213,35.23855623
2023,2023-01-10 14:00,주,화,1,0,0,0,0,경기,양주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,962870,1977424,127.0782621,37.7957664
2023,2023-01-10 20:00,야,화,1,0,0,0,0,경기,평택시,차대차,추돌,추돌,안전거리 미확보,교차로,교차로부근,개인형이동장치(PM),승합차,959428,1894115,127.0437462,37.04471438
2023,2023-01-11 05:00,야,수,1,0,0,0,0,경기,광주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,건설기계,보행자,982089,1930979,127.2976937,37.37771466
2023,2023-01-11 06:00,주,수,1,0,0,0,0,충북,청주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,982709,1845062,127.3066668,36.60323692
2023,2023-01-11 11:00,주,수,1,0,0,0,0,부산,금정구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로부근,화물차,보행자,1147216,1693558,129.117697,35.22661312
2023,2023-01-11 11:00,주,수,1,1,1,0,0,경북,청송군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,지하차도(도로)내,화물차,화물차,1137619,1829806,129.0357701,36.45597724
2023,2023-01-11 11:00,주,수,1,1,0,1,0,경기,포천시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,974900,1985712,127.2146143,37.8708764
2023,2023-01-11 18:00,야,수,1,2,1,1,0,제주,서귀포시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,화물차,승용차,924213,1489626,126.6850682,33.39559782
2023,2023-01-11 19:00,야,수,1,0,0,0,0,울산,중구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1166783,1732540,129.3405885,35.57486297
2023,2023-01-11 21:00,야,수,1,0,0,0,0,경기,평택시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,959688,1889884,127.0468966,37.0065869
2023,2023-01-12 01:00,야,목,1,0,0,0,0,서울,강동구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,971661,1950142,127.1791727,37.55018177
2023,2023-01-12 03:00,야,목,1,0,0,0,0,대구,달서구,차대차,측면충돌,측면충돌,기타,단일로,기타단일로,승용차,자전거,1094029,1762202,128.5413249,35.8518489
2023,2023-01-12 05:00,야,목,1,0,0,0,0,서울,양천구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,자전거,승합차,944274,1947515,126.8693354,37.52525501
2023,2023-01-12 06:00,주,목,1,0,0,0,0,광주,서구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,944041,1684259,126.8856274,35.15201607
2023,2023-01-12 10:00,주,목,1,3,1,2,0,충북,청주시,차대차,정면충돌,정면충돌,중앙선 침범,교차로,교차로부근,승용차,승용차,998438,1848220,127.4825286,36.63186186
2023,2023-01-12 12:00,주,목,1,0,0,0,0,강원,강릉시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1116398,1987888,128.8236355,37.8833928
2023,2023-01-12 12:00,주,목,1,1,0,1,0,광주,광산구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,화물차,936121,1686969,126.7984695,35.17597876
2023,2023-01-12 19:00,야,목,1,0,0,0,0,경북,안동시,차대차,정면충돌,정면충돌,중앙선 침범,교차로,교차로부근,화물차,이륜차,1111540,1841184,128.7464523,36.56191729
2023,2023-01-12 23:00,야,목,1,0,0,0,0,경기,성남시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,보행자,966003,1926661,127.116202,37.33834322
2023,2023-01-13 05:00,야,금,1,0,0,0,0,서울,노원구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로횡단보도내,건설기계,자전거,961927,1961320,127.0683944,37.65058113
2023,2023-01-13 05:00,야,금,1,0,0,0,0,서울,노원구,차대차,기타,기타,중앙선 침범,기타,기타,자전거,승용차,961658,1961849,127.0653173,37.6553379
2023,2023-01-13 06:00,주,금,1,1,0,1,0,강원,횡성군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,기타,기타,승용차,없음,1061854,1937896,128.1992037,37.43816808
2023,2023-01-13 15:00,주,금,1,0,0,0,0,경북,영천시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,자전거,승용차,1130557,1776327,128.9480736,35.97497426
2023,2023-01-13 18:00,야,금,1,0,0,0,0,서울,양천구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,승용차,942573,1947816,126.8500624,37.52786358
2023,2023-01-13 20:00,야,금,1,0,0,0,0,충남,서산시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,911681,1866346,126.5100997,36.79114727
2023,2023-01-13 22:00,야,금,1,0,0,0,0,경기,동두천시,차량단독,도로이탈,도로이탈 기타,중앙선 침범,단일로,기타단일로,승용차,없음,962356,1988463,127.0718492,37.8952386
2023,2023-01-13 23:00,야,금,1,0,0,0,0,경기,오산시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,962119,1905195,127.0734477,37.1447024
2023,2023-01-13 23:00,야,금,1,0,0,0,0,경북,칠곡군,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승합차,승용차,1079977,1777859,128.3872995,35.99424422
2023,2023-01-14 05:00,야,토,1,0,0,0,0,서울,송파구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내,화물차,승합차,966602,1943020,127.1222243,37.48581853
2023,2023-01-14 07:00,주,토,1,0,0,0,0,경남,창원시(통합),차대사람,횡단중,횡단중,기타,교차로,교차로내,승용차,보행자,1109711,1691441,128.7053826,35.21233418
2023,2023-01-14 13:00,주,토,1,0,0,0,0,세종,세종시,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,977419,1833550,127.2478564,36.49934534
2023,2023-01-14 20:00,야,토,1,2,0,2,0,전남,영암군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,926044,1651133,126.6909997,34.85217143
2023,2023-01-14 22:00,야,토,1,11,3,8,0,경기,고양시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,936652,1961142,126.7819023,37.64758069
2023,2023-01-15 02:00,야,일,1,2,2,0,0,경북,경산시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1111266,1757058,128.731463,35.80367454
2023,2023-01-15 14:00,주,일,1,0,0,0,0,경북,봉화군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,농기계,없음,1109722,1868723,128.7300875,36.81033226
2023,2023-01-15 18:00,야,일,1,0,0,0,0,부산,해운대구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,보행자,1148464,1690158,129.1307928,35.19578332
2023,2023-01-15 21:00,야,일,1,23,2,21,0,경기,포천시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,966791,1975816,127.1228711,37.78142446
2023,2023-01-15 22:00,야,일,1,0,0,0,0,서울,종로구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,화물차,보행자,954940,1952444,126.9897375,37.57026413
2023,2023-01-15 23:00,야,일,1,1,0,1,0,경북,상주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1049303,1824911,128.0499671,36.42046251
2023,2023-01-16 02:00,야,월,2,2,1,1,0,경기,성남시,차대차,추돌,추돌,안전운전 의무 불이행,기타,기타,승합차,건설기계,964884,1930253,127.1033994,37.37067868
2023,2023-01-16 06:00,주,월,1,0,0,0,0,경북,경주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,1155591,1782069,129.2267622,36.02304879
2023,2023-01-16 14:00,주,월,1,0,0,0,0,충남,천안시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,966580,1867176,127.1253625,36.80215877
2023,2023-01-16 15:00,주,월,1,0,0,0,0,경기,수원시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,957903,1918558,127.0252217,37.26497357
2023,2023-01-16 17:00,주,월,1,4,1,3,0,전북,진안군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,990397,1743165,127.393872,35.68467148
2023,2023-01-16 18:00,야,월,1,0,0,0,0,경남,창원시(통합),차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,1090014,1680670,128.4878306,35.11718554
2023,2023-01-17 03:00,야,화,1,0,0,0,0,경남,함양군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,화물차,1027152,1724550,127.7994441,35.51650364
2023,2023-01-17 05:00,야,화,1,0,0,0,0,전북,익산시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,961104,1777869,127.0684527,35.99683967
2023,2023-01-17 11:00,주,화,1,0,0,0,0,전북,전주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승합차,보행자,960469,1764256,127.0620851,35.87408234
2023,2023-01-17 14:00,주,화,1,2,1,1,0,경남,사천시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1041441,1673176,127.9544301,35.05278398
2023,2023-01-17 16:00,주,화,1,0,0,0,0,경남,산청군,차대차,기타,기타,중앙선 침범,단일로,기타단일로,승합차,자전거,1029607,1705523,127.8258268,35.34487354
2023,2023-01-17 19:00,야,화,1,0,0,0,0,대전,유성구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승합차,보행자,985329,1817528,127.3364837,36.35505678
2023,2023-01-18 06:00,주,수,1,0,0,0,0,경기,시흥시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,자전거,930546,1927492,126.7158694,37.34385757
2023,2023-01-18 06:00,주,수,1,0,0,0,0,경기,안양시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,948745,1933901,126.9208796,37.40280785
2023,2023-01-18 07:00,주,수,1,0,0,0,0,충남,부여군,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,947058,1809409,126.9104968,36.28051912
2023,2023-01-18 12:00,주,수,1,0,0,0,0,충남,아산시,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,화물차,이륜차,954357,1862147,126.9886485,36.75631481
2023,2023-01-18 12:00,주,수,1,0,0,0,0,대전,중구,차대차,기타,기타,안전거리 미확보,기타,기타,승용차,이륜차,992494,1815506,127.4163609,36.33691021
2023,2023-01-18 17:00,주,수,1,0,0,0,0,부산,동래구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1142251,1691112,129.0627343,35.20528221
2023,2023-01-18 19:00,야,수,1,0,0,0,0,울산,울주군,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,보행자,1161635,1714830,129.2802753,35.41610862
2023,2023-01-19 04:00,야,목,1,0,0,0,0,경북,김천시,차대차,측면충돌,측면충돌,기타,교차로,교차로내,이륜차,승용차,1055471,1793173,128.1165128,36.13400771
2023,2023-01-19 10:00,주,목,1,0,0,0,0,경기,평택시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,956572,1903436,127.0110907,37.12860574
2023,2023-01-19 14:00,주,목,1,0,0,0,0,부산,북구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,화물차,보행자,1136621,1691125,129.000906,35.20618178
2023,2023-01-19 18:00,야,목,1,0,0,0,0,전남,고흥군,차대사람,횡단중,횡단중,기타,교차로,교차로부근,승용차,보행자,995758,1613465,127.4537841,34.51516678
2023,2023-01-19 20:00,야,목,1,0,0,0,0,서울,동대문구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,961587,1955123,127.0648659,37.59471205
2023,2023-01-19 23:00,야,목,1,0,0,0,0,서울,광진구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,963355,1949533,127.0851724,37.54439971
2023,2023-01-19 23:00,야,목,1,0,0,0,0,부산,강서구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1128144,1678016,128.9057702,35.08912926
2023,2023-01-20 00:00,야,금,1,0,0,0,0,인천,서구,차대차,정면충돌,정면충돌,중앙선 침범,교차로,교차로부근,승용차,이륜차,930612,1955060,126.7140173,37.59232925
2023,2023-01-20 02:00,야,금,1,0,0,0,0,서울,영등포구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,946909,1947717,126.8991402,37.52723114
2023,2023-01-20 07:00,주,금,1,0,0,0,0,부산,사하구,차대차,기타,기타,신호위반,교차로,교차로내,특수차,원동기장치자전거,1133562,1677500,128.9651068,35.0837743
2023,2023-01-20 11:00,주,금,1,0,0,0,0,경남,창원시(통합),차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,이륜차,1096740,1687472,128.5624289,35.17788617
2023,2023-01-20 12:00,주,금,1,0,0,0,0,경기,성남시,차대사람,기타,기타,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,보행자,967766,1940773,127.1354888,37.46560652
2023,2023-01-20 13:00,주,금,1,2,2,0,0,전남,구례군,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,992290,1697620,127.4152248,35.27402178
2023,2023-01-20 15:00,주,금,1,0,0,0,0,전북,진안군,차량단독,공작물충돌,공작물충돌,중앙선 침범,단일로,기타단일로,화물차,없음,999604,1754075,127.4956182,35.7830865
2023,2023-01-20 21:00,야,금,1,0,0,0,0,서울,도봉구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,959635,1962549,127.0423445,37.66156035
2023,2023-01-20 22:00,야,금,1,0,0,0,0,대구,수성구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1102258,1763053,128.6325508,35.85869588
2023,2023-01-21 08:00,주,토,1,0,0,0,0,강원,강릉시,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1120642,1977423,128.8701387,37.78854476
2023,2023-01-21 09:00,주,토,1,0,0,0,0,전북,김제시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,보행자,944948,1756438,126.8906939,35.802848
2023,2023-01-21 10:00,주,토,1,0,0,0,0,경기,화성시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,938495,1906642,126.8073292,37.15648925
2023,2023-01-21 11:00,주,토,1,0,0,0,0,경북,경주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,지하차도(도로)내,화물차,보행자,1153142,1760856,129.1955064,35.83226366
2023,2023-01-21 15:00,주,토,1,0,0,0,0,전남,나주시,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음,918195,1663194,126.6039681,34.96031777
2023,2023-01-21 22:00,야,토,1,0,0,0,0,충남,논산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,964450,1804833,127.1043577,36.24006277
2023,2023-01-22 05:00,야,일,1,0,0,0,0,충남,서산시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,910666,1865398,126.4988361,36.78250738
2023,2023-01-22 15:00,주,일,1,0,0,0,0,경기,광주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,977415,1940642,127.2446053,37.46471193
2023,2023-01-23 00:00,야,월,1,0,0,0,0,경기,시흥시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,고가도로위,이륜차,없음,932931,1933308,126.7422667,37.39645301
2023,2023-01-23 01:00,야,월,2,3,2,1,0,대전,서구,차량단독,공작물충돌,공작물충돌,기타,교차로,교차로부근,승용차,없음,991125,1816348,127.4010966,36.34448954
2023,2023-01-23 23:00,야,월,1,1,0,1,0,인천,강화군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,없음,909980,1961245,126.4795797,37.64628129
2023,2023-01-24 06:00,주,화,1,0,0,0,0,경북,경산시,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1118012,1770593,128.8081126,35.92488838
2023,2023-01-24 07:00,주,화,1,1,0,1,0,전남,나주시,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,화물차,화물차,921114,1670067,126.6352859,35.02251931
