의료기관기호,의료기관명,우편번호,주소,전화번호
1001010,고려정형외과,7706,서울 강서구 강서로 219 (화곡동),02-2601-7001
1001022,참조은정형외과의원,7635,"서울 강서구 수명로 82 (내발산동, 발산로얄타워 303, 402호)",02-2667-5588
1001026,김두영정형외과의원,7396,서울 영등포구 신길로 145 (2층) (신길동),02-831-2620
1001073,고려대학교의과대학부속구로병원,8308,"서울 구로구 구로동로 148 (구로동, 고려대부속구로병원)",02-2626-2046
1001075,희명종합병원,8626,서울 금천구 시흥대로 244 (시흥동),02-2219-7230
1001082,서울특별시보라매병원,156707,서울 동작구 신대방2동 시립보라매병원 ,02-870-2762
1001178,동인외과의원,153030,서울 금천구 시흥동 서울특별시 금천구 가산동 146-49,02-868-2659
1001216,최석용정형외과의원,8210,서울 구로구 경인로59길 8 태영프라자 3층 301 (신도림동),02-2068-4633
1001226,문순영정형외과의원,8559,서울 금천구 독산로 218 (독산동),02-805-7281
1001233,한준규정형외과의원,8849,"서울 관악구 난곡로 256 (신림동, CNH빌딩)",02-855-7582
1001235,한솔정형외과의원,8352,서울 구로구 개봉로 13 (개봉동),02-2613-1937
1001238,현희정형외과의원,8854,"서울 관악구 난곡로 200 (신림동, 현희정형외과)",02-853-7567
1001240,한양정형외과.내과 의원,8273,서울 구로구 경인로 164 (오류동),02-2687-1321
1001242,연세정형외과의원,8301,서울 구로구 가마산로 271 301호 (구로동),02-865-4001
1001245,보라매정형외과,8708,서울 관악구 봉천로 227 보라매샤르망빌딩 3층 (봉천동),02-885-7775
1001248,세영정형외과.재활의학과의원,8547,서울 금천구 남부순환로 1382 (독산동),02-853-0101
1001251,최방사선가정의학과의원,7068,서울 동작구 시흥대로 676 (신대방동),02-841-6046
1001254,경성의원,6928,서울 동작구 노량진로8길 3 (노량진동),02-815-4709
1001256,성모정형외과의원,6953,서울 동작구 상도로 81 (대방동),02-817-7714
1001261,김정기정형외과,6945,서울 동작구 대방동 385-12호,02-813-9842
1001297,치과가는날 치과의원,8391,서울 구로구 구로3동 1125-6호 동해빌딩4층,02-863-2229
1001301,안정모치과의원,6930,서울 동작구 노량진로8길 20 상아빌딩 (노량진동),02-814-4890
1001302,구로한방병원,8548,서울 금천구 남부순환로 1398 (독산동),02-852-1800
1001303,구로한의원,8311,서울 구로구 구로동로26길 36 (구로동),02-838-6050
1001311,순천향대학교 서울병원,4401,"서울 용산구 대사관로 59 (한남동, 순천향대학병원)",02-709-9978
1001316,동신의료재단동신병원,3653,서울 서대문구 연희로 272 (홍은동),02-396-9161
1001317,금강아산병원,4425,서울 용산구 이촌로 318 (이촌동),02-799-5711
1001318,의료법인청구성심병원,3330,서울 은평구 통일로 873 (갈현동),02-350-3424
1001325,대성병원,3627,"서울 서대문구 세무서길 20 (홍제동, 대성병원)",02-394-9101
1001336,신촌연세병원,4094,서울 마포구 서강로 110 (신수동),02-337-7582
1001385,마포정형외과의원,4189,서울 마포구 백범로37길 26 (신공덕동),02-711-8775
1001398,연세제일정형외과,4136,서울 마포구 백범로 107 (대흥동),02-717-0750
1001402,푸른정형외과의원,3499,서울 은평구 증산로 295 (증산동),02-372-0041
1001409,신사중앙의원,3450,서울 은평구 가좌로 322 (신사동),02-3151-0911
1001414,문병철정형외과의원,3394,"서울 은평구 연서로 146 (대조동, 수메디컬빌딩)",02-352-5119
1001427,삼성정형외과의원,3712,서울 서대문구 수색로2길 2 (남가좌동),02-309-7575
1001444,제민의료재단 동서한방병원,3726,서울 서대문구 성산로 365-14 (연희동),02-320-7918
1001454,강북삼성병원,3181,"서울 종로구 새문안로 29 (평동, 강북삼성병원)",02-2001-2866
1001455,고려대학교의과대학부속병원,2841,서울 성북구 고려대로 73 (안암동5가),02-920-5235
1001456,서울적십자병원,3181,서울특별시 종로구  새문안로 9 (평동),02-2002-8869
1001465,세란병원,3030,서울 종로구 통일로 256 (무악동),02-737-0181
1001503,오상빈정형외과,2832,서울 성북구 동소문로 59 (동소문동4가),02-925-5097
1001543,부산대학교병원,49241,부산광역시 서구  구덕로 179 (아미동1가),051-240-7153
1001544,고신대학교복음병원,49267,"부산 서구 감천로 262 (암남동, 고신대학교복음병원)",051-990-6034
1001545,인제대학교부산백병원,47392,"부산 부산진구 복지로 75 (개금동, 부산백병원)",051-890-6231
1001546,동아대학교병원,49201,"부산 서구 대신공원로 26 (동대신동3가, 동아대학교병원)",051-240-2312
1001549,춘해병원,47352,부산 부산진구 중앙대로 605 (범천동),051-638-8000
1001550,(재단법인)천주교부산교구메리놀병원,48972,"부산 중구 중구로 121 (대청동4가, 메리놀병원)",051-461-2284
1001552,부산성모병원,48575,부산 남구 용호로232번길 25-14 (용호동),051-933-7062
1001554,(재단법인)삼육부산병원,49230,부산 서구 대티로 170 (서대신동2가),051-600-7795
1001560,봉생기념병원,48775,부산 동구 중앙대로 401 (좌천동),051-664-4056
1001562,동의병원,47227,부산 부산진구 양정로 52-57 (양정동),051-850-8522
1001563,영도병원,49036,부산 영도구 태종로 85 (대교동2가),051-414-8101
1001565,부산광역시의료원,47527,부산 연제구 월드컵대로 359 (거제동),051-607-2058
1001589,장림한서병원,49511,부산 사하구 다대로 315 (장림동),051-264-5940
1001591,강동병원,49393,부산 사하구 다대로 145 (신평동),051-209-1219
1001592,경희병원,49511,부산 사하구 다대로 321 (장림동),051-265-7575
1001601,하나병원,49511,부산 사하구 다대로 311 (장림동),051-266-2600
1001670,서화정형외과의원,49341,부산 사하구 낙동대로 252 (괴정동),051-206-1701
1001692,최동정형외과의원,49054,부산 영도구 절영로 49 (남항동1가),051-412-6661
1001719,세종정형외과의원,49252,부산광역시 서구 토성동 5가 57-2,051-241-1551
1001720,강남의원,49068,"부산 영도구 꿈나무길 183 (영선동2가, 강남병원)",051-416-4015
1001723,김용대정형외과의원,48533,부산 남구 대연4동 949번지,051-622-0024
1001772,정진모정형외과의원,49523,부산 사하구 다대로 541 (다대동),051-263-0311
1001775,프라임병원,49427,부산 사하구 낙동남로 1410 (하단동),051-202-7800
1001781,이정형외과의원,48585,부산 남구 용호로 173 (용호동),051-622-2727
1001782,세흥병원,47250,부산 부산진구 중앙대로 805 (부전동),051-819-0173
1001793,하나정형외과의원,47570,부산 연제구 과정로 126 (연산동),051-757-9009
1001794,박정하정형외과의원,47564,부산 연제구 과정로 274 4층 (연산동),051-863-2622
1001806,괴정제일정형외과의원,49338,부산 사하구 괴정동 255번지(2~7층),051-205-6119
1001808,이원외신경외과의원,49482,부산 사하구 장림번영로 44 (장림동),051-265-1233
1001815,김정일치과,47286,부산 부산진구 중앙대로 705 (부전동),051-803-3423
1001838,유어스치과의원,49408,부산 사하구 낙동대로 453 (하단동),051-208-2098
1001875,대동병원,47737,"부산 동래구 충렬대로181번길 22 (명륜동, 대동병원)",051-550-9350
1001876,(의)광혜의료재단광혜병원,47821,부산 동래구 충렬대로 96 (온천동),051-590-3312
1001883,동래봉생병원,47889,부산 동래구 안연로109번길 27 (안락동),051-520-5518
1001884,세웅병원,46327,부산 금정구 서동로 162 (서동),051-500-9564
1001887,(의)선우의료재단BHS한서병원,48253,부산 수영구 수영로 615 (광안동),051-756-0081
1001911,서일의료재단 기장병원,46072,부산 기장군 기장읍 대청로72번길 6 ,051-723-0171
1001950,누가정형외과재활의학과의원,46330,부산 금정구 금사로 122 (금사동),051-531-2331
1001957,성암정형외과의원,47797,부산 동래구 충렬대로 393 19/1 (안락동),051-526-0066
1001971,전광남정형외과의원,48043,부산 해운대구 선수촌로 8-2 (반여동),051-527-8800
1001996,조성호정형외과의원,48054,부산 해운대구 해운대로91번길 10 (재송동),051-782-1301
1002000,이준희정형외과,48019,부산 해운대구 아랫반송로 37 (반송동),051-543-9564
1002027,세민정형외과의원,48095,부산 해운대구 중동1로 15-2 (우동),051-743-5731
1002031,보람신경외과의원,47795,부산 동래구 충렬대로459번길 1 (안락동),051-525-8275
1002034,경동정형외과의원,46065,부산 기장군 기장읍 읍내로 116 3층 (메디컬센터2),051-722-8500
1002036,수민정형외과의원,48277,"부산 수영구 광남로 211 (민락동, 미래파크빌딩)",051-757-6060
1002041,김두정정형외과의원,46272,부산 금정구 부곡로 117 (부곡동),051-583-8181
1002043,최진섭신경외과의원,46226,"부산 금정구 두실로 36 4,5층 (남산동)",051-515-4845
1002047,남산하나정형외과의원,46219,부산 금정구 중앙대로 2049 (남산동),051-515-8003
1002050,구순본정형외과의원,48105,부산 해운대구 좌동순환로 450 (중동),051-742-8008
1002051,예일신경외과의원,47852,부산 동래구 아시아드대로 191 (사직동),
1002053,사직정형외과의원,47866,"부산 동래구 사직북로 18 대성빌딩 3,4층 (사직동)",051-502-8275
1002066,리더스차치과의원,609819,부산 금정구 부곡3동 중앙대로 1727 (가나빌딩 4-5층),051-518-0251
1002070,아름다운 이치과의원,47734,부산 동래구 중앙대로 1325 3이센타워7층 (온천동),051-553-7528
1002072,(의)삼세의료재단삼세한방병원,46302,부산 금정구 중앙대로 1580 (부곡동),051-583-5400
1002089,부산보훈병원,46996,부산 사상구 백양대로 420 (주례동),051-601-6140
1002090,의료법인은성의료재단삼선병원,47007,부산 사상구 가야대로 326 (주례동),051-310-9441
1002122,김판석정형외과,46946,부산 사상구 사상로 359 (덕포동),051-302-1011
1002127,서강정형외과,47039,부산 사상구 낙동대로 776 (엄궁동),051-327-2223
1002157,활기찬정형외과,47569,"부산 연제구 과정로 180 3층 304,305호 (연산동)",051-324-8275
1002160,문희철정형외과의원,46612,부산 북구 덕천로 300 (만덕동),051-335-0075
1002165,구포하나정형.신경외과의원,46582,부산 북구 백양대로 1149 (구포동),051-3366-119
1002166,한결의원,47050,부산 사상구 대동로 109-1 (학장동),051-315-8448
1002188,소명한의원,46566,부산 북구 덕천로 299 (만덕동),051-343-2112
1002193,제주대학교병원,63241,"제주 제주시 아란13길 15 (아라일동, 제주대학교병원)",064-717-1037
1002196,제주특별자치도서귀포의료원,63585,제주 서귀포시 장수로 47 (동홍동),064-730-3153
1002197,의료법인혜인의료재단한국병원,63183,제주 제주시 서광로 193 (삼도일동),064-750-0421
1002201,한마음병원,63227,"제주 제주시 연신로 52 (이도이동, 한마음병원)",064-750-9198
1002203,제주한라병원,63127,제주 제주시 도령로 65 (연동),064-740-5339
1002219,김헌지정형외과,63273,제주 제주시 동광로15길 4 (일도이동),064-755-1081
1002224,365제주의원,63207,"제주특별자치도 제주시 서광로 302 2,5,6층 (이도이동)",064-753-4646
1002251,서상록한의원,63584,제주 서귀포시 중앙로 123 (서홍동),064-762-0762
1002254,명가한의원,63141,제주 제주시 수목원길 41 (연동),064-755-3636
1002255,가천대 길병원(중앙길병원),21565,"인천 남동구 남동대로774번길 21 (구월동, 가천대학교 길병원)",032-460-3151
1002256,인하대학교 의과대학 부속병원,22332,"인천 중구 인항로 27 (신흥동3가, 인하대학병원)",032-890-2335
1002257,인천기독병원,22320,"인천 중구 답동로30번길 10 (율목동, 인천기독병원)",032-270-8442
1002258,인천광역시의료원,22532,인천 동구 방축로 217 (송림동),032-580-6572
1002270,인천사랑병원,22135,인천 미추홀구 미추홀대로 726 (주안동),032-958-8114
1002280,전병원,21540,인천 남동구 인주대로 845 전병원 (만수동),032-464-6181
1002318,성모외과의원,22126,인천 미추홀구 석정로 387 (주안동),032-866-9076
1002340,새안의원,22214,"인천 미추홀구 인주대로 332 202, 203호 (주안동)",032-864-1160
1002433,서울이룸병원,21547,인천 남동구 구월로 241 (구월동),032-469-4394
1002441,남동성모외과의원,21534,인천 남동구 호구포로 788-16 (구월동),032-465-6342
1002445,이상권정형외과의원,21510,"인천 남동구 백범로 374 (간석동, (간석동, 이상권정형외과의원))",032-424-0061
1002460,연세정형외과의원,21954,인천 연수구 비류대로 194 (옥련동),032-834-7000
1002463,인천제일의원,22169,인천 미추홀구 경인로 32 (숭의동),032-883-6556
1002466,서울정형외과의원(연수동),21913,인천 연수구 비류대로433번길 3 (연수동),032-821-7600
1002469,위성정형외과의원,21545,인천 남동구 남동대로 902-1 (간석동),032-429-3383
1002493,세강정형외과의원,22551,인천 동구 화도진로 38-1 (송현동),032-766-3001
1002498,두리신경외과의원,22227,인천 미추홀구 인하로 301 (주안동),032-438-6313
1002501,금강정형외과의원,22326,인천 중구 서해대로494번길 1 (유동),032-881-7541
1002526,중앙메디칼의원,22213,인천 미추홀구 인주대로 282 (주안동),032-866-0800
1002531,동아치과병원,22145,인천 미추홀구 경인로 462 동아생명빌딩 3층 (주안동),032-427-7575
1002556,남치과의원,22531,인천 동구 봉수대로 98 (송림동),032-576-2828
1002570,장 한의원,21536,인천 남동구 호구포로 782 (구월동),032-466-2500
1002571,학익 한의원,22226,인천 미추홀구 매소홀로 446 대성빌딩 2층 (학익동),032-875-9595
1002579,세종병원,14754,경기 부천시 소사구 호현로489번길 28 (소사본동),032-340-1857
1002581,가톨릭대학교 부천성모병원,14647,경기 부천시  소사로 327 (소사동),032-340-2322
1002586,순천향대학교 부천병원,14584,경기 부천시 원미구 조마루로 170 (중동),032-621-5559
1002635,황종대정형외과의원,14671,경기 부천시 원미구 역곡로 15 (역곡동),032-342-4842
1002636,현대정형외과의원,14682,경기 부천시 소사구 경인로 478 (괴안동),032-343-7555
1002645,성심정형외과의원,14727,경기 부천시  경인로 110 2층 (송내동),032-655-4477
1002649,고려정형외과의원,14427,경기 부천시 오정구 소사로 789 (원종동),032-673-0156
1002651,서울정형외과의원(김포),10101,"경기 김포시 북변중로 135 303호 (북변동, 미송빌딩)",031-984-0511
1002697,중앙정형외과의원(김포),10098,경기 김포시 북변로 23 (북변동),031-983-0291
1002721,유창정형외과,14585,경기 부천시 원미구 부흥로 203 (중동),032-662-7582
1002729,최병욱정형외과의원,14598,경기 부천시 원미구 상일로 100 부건프라자3층 (상동),032-323-0083
1002730,고려정형외과의원(김포),10018,경기 김포시 통진읍 김포대로2230번길 14-1 ,031-987-6222
1002750,김포삼성의원,10113,"경기 김포시 풍무로 128 310호 (풍무동, 웰라움퍼펙트시티)",031-998-7775
1002751,서울정형외과의원(소사구),14711,경기 부천시 소사구 성주로 271 (심곡본동),032-611-6646
1002816,(학교법인)(학교법인)아주대학교의료원,16499,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교 의료원)",031-219-5434
1002817,가톨릭대학교성빈센트병원,16247,경기 수원시 팔달구 중부대로 93 (지동),031-249-7078
1002818,녹산의료재단동수원병원,16494,경기 수원시 팔달구 중부대로 165 (우만동),031-210-0141
1002819,의료법인박애의료재단 박애병원,17909,"경기 평택시 평택2로20번길 3 (평택동, 박애병원)",031-650-9492
1002820,경기도의료원 안성병원,17568,경기 안성시 남파로 95 (당왕동),031-8046-5172
1002822,(학교법인)연세의대용인세브란스병원,16995,경기도 용인시 기흥구 동백죽전대로 363 ,031-5189-8026
1002826,강남병원,17064,"경기 용인시 기흥구 중부대로 411 (신갈동, 강남병원)",031-300-0186
1002851,(의)장산의료재단이춘택병원,16465,경기 수원시 팔달구 매산로 138 (교동),031-228-0407
1002856,수원중앙병원(청파의료재단),16565,경기 수원시 권선구 권선로 654 (권선동),031-229-9562
1002873,성심중앙병원,17936,경기 평택시 안중읍 안현로서6길 16 ,031-681-1119
1002917,서울의원,17936,경기 평택시 안중읍 안현로서2길 20 (서울의원),031-682-5127
1002929,경성의원,18593,경기 화성시 향남읍 평4길 6-5 ,031-353-1163
1002930,용인정형외과의원,17051,경기 용인시 처인구 중부대로 1485 (김량장동),031-333-5920
1002935,조정형외과의원,16967,경기 용인시 기흥구 중부대로 343 (신갈동),031-283-1211
1002952,성모정형외과,18593,경기 화성시 향남읍 삼천병마로 177 ,031-352-5871
1002970,연세정형외과의원,16608,경기 수원시 권선구 수인로 169 (서둔동),031-294-0890
1002998,한마음외과의원,16580,경기 수원시 권선구 경수대로 323 (세류동),031-235-7766
1003012,새서울메디컬의원,18401,경기 화성시 경기대로 1042 (진안동),031-238-8278
1003055,세류정형외과의원,16587,경기 수원시 권선구 덕영대로 1083 (세류동),031-223-8575
1003074,박동수외과의원,18384,경기 화성시 효행로 1385 (반월동),031-204-8275
1003079,사강정형외과의원,18550,경기 화성시 송산면 사강로 212 (봉가리 162-1),031-357-7588
1003080,세원정형외과의원,16351,"경기 수원시 장안구 파장로46번길 2 2층 (파장동, 농협)",031-254-7582
1003098,연세제일의원,17933,경기 평택시 안중읍 안중로131번길 5 ,031-683-2580
1003099,현대의원(탑동),16604,"경기 수원시 권선구 금호로 238 (탑동, 외1)",031-297-7575
1003103,연세제일정형외과,16441,경기 수원시 팔달구 팔달로119번길 2 (화서동),031-251-9500
1003106,새연세정형외과의원,16337,"경기 수원시 장안구 파장로 91 (정자동, 201, 202(정자동))",031-242-3375
1003110,조암정형외과,18567,경기 화성시 우정읍 3.1만세로 51-1 (조암정형외과),031-358-7700
1003111,서울삼성의원,17158,경기 용인시 처인구 양지면 양지로 140 (서울삼성의원),031-338-7582
1003118,서울정형외과(장안구),16334,"경기 수원시 장안구 대평로90번길 8 401호 (정자동, 화이트쇼핑몰, 한빛프라자)",031-269-7585
1003121,현대정형외과의원,17035,경기 용인시 처인구 모현읍 백옥대로 2388 ,031-322-3080
1003123,의료법인 한사랑의원,16348,경기 수원시 장안구 경수대로 1091 (파장동),031-248-1226
1003129,정남의원,18519,경기 화성시 정남면 만년로 467 (정남의원),031-354-3977
1003132,한일의원,17178,경기 용인시 처인구 백암면 백암로 212 ,031-333-2306
1003139,서울정형외과의원,18593,경기 화성시 향남읍 삼천병마로 189 ,031-353-7588
1003154,남문치과의원,16261,경기 수원시 팔달구 정조로 783 (팔달로2가),031-255-8811
1003155,정치과의원,16455,경기 수원시 팔달구 매산로 3 (매산로1가),031-0256-6010
1003156,서울치과의원,17943,경기 평택시 안중읍 안현로서8길 17 3층 (현화메디컬센터),031-681-2875
1003171,의료법인녹산의료재단 동수원한방병원,16494,경기 수원시 팔달구 중부대로 165 (우만동),031-210-0145
1003178,권선한의원,16581,경기 수원시 권선구 세권로 186 (권선동),031-0238-8666
1003186,김선호한의원,16340,경기 수원시 장안구 장안로 232 1차상가 201호 (정자동),031-0242-9245
1003195,경기도의료원의정부병원,11671,"경기 의정부시 흥선로 142 (의정부동, 경기도도립의료원의정부병원)",031-828-5000
1003196,경기도립의료원 포천병원,11142,경기 포천시 포천로 1648 (신읍동),031-539-9138
1003199,의정부성모병원,11765,"경기 의정부시 천보로 271 (금오동, 의정부성모병원)",031-820-3416
1003200,명지의료재단 명지병원,10475,경기 고양시덕양구 화정동 697-24,031-810-5194
1003205,한대의대부속구리병원,11923,경기 구리시 경춘로 153 (교문동),031-560-2961
1003207,국민건강보험공단일산병원,10444,"경기 고양시 일산동구 일산로 100 (백석동, 국민건강보험 일산병원)",031-900-0185
1003209,인제대학교부속일산백병원,10380,경기 고양시 일산서구 주화로 170 (대화동),031-910-7452
1003219,능곡의원,10507,경기 고양시 덕양구 지도로 105 (토당동),031-972-1112
1003221,연천군보건의료원,11027,경기 연천군 전곡읍 은대성로 95 (연천군보건의료원),031-839-4138
1003234,봉일천성심연합의원,10937,경기 파주시 조리읍 봉천로 29 ,031-945-0350
1003239,원진녹색병원,11919,경기 구리시 동구릉로 65 (인창동),031-550-1061
1003243,강병원,11144,"경기 포천시 포천로 1570 (신읍동, 정우빌딩)",031-535-2119
1003257,염정형외과의원,11697,경기 의정부시 시민로 130-1 (의정부동),031-877-0610
1003258,성심정형외과의원(의정부),11692,"경기 의정부시 호국로 1288 (의정부동, .)",031-846-2954
1003292,윤홍식정형외과,11444,경기 양주시 평화로 1452 (덕계동),031-866-8275
1003383,전곡정형외과의원,11034,경기 연천군 전곡읍 전곡로 148 ,031-832-8430
1003390,동부정형외과의원,12258,경기 남양주시 경춘로 456 (지금동),031-567-3400
1003394,연세의원,11419,경기 양주시 광적면 광적로 4 천성빌딩 2층,031-836-8412
1003414,고양정형외과의원,10416,경기 고양시 일산동구 일산로 211 (마두동),031-905-9700
1003429,호산정형외과의원,10510,경기 고양시 덕양구 지도로 27 (토당동),031-973-0126
1003439,서울의원,12019,경기 남양주시 진접읍 광릉내로 108 ,031-528-2297
1003480,문산서울정형외과의원,10823,경기 파주시 문산읍 문산리 37-19번지,031-952-3198
1003500,덕소서울정형외과의원,12211,경기 남양주시 와부읍 덕소로97번길 6 ,031-577-8275
1003501,성심외과의원,11104,경기 포천시 영북면 영북로 180-1 ,031-532-3500
1003507,삼성정형외과,11941,경기 구리시 이문안로 95 (수택동),031-557-5800
1003515,이명형정형외과의원,10342,경기 고양시 일산서구 원일로 81 (일산동),031-975-7887
1003517,포천외과의원,11147,경기 포천시 구절초로 17 대원빌딩 2층 (신읍동),031-535-4756
1003518,교하하나의원,413833,경기 파주시 교하읍 동패리 3011-3 센타프라자 5층,031-946-8211
