소매인구분,업소명,업소지번주소,업소도로명주소,업소전화번호,지정일자,영업구분,데이터기준일자
일반소매인,세븐일레븐 제천중앙로점,충청북도 제천시 중앙로2가 73-12,충청북도 제천시 의림대로20길 1 (중앙로2가),,2023-01-20,정상영업,2024-09-12
일반소매인,아이스크림세상과마트,충청북도 제천시 청전동 987 덕일한마음아파트,충청북도 제천시 의림대로33길 62. 덕일한마음아파트 10동 1층 110호 (청전동),,2023-01-16,정상영업,2024-09-12
일반소매인,예스마트,충청북도 제천시 봉양읍 봉양리 708-4,충청북도 제천시 봉양읍 제원로 209,,2023-01-13,정상영업,2024-09-12
구내소매인,씨유 제천종합터미널점,충청북도 제천시 의림동 8-21,충청북도 제천시 칠성로10길 21 (의림동),,2023-01-11,정상영업,2024-09-12
일반소매인,정희슈퍼민박,충청북도 제천시 덕산면 수산리 295-11,충청북도 제천시 덕산면 월악산로 61,,2023-01-10,정상영업,2024-09-12
일반소매인,한서 편의점,충청북도 제천시 명지동 7-1,충청북도 제천시 북부로 2263 (명지동),,2023-01-05,정상영업,2024-09-12
일반소매인,씨유제천청전센터점,충청북도 제천시 청전동 82-2,충청북도 제천시 내제로 285 (청전동),,2023-01-02,정상영업,2024-09-12
일반소매인,세븐일레븐 제천서희스타힐스점,충청북도 제천시 화산동 1009 서희스타힐스,충청북도 제천시 원화산로 43. 상가동 101호 (화산동. 서희스타힐스),,2022-12-23,정상영업,2024-09-12
구내소매인,지에스(GS)25 제천재림점,충청북도 제천시 장락동 849,충청북도 제천시 청전대로 216. 101호 (장락동),,2022-12-21,정상영업,2024-09-12
일반소매인,세븐일레븐 제천장락죽하로점,충청북도 제천시 장락동 435-4,충청북도 제천시 죽하로11길 1. 1층 (장락동),,2022-12-14,정상영업,2024-09-12
일반소매인,이마트24 제천고암점,충청북도 제천시 고암동 163-23,충청북도 제천시 내토로 1103. 1층 (고암동),,2022-12-07,정상영업,2024-09-12
일반소매인,휴대폰하우스 이마트점(주식회사 이룸),충청북도 제천시 강제동 686-1,충청북도 제천시 고명로 6-8. 102호 (강제동),,2022-11-28,정상영업,2024-09-12
일반소매인,GS25 제천봉양점,충청북도 제천시 봉양읍 주포리 200-4,충청북도 제천시 봉양읍 주포로 96,,2022-11-28,정상영업,2024-09-12
일반소매인,세븐일레븐 제천고암백로점,충청북도 제천시 고암동 1100-23,충청북도 제천시 신죽하로 113-10. 1층 (고암동),,2022-11-21,정상영업,2024-09-12
일반소매인,세운로또복권,충청북도 제천시 의림동 304,충청북도 제천시 내제로 182 (의림동),,2022-11-07,정상영업,2024-09-12
일반소매인,세븐일레븐 제천빌리지점,충청북도 제천시 교동 90-1,충청북도 제천시 용두천로 170-1 (교동),,2022-10-19,정상영업,2024-09-12
일반소매인,센트럴코아루마트,충청북도 제천시 강제동 805 센트럴코아루,충청북도 제천시 강저로11나길 13. 상가동 101호 (강제동. 센트럴코아루),,2022-10-19,정상영업,2024-09-12
일반소매인,왕대박로또,충청북도 제천시 남천동 962,충청북도 제천시 의병대로 120. 1층 (남천동),,2022-10-19,정상영업,2024-09-12
일반소매인,간식연구소 백원상점,충청북도 제천시 강제동 808,충청북도 제천시 강저로12길 3. 106.107호 (강제동),,2022-10-18,정상영업,2024-09-12
일반소매인,지에스25(GS25)제천세명점,충청북도 제천시 모산동 105-15,충청북도 제천시 세명로 52. 1층 (모산동),,2022-10-05,정상영업,2024-09-12
일반소매인,씨유제천중앙초점,충청북도 제천시 청전동 627,충청북도 제천시 고암로1길 1. 1층 (청전동),,2022-09-30,정상영업,2024-09-12
일반소매인,맨투맨24시 편의점,충청북도 제천시 화산동 208-10,충청북도 제천시 의림대로 8-1 (화산동),043-645-3549,2022-09-01,정상영업,2024-09-12
일반소매인,세븐일레븐 제천신죽하로점,충청북도 제천시 장락동 553-4,충청북도 제천시 신죽하로 57. 1층 (장락동),,2022-08-30,정상영업,2024-09-12
일반소매인,지에스(GS)25 고암 두진점,충청북도 제천시 고암동 1150,충청북도 제천시 용두천로46길 11. 1층 (고암동),,2022-08-26,정상영업,2024-09-12
일반소매인,세븐일레븐 제천학사점,충청북도 제천시 신월동 1381,충청북도 제천시 학사촌길 6. 1층 (신월동),,2022-08-18,정상영업,2024-09-12
일반소매인,(주)코리아세븐 제천사랑점,충청북도 제천시 청전동 107-1,충청북도 제천시 의림대로31길 3. 1층 (청전동),1577-0711,2022-08-09,정상영업,2024-09-12
일반소매인,강원상회,충청북도 제천시 의림동 26-14,충청북도 제천시 숭문로18길 15 (의림동),,2022-07-29,정상영업,2024-09-12
일반소매인,씨유제천장락단아점,충청북도 제천시 장락동 546-8,충청북도 제천시 죽하로15길 3 (장락동),,2022-07-25,정상영업,2024-09-12
일반소매인,남현슈퍼,충청북도 제천시 동현동 35-57,충청북도 제천시 풍양로21안길 49 (동현동),,2022-07-25,정상영업,2024-09-12
일반소매인,세븐일레븐 제천두진백로점,충청북도 제천시 청전동 836,충청북도 제천시 내제로25길 14 (청전동),,2022-07-21,정상영업,2024-09-12
일반소매인,이마트24 제천장락타운점,충청북도 제천시 장락동 676-2,충청북도 제천시 장락로 48. 1층 (장락동),,2022-07-19,정상영업,2024-09-12
일반소매인,이마트24제천화산센터점,충청북도 제천시 화산동 637,충청북도 제천시 내토로 513 (화산동),,2022-06-22,정상영업,2024-09-12
일반소매인,씨유제천장락4단지점,충청북도 제천시 장락동 1043 제천장락4주공아파트,충청북도 제천시 내토로59길 7. 상가동 1층 102호. 103호. 104호 (장락동. 제천장락4주공아파트),,2022-06-15,정상영업,2024-09-12
일반소매인,탁사정마트,충청북도 제천시 봉양읍 구학리 234,충청북도 제천시 봉양읍 제원로 426,,2022-05-31,정상영업,2024-09-12
일반소매인,GS25 제천현대점,충청북도 제천시 대랑동 270-5,충청북도 제천시 단양로 3012. 1층 (대랑동),,2022-05-30,정상영업,2024-09-12
일반소매인,세븐일레븐 제천백운점,충청북도 제천시 백운면 평동리 211,충청북도 제천시 백운면 애련로 4,,2022-04-11,정상영업,2024-09-12
일반소매인,세계주류전문점,충청북도 제천시 명동 233-2,충청북도 제천시 의림대로 53 (명동),043-646-2259,2022-03-08,정상영업,2024-09-12
일반소매인,주막거리슈퍼,충청북도 제천시 송학면 포전리 323-1,충청북도 제천시 송학면 송학주천로 420,,2022-02-21,정상영업,2024-09-12
일반소매인,씨유제천원제빌점,충청북도 제천시 청전동 159-13,충청북도 제천시 칠성로 91. 1층 (청전동),,2022-02-18,정상영업,2024-09-12
일반소매인,지에스25 제천신월점,충청북도 제천시 신월동 1254,충청북도 제천시 대학로 253 (신월동),,2022-02-10,정상영업,2024-09-12
일반소매인,제천 전자담배,충청북도 제천시 하소동 323-12,충청북도 제천시 용두대로17길 2 (하소동),,2022-02-03,정상영업,2024-09-12
일반소매인,세븐일레븐제천왕암센터점,충청북도 제천시 왕암동 88-11,충청북도 제천시 바이오밸리로 199. 1층 (왕암동),,2022-01-27,정상영업,2024-09-12
일반소매인,명보휴게매점,충청북도 제천시 수산면 수곡리 1540,충청북도 제천시 수산면 월악로 2657,,2021-12-20,정상영업,2024-09-12
일반소매인,씨유제천광진타운점,충청북도 제천시 청전동 497-46,충청북도 제천시 내제로15길 1. 1층 101. 102호 (청전동),,2021-12-07,정상영업,2024-09-12
일반소매인,세븐일레븐 제천법원점,충청북도 제천시 청전동 168-3,충청북도 제천시 칠성로9길 22. 1층 (청전동),,2021-11-22,정상영업,2024-09-12
일반소매인,수산나드리 영농조합법인,충청북도 제천시 수산면 괴곡리 산 105-4,충청북도 제천시 수산면 옥순봉로 342,043-646-8311,2021-10-20,정상영업,2024-09-12
일반소매인,씨유(CU) 제천하소중앙점,충청북도 제천시 하소동 71-3 1층,충청북도 제천시 하소로 46. 1층 (하소동),,2021-08-13,정상영업,2024-09-12
일반소매인,두진하이퍼마켓,충청북도 제천시 청전동 985 두진백로아파트 상가 2동 108호,충청북도 제천시 내제로 211. 두진백로아파트 상가 2동 108호 (청전동),,2021-08-13,정상영업,2024-09-12
일반소매인,지에스25 신백화성점,충청북도 제천시 신백동 203-34,충청북도 제천시 신백로14길 8 (신백동),,2021-08-12,정상영업,2024-09-12
구내소매인,(주)제이에스유통,충청북도 제천시 장락동 406-3 1층,충청북도 제천시 장락로 146. 1층 (장락동),,2021-08-03,정상영업,2024-09-12
일반소매인,지에스25 제천휴게소,충청북도 제천시 송학면 무도리 12-1,충청북도 제천시 송학면 북부로 3392,,2021-08-02,정상영업,2024-09-12
일반소매인,세븐일레븐 제천 나이스점,충청북도 제천시 청전동 449-1,충청북도 제천시 청전대로 43 (청전동),,2021-07-15,정상영업,2024-09-12
일반소매인,은혜슈퍼,충청북도 제천시 영천동 440,충청북도 제천시 의림대로7길 8 (영천동),,2021-07-01,정상영업,2024-09-12
일반소매인,미니스톱 제천센터점,충청북도 제천시 의림동 38-1 101호,충청북도 제천시 독순로9길 16. 101호 (의림동),,2021-06-16,정상영업,2024-09-12
일반소매인,지에스(GS)25 남제천휴게소점,충청북도 제천시 금성면 월림리 178-4 1동 1호,충청북도 제천시 금성면 청풍호로 743. 1동 1층 1호,,2021-06-02,정상영업,2024-09-12
일반소매인,청풍대물낚시,충청북도 제천시 수산면 수산리 241-3 비동,충청북도 제천시 수산면 월악로 3184. 비동 1층,,2021-06-01,정상영업,2024-09-12
일반소매인,(주)비지에프휴먼넷 CU리솜레스트리점,충청북도 제천시 백운면 평동리 707 레스트리동 지하1층,충청북도 제천시 백운면 금봉로 365. 레스트리동 지하1층,,2021-05-07,정상영업,2024-09-12
일반소매인,이마트24 제천용두점,충청북도 제천시 교동 98-10,충청북도 제천시 용두천로 140 (교동),,2021-04-27,정상영업,2024-09-12
일반소매인,억수주차장슈퍼,충청북도 제천시 덕산면 월악리 123-1,충청북도 제천시 덕산면 월악산로 913,,2021-04-20,정상영업,2024-09-12
일반소매인,지에스(GS)25 청전사거리,충청북도 제천시 청전동 84-4 1층,충청북도 제천시 용두천로 213. 1층 (청전동),,2021-04-13,정상영업,2024-09-12
일반소매인,주식회사 씨케이,충청북도 제천시 장락동 407,충청북도 제천시 청전대로 251 (장락동),043-653-6000,2021-03-23,정상영업,2024-09-12
일반소매인,유전 터진 마트,충청북도 제천시 산곡동 242-3,충청북도 제천시 청풍호로 294 (산곡동),,2021-03-17,정상영업,2024-09-12
일반소매인,이마트24 제천고명점,충청북도 제천시 고명동 809-1,충청북도 제천시 단양로 3320 (고명동),,2021-02-26,정상영업,2024-09-12
일반소매인,박달재휴게소,충청북도 제천시 백운면 평동리 125,충청북도 제천시 백운면 북부로 585,,2021-02-10,정상영업,2024-09-12
일반소매인,주식회사에브리마트,충청북도 제천시 왕암동 851,충청북도 제천시 소새로 16 (왕암동),043-645-6662,2021-02-05,정상영업,2024-09-12
일반소매인,사거리마트,충청북도 제천시 의림동 27-3 1층,충청북도 제천시 칠성로8길 14. 1층 (의림동),,2021-01-29,정상영업,2024-09-12
일반소매인,제천로또,충청북도 제천시 청전동 87-11,충청북도 제천시 내제로 271 (청전동),,2021-01-27,정상영업,2024-09-12
구내소매인,지에스(GS)25 제천강제점,충청북도 제천시 강제동 853 5.6호,충청북도 제천시 청풍호로10길 50. 5.6호 (강제동),,2021-01-08,정상영업,2024-09-12
일반소매인,세븐일레븐 제천부영점,충청북도 제천시 신월동 1414 부영사랑으로 상가동 102. 103호,충청북도 제천시 대학로12길 8. 상가동 102.103호 (신월동. 부영사랑으로),,2021-10-05,정상영업,2024-09-12
일반소매인,이마트24 SMART인산인해점,충청북도 제천시 송학면 시곡리 192-26,충청북도 제천시 송학면 북부로 3500. 1층,,2021-10-05,정상영업,2024-09-12
일반소매인,세븐일레븐 제천장락주공점,충청북도 제천시 장락동 1040 제천장락3주공아파트,충청북도 제천시 장락로 130. 제상가동 제1층 103호.104호 (장락동. 제천장락3주공아파트),,2021-10-05,정상영업,2024-09-12
일반소매인,(주) 비지에프휴먼넷 CU 리솜포레스트점,충청북도 제천시 백운면 평동리 707 포레스트 리솜,충청북도 제천시 백운면 금봉로 365. 포레스트 리솜,,2020-12-31,정상영업,2024-09-12
일반소매인,나드리마트,충청북도 제천시 하소동 366,충청북도 제천시 하소로1안길 8-1 (하소동),,2020-12-31,정상영업,2024-09-12
일반소매인,세명,충청북도 제천시 왕암동 88-18,충청북도 제천시 바이오밸리로 211 (왕암동),,2020-12-31,정상영업,2024-09-12
일반소매인,세븐일레븐 제천금성청풍점,충청북도 제천시 금성면 구룡리 466-45,충청북도 제천시 금성면 청풍호로 1020,,2020-12-29,정상영업,2024-09-12
일반소매인,조은식자재할인마트,충청북도 제천시 명동 197-4,충청북도 제천시 동명로 68 (명동),,2020-11-30,정상영업,2024-09-12
일반소매인,씨유 제천우리점,충청북도 제천시 중앙로2가 84-5,충청북도 제천시 의림대로16길 13 (중앙로2가),,2020-11-23,정상영업,2024-09-12
일반소매인,화산복권판매점,충청북도 제천시 화산동 739 1층,충청북도 제천시 내토로 472-1. 1층 (화산동),,2020-11-23,정상영업,2024-09-12
일반소매인,주식회사 행복한식자재마트,충청북도 제천시 하소동 68-11 1층,충청북도 제천시 하소로 54. 1층 (하소동),,2020-11-20,정상영업,2024-09-12
일반소매인,문화컴퓨터,충청북도 제천시 중앙로2가 81-1,충청북도 제천시 명륜로 122 (중앙로2가),043-645-3934,2020-10-28,정상영업,2024-09-12
일반소매인,기적복권,충청북도 제천시 명동 192-19,충청북도 제천시 내제로 46 (명동),,2020-10-28,정상영업,2024-09-12
일반소매인,현대유통,충청북도 제천시 영천동 515,충청북도 제천시 의림대로 11 (영천동),,2020-10-23,정상영업,2024-09-12
일반소매인,씨유 제천수산점,충청북도 제천시 수산면 수산리 609-6,충청북도 제천시 수산면 월악로 3073,,2020-10-23,정상영업,2024-09-12
일반소매인,지에스(GS)25 제천덕일점,충청북도 제천시 청전동 987 덕일한마음아파트 상가동 101호,충청북도 제천시 의림대로33길 70. 덕일한마음아파트 상가동 101호 (청전동),,2020-10-16,정상영업,2024-09-12
일반소매인,세븐일레븐 제천아침도시점,충청북도 제천시 하소동 209-45 101호,충청북도 제천시 용두대로5길 33-4. 101호 (하소동),,2020-09-22,정상영업,2024-09-12
일반소매인,태양슈퍼,충청북도 제천시 송학면 무도리 142-9,충청북도 제천시 송학면 송학로 290,,2020-09-21,정상영업,2024-09-12
일반소매인,씨유 제천청전대로점,충청북도 제천시 청전동 636 CU 편의점,충청북도 제천시 청전대로 167. CU 편의점 (청전동),,2020-09-21,정상영업,2024-09-12
일반소매인,증기기관,충청북도 제천시 남천동 365,충청북도 제천시 풍양로 123 (남천동),,2020-08-21,정상영업,2024-09-12
일반소매인,드림마트,충청북도 제천시 왕암동 779 상가동 105호,충청북도 제천시 바이오밸리로 171. 상가동 105호 (왕암동),043-642-7000,2020-08-04,정상영업,2024-09-12
일반소매인,청동청과,충청북도 제천시 신백동 208-10 극동아파트 상가동 107호,충청북도 제천시 신백로 52. 극동아파트 상가동 1층 107호 (신백동),,2020-07-29,정상영업,2024-09-12
일반소매인,선물이야기,충청북도 제천시 서부동 232,충청북도 제천시 의병대로7길 1 (서부동),,2020-07-14,정상영업,2024-09-12
일반소매인,운칠복삼,충청북도 제천시 청전동 476-2,충청북도 제천시 명륜로3길 2 (청전동),,2020-07-10,정상영업,2024-09-12
일반소매인,아드레날린,충청북도 제천시 장락동 635-9,충청북도 제천시 청전대로 223 (장락동),,2020-07-10,정상영업,2024-09-12
일반소매인,21세기 로또,충청북도 제천시 청전동 108-14,충청북도 제천시 의림대로 234-2 (청전동),,2020-07-03,정상영업,2024-09-12
일반소매인,지에스25 제천시현,충청북도 제천시 청전동 325-10 1층,충청북도 제천시 의림대로 340. 1층 (청전동),,2020-07-03,정상영업,2024-09-12
일반소매인,현대제천대로셀프점,충청북도 제천시 청전동 125번지 12호 1층 E동,충청북도 제천시 의림대로 226. E동 1층 (청전동),043-642-8855,2020-06-17,정상영업,2024-09-12
구내소매인,국민연금공단 청풍리조트,충청북도 제천시 청풍면 교리 99번지 청풍 레이크 호텔 1층 편의점,충청북도 제천시 청풍면 청풍호로 1798. 청풍 레이크 호텔 1층 편의점,043-640-7190,2020-06-05,정상영업,2024-09-12
일반소매인,지에스(GS)25 제천고암점),충청북도 제천시 청전동 600번지 9호,충청북도 제천시 고암로8길 17 (청전동),,2020-04-27,정상영업,2024-09-12
일반소매인,남제천농협 (청풍지점),충청북도 제천시 청풍면 물태리 133번지 113호,충청북도 제천시 청풍면 청풍호로 2159,043-640-5865,2020-04-21,정상영업,2024-09-12
일반소매인,억수매점,충청북도 제천시 덕산면 월악리 340번지 1호,충청북도 제천시 덕산면 월악산로 709,,2020-04-20,정상영업,2024-09-12
일반소매인,화성하이마트,충청북도 제천시 신백동 197번지 2호 화성2차아파트 상가동 101호,충청북도 제천시 의병대로36길 21. 화성2차아파트 상가동 101호 (신백동),,2020-04-08,정상영업,2024-09-12
일반소매인,진성마트,충청북도 제천시 왕암동 804번지 1층,충청북도 제천시 소새로1길 19. 1층 (왕암동),,2020-03-10,정상영업,2024-09-12
일반소매인,세븐일레븐 제천제일점,충청북도 제천시 중앙로2가 28번지 1호 1층,충청북도 제천시 독순로 58. 1층 (중앙로2가),,2020-01-30,정상영업,2024-09-12
일반소매인,씨유제천신백장미점,충청북도 제천시 신백동 214번지,충청북도 제천시 신백로8길 31 (신백동),,2020-01-23,정상영업,2024-09-12
일반소매인,세븐일레븐제천청전비둘기점,충청북도 제천시 청전동 639번지 비둘기아파트 1층 113호,충청북도 제천시 의림대로 264. 비둘기아파트 1층 113호 (청전동),,2020-01-08,정상영업,2024-09-12
일반소매인,지에스25제천금성점,충청북도 제천시 금성면 구룡리 466번지 51호,충청북도 제천시 금성면 청풍호로 1030. 1층,,2019-11-19,정상영업,2024-09-12
일반소매인,지에스25제천내토점,충청북도 제천시 영천동 370번지,충청북도 제천시 내토로17길 12-1. 1층 (영천동),,2019-11-19,정상영업,2024-09-12
일반소매인,제천로또신,충청북도 제천시 고암동 1171번지 12호,충청북도 제천시 신죽하로 139. 102호 (고암동),,2019-10-29,정상영업,2024-09-12
일반소매인,이마트24제천대로점,충청북도 제천시 천남동 31번지 15호,충청북도 제천시 내토로 325 (천남동),,2019-10-26,정상영업,2024-09-12
일반소매인,씨유제천청전동아점,충청북도 제천시 청전동 105번지 1호,충청북도 제천시 의림대로 255 (청전동),,2019-10-11,정상영업,2024-09-12
일반소매인,씨유 제천여중점,충청북도 제천시 청전동 2번지 22호,충청북도 제천시 용두천로 322 (청전동),,2019-09-16,정상영업,2024-09-12
일반소매인,하나프레시 제천지점,충청북도 제천시 화산동 972번지,충청북도 제천시 원화산로 93 (화산동),,2019-09-11,정상영업,2024-09-12
일반소매인,GS25제천신백점,충청북도 제천시 신백동 183번지 13호,충청북도 제천시 의병대로 247 (신백동),,2019-09-04,정상영업,2024-09-12
일반소매인,도기상회,충청북도 제천시 덕산면 도기리 434번지,충청북도 제천시 덕산면 대동길 15,,2019-09-03,정상영업,2024-09-12
일반소매인,지에스25제천남천점,충청북도 제천시 남천동 1186번지,충청북도 제천시 용두천로8길 1 (남천동),,2019-07-30,정상영업,2024-09-12
일반소매인,홈마트신백2호점,충청북도 제천시 신백동 207번지 2호,충청북도 제천시 신백로 43 (신백동),,2019-07-23,정상영업,2024-09-12
일반소매인,제천밧데리,충청북도 제천시 청전동 75번지 2호,충청북도 제천시 용두천로 231 (청전동),,2019-05-29,정상영업,2024-09-12
일반소매인,(주)대왕푸드,충청북도 제천시 화산동 831번지,충청북도 제천시 내토로 486-2 (화산동),043-645-9993,2019-05-27,정상영업,2024-09-12
일반소매인,세븐일레븐 영서오거리점,충청북도 제천시 서부동 718번지,충청북도 제천시 내제로6길 3 (서부동),,2019-05-27,정상영업,2024-09-12
일반소매인,의림지 휴게쉼터,충청북도 제천시 모산동 238번지 16호,충청북도 제천시 의림지로 33 (모산동),,2019-05-15,정상영업,2024-09-12
일반소매인,청전마트,충청북도 제천시 청전동 98번지 6호,충청북도 제천시 의림대로32길 38 (청전동),,2019-04-27,정상영업,2024-09-12
일반소매인,GS25남제천IC,충청북도 제천시 산곡동 177번지 7호,충청북도 제천시 청풍호로 366 (산곡동),,2019-04-18,정상영업,2024-09-12
일반소매인,CU제천송학휴게소점,충청북도 제천시 송학면 무도리 8번지 11호,충청북도 제천시 송학면 북부로 3413,043-648-2460,2019-03-25,정상영업,2024-09-12
일반소매인,씨유 제천하소정류장점,충청북도 제천시 하소동 186번지 11호,충청북도 제천시 용두대로11길 3. 1층 (하소동),,2019-03-19,정상영업,2024-09-12
일반소매인,씨유제천영천점,충청북도 제천시 영천동 1425번지,충청북도 제천시 청풍호로 51 (영천동),,2019-03-12,정상영업,2024-09-12
일반소매인,송계24시편의.정육점,충청북도 제천시 한수면 송계리 716번지,충청북도 제천시 한수면 미륵송계로 1597,,2019-03-07,정상영업,2024-09-12
일반소매인,지에스25고암주공점,충청북도 제천시 고암동 1250번지 고암주공아파트,충청북도 제천시 고암로14길 13. 상가2동 107. 108호 (고암동. 고암주공아파트),,2019-03-05,정상영업,2024-09-12
일반소매인,지에스25제천용두시티점,충청북도 제천시 하소동 79번지 15호,충청북도 제천시 용두대로15길 8 (하소동),,2019-03-04,정상영업,2024-09-12
일반소매인,다리안마트,충청북도 제천시 송학면 시곡리 1148번지 16호,충청북도 제천시 송학면 시곡포전로 5,,2019-02-27,정상영업,2024-09-12
구내소매인,홈마트,충청북도 제천시 고암동 1108번지 2호,충청북도 제천시 용두천로46길 35 (고암동),,2019-02-25,정상영업,2024-09-12
일반소매인,씨유제천천남코아루점,충청북도 제천시 천남동 9번지 10호 코아루아파트,충청북도 제천시 원뜰로 14. 1층 102호 (천남동. 코아루아파트),,2019-02-08,정상영업,2024-09-12
일반소매인,부산청과,충청북도 제천시 하소동 95번지 1호,충청북도 제천시 용두대로15길 27 (하소동),,2018-12-11,정상영업,2024-09-12
일반소매인,월악정육마트,충청북도 제천시 한수면 송계리 282번지 27호,충청북도 제천시 한수면 미륵송계로6길 28,043-651-2785,2018-11-27,정상영업,2024-09-12
일반소매인,성내리농산물편의점,충청북도 제천시 금성면 성내리 155번지,충청북도 제천시 금성면 청풍호로 1537,,2018-11-27,정상영업,2024-09-12
일반소매인,문화마을슈퍼,충청북도 제천시 수산면 대전리 174번지 8호,충청북도 제천시 수산면 인삼로 538,043-651-3425,2018-11-19,정상영업,2024-09-12
일반소매인,강저마트,충청북도 제천시 영천동 2234번지,충청북도 제천시 청풍호로7길 76. 강저리슈빌 단지내상가 101호ㆍ102호 (영천동),,2018-11-13,정상영업,2024-09-12
일반소매인,명산종합건재,충청북도 제천시 장락동 240-3,충청북도 제천시 내토로54길 5-1 (장락동),043-642-5500,2018-11-13,정상영업,2024-09-12
일반소매인,세븐일레븐제천숭의점,충청북도 제천시 화산동 193번지 14호,충청북도 제천시 숭의로1길 26 (화산동),,2018-10-31,정상영업,2024-09-12
일반소매인,장락코사마트,충청북도 제천시 장락동 536번지 4호 장락로즈웰아파트,충청북도 제천시 장락로 169. 상가동 101호 (장락동. 장락로즈웰아파트),,2018-10-16,정상영업,2024-09-12
일반소매인,지에스25 제천행복점,충청북도 제천시 청전동 687번지 1호,충청북도 제천시 의림대로33길 21. 1층 (청전동),,2018-09-07,정상영업,2024-09-12
일반소매인,세븐일레븐 제천영천행복점,충청북도 제천시 영천동 1446번지,충청북도 제천시 청풍호로 42-1 (영천동),,2018-09-07,정상영업,2024-09-12
일반소매인,씨유제천로얄점,충청북도 제천시 중앙로2가 117번지 3호,충청북도 제천시 용두천로 121 (중앙로2가),,2018-09-07,정상영업,2024-09-12
구내소매인,올마트,충청북도 제천시 신백동 134번지 3호,충청북도 제천시 탑안로4길 16. 1층 101호 (신백동),043-643-1746,2018-08-07,정상영업,2024-09-12
구내소매인,세븐일레븐 제천화산대로점,충청북도 제천시 화산동 200번지 16호,충청북도 제천시 숭의로 19. 1층 (화산동),,2018-07-26,정상영업,2024-09-12
일반소매인,대박나라,충청북도 제천시 청전동 662번지,충청북도 제천시 청전대로12길 3 (청전동),,2018-07-16,정상영업,2024-09-12
