순번,약국명칭,약국소재지(도로명),약국전화번호
33,오션약국,"부산광역시 수영구 광안해변로326번길 31, 근린생활시설동 105호 (민락동, e편한세상 오션테라스 4단지)",051-757-5301
34,베스트약국,"부산광역시 수영구 수영로 710, 1층 (광안동)",051-753-7503
35,오렌지약국,"부산광역시 수영구 수영로 410, 남천동 정암빌딩 1층 101호 (남천동)",051-626-0700
36,팔도새시장약국,부산광역시 수영구 수영성로 27 (수영동),051-752-2828
37,좋은약국,"부산광역시 수영구 과정로 55, 망미1동 새마을금고 (망미동)",051-754-1095
38,더나은약국,"부산광역시 수영구 수영로 671, 1층 (광안동)",051-759-7755
39,하나약국,"부산광역시 수영구 수영로 621, 1-1호 (광안동, 부광)",051-517-6373
40,훈스약국,"부산광역시 수영구 연수로 408, 지하1,1층 (광안동)",051-754-4997
41,광안자연약국,"부산광역시 수영구 수영로 581, 1층 (광안동)",051-757-7571
42,대남약국,"부산광역시 수영구 수영로 394, 1층 (남천동, 남천동 메디칼센타)",051-900-9611
43,광안그린약국,"부산광역시 수영구 광일로 49, 109동 상가109호 (광안동, 비치그린아파트)",051-752-7980
44,다올약국,"부산광역시 수영구 수영로 577, 1층 (광안동)",051-758-7585
45,행복한약국,"부산광역시 수영구 수영로 611, 1층 (광안동)",051-753-1888
46,7번약국,"부산광역시 수영구 수영로 690-5, 102호 (광안동)",051-752-2525
47,디온약국,"부산광역시 수영구 수영로 699, 102호 (수영동, 수영동디온플레이스)",051-755-3178
48,수영센텀온누리약국,"부산광역시 수영구 수영로 681, 1층 (광안동)",051-757-0021
49,다정약국,"부산광역시 수영구 수영로611번길 15, 1층 (광안동)",051-817-6949
50,스타약국,"부산광역시 수영구 수영로 379, 1층 (남천동)",051-612-7645
51,수영조은약국,"부산광역시 수영구 수영로611번길 9, 1층 (광안동)",051-753-7282
52,고은약국,"부산광역시 수영구 수영로725번길 4, 1층 (수영동, 본정형외과)",070-7779-6261
53,푸른약국,"부산광역시 수영구 수영로611번길 5, 1층 (광안동)",051-759-4279
54,큰소망약국,"부산광역시 수영구 연수로 402, 탐메디컬빌딩 1층 (광안동)",051-757-7000
55,수영건강약국,"부산광역시 수영구 수영로 669, 1층 (광안동)",051-759-1319
56,진약국,"부산광역시 수영구 연수로 266, 기업은행망미지점 1층 (망미동)",051-714-7166
57,민트약국,"부산광역시 수영구 광남로 203, 1층 (민락동)",051-992-5596
58,이화메디컬약국,"부산광역시 수영구 수영로 710-1, 102호 (광안동)",051-761-4222
59,우리약국,"부산광역시 수영구 광안로 4, 광안동에스케이뷰 106동 104호 (광안동)",051-751-7674
60,동신약국,부산광역시 수영구 수영로 521 (광안동),753-2276
61,제일약국,부산광역시 수영구 광안해변로 431 (민락동),051-301-7823
62,엘림약국,부산광역시 수영구 황령대로481번길 13 (남천동),624-7794
63,광안우리약국,부산광역시 수영구 수영로 632 (광안동),051-752-0527
64,임호당약국,"부산광역시 수영구 남천동로 41 (남천동, 하늘채@ 상가501동 10호)",051-623-8772
65,늘푸른약국,부산광역시 수영구 수영로 390-1 (남천동),051-612-7875
66,수영약국,부산광역시 수영구 수영로 697 (수영동),051-754-6562
67,대영약국,부산광역시 수영구 연수로 423 (수영동),051-756-5040
68,포스코약국,"부산광역시 수영구 연수로315번길 24, 306호 (망미동)",051-755-3258
69,목동약국,부산광역시 수영구 수영성로 33-1 (수영동),051-759-2146
70,우리약국,부산광역시 수영구 황령산로8번길 54 (남천동),051-612-6500
71,한사랑 약국,부산광역시 수영구 수영로 637-3 (광안동),051-755-6181
72,메디칼약국,"부산광역시 수영구 수영로 621, 1-1,1-2호 (광안동, 부광상가)",051-755-3070
73,명성 약국,부산광역시 수영구 수영로 621 (광안동),051-752-5087
74,정약국,부산광역시 수영구 수영로 602-2 (광안동),051-756-2631
75,이화약국,부산광역시 수영구 연수로 378-2 (광안동),051-752-5223
76,조은약국,부산광역시 수영구 수영로 491 (남천동),051-623-7673
77,늘푸른약국,부산광역시 수영구 광남로 223 (민락동),051-752-5840
78,세림약국,부산광역시 수영구 광남로 43 (남천동),051-621-0025
79,건강약국,부산광역시 수영구 과정로 69 (망미동),051-761-1820
80,모자약국,부산광역시 수영구 수영로 557 (광안동),051-751-0035
81,이화 약국,부산광역시 수영구 수영로 565 (광안동),051-758-5791
82,세종약국,부산광역시 수영구 광안해변로277번길 3 (민락동),051-758-4915
83,메디팜 정은주 약국,부산광역시 수영구 광남로 224 (민락동),051-758-9110
84,광안약국,부산광역시 수영구 광일로 40 (광안동),051-757-2656
85,동산약국,"부산광역시 수영구 수영로464번길 9, 준정빌딩 (남천동)",051-625-6264
86,삼성약국,부산광역시 수영구 망미로22번길 55 (망미동),051-751-6266
87,엄지약국,부산광역시 수영구 수영로 513 (광안동),051-752-7453
88,삼화약국,부산광역시 수영구 황령대로 491 (남천동),051-626-2073
89,남산약국,부산광역시 수영구 수영로384번길 43 (남천동),051-622-0811
90,우리약국,부산광역시 수영구 구락로 69 (망미동),051-756-0265
91,동산약국,부산광역시 수영구 과정로 41 (망미동),051-754-7820
92,덕성약국,부산광역시 수영구 광안해변로255번길 12 (민락동),051-753-8251
93,대한약국,부산광역시 수영구 수영로 607-1 (광안동),051-752-4092
94,경화약국,"부산광역시 수영구 수영로 592, 누구나 1층 (광안동)",051-753-9996
95,동림약국,부산광역시 수영구 구락로75번길 4 (망미동),051-754-1467
96,동방약국,부산광역시 수영구 감포로 2 (민락동),051-753-9483
97,영진약국,부산광역시 수영구 수영로 707 (수영동),051-752-1316
98,동화약국,부산광역시 수영구 수영로 582 (광안동),051-752-3607
99,바다약국,부산광역시 수영구 광남로 108 (광안동),051-752-7118
100,무지개약국,부산광역시 수영구 광서로 5-3 (광안동),051-752-1049
